answer,predicted_answer,bleu_score
yellow,light orange,0.0
into the lassi,into the,0.13427896671164932
green,green,1.0
transparent,clear,0.0
white,white,1.0
tan,light brown,0.0
on a plate,on a plate,0.5757197301274735
white,light brown,0.0
tan,light brown color,0.0
on top of,on top of,0.5757197301274735
strawberry,strawberry,1.0
white,white,1.0
latte,latte,1.0
shaved chocolate,of the,0.0
brown,brown,1.0
on top of,on top of,0.5757197301274735
yellow,yellow,1.0
in the center,top of,0.0
pie,pie,1.0
triangular,triangular,1.0
on the top,on the top,0.5757197301274735
lemon,yellow,0.0
yellow,yellow,1.0
spoon,spoon,1.0
yellow,yellow,1.0
jars,jars,1.0
lemon curd,lemon curd,0.2213885886251307
on the tray,on the,0.13427896671164932
tan,light brown,0.0
cookies,cookies,1.0
on a sheet,on a piece,0.21177974141341938
pink,vibrant red,0.0
strawberry,strawberry,1.0
yellow,yellow,1.0
on the rim,on the rim,0.5757197301274735
Lemonade,iced tea,0.0
Lemonade,lemonade,0.0
yellow,yellow,1.0
brown,brown,1.0
brown,brown,1.0
lentils,lentils,1.0
visible,visible,1.0
light brown,reddish-brown color,0.0
dispersed,left side,0.0
yellowish-orange,yellow,0.0
lentils,yellowish-orange,0.0
dispersed,evenly distributed,0.0
green,green,1.0
dispersed,scattered,0.0
red,red,1.0
green,green,1.0
orange-brown,light brown,0.0
on the left,on the left,0.5757197301274735
to the right,right,0.1353352832366127
grain,grain,1.0
translucent,light yellowish-green,0.0
glass,glass,1.0
whitish-yellow,light yellow,0.0
on the rim,on the rim,0.5757197301274735
lime,lime,1.0
yellow,"yellowish, light",0.0
linguine,linguine,1.0
green,green,1.0
scattered,distributed,0.0
beige,light yellow,0.0
pasta,pasta,1.0
brown,brown,1.0
green,green,1.0
on top of,on top of,0.5757197301274735
white,white,1.0
golden-brown,golden brown,0.0
on a plate,on a plate,0.5757197301274735
blueberries,blueberries,1.0
wooden,wooden,1.0
cheese,cheese,1.0
yellow,golden-brown,0.0
on the left,on the left,0.5757197301274735
yes,not possible to definitively,0.0
white,white,1.0
in the center,dark,0.0
golden,golden,1.0
overlapping,golden-brown,0.0
reddish-brown,golden brown,0.0
reddish-brown,reddish-brown,1.0
on the right side,on the right side,1.0
bowl,bowl,1.0
yellow,yellow,1.0
covering,covering,1.0
vibrant,colorful,0.0
skillet,skillet,1.0
browned,brown,0.0
yellow,yellow,1.0
on top of,on top of,0.5757197301274735
green,green,1.0
in the center,in the,0.13427896671164932
macaroni,macaroni,1.0
yellow,yellow,1.0
on the top,on top of the,0.08032423517939204
yellow,yellow,1.0
macaroni,macaroni,1.0
clustered,scattered,0.0
on the left side,on the left side,1.0
ginger,ginger,1.0
Mahi Mahi,type of fish,0.0
brown,brown,1.0
in the bottom center,right side,0.0
golden-brown,light yellowish-orange,0.0
Mahi Mahi,specific type of fish,0.0
yellow,yellow,1.0
beans,beans,1.0
white,"light, golden-brown",0.0
reddish-brown,dark brown,0.0
green,green,1.0
orange,light yellowish,0.0
spinach,spinach,1.0
melted,melted,1.0
sticky,sticky,1.0
yellow,yellow,1.0
arranged,arranged,1.0
on top of,on top of,0.5757197301274735
pink,pinkish,0.0
Cadillac,"classic, popular",0.0
white,white,1.0
on the surface,the,0.1353352832366127
green,green,1.0
yellowish-green,light yellow or pale green,0.0
margaritas,Margarita,0.0
silver,silver,1.0
yellow-green,yellow-green,1.0
white,white,1.0
yellow,yellow,1.0
white,white,1.0
from the top,on top,0.04096772609215166
margaritas,margaritas,1.0
blue,blue,1.0
on the plate,on the plate,0.5757197301274735
green,green,1.0
red,red,1.0
blackberries,blackberries,1.0
on the wooden surface,wooden,0.049787068367863944
green,green,1.0
marinade,savory,0.0
surrounding,bottom,0.0
chicken,white,0.0
glossy,glossy,1.0
in the background,acidic,0.0
viscous,"smooth, thick",0.0
marinade,"fresh, Italian",0.0
in the bowl,in a bowl,0.08621454270909737
in the center,on the,0.04096772609215166
lemon,lemon,1.0
reddish-brown,darker color,0.0
coats,richer color,0.0
skewers,skewers,1.0
white,white,1.0
reddish-brown,"dark, charredred",0.0
chicken,chicken,1.0
on the upper chicken,on the chicken,0.16793545727180179
amber,amber,1.0
marmalade,marmalade,1.0
amber,amber,1.0
glass,glass,1.0
orange,reddish-brown,0.0
amber,reddish-brown color,0.0
marmalade,food product,0.0
striped,striped,1.0
to its left,left,0.1353352832366127
brown,"white, red, green",0.0
coated,coated,1.0
three,three,1.0
on the left,wooden surface,0.0
coconut,coconut,1.0
marshmallows,soft,0.0
light pink,pink,0.36787944117144233
on a small plate,on a white plate,0.18616487055295167
bottom,fourth,0.0
vibrant,vibrant,1.0
watermelon,,0.0
pink,red,0.0
on the top,on the,0.13427896671164932
green,green,1.0
red,red,1.0
stemmed,short,0.0
brown,light-colored,0.0
on top of,on the,0.04096772609215166
reddish-purple,deep red,0.0
martini,martini,1.0
red,red,1.0
with two bright red cherries,red cherries,0.04939847123496026
agave,red,0.0
pistachio,green,0.0
green,green,1.0
cylindrical,cylindrical,1.0
rectangular bar,rectangular,0.36787944117144233
on the left side,on a wooden,0.05194672862155564
white,white,1.0
orange,orange,1.0
carrots,carrots,1.0
in a bowl,in a bowl,0.5757197301274735
mayo,be butter,0.0
smooth,smooth,1.0
gray,no visible,0.0
in the upper left corner,not visible,0.0
bowl,bowl,1.0
orange,orange,1.0
basil,basil,1.0
on a light-colored surface,on a table,0.15174681566793558
light green,light green,0.2213885886251307
fills,allowing,0.0
bowl,clear glass or plastic,0.0
leaves,leaves,1.0
to the right of,to the right of,1.0
yellow,yellow,1.0
meatballs,meatballs,1.0
on top,on top,0.2213885886251307
green,green,1.0
orange-brown,brown,0.0
tomato sauce,tomato sauce,0.2213885886251307
covers,coat,0.0
green,green,1.0
sweet,sweet,1.0
meatballs,meatballs,1.0
brownish-red,reddish-brown,0.0
in the center,in a white,0.07249749990681824
bowl,bowl,1.0
creamy,creamy,1.0
meatballs,meatballs,1.0
orange,orange,1.0
underneath,underneath,1.0
green,green,1.0
brown,brown,1.0
salad,salad,1.0
sliced,sliced,1.0
is in,is in,0.2213885886251307
golden,golden,1.0
meatloaf,meatloast,0.0
light-brown,brownish-red,0.0
reddish-brown,reddish-brown,1.0
towards the right side,towards the right side,1.0
dark,golden brown,0.0
meatloaf,meatloast,0.0
white,white,1.0
with sprigs,fresh,0.0
bright,green,0.0
broccoli,broccoli,1.0
red,pinkish-white,0.0
browned,golden brown,0.0
across the image,across the image,0.5757197301274735
yellow,light orange,0.0
smoothie,smoothie,1.0
glass,glass,1.0
white,"yellow, pale, orange",0.0
near to,visual,0.0
clear,clear,1.0
pitcher,pitcher,1.0
beige,beige,1.0
in the center-left,in front of,0.07249749990681824
pink,pink,1.0
milkshakes,milkshakes,1.0
topped,topped,1.0
red,red,1.0
on each milkshake,on each milkshake,0.5757197301274735
chocolate,chocolate,1.0
brown,brown,1.0
on top,on top,0.2213885886251307
clear,clear,1.0
pitcher,pitcher,1.0
yellow,yellow,1.0
on a wooden board,on a wooden,0.41252121275142684
yellowish,light clear,0.0
tofu,tofu,1.0
scattered across,green,0.0
blue,blue,1.0
reddish-brown,dark brown color,0.0
jar,small,0.0
viscous,viscous,1.0
on the top,on the top,0.5757197301274735
tomatoes,tomatoes,1.0
bowl,bowl,1.0
mixed,mixed,1.0
brown,orange,0.0
orange,orange,1.0
in a clear glass bowl,in a clear glass bowl,1.0
brown,brown,1.0
bowl,bowl,1.0
candies,candies,1.0
golden-brown,"white, typical color",0.0
blue,blue,1.0
wooden,wooden,1.0
pretzels,pretzels,1.0
orange,orange,1.0
on the left,on the left,0.5757197301274735
beige,light golden brown,0.0
brown,brown,1.0
towards the bottom,towards the bottom,0.5757197301274735
brown,brown,1.0
jar,glass jar,0.06754436142034707
filled,containing,0.0
white,light brown,0.0
to the left of,to the left of,1.0
brown,brown,1.0
foamy,"creamy, smooth",0.0
with whipped cream,with whipped cream,0.5757197301274735
scattered,on top,0.0
yellow-green,vibrant green,0.0
mojito,green-colored,0.0
green,green,1.0
by the Pitcher,the pitcher,0.04096772609215166
fresh,fresh,1.0
green,green,1.0
mojito,mojito,1.0
yellow,green color,0.0
strawberry,pink,0.0
transparent,transparent,1.0
mousse,mousse,1.0
brown,brown,1.0
creamy,creamy,1.0
on a silver tray,silver tray,0.08144431026514741
golden-yellow,light yellow,0.0
muffins,muffins,1.0
obscuring,common occurrence,0.0
blue,blue,1.0
beverage,drink,0.0
fill,filling,0.0
white,"clear, transparent",0.0
on top of,on top of,0.5757197301274735
copper,copper,1.0
mug,copper mugs,0.0
green,green,1.0
yellow,green,0.0
on the wooden surface,on the,0.08144431026514741
brown,brown,1.0
mushrooms,mushrooms,1.0
glossy,glossy,1.0
green,green,1.0
in a pile,single layer,0.0
yellow,yellow,1.0
eggs,eggs,1.0
mushroom,mushrooms,0.0
brown,brown,1.0
chicken,chicken,1.0
brown,yellow,0.0
on the right,on the,0.13427896671164932
herbs,herbs,1.0
creamy,moist,0.0
mushrooms,mushrooms,1.0
black,black,1.0
from the pan,frying pan,0.04096772609215166
brown,brown,1.0
yellow,yellowish-white,0.0
enoki mushrooms,enoki mushrooms,0.2213885886251307
tangled,"light, tender",0.0
strands,thin,0.0
immersed,rich and flavorful,0.0
mussels,mussels,1.0
orange-red,"rich, dark red",0.0
brownish-red,reddish-brown,0.0
on the left,on the left,0.5757197301274735
yellow-orange,yellow,0.0
pouring,poured,0.0
jar,jar,1.0
wooden,wooden,1.0
above the jar,above the jar,0.5757197301274735
glass,glass,1.0
wooden,wooden,1.0
mustard,mustard,1.0
to the right,to the right,0.5757197301274735
Dijon,yellowish,0.0
tan,light brown,0.0
lined up,flat,0.0
jars,jars,1.0
creamy,creamy,1.0
nachos,nachos,1.0
light-orange,light yellow,0.0
on top of,on top of,0.5757197301274735
bowl,bowl,1.0
potato,snack,0.0
white,white,1.0
golden-brown,golden brown,0.0
cheese,cheese,1.0
on a plate,on a plate,0.5757197301274735
chocolate,chocolate,1.0
nachos,nachos,1.0
brown,brown,1.0
white,white,1.0
on top of,on top of,0.5757197301274735
smooth,smooth,1.0
glass,glass,1.0
pink,pinkish-orange,0.0
refresher,fruit-based,0.0
soup,soup,1.0
green,green,1.0
chicken,chicken,1.0
on the lower-right,on the right,0.21177974141341938
light blue,light blue,0.2213885886251307
bowl,bowl,1.0
fill,visible space in the,0.0
yellow,yellow,1.0
in the center,in the center,0.5757197301274735
crunchy,crunchy,1.0
nuggets,nuggets,1.0
white,white,1.0
on the right side,on the right side,1.0
red,red,1.0
corn nuts,nuts,0.36787944117144233
brown,brown,1.0
on the napkin,on the napkin,0.5757197301274735
golden-brown,golden brown,0.0
oatmeal,creamy,0.0
filling,filling,1.0
white,white,1.0
on a white surface,on a white,0.41252121275142684
beige,beige,1.0
fill,fresh,0.0
blueberries,blueberries,1.0
red,red,1.0
on top,on top,0.2213885886251307
black,black,1.0
rice,rice,1.0
green,green,1.0
okra,green,0.0
in a black cooking pot,cooking pot,0.04939847123496026
beige,light brown,0.0
chicken,chicken,1.0
green,green,1.0
on top,on top,0.2213885886251307
tomatoes,tomatoes,1.0
golden,green,0.0
olives,olives,1.0
cut,creamy white,0.0
on the bottom,common,0.0
green,green,1.0
wooden,wooden,1.0
bread,bread,1.0
black,green,0.0
golden-brown,golden-brown,1.0
on a wooden cutting board,on a wooden cutting board,1.0
white,white,1.0
yellow,yellow,1.0
spilling out of,filling,0.0
bacon,meat,0.0
mixed,rich,0.0
located on the left side,visible,0.0
omelette,fried egg,0.0
scattered,scattered,1.0
red,red,1.0
caramelized,caramelized,1.0
melted,melted,1.0
onions,"brown, dark brown",0.0
brown,"white, light yellow",0.0
cheese,cheese,1.0
towards the bottom,towards the bottom,0.5757197301274735
reddish-brown,light brown,0.0
nestled,generous,0.0
orange,rich brown color,0.0
to the left of,to the left of,1.0
orange,orange,1.0
plate,plate,1.0
vibrant,golden-brown,0.0
thick,"smooth, creamy",0.0
drink,drink,1.0
garnished,garnish,0.0
green,green,1.0
at the bottom,on top,0.0
pink,pink,1.0
Oreo,no clear indication,0.0
sprinkled,sprinkled,1.0
on top surface,on top,0.13427896671164932
circular,"round, common shape",0.0
crust,left,0.0
star-shaped,star shaped,0.0
oysters,oysters,1.0
green,green,1.0
on a star-shaped plate,on a star-shaped plate,1.0
white,white,1.0
oysters,oysters,1.0
yellow,yellowish,0.0
reddish-brown,light brown,0.0
white,white,1.0
yellow,yellow,1.0
scattered,scattered,1.0
shrimp,shrimp,1.0
in a bowl,center of the dish,0.0
chicken,chicken,1.0
scattered,"distributed, spread out",0.0
orange-brown,golden brown,0.0
shrimp,shrimp,1.0
green,green,1.0
pancake,green,0.0
white,white,1.0
golden brown,golden-brown,0.0
on the left side,on the,0.08144431026514741
salty,sweet,0.0
pancakes,pancakes,1.0
cooking,cooking,1.0
yellow,light brown color,0.0
golden yellow,light yellow,0.06754436142034707
paneer,paneer,1.0
reddish-brown,"rich, golden-brown",0.0
on top,on top,0.2213885886251307
vibrant,vibrant,1.0
green,green,1.0
bowl,bowl,1.0
blue,blue,1.0
scattered,"distributed, visible",0.0
on top,on top,0.2213885886251307
cranberry,red berries,0.0
glass,glass,1.0
red,light brown,0.0
on a table,on a table,0.5757197301274735
white,white,1.0
parfaits,parfait,0.0
red,red,1.0
on top,on top,0.2213885886251307
orange,fruit,0.0
yellow,yellow,1.0
fills,creamy,0.0
vegetable,creamy,0.0
white,white,1.0
in the center,centered in the,0.21177974141341938
round,round,1.0
parsnips,creamy,0.0
beige,creamy white color,0.0
smooth,smooth,1.0
chicken,chicken,1.0
reddish-orange,deep red,0.0
pasta,pasta,1.0
scattered amidst,scattered,0.36787944117144233
diced,small,0.0
orange,orange,1.0
pasta,pasta,1.0
melted,melted,1.0
brownish-tan,light yellow,0.0
beige,light yellow,0.0
pasta,pasta,1.0
shrimp,shrimp,1.0
green,green,1.0
over the shrimp,the shrimp,0.13427896671164932
scattered,distributed,0.0
pasta,pasta dish,0.06754436142034707
yellow,white,0.0
on top,on top,0.2213885886251307
dish,dish,1.0
red,red,1.0
scattered,scattered,1.0
eggplant,red,0.0
golden-yellow,light yellow,0.0
bowls,bowls,1.0
with a brown wooden handle,brown handle,0.017922759459377886
white,light yellow,0.0
yellow,yellow,1.0
blueberries,blueberries,1.0
nestled among,,0.0
pavlova,pavlova,1.0
greenish-yellow,greenish-yellow,1.0
