Unnamed: 0,Image,Question_2,Answer_2,Question_3,Answer_3,Question_4,Answer_4,Question_5,Answer_5,Question_6,Answer_6,Answer_1
25,8c23bbfc2929157,What type of meat is included in the dish?,chicken,What color are the bell peppers at the top-left and right?,red,What color are the bell pepper slices scattered between the chicken and red peppers?,yellow,How does the chicken appear in the image?,browned,Where are the chicken pieces distributed in the image??,throughout the image,fajita
26,bbfd764709c2fc5,What color are the grill marks on the chicken?,golden,What type of meat is featured in the dish?,chicken,What color is the plate under the chicken?,blue,What color are the cilantro leaves?,green,Where are the lime wedges located??,on the left,fajita
27,4540be4f1b7483a,What color is the cilantro?,green,What herb is shown at the top left of the image?,cilantro,What color is the bowl filled with pico de gallo?,yellow,What type of meat is included in the fajita mix?,chicken,Where is the fajita mix arranged??,on a sheet pan,fajita
28,dbdd1a45e11f272,What is the state of the cheese on the chicken pieces?,melted,What type of meat is used in the dish?,chicken,What color is the plate the dish is served on?,white,What color are the chicken pieces primarily?,reddish-orange,Where is the cluster of cilantro leaves located??,on top of,fajita
29,de4e22d616c136f,What color is the tortilla wrap?,white,What color is the chicken?,orange,What is partially covering the chicken and onions?,covering,What type of meat is used in the Pollo Fajitas?,chicken,Where are the sliced red and orange bell peppers mainly located??,in the middle,fajita
30,f723dd68c167fd3,What color is the lettuce used for the cups?,green,What is the main ingredient of the lettuce cups?,lettuce,What color is the meat inside the lettuce cups?,brown,Where is the sour cream placed in the lettuce cups?,on top of,What pattern is visible on the cloth to the right of the plate??,checkered,fajita
31,be533ae9b5f36d8,What is the color of the beef?,beef,What color are the diced tomatoes?,red,What is the color of the avocado slices?,diced,Where are the diced onions located?,green,Where is the shredded cheddar cheese placed??,on top of,fajita
32,5466136e2c0ad7d,How are the tortillas folded?,folded,What type of meat is used in the fajitas?,chicken,What color are the bell peppers?,green,Where is the guacamole located?,atop the fajita filling,What color are the diced tomatoes??,tomatoes,fajita
33,8cdb27974d97ff0,What color is the burrito primarily?,tan,What type of food is the main item on the plate?,burrito,What color is the lettuce on the burrito?,green,What color are the bell peppers in the burrito?,with yellow,What is the burrito placed on??,plate,fajita
34,04bc6b3e8a8aea0,What color are the Mahi Mahi pieces?,golden-brown,What type of fish is used in the fajitas?,Mahi Mahi,What color are the sliced red bell peppers?,red,Where are the Mahi Mahi pieces placed?,throughout the center,What color are the sliced onions??,white,fajita
35,c85139f9d51d512,What color is the plate?,white,What type of meat is used in the fajitas?,steak,What color is the cilantro?,green,Where are the steak fajitas located?,on a plate,What type of beans are on the plate??,refried,fajita
36,3fd59bae30c5c14,What color is the rice in the skillet?,yellowish-tan,What is the base of the dish made of?,rice,What color are the bell pepper slices scattered throughout the rice?,red,Where are the red bell pepper slices scattered?,scattered,Where are the green bell pepper slices located??,on top of,fajita
37,345dea49d8d9dbe,What type of meat is included in the pasta?,chicken,How are the red and green bell peppers arranged in the dish?,mixed,What color are the bell pepper strips scattered throughout the dish?,red,What color are the bell pepper pieces mixed into the dish?,green,Where are the chicken pieces located in the bowl??,throughout the bowl,fajita
38,706203205f79559,What color are the green bell pepper slices?,green,What is the main protein in the fajitas?,steak,What color is the sliced steak?,brownish-red,Where are the fajitas placed?,on the plate,What color are the red bell pepper slices??,vibrant,fajita
39,24883eb3ae422e6,Does the dish look appetizing?,appetizing,What type of meat is used in the dish?,chicken,What color are the bell pepper slices that are red?,red,What color are the bell pepper slices that are green?,green,Where are the ingredients cooked??,in a black cast iron skillet,fajita
40,7a5e7b012af9da0,What is the texture of the steak?,shredded,What type of meat is in the fajita?,steak,What color are the onions?,white,Where are the peppers located in the fajita?,mixed among,What color are the peppers??,green,fajita
41,56ad671c222bff5,Are the fajitas vegan?,vegan,What type of food is shown in the image?,fajitas,What color are the corn kernels in the left fajita?,yellow,What color is the sauce drizzled on the fajitas?,red,What is on top of the fajitas??,on top,fajita
42,0fd4b82e0e33a45,What color are the bell peppers in the fajitas?,red,What type of vegetables are mixed with the red peppers?,mushrooms,What color is the tortilla used for the fajitas?,beige,What is sprinkled over the vegetables in the fajitas?,sprinkled,Where are some of the red bell pepper slices located??,on the right,fajita
43,6cc86b2a2082e1f,What color is the fajita seasoning?,brownish,What is the fajita seasoning placed in?,bowl,What color is the bowl?,dark brown,What is the brownish powder used for?,seasoning,Where is the bowl located in the image??,in the image,fajita
44,de0cb3e746ca441,What color are the peppers mixed with the seitan?,red,What color are the peppers that contrast with the other ingredients?,green,What is being done to the tortillas with the fajita mixture?,adding,What is the base used to hold the fajita mixture?,tortillas,Where is the fajita mixture placed in relation to the tortillas??,on top of,fajita
45,08d7cce0f17e9a3,What color are the tempeh cubes?,red,What is the main protein in the fajitas?,tempeh,What color are the bell peppers in the fajitas?,green,What color is the rim of the plate?,with a red rim,What color are the tortillas??,pale,fajita
46,1469eee2e776c2f,What color is the cast iron skillet?,black,How are the peppers prepared?,sliced,What type of vegetables are used in the stir-fry?,peppers,What color are the onions?,white,Where is the stir-fry placed??,on a dark wooden surface,fajita
47,c0a48a4d2de3989,What color is the falafel?,golden-brown,What is the main ingredient of the dish?,falafel,Where does the falafel rest?,rests,What color is the lettuce?,green,Where is the falafel placed??,on a bed,falafel
48,e2f32ab0debb4e6,What color is the falafel?,brownish-green,What part of the food item does the falafel form?,base,What is the falafel doing in the image?,taking,What color is the cucumber sauce?,white,Where is the cucumber sauce located??,on top of,falafel
49,f5ff253861802a9,What color are the falafel mostly?,golden-brown,What type of food is shown in the image?,falafel,What tint do some falafel have?,greenish,Where are the falafel placed?,on a gray-blue plate,What color is the folded cloth??,beige,falafel
50,7f4949b73da37d9,What color are the baked falafel?,golden-brown,What type of food is shown in the image?,falafel,What color is the lettuce under the falafel?,green,Where are the falafel placed in the pita?,on top,What color is the sauce on top of the falafel??,red sauce,falafel
51,a1db7c4c3f6057d,What color are the falafels?,golden-brown,What type of food is shown in the image?,falafels,What color is the plate?,black,What is the yogurt-dill sauce served with?,with,What color is the lemon??,yellow,falafel
52,45593bdf34d769c,What color are the falafel?,golden-brown,What type of food is shown in the image?,falafel,How are the falafel placed on the plate?,arranged,What color is the plate?,on a white plate,What color are the specks on the falafel??,green,falafel
53,0d3b7a1ec9a3afb,Where are the falafel located?,located,What type of bread are the falafel in?,pita bread,What color is the sauce on top of the falafel?,white,What color are the diced tomatoes on top of the falafel?,red,Where is one falafel located in the image??,in the bottom left corner,falafel
54,64f99a98769fc5b,What color are the falafel pieces?,golden-brown,What type of food is shown in the image?,falafel,What color are the herbs scattered on the falafel?,green,Where are the falafel pieces placed?,on a colorful plate,How are the falafel pieces positioned on the plate??,arranged,falafel
55,10882ec4e8be056,What are the spherical items in the image?,are,What is the name of the food in the image?,ta'ameya,What color are the sesame seeds on the ta'ameya?,white,Where are the ta'ameya located in the image?,in the center,What are the white toppings on the ta'ameya??,seeds,falafel
56,9308055b48a5888,Is the salad served warm?,Warm,Are the farro grains scattered in the plate?,scattered,Are there spinach leaves in the salad?,spinach,Is the plate white?,white,Is the salad presented in the plate??,in the plate,farro
57,a1b92188972141f,What color are the farro grains?,brown,What type of grains are used in the dish?,grains,What type of ingredient is dark brown and interspersed with the farro?,mushrooms,What color is the cilantro sprig?,green,Where is the cilantro sprig positioned??,on top of,farro
58,243862e88ceaf08,What color is the farro in the salad?,light,What type of dish is being described?,salad,What color are the pecans in the salad?,brown,Where are the green scallions placed in the salad?,on top of,What color are the lemon wedges??,yellow,farro
59,c36e09e11ae3cbc,What color are the tomatoes in the salad?,red,What type of dish is the farro and tomato mixture?,salad,Where is the farro and tomato salad located on the closest plate?,located,Where is the farro and tomato salad located on the other plate?,on the right side,What color are the herbs scattered on the plates??,green,farro
60,0c6f64b053fb312,What color are the lentils?,brown,What type of lentils are used?,lentils,What hue does the farro have?,tan,What is coating the lentils and farro?,coating,Where is the sliced tomato located??,at the top,farro
61,d0f8a99831308a8,What color is the farro?,tan,What is the farro served in?,bowl,What type of grain is in the bowl?,farro,What color is the bowl?,white,Where is the bowl positioned in the image??,in the upper right,farro
62,649f26370757a85,Is the dish suitable for vegetarians?,vegetarian,What is the main grain used in the skillet?,farro,What color is the bowl used to serve the dish?,orange,Where are the black beans located in the dish?,throughout,What vegetable with green skin is mixed within the farro??,zucchini,farro
63,b4c7c5adfde3f3b,What is the soup served in?,soup,What is the consistency of the soup in the bowl?,filling,What color is the bowl?,black,What ingredient is scattered throughout the soup?,fennel,Where is the small bright green sprig of fennel fronds located??,at the center-right,fennel
64,a2b07e7440f60c5,What color is the grilled fennel primarily?,creamy,What vegetable is featured in the image?,fennel,What is the dominant color of the grilled fennel?,white,What does the largest piece of fennel do in the image?,appears,Where is the largest piece of fennel located??,at the center-left,fennel
65,111c00364311a43,What color is the crust of the bread?,golden-brown,What type of food is shown in the image?,bread,What color is the interior crumb of the bread?,yellow,What color are the specks in the bread?,green,Where is the bread placed??,on a wooden surface,fennel
66,f2c8d16a300a056,What color is the fennel in the image?,green,What vegetable is featured in the dish?,fennel,What color is the plate in the image?,brown,What type of cheese is used as a topping?,gorgonzola,Where is the fennel located in the image??,in the center,fennel
67,cd90188f2c1a239,What color is the Gramma Good's Fennel Bread?,brown,What type of food is Gramma Good's Fennel Bread?,bread,What is the state of the bread in the image?,sliced,What color is the cloth on the left side?,red,Where are the three slices of bread placed??,on the left side,fennel
68,8ac38bd3bb2e677,What color are the fennel slices?,yellow,What vegetable is used in the dish?,fennel,What is the state of the parmesan cheese on the fennel?,melted,What type of cheese is used in the dish?,parmesan,Where is the baked fennel and parmesan arranged??,in a baking dish,fennel
69,db4f30be192465d,What color is the bowl?,white,What vegetable is being served?,fennel,What color are the fennel garnishes?,green,What process is visible on some parts of the fennel slices?,caramelization,Where is the bowl placed??,on the plate,fennel
70,1182fb165965c24,What material are the jars made of?,glass,What color is the fennel?,yellow,Where is the fennel contained?,contained within,How are the jars sealed?,sealed,What color is the cloth on the jars??,red,fennel
71,80591e736df0736,What color is the bowl containing the salad?,white,What type of dish is the fennel prepared as?,salad,What color are the sliced fennel strips?,pink,How are the dark red beet pieces distributed in the salad?,scattered,"Where are the fresh, bright green herbs placed??",on top,fennel
72,4dc0d37926b71f2,What color is the fennel primarily?,white,What vegetable is shown in the image?,fennel,How are the fennel pieces placed on the baking sheet?,arranged,What describes the edges of some fennel pieces?,caramelized,Where are the fennel pieces located??,on a baking sheet,fennel
74,bffeb1a8133f687,What color is the whipped feta?,creamy,What type of cheese is used?,feta,What color is the whipped feta?,off-white,What is the hot honey doing to the whipped feta?,drizzled,Where is the whipped feta located in the image??,in the center,feta
75,23a840b81b00daf,What type of meat is shown in the image?,chicken,What does the chicken have on top?,has,What color is the feta cheese inside the chicken?,creamy,What color is the feta cheese in the center of the chicken?,white,Where is the chicken located in the image??,in the center-left,feta
76,598351f13a1baa2,What color is the pasta?,tan,What type of dish is shown in the image?,pasta,What color are the tomatoes in the dish?,red,Where are the green basil leaves located?,with,What color are the basil leaves??,green,feta
77,f56f6c1e6801e4c,Where is the dip located in the image?,located,What type of cheese is in the dip?,feta,What color is the bowl containing the dip?,orange,What is the dip contained in?,bowl,Where is the dip positioned in the bowl??,in the center,feta
78,a2b4ba759ea82ea,What type of food is the pale yellow base of the dish?,pasta,How is the pasta arranged in the dish?,interwoven,What color are the irregular cubes of feta cheese?,white,Where are the feta cheese cubes positioned?,among the pasta,What is scattered among the pasta??,tomatoes,feta
79,acd854aa86d145c,What is the primary color of the feta dip?,white,What type of cheese is used in the dip?,feta,How is the olive oil applied to the dip?,drizzled,What color are the specks in the dip?,green,Where is the dip located in the image??,in the center of,feta
80,1532dbb48fceeb3,What color is the dip primarily?,green,What type of food is the creamy green mixture?,dip,What texture does the dip have?,creamy,Where is the parsley positioned?,sits on top,What is the dip contained in??,bowl,feta
81,dc82292cc9b95bb,What are the rectangular golden brown items on the plate?,feta fingers,How are the feta fingers placed on the plate?,arranged,What color are the feta fingers?,golden,What color is the dotted pattern on the plate?,blue,Where is the first feta finger located??,at the top left,feta
82,3b9d693e75300a9,What color is the feta?,creamy,What type of cheese is in the bowl?,feta,What color is the feta in the bowl?,white,Where is the pita bread positioned?,leaning against,What color are the sun-dried tomatoes??,brown,feta
83,c17746b4e7022ce,What color is the feta cheese in the image?,white,What type of cheese is shown in the image?,cheese,Where are the tomatoes located in relation to the feta cheese?,surround,What color are most of the tomatoes in the image?,red,Where is the silver spoon located in the image??,near the top,feta
84,fc36afefc433f4b,What type of flavor does the stir-fry have?,spicy,What is the Spicy Feta Stir-Fry served in?,bowl,What color are the snow peas in the bowl?,green,What type of cheese is visible in the bowl?,feta,Where is the orange spicy sauce dotted??,on some of,feta
85,91d684595f68f4a,What color is the chicken?,creamy,What type of meat is shown in the image?,chicken,What color are the lemon slices?,yellow,What is on top of each chicken breast?,with a slice,What part of the chicken is shown in the image??,breasts,feta
86,bd88f9c3acc7f82,What color is the bowl that contains the Crazy Feta Dip?,beige,What is the Crazy Feta Dip served in?,bowl,What color are the carrot sticks?,orange,Where is the olive oil located?,on top,What color are the celery stalks??,green,feta
87,e62e99a5c269774,What color is the plate?,white,What type of cheese is in the center of the plate?,cheese,What color are the specks on the feta cheese ball?,green,What shape is the feta cheese ball?,spherical,What is in the center of the plate??,in the center,feta
88,f060f83a63db80e,What color is the plate?,white,How are the foldovers arranged on the plate?,stacked,What color are the edges of the foldovers?,golden-brown,What type of cheese is visible in the filling?,cheese,Where are the foldovers placed??,on a white plate,feta
89,438e7925ef9d56c,Is the glass jar clear?,clear,What type of cheese is in the jar?,feta,What color is the feta?,yellowish,Where is the feta positioned in the image?,in the center,What does the jar contain??,contains,feta
90,c21c69d14faa792,What type of dish is shown in the image?,salad,What color is the bowl holding the salad?,yellow,What color are the chicken pieces in the salad?,white,What color are the red pieces in the salad?,red,What is the relationship between the green lettuce leaves and the creamy salad??,contrasting,feta
91,e1343a6401dd1ea,Where is the pie located in the image?,located,What type of cheese is used in the pie?,feta,What color is the top of the pie?,pale yellow,What type of dish is shown in the image?,pie,What describes the crust's appearance in terms of color??,of color,feta
92,c747b145be1701e,What color is the Greek Feta and Olive Spread?,orange,What is the spread served in?,bowl,What is the color of the olive?,olive,What color is the olive on the spread?,purple,Where is the olive placed??,atop the mound,feta
93,36a4d6d7200f27a,What color is the vodka fettuccine?,yellow,What type of pasta is used in the dish?,fettuccine,How are the tomato pieces incorporated into the dish?,mixed,What color are the tomato pieces?,red,Where is the caviar placed??,on top of,fettuccine
94,b2f494b68b68672,What is the texture of the fettuccine described as?,creamy,What type of pasta is shown in the image?,fettuccine,What color are the sun-dried tomatoes?,red,Where are the dark green spinach leaves located?,in,What color are the spinach leaves??,green,fettuccine
95,5b86da59c514f4a,What color are the chicken pieces in the dish?,yellowish-brown,What color are the leeks in the dish?,chicken,What is the color of the parsley garnish on top of the dish?,pinkish-white,Where are the leeks located in the dish?,with leeks,What color are the green portions of the leeks??,green,fettuccine
96,58cb6cc935a8656,What type of meat is in the bowl?,chicken,What is the Parmesan cheese on top of the dish?,grated,What are the green specks on top of the pasta and chicken?,herbs,What is the primary color of the dish?,is,Where is the food presented??,in the bowl,fettuccine
97,a370037c3e8b9ea,What is the texture of the sauce on the pasta?,creamy,What type of food is the main dish?,pasta,What color are the sweet peppers?,red,Where are the parsley flakes mainly concentrated?,on top,Where are the green parsley flakes scattered??,scattered,fettuccine
98,f257557c30b0a6c,What color is the bowl?,white,What type of pasta is in the dish?,fettuccine,What color are the shrimp pieces?,pink,Where are the scallops placed?,on the left,What color are the small herbs??,green,fettuccine
99,bf0eef431251754,What color is the fettuccine pasta in the image?,yellow,What type of pasta is shown in the image?,pasta,What are the small pieces of meat scattered throughout the pasta called?,pancetta,What color are the pancetta pieces in the image?,reddish-brown,Where are the pancetta pieces distributed in the dish??,throughout the pasta,fettuccine
100,b2da25661f093b2,What color are the fettuccine noodles?,yellow,What type of pasta is shown in the image?,fettuccine,What is the texture of the sauce on the fettuccine?,creamy,What color is the parsley on top of the noodles?,green,Where is the parsley placed on the noodles??,on top of,fettuccine
101,c0975f297eda584,What does the fettuccine do in the frame?,fills,What type of pasta is shown?,fettuccine,What is the texture of the sauce?,creamy,What is scattered on top of the pasta?,cheese,Where are the thin strands of cheese located??,on top of,fettuccine
102,ca23e2263faef48,What type of meat is included in the dish?,ham,What does the dish consist of?,consists,What color are the fettuccine noodles?,yellow,What color are the asparagus spears?,green,Where are the asparagus spears placed??,on top of,fettuccine
103,4a760002afb43b8,What is the color of the base of the dish?,white,Where is the fettuccine located in the dish?,located throughout,What type of meat is scattered on top of the pasta?,chicken,What color are the slightly browned areas on the chicken?,asparagus,What vegetable is distributed across the dish??,browned,fettuccine
104,a23799c6517a1d8,What color are the fettuccine noodles?,yellow,What type of meat is in the dish?,chicken,What does the dish feature?,features,What color is the sauce?,beige,Where is the finely grated cheese distributed??,across the top,fettuccine
106,5246d452ee6dfcd,What is the color of the salmon?,light,Where are the salmon pieces situated?,situated,What vegetable is dark green and intermingled with the salmon?,spinach,What color is the spinach?,green,Where is the spinach located??,at the top,fettuccine
107,28e11171d5ffa68,What color are the mushrooms?,dark,What color is the spinach?,spinach,What color are the mushrooms?,brownish-purple,Where is the spinach located?,on top,What type of pasta is used in the dish??,pasta,fettuccine
108,aa57db45b971ec7,What color is the chocolate fettuccine?,chocolate,What color is the whipped chocolate topping?,brown,What shape is the chocolate fettuccine arranged in?,nest-like,What color is the ice cream?,white,Where is the nest of fettuccine positioned??,at the bottom,fettuccine
109,6984b25e292a0a3,What color is the Chicken Piccata?,yellow,What color are the capers?,green,What type of meat is the main dish made of?,Chicken,How are the capers arranged on the plate?,scattered,How are the lemon slices positioned relative to each other??,overlapping,fettuccine
110,59cd9050332697a,What is the color of the sauce on the fettuccine?,creamy,What type of pasta is used in the dish?,noodles,What color are the chicken chunks in the dish?,brown,What color are the broccoli florets in the dish?,green,Where is the fork placed in relation to the fettuccine??,on the right,fettuccini
112,c8c28925405c3d3,What is the texture of the sauce?,creamy,What type of pasta is in the dish?,pasta,What color is the fettuccini pasta?,yellowish-white,Where are the shrimp scattered across?,scattered across,What type of protein is included in the dish??,seafood,fettuccini
113,1f80ff02feebd5c,What color is the plate?,red,What type of noodles are in the dish?,noodles,What color are the fettuccini noodles?,yellow,What is the texture of the sauce covering the noodles?,creamy,What is the color of the plate the dish is served on??,on a red plate,fettuccini
114,91bb72e92eed8a7,What color are the broccoli florets?,green,What type of pasta is used in the dish?,spinach,What color is the spinach fettuccini?,pale,What type of meat is included in the dish?,ham,How are the broccoli florets distributed across the top??,scattered,fettuccini
115,8a0c8d9c54b0a54,What is the color of the zucchini slices?,white,What type of pasta is shown in the image?,fettuccini,How are the zucchini slices arranged in the pasta?,scattered,What color are the zucchini slices?,green,Where are the zucchini slices located in relation to the pasta??,among the pasta,fettuccini
116,1bf5647a7e6331a,What is the color of the Moroccan Fig Pork Roast?,golden-brown,Where is the Moroccan Fig Pork Roast in relation to the sauce?,submerged,What color are the diced tomatoes?,tomatoes,What color are the diced tomatoes?,red,Where are some of the diced tomatoes located??,on the top,fig
117,c65fca370548065,What color is the fig resting atop the green lettuce?,black,What type of fruit is featured in the salad?,figs,Where is the almost black fig located in the salad?,resting atop,What color is the lettuce in the salad?,green,What color are the exteriors of some figs in the upper center of the bowl??,purple,fig
118,29d239450bb6aec,What type of fruit is shown in the dish?,figs,How do the colors of the figs differ?,vary,What is the color of the deeper-toned figs?,reddish-brown,What is the chicken served with?,with the chicken,What color is the rosemary??,green,fig
119,76dc183aa46b064,What type of dessert is shown in the image?,cake,What is the primary color of the cake?,brown,Where does the cake sit?,sits on,What is the shape of the cake?,circular,What fruit is embedded in the cake??,fig,fig
120,3776b3dee09c716,What color is the smoothie?,pink,How is the smoothie decorated?,garnished,What fruit slice is placed alongside the fig?,orange,What fruit is used to garnish the smoothie?,fig,Which glass has a golden straw??,on the left,fig
121,19e96395c0e26fd,What is the primary color of the fig ice cream?,white,What fruit is embedded in the ice cream?,fig,What type of dessert is being described?,ice cream,How are the fig pieces distributed in the ice cream?,distributed unevenly,Do the colors of the fig pieces vary??,vary,fig
122,614c5dee532b78e,What color are the figs?,purple,What type of fruit is shown in the image?,figs,Where is the goat cheese placed?,on top of,What is the texture of the goat cheese?,creamy,How is the goat cheese distributed??,scattered,fig
123,cbaed45527de406,Are the fig newtons store-bought or homemade?,homemade,What type of cookies are shown in the image?,fig newtons,What color are the fig newtons?,light brown,What is visible between the light brown cookie layers?,filling,Where is one fig newton placed in relation to the others??,on top,fig
124,daf34f3c0e2304e,What color is the plate?,yellow,What type of fruit is on the plate?,figs,What color is the exterior of the figs?,golden-brown,What is the color of the dollops on the figs?,cream,Where are the figs placed??,on a plate,fig
126,b3a1fe5b2434339,What is the state of the figs in the compote?,fresh,What type of fruit is used in the compote?,fig,What color are some of the figs?,purple,Where is the fig compote placed?,over cream cheese,What color is the plate beneath the food items??,red,fig
127,0f4b1f3711ed6aa,Where does the fig compote sit?,sits,What is the base of the appetizer?,cracker,What color is the fig compote?,dark,What color is the cheese or topping?,yellow,Where is the cheese or topping positioned??,on top of,fig
128,2e598f810f9d06d,What is the color of the cake's base?,light,What type of food is shown in the image?,cake,What color are the figs on top of the cake?,reddish-purple,Where is the whipped cream located?,on top,What is the color of the whipped cream on the cake??,cream,fig
129,4339a851cb77dd5,What color is the fig jam?,reddish-brown,Where is the fig jam located?,located on top,What is the fig jam on top of?,toast,How is the fig jam spread on the toast?,spread,How is the fig jam distributed on the toast??,evenly,fig
130,cb7d2715089d107,What color are the figs in the image?,brown,What type of fruit is featured in the preserves?,figs,What color are the lemon slices in the image?,yellow,What are the figs and lemon slices immersed in?,with lemon slices,How do the whole figs appear in the image??,plump,fig
131,9ac99a11f201d7e,What color is the interior of the figs?,dark,What type of fruit is shown in the image?,figs,What color are the raspberries?,red,What are the figs filled with?,with almonds,What is revealed when the figs are cut in half??,revealing,fig
132,dd3b5e82f9d9936,What type of alcohol is mentioned in the description?,bourbon,What color is the Bourbon Fig Compote primarily?,purple-black,Where is the Bourbon Fig Compote placed in relation to the brie?,piled on top,What type of cheese is mentioned in the description?,brie,How is the brie prepared??,baked,fig
133,02fe95aa6346349,How is the pastry presented in the image?,sliced,What color is the filling inside the pastry?,brown,What type of food is shown in the image?,pastry,Where is the fig filling located?,inside the pastry crust,What color is the fig filling??,dark,fig
