reference,hypothesis,gpt_score
brownish,brown,0.9
plate,plate,1.0
yellow,yellow,1.0
sprinkled on top,on top of,0.7
white,white,1.0
orange,orange,1.0
potato,potatoes,1.0
fried,fried,1.0
on top of,on top of,1.0
bacon,bacon,1.0
hash browns,pancakes,0.1
golden-brown,golden-brown,1.0
yes,overlapping,0.0
on a plate,on top of,0.6
golden-brown,golden-brown,1.0
plate,plate,1.0
orange,orange,1.0
chives,sprinkled,0.1
brown,brown,1.0
chicken,beef,0.1
yellow,yellow,1.0
in the upper right,in the center,0.2
golden-brown,brown,0.7
hen,hens,1.0
brown,brown,1.0
at the top left,in the center,0.1
salad,salad,1.0
green-white,colorful,0.2
over the salad leaves,on top,0.3
tomatoes,cabbage,0.1
edamame,beans,0.7
hummus,rice,0.1
black,green,0.0
on top of,on top of,1.0
yellow,yellow,1.0
hummus,hummus,1.0
submerged,on top of,0.0
crackers,fries,0.1
on the right,on top of,0.2
bowl,bowl,1.0
brownish-green,yellow,0.1
towards the top left,in the center,0.2
beige,white,0.2
hummus,eggs,0.1
yellow,yellow,1.0
tomatoes,tomatoes,1.0
spices,sprinkled,0.2
yellow-beige,yellow,0.8
bowl,bowl,1.0
orange,orange,1.0
carrots,carrots,1.0
on the plate,on a plate,0.9
reddish-brown,reddish-brown,1.0
jars,jars,1.0
in the center,in the center,1.0
orange,orange,1.0
jars,jars,1.0
glass,glass,1.0
in the center,on the left,0.0
pinkish-white,white,0.7
in the center,in the center,1.0
bottom half,jar,0.0
orange,orange,1.0
vibrant,vibrant,1.0
glass,jars,0.6
papaya,peach,0.2
fresh,fresh,1.0
on a white cloth,on a wooden surface,0.2
dark brown,brown,0.8
cubes,triangular,0.1
beige,brown,0.7
scattered,scattered,1.0
black,brown,0.3
dark,reddish-brown,0.3
stacked,arranged,0.6
dish,bowl,0.7
in the center,in the center,1.0
brown,brown,1.0
beef jerky,meat,0.6
scattered,scattered,1.0
reddish-brown,white,0.0
around the edges,on the left,0.2
brown,brown,1.0
beef jerky,meat,0.5
overlapping,stacked,0.2
dark brown,brown,0.8
located inside,jar,0.1
jar,jar,1.0
sitting,filling,0.0
wooden,wooden,1.0
yellow-tan,yellow,0.8
plate,on a plate,0.7
white,white,1.0
glazed,textured,0.2
Sloppy Joe,sandwich,0.7
reddish-brown,reddish-brown,1.0
yellow,yellow,1.0
on the bottom,located,0.2
golden-brown,tan,0.7
chicken,chicken,1.0
orange,brown,0.2
on top,on top of,0.9
chips,chips,1.0
golden-brown,brown,0.7
bun,covering,0.0
gray,white,0.3
on a plate,on top,0.5
tan,tan,1.0
bun,sandwich,0.3
red,red,1.0
on top,on top,1.0
diced,orange,0.0
beige,beige,1.0
juice,smoothie,0.7
on the table,in the center,0.2
glass,glass,1.0
in a glass,located,0.1
vibrant,vibrant,1.0
glass,glass,1.0
yellow,yellow,1.0
watermelon,blueberries,0.1
pink,orange,0.2
blueberries,blueberries,1.0
green surface,green,0.8
4th of July,Christmas,0.1
golden-brown,reddish-brown,0.6
dispersed,scattered,1.0
kale,spinach,0.7
bowl,bowl,1.0
green,green,1.0
chips,salad,0.1
bowl,bowl,1.0
on a wooden surface,on a wooden surface,1.0
brownish,green,0.1
dark green,green,0.7
kale,spinach,0.7
red,red,1.0
on top of,in the center,0.2
colorful,colorful,1.0
kebabs,vegetables,0.1
red,brown,0.4
on a plate,on a plate,1.0
pineapple,pineapple,1.0
white,white,1.0
kohlrabi,potatoes,0.1
arranged,arranged,1.0
brown,brown,1.0
on a plate,on a plate,1.0
yellow,gray,0.2
noodles,pasta,0.9
yellow,yellow,1.0
on the top,across the top,0.8
golden-yellow,golden-brown,0.8
baking,baking,1.0
sprinkling,sprinkled,0.9
noodles,cheese,0.1
brown,brown,1.0
brown,brown,1.0
lamb,turkey,0.2
in the center,pot,0.0
reddish-brown,reddish-brown,1.0
stew,soup,0.5
fills,fills,1.0
white,white,1.0
throughout the stew,in the center,0.1
white,white,1.0
lamb,chicken,0.2
brown,brown,1.0
scattered around,on top of,0.1
lamb,beef,0.2
gradient,caramelized,0.1
brown,brown,1.0
onions,meat,0.0
cooked,cooked,1.0
orange,red,0.2
lasagna,soup,0.1
creamy,creamy,1.0
white,white,1.0
on the surface,on top,0.8
golden-brown,orange,0.4
lasagna,lasagna,1.0
black,black,1.0
on a black stovetop,on a baking sheet,0.2
green,yellow,0.2
green,green,1.0
lasagna,salad,0.1
red,red,1.0
yellow,orange,0.7
on top of,on a plate,0.3
banana,lemon,0.3
yellow,yellow,1.0
on the left,on top of,0.1
green,green,1.0
clear,clear,1.0
yellow,brown,0.2
into the lassi,inserted,0.1
green,green,1.0
transparent,clear,1.0
white,white,1.0
tan,brown,0.2
on a plate,on a plate,1.0
white,white,1.0
tan,beige,0.1
on top of,on top of,1.0
strawberry,strawberries,1.0
white,white,1.0
latte,coffee,0.7
shaved chocolate,sprinkled,0.1
brown,white,0.1
on top of,on top,0.9
yellow,yellow,1.0
in the center,sits,0.1
pie,pie,1.0
triangular,triangular,1.0
on the top,on top of,0.9
lemon,lemon,1.0
yellow,yellow,1.0
spoon,spoon,1.0
yellow,yellow,1.0
jars,jars,1.0
lemon curd,hummus,0.0
on the tray,on top of,0.5
tan,golden-brown,0.2
cookies,cookies,1.0
on a sheet,on a baking sheet,0.9
pink,pink,1.0
strawberry,watermelon,0.2
yellow,yellow,1.0
on the rim,on the rim,1.0
Lemonade,cocktail,0.3
Lemonade,filled,0.1
yellow,yellow,1.0
brown,brown,1.0
brown,brown,1.0
lentils,soup,0.2
visible,visible,1.0
light brown,brown,0.8
dispersed,in the center,0.0
yellowish-orange,green,0.2
lentils,soup,0.2
dispersed,scattered,1.0
green,green,1.0
dispersed,in the center,0.0
red,red,1.0
green,green,1.0
orange-brown,yellow,0.2
on the left,on the left,1.0
to the right,on top of,0.1
grain,rice,0.9
translucent,green,0.1
glass,glass,1.0
whitish-yellow,yellow,0.7
on the rim,on the rim,1.0
lime,lemon,0.5
yellow,yellow,1.0
linguine,spaghetti,0.7
green,green,1.0
scattered,scattered,1.0
beige,yellow,0.3
pasta,pasta,1.0
brown,brown,1.0
green,green,1.0
on top of,on top of,1.0
white,white,1.0
golden-brown,golden-brown,1.0
on a plate,on a plate,1.0
blueberries,blueberries,1.0
wooden,wooden,1.0
cheese,bread,0.2
yellow,yellow,1.0
on the left,on the left,1.0
yes,vegan,0.0
white,white,1.0
in the center,in the center,1.0
golden,golden-brown,0.8
overlapping,overlapping,1.0
reddish-brown,golden-brown,0.5
reddish-brown,reddish-brown,1.0
on the right side,on the left,0.0
bowl,bowl,1.0
yellow,orange,0.7
covering,covering,1.0
vibrant,colorful,0.9
skillet,skillet,1.0
browned,brown,0.9
yellow,orange,0.7
on top of,on top,0.9
green,green,1.0
in the center,on top of,0.1
macaroni,pasta,0.8
yellow,yellow,1.0
on the top,on top,0.9
yellow,yellow,1.0
macaroni,pasta,0.8
clustered,piled,0.7
on the left side,on the right side,0.0
ginger,spicy,0.3
Mahi Mahi,salmon,0.2
brown,brown,1.0
in the bottom center,on the left side,0.1
golden-brown,golden-brown,1.0
Mahi Mahi,salmon,0.2
yellow,yellow,1.0
beans,asparagus,0.1
white,white,1.0
reddish-brown,brown,0.7
green,green,1.0
orange,white,0.0
spinach,spinach,1.0
melted,melted,1.0
sticky,shredded,0.1
yellow,yellow,1.0
arranged,scattered,0.1
on top of,on top of,1.0
pink,pink,1.0
Cadillac,cocktail,0.1
white,white,1.0
on the surface,on the rim,0.5
green,green,1.0
yellowish-green,yellow,0.5
margaritas,cocktail,0.7
silver,silver,1.0
yellow-green,yellow,0.5
white,white,1.0
yellow,yellow,1.0
white,white,1.0
from the top,on top of,0.9
margaritas,cocktail,0.7
blue,blue,1.0
on the plate,on a plate,0.9
green,green,1.0
red,red,1.0
blackberries,blueberries,0.4
on the wooden surface,on top of,0.4
green,green,1.0
marinade,cheese,0.1
surrounding,on top,0.1
chicken,chicken,1.0
glossy,glossy,1.0
in the background,on top of,0.0
viscous,thick,0.8
marinade,soup,0.2
in the bowl,contained,0.2
in the center,in the center,1.0
lemon,lemon,1.0
reddish-brown,brown,0.7
coats,covers,0.6
skewers,plate,0.1
white,white,1.0
reddish-brown,brown,0.7
chicken,chicken,1.0
on the upper chicken,on top of,0.2
amber,vibrant,0.2
marmalade,jam,0.8
amber,orange,0.6
glass,glass,1.0
orange,red,0.2
amber,vibrant,0.2
marmalade,salsa,0.2
striped,striped,1.0
to its left,to the left,0.9
brown,white,0.1
coated,coated,1.0
three,jars,0.0
on the left,on the left,1.0
coconut,coconut,1.0
marshmallows,taffy,0.2
light pink,pink,0.8
on a small plate,on a plate,0.8
bottom,on top of,0.0
vibrant,vibrant,1.0
watermelon,lime,0.2
pink,red,0.5
on the top,on the rim,0.4
green,green,1.0
red,red,1.0
stemmed,glasses,0.0
brown,white,0.1
on top of,in the center,0.2
reddish-purple,red,0.5
martini,cocktail,0.7
red,red,1.0
with two bright red cherries,cherry,0.2
agave,bottle,0.1
pistachio,almond,0.5
green,green,1.0
cylindrical,rectangular,0.2
rectangular bar,rectangular,0.8
on the left side,on the left side,1.0
white,white,1.0
orange,orange,1.0
carrots,carrots,1.0
in a bowl,bowl,0.8
crispy,browned,0.6
chicken,chicken,1.0
white,white,1.0
yellow,yellow,1.0
on a plate,on a plate,1.0
mayo,mustard,0.2
smooth,creamy,0.8
gray,silver,0.7
in the upper left corner,on top,0.2
bowl,bowl,1.0
orange,orange,1.0
basil,basil,1.0
on a light-colored surface,on a white plate,0.8
light green,green,0.7
fills,fills,1.0
bowl,bowl,1.0
leaves,with,0.0
to the right of,to the left,0.0
yellow,yellow,1.0
meatballs,chicken,0.2
on top,on top of,0.9
green,green,1.0
orange-brown,golden-brown,0.7
tomato sauce,sauce,0.7
covers,covers,1.0
green,green,1.0
sweet,spicy,0.1
meatballs,meatballs,1.0
brownish-red,brown,0.7
in the center,on top of,0.1
bowl,bowl,1.0
creamy,creamy,1.0
meatballs,chicken,0.2
orange,orange,1.0
underneath,on top of,0.0
green,green,1.0
brown,brown,1.0
salad,salad,1.0
sliced,sliced,1.0
is in,located in,0.9
golden,yellow,0.7
meatloaf,meatloaf,1.0
light-brown,brown,0.8
reddish-brown,reddish-brown,1.0
towards the right side,on the left side,0.0
dark,brown,0.5
meatloaf,meat,0.8
white,white,1.0
with sprigs,herbs,0.5
bright,green,0.3
broccoli,broccoli,1.0
red,red,1.0
browned,appear,0.1
across the image,throughout,0.3
yellow,orange,0.7
smoothie,smoothie,1.0
glass,glass,1.0
white,orange,0.1
near to,on the rim,0.3
clear,clear,1.0
pitcher,jar,0.2
beige,light,0.5
in the center-left,on a wooden surface,0.0
pink,pink,1.0
milkshakes,smoothie,0.6
topped,on top of,0.7
red,red,1.0
on each milkshake,on top of,0.2
chocolate,chocolate,1.0
brown,yellow,0.2
on top,on top,1.0
clear,clear,1.0
pitcher,glass,0.1
yellow,yellow,1.0
on a wooden board,on a wooden surface,0.9
yellowish,yellow,0.8
tofu,garlic,0.1
scattered across,scattered,0.8
blue,white,0.1
reddish-brown,reddish-brown,1.0
jar,jar,1.0
viscous,smooth,0.5
on the top,on top,0.9
tomatoes,tomatoes,1.0
bowl,bowl,1.0
mixed,mixed,1.0
brown,golden-brown,0.8
orange,orange,1.0
in a clear glass bowl,in a bowl,0.7
brown,brown,1.0
bowl,bowl,1.0
candies,popcorn,0.2
golden-brown,brown,0.7
blue,blue,1.0
wooden,wooden,1.0
pretzels,nuts,0.1
orange,brown,0.2
on the left,on the left,1.0
beige,brown,0.7
brown,brown,1.0
towards the bottom,throughout,0.1
brown,brown,1.0
jar,jar,1.0
filled,filling,0.8
white,brown,0.2
to the left of,in the center,0.1
brown,brown,1.0
foamy,creamy,0.5
with whipped cream,topped,0.5
scattered,on top,0.1
yellow-green,green,0.7
mojito,cocktail,0.7
green,green,1.0
by the Pitcher,served,0.1
fresh,translucent,0.1
green,green,1.0
mojito,cocktail,0.7
yellow,yellow,1.0
strawberry,strawberries,1.0
transparent,clear,1.0
mousse,mousse,1.0
brown,brown,1.0
creamy,creamy,1.0
on a silver tray,on a plate,0.5
golden-yellow,yellow,0.8
muffins,muffins,1.0
obscuring,filling,0.1
blue,blue,1.0
beverage,cocktail,0.8
fill,fills,0.9
white,white,1.0
on top of,at the top,0.8
copper,glass,0.1
mug,mug,1.0
green,green,1.0
yellow,orange,0.7
on the wooden surface,on the rim,0.2
brown,brown,1.0
mushrooms,mushrooms,1.0
glossy,glossy,1.0
green,green,1.0
in a pile,scattered,0.2
yellow,yellow,1.0
eggs,rice,0.0
mushroom,cabbage,0.1
brown,brown,1.0
chicken,chicken,1.0
brown,beige,0.5
on the right,in the center,0.2
herbs,herbs,1.0
creamy,creamy,1.0
mushrooms,mushrooms,1.0
black,black,1.0
from the pan,skillet,0.2
brown,brown,1.0
yellow,yellow,1.0
enoki mushrooms,mushrooms,0.7
tangled,appear,0.1
strands,diced,0.1
immersed,sliced,0.1
mussels,mussels,1.0
orange-red,reddish-brown,0.5
brownish-red,reddish-brown,1.0
on the left,in the center,0.2
yellow-orange,orange,0.8
pouring,dripping,0.3
jar,jar,1.0
wooden,wooden,1.0
above the jar,on the rim,0.5
glass,glass,1.0
wooden,wooden,1.0
mustard,mustard,1.0
to the right,to the left,0.0
Dijon,cheesy,0.2
tan,yellow,0.1
lined up,arranged,0.8
jars,jars,1.0
creamy,creamy,1.0
nachos,chips,0.7
light-orange,orange,0.8
on top of,scattered,0.0
bowl,with,0.0
potato,tortilla,0.2
white,white,1.0
golden-brown,golden-brown,1.0
cheese,cheese,1.0
on a plate,on a plate,1.0
chocolate,drizzled,0.1
nachos,chips,0.7
brown,golden-brown,0.8
white,white,1.0
on top of,on top,0.9
smooth,creamy,0.8
glass,glass,1.0
pink,pink,1.0
refresher,smoothie,0.2
soup,soup,1.0
green,green,1.0
chicken,chicken,1.0
on the lower-right,on the left,0.1
light blue,blue,0.8
bowl,bowl,1.0
fill,fills,0.9
yellow,yellow,1.0
in the center,in the center,1.0
crunchy,crispy,0.8
nuggets,fritters,0.2
white,white,1.0
on the right side,located,0.2
red,red,1.0
corn nuts,pecans,0.1
brown,brown,1.0
on the napkin,located,0.1
golden-brown,golden-brown,1.0
oatmeal,pie,0.1
filling,filling,1.0
white,golden-brown,0.3
on a white surface,on a plate,0.5
beige,brown,0.7
fill,fills,0.9
blueberries,blueberries,1.0
red,red,1.0
on top,on top of,0.9
black,black,1.0
rice,rice,1.0
green,green,1.0
okra,okra,1.0
in a black cooking pot,skillet,0.2
beige,brown,0.7
chicken,chicken,1.0
green,green,1.0
on top,on top of,0.9
tomatoes,tomatoes,1.0
golden,green,0.1
olives,fritters,0.1
cut,cut,1.0
on the bottom,on top of,0.0
green,green,1.0
wooden,wooden,1.0
bread,bread,1.0
black,black,1.0
golden-brown,golden-brown,1.0
on a wooden cutting board,on a wooden cutting board,1.0
visible,visible,1.0
olives,vegetables,0.2
glass,glass,1.0
white,white,1.0
yellow,yellow,1.0
spilling out of,filling,0.1
bacon,bacon,1.0
mixed,sliced,0.2
located on the left side,on top of,0.0
omelette,cheese,0.3
scattered,scattered,1.0
red,red,1.0
caramelized,red,0.0
melted,melted,1.0
onions,cheese,0.1
brown,white,0.1
cheese,cheese,1.0
towards the bottom,on the left,0.1
reddish-brown,reddish-brown,1.0
nestled,arranged,0.2
orange,reddish-brown,0.2
to the left of,to the left,0.9
orange,orange,1.0
plate,plate,1.0
vibrant,vibrant,1.0
thick,creamy,0.6
drink,smoothie,0.7
garnished,garnished,1.0
green,green,1.0
at the bottom,on top,0.0
pink,pink,1.0
Oreo,filling,0.2
sprinkled,chocolate,0.1
on top surface,on top,0.9
circular,round,1.0
crust,crust,1.0
star-shaped,round,0.1
oysters,mussels,0.7
green,green,1.0
on a star-shaped plate,on a plate,0.6
white,white,1.0
oysters,mussels,0.7
yellow,green,0.2
reddish-brown,reddish-brown,1.0
white,white,1.0
yellow,yellow,1.0
scattered,scattered,1.0
shrimp,shrimp,1.0
in a bowl,in the center,0.2
chicken,chicken,1.0
scattered,scattered,1.0
orange-brown,brown,0.7
shrimp,shrimp,1.0
green,green,1.0
pancake,quesadillas,0.1
white,white,1.0
golden brown,golden-brown,1.0
on the left side,on the left,0.9
salty,sweet,0.1
pancakes,crepes,0.7
cooking,cut,0.3
yellow,yellow,1.0
golden yellow,yellow,0.8
paneer,tofu,0.3
reddish-brown,brown,0.7
on top,on top,1.0
vibrant,fresh,0.6
green,green,1.0
bowl,bowl,1.0
blue,blue,1.0
scattered,scattered,1.0
on top,on top,1.0
cranberry,apple,0.2
glass,glass,1.0
red,clear,0.1
on a table,on a wooden surface,0.7
white,white,1.0
parfaits,ice cream,0.5
red,red,1.0
on top,on top,1.0
orange,blueberries,0.1
yellow,yellow,1.0
fills,fills,1.0
vegetable,chowder,0.2
white,white,1.0
in the center,in the center,1.0
round,bowl,0.7
parsnips,potatoes,0.3
beige,yellow,0.3
smooth,creamy,0.8
chicken,chicken,1.0
reddish-orange,red,0.7
pasta,pasta,1.0
scattered amidst,in the center,0.0
diced,large,0.0
orange,orange,1.0
pasta,rice,0.2
melted,melted,1.0
brownish-tan,yellow,0.2
beige,yellow,0.3
pasta,pasta,1.0
shrimp,shrimp,1.0
green,green,1.0
over the shrimp,on top of,0.3
scattered,scattered,1.0
pasta,pasta,1.0
yellow,yellow,1.0
on top,on top of,0.9
dish,pasta,0.4
red,red,1.0
scattered,scattered,1.0
eggplant,eggplant,1.0
golden-yellow,yellow,0.7
bowls,in a bowl,0.7
with a brown wooden handle,brown,0.5
white,white,1.0
yellow,yellow,1.0
blueberries,blueberries,1.0
nestled among,on top of,0.1
pavlova,cake,0.2
greenish-yellow,green,0.7
soup,soup,1.0
white,white,1.0
submerged,submerged,1.0
peas,beans,0.7
bowl,in a bowl,0.7
Italian,Italian,1.0
on the right side,in the center,0.2
vibrant,vibrant,1.0
holding,adding,0.1
white,black,0.0
in the center,in the center,1.0
yellow-orange,orange,0.8
glasses,glass,0.8
wooden,wooden,1.0
on the rim,on top of,0.3
reddish-yellow,orange,0.7
margaritas,cocktail,0.7
served,served,1.0
bright,vibrant,0.8
glasses,glass,0.8
in the center,in the center,1.0
tea,smoothie,0.1
drinking,drinking,1.0
peach,lemon,0.3
yellow,yellow,1.0
to the right,on the left,0.0
peachy-orange,orange,0.8
pitcher,glass,0.1
red,red,1.0
on the left,on the left,1.0
dark,brown,0.5
peanut butter,peanut butter,1.0
golden brown,brown,0.8
on the lower right,located,0.2
cookie,tarts,0.2
light brown,brown,0.8
ice cream,coconut,0.2
smooth,thick,0.1
near the top,in the center,0.2
yellow,beige,0.5
muffins,tarts,0.3
perfect,colorful,0.1
white,white,1.0
on the plate,on a plate,0.9
red,red,1.0
in the left side,in the center,0.2
brown,brown,1.0
pecan,pecans,1.0
white,white,1.0
on top,on top,1.0
reddish-brown,brown,0.7
tan,golden-brown,0.2
overlapping,arranged,0.1
brown,brown,1.0
on the cracker,on top of,0.6
appetizer,pie,0.2
penne,pasta,0.7
distributed,scattered,0.8
red,red,1.0
cilantro,parsley,0.6
on top of,on top of,1.0
penne,pasta,0.7
red-orange,red,0.5
sauteed,sliced,0.2
peppers,vegetables,0.5
green,green,1.0
peppers,spinach,0.2
scattered across,scattered,0.8
glistening,glistening,1.0
white,white,1.0
pesto,pesto,1.0
container,container,1.0
vibrant,vibrant,1.0
textured,crispy,0.3
pesto,pesto,1.0
fills,fills,1.0
white,white,1.0
on top of,on top of,1.0
chicken,fish,0.1
falling onto,on top,0.2
green,green,1.0
scattered,scattered,1.0
pickles,vegetables,0.4
glass,glass,1.0
full,filling,0.5
yellow,green,0.2
sliced,cut,0.9
yellowish-green,yellow,0.5
pickles,pickles,1.0
