answer,predicted_answer,rouge1,rouge2,rougeL
dill,parsley,0.0,0.0,0.0
white,off-white,0.6666666666666666,0.0,0.6666666666666666
Lemony,sweet,0.0,0.0,0.0
Fish,fajitas,0.0,0.0,0.0
Orange,green,0.0,0.0,0.0
on plate,on a plate,0.8,0.0,0.8
Green,green,1.0,0.0,1.0
yellow,green,0.0,0.0,0.0
fish,gnocchi,0.0,0.0,0.0
golden-brown,pink,0.0,0.0,0.0
on a plate,on a plate,1.0,1.0,1.0
green,green,1.0,0.0,1.0
white,pink,0.0,0.0,0.0
fish,fries,0.0,0.0,0.0
brown,brown,1.0,0.0,1.0
on top of,on a baking sheet,0.28571428571428575,0.0,0.28571428571428575
green,green,1.0,0.0,1.0
drink,sauce,0.0,0.0,0.0
white,white,1.0,0.0,1.0
reddish-orange,blue,0.0,0.0,0.0
on top of,on top,0.8,0.6666666666666666,0.8
shiny,amber,0.0,0.0,0.0
flan,enchiladas,0.0,0.0,0.0
white,green,0.0,0.0,0.0
caramel-colored,amber,0.0,0.0,0.0
chicken,red,0.0,0.0,0.0
drizzled,dark brown,0.0,0.0,0.0
purple,red,0.0,0.0,0.0
yellow,golden-brown,0.0,0.0,0.0
diced,cut,0.0,0.0,0.0
pineapple,strawberries,0.0,0.0,0.0
moist,golden-brown,0.0,0.0,0.0
throughout the dish,brown,0.0,0.0,0.0
glass,color,0.0,0.0,0.0
filling,filling,1.0,0.0,1.0
cranberries,cherry,0.0,0.0,0.0
grapes,browned,0.0,0.0,0.0
to the brim,above the rim,0.3333333333333333,0.0,0.3333333333333333
yellow,yellow,1.0,0.0,1.0
focaccia,lefse,0.0,0.0,0.0
green,green,1.0,0.0,1.0
wooden,wooden,1.0,0.0,1.0
yellow,yellow,1.0,0.0,1.0
bowl,pot,0.0,0.0,0.0
toasted,sliced,0.0,0.0,0.0
golden-brown,golden-brown,1.0,1.0,1.0
down from,from the chocolate-covered pear,0.28571428571428575,0.0,0.28571428571428575
brown,brown,1.0,0.0,1.0
pretzel,over the Fritos,0.0,0.0,0.0
brown,reddish-pink,0.0,0.0,0.0
dessert,fajitas,0.0,0.0,0.0
rectangular,squares,0.0,0.0,0.0
brown,on top of,0.0,0.0,0.0
almonds,peanuts,0.0,0.0,0.0
scattered,at the center,0.0,0.0,0.0
white,white,1.0,0.0,1.0
casserole,pie,0.0,0.0,0.0
scattered,scattered,1.0,0.0,1.0
reddish-brown,pink,0.0,0.0,0.0
on top,on a plate,0.4,0.0,0.4
black,black,1.0,0.0,1.0
yellow,brown,0.0,0.0,0.0
scattered,scattered,1.0,0.0,1.0
tomatoes,tomatoes,1.0,0.0,1.0
in a black pan,on each piece,0.0,0.0,0.0
yellow,yellow,1.0,0.0,1.0
broccoli,potato,0.0,0.0,0.0
light,dark,0.0,0.0,0.0
cheddar,potato,0.0,0.0,0.0
brown,golden-brown,0.6666666666666666,0.0,0.6666666666666666
clustered,piled,0.0,0.0,0.0
plate,plate,1.0,0.0,1.0
yellow,yellow,1.0,0.0,1.0
on the left,on the plate,0.6666666666666666,0.5,0.6666666666666666
golden-brown,white,0.0,0.0,0.0
fritter,enchiladas,0.0,0.0,0.0
crispy,bubbly,0.0,0.0,0.0
white,green,0.0,0.0,0.0
chocolate,chocolate,1.0,0.0,1.0
stack,at the bottom,0.0,0.0,0.0
brown,on top of,0.0,0.0,0.0
on a plate,on a white plate,0.8571428571428571,0.4,0.8571428571428571
swirled,clear,0.0,0.0,0.0
pink,off-white,0.0,0.0,0.0
cupcake,cake,0.0,0.0,0.0
cherry,raspberry,0.0,0.0,0.0
on top of,on top of,1.0,1.0,1.0
bowls,jars,0.0,0.0,0.0
coats,covers,0.0,0.0,0.0
cake,cake,1.0,0.0,1.0
brown,off-white,0.0,0.0,0.0
on the plate,on a white plate,0.5714285714285715,0.0,0.5714285714285715
blue,green,0.0,0.0,0.0
fries,enchiladas,0.0,0.0,0.0
orange,yellow,0.0,0.0,0.0
on top of,on top of,1.0,1.0,1.0
yellow,golden-yellow,0.6666666666666666,0.0,0.6666666666666666
casserole,casserole,1.0,0.0,1.0
white,green,0.0,0.0,0.0
fries,pizza pockets,0.0,0.0,0.0
golden-brown,red,0.0,0.0,0.0
orange,red,0.0,0.0,0.0
on top of,on top,0.8,0.6666666666666666,0.8
yellow,yellow,1.0,0.0,1.0
potato,yam,0.0,0.0,0.0
reddish-brown,reddish-pink,0.5,0.0,0.5
on a plate,bowl,0.0,0.0,0.0
yellow,orange,0.0,0.0,0.0
fries,fajitas,0.0,0.0,0.0
charred,out of the bowl,0.0,0.0,0.0
in the center,towards the lower-right,0.28571428571428575,0.0,0.28571428571428575
blue,green,0.0,0.0,0.0
white,light,0.0,0.0,0.0
fudge,fajitas,0.0,0.0,0.0
red,red,1.0,0.0,1.0
walnuts,fudge,0.0,0.0,0.0
brown,brown,1.0,0.0,1.0
fudge,flan,0.0,0.0,0.0
on the left,on top of,0.3333333333333333,0.0,0.3333333333333333
sheen,creamy,0.0,0.0,0.0
golden-brown,golden-brown,1.0,1.0,1.0
red,red,1.0,0.0,1.0
atop the galette,on top of,0.0,0.0,0.0
green,green,1.0,0.0,1.0
golden-brown,golden-brown,1.0,1.0,1.0
pastry,golden-brown,0.0,0.0,0.0
white,white,1.0,0.0,1.0
sprinkled,white,0.0,0.0,0.0
strawberry,reddish-brown,0.0,0.0,0.0
golden-brown,golden-brown,1.0,1.0,1.0
blueberries,blueberries,1.0,0.0,1.0
towards the top,on top of,0.3333333333333333,0.0,0.3333333333333333
tan,chocolatey,0.0,0.0,0.0
garlic,chickpeas,0.0,0.0,0.0
yellow,brown,0.0,0.0,0.0
silver,shiny,0.0,0.0,0.0
green,green,1.0,0.0,1.0
dessert,cream soda,0.0,0.0,0.0
gelatin,gelatin,1.0,0.0,1.0
creamy,homemade,0.0,0.0,0.0
golden-brown,orange,0.0,0.0,0.0
bowl,bowl,1.0,0.0,1.0
sliced,scattered,0.0,0.0,0.0
green,green,1.0,0.0,1.0
on top of,above the chicken,0.0,0.0,0.0
ginger,ginger,1.0,0.0,1.0
chicken,chicken,1.0,0.0,1.0
white,green,0.0,0.0,0.0
on a plate,on a dark wooden surface,0.5,0.3333333333333333,0.5
red,red,1.0,0.0,1.0
translucent,dark,0.0,0.0,0.0
jar,contained,0.0,0.0,0.0
amber,amber,1.0,0.0,1.0
in the center,positioned,0.0,0.0,0.0
yellow,brown,0.0,0.0,0.0
gingerbread,treats,0.0,0.0,0.0
chocolate,plate,0.0,0.0,0.0
beige,green,0.0,0.0,0.0
brown,gingerbread,0.0,0.0,0.0
yes,house,0.0,0.0,0.0
white,caramel,0.0,0.0,0.0
flower,sandwich,0.0,0.0,0.0
green,with white,0.0,0.0,0.0
on top,leans,0.0,0.0,0.0
gingerbread cookies,in the center,0.0,0.0,0.0
brown,reddish-brown,0.6666666666666666,0.0,0.6666666666666666
on a plate,red,0.0,0.0,0.0
beige,white,0.0,0.0,0.0
cookies,cookies,1.0,0.0,1.0
stacked,clustered,0.0,0.0,0.0
on top of,over the top,0.3333333333333333,0.0,0.3333333333333333
white,white,1.0,0.0,1.0
yellow,brown,0.0,0.0,0.0
bacon,egg,0.0,0.0,0.0
on top,on top,1.0,1.0,1.0
gnocchi,potatoes,0.0,0.0,0.0
shrimp,curry,0.0,0.0,0.0
green,green,1.0,0.0,1.0
brownish-red,brown,0.0,0.0,0.0
gnocchi,glass,0.0,0.0,0.0
green,green,1.0,0.0,1.0
on a plate,on the plate,0.6666666666666666,0.0,0.6666666666666666
yellow,orange,0.0,0.0,0.0
pasta,orange,0.0,0.0,0.0
red,red,1.0,0.0,1.0
on top of,on top of,1.0,1.0,1.0
green,green,1.0,0.0,1.0
orange-brown,yellow,0.0,0.0,0.0
macaroni,turkey,0.0,0.0,0.0
scattered,scattered,1.0,0.0,1.0
red,reddish-brown,0.0,0.0,0.0
at the top,in the lower left,0.28571428571428575,0.0,0.28571428571428575
scattered,red,0.0,0.0,0.0
beef,venison,0.0,0.0,0.0
yellow,golden-brown,0.0,0.0,0.0
orange,orange,1.0,0.0,1.0
yellow,yellow,1.0,0.0,1.0
lemon,lemon,1.0,0.0,1.0
glass,red,0.0,0.0,0.0
watermelon,pineapple,0.0,0.0,0.0
mint,red,0.0,0.0,0.0
brown,brown,1.0,0.0,1.0
granola,fajitas,0.0,0.0,0.0
red,red,1.0,0.0,1.0
brown,brown,1.0,0.0,1.0
granola,fritters,0.0,0.0,0.0
red,red,1.0,0.0,1.0
scattered,white,0.0,0.0,0.0
in the mixture,on a red cloth,0.0,0.0,0.0
yellow,yellow,1.0,0.0,1.0
potatoes,fries,0.0,0.0,0.0
yellow,on a plate,0.0,0.0,0.0
in a baking dish,scattered throughout,0.0,0.0,0.0
yellow,white,0.0,0.0,0.0
dish,bowl,0.0,0.0,0.0
white,are,0.0,0.0,0.0
yellow,with a reddish-brown tomato-based sauce,0.0,0.0,0.0
in the lower center,on the left side,0.25,0.0,0.25
diced,red,0.0,0.0,0.0
shrimp,mussels,0.0,0.0,0.0
orange,orange,1.0,0.0,1.0
broth,silver,0.0,0.0,0.0
on the left,mixed,0.0,0.0,0.0
bowl,bowl,1.0,0.0,1.0
lemon,yellow,0.0,0.0,0.0
yellow,yellow,1.0,0.0,1.0
on the left side,on the top,0.5714285714285715,0.4,0.5714285714285715
scattered,scattered,1.0,0.0,1.0
brown,brown,1.0,0.0,1.0
chicken,reddish-brown,0.0,0.0,0.0
sausage,chicken,0.0,0.0,0.0
beige,yellow,0.0,0.0,0.0
gyros,fajitas,0.0,0.0,0.0
brown,brown,1.0,0.0,1.0
on the left side,on top of,0.28571428571428575,0.0,0.28571428571428575
green,green,1.0,0.0,1.0
crispy,porous,0.0,0.0,0.0
halibut,Flounder,0.0,0.0,0.0
white,white,1.0,0.0,1.0
green,green,1.0,0.0,1.0
on top,is located on top,0.6666666666666666,0.5,0.6666666666666666
beige,white,0.0,0.0,0.0
Halibut,halibut,1.0,0.0,1.0
green,green,1.0,0.0,1.0
on the right,on the plate,0.6666666666666666,0.5,0.6666666666666666
golden-brown,golden-brown,1.0,1.0,1.0
halloumi,brie,0.0,0.0,0.0
gray,green,0.0,0.0,0.0
on the left,on the rim,0.6666666666666666,0.5,0.6666666666666666
yellow,yellow,1.0,0.0,1.0
apricot,cranberries,0.0,0.0,0.0
reddish-brown,brown,0.6666666666666666,0.0,0.6666666666666666
bowl,meatloaf,0.0,0.0,0.0
in the upper right,in the center,0.5714285714285715,0.4,0.5714285714285715
pink,reddish-brown,0.0,0.0,0.0
ham,chicken,0.0,0.0,0.0
pink,reddish-brown,0.0,0.0,0.0
sandwich,bread,0.0,0.0,0.0
green,green,1.0,0.0,1.0
on a plate,on the plate,0.6666666666666666,0.0,0.6666666666666666
green,green,1.0,0.0,1.0
pink,light pink,0.6666666666666666,0.0,0.6666666666666666
ham,chicken,0.0,0.0,0.0
caramelized,glossy,0.0,0.0,0.0
layered on,pinkish-brown,0.0,0.0,0.0
lettuce,cheese,0.0,0.0,0.0
potato,cabbage,0.0,0.0,0.0
orange,brown,0.0,0.0,0.0
throughout,on top,0.0,0.0,0.0
yellow,yellow,1.0,0.0,1.0
brownish,yellow,0.0,0.0,0.0
plate,plate,1.0,0.0,1.0
yellow,yellow,1.0,0.0,1.0
sprinkled on top,on top,0.8,0.6666666666666666,0.8
white,green,0.0,0.0,0.0
orange,orange,1.0,0.0,1.0
potato,peppers,0.0,0.0,0.0
fried,fried,1.0,0.0,1.0
on top of,atop the quinoa,0.0,0.0,0.0
bacon,red,0.0,0.0,0.0
hash browns,hash browns,1.0,1.0,1.0
golden-brown,on top,0.0,0.0,0.0
yes,touching,0.0,0.0,0.0
on a plate,to the plate,0.3333333333333333,0.0,0.3333333333333333
golden-brown,golden-brown,1.0,1.0,1.0
plate,golden-brown,0.0,0.0,0.0
orange,with a red rim,0.0,0.0,0.0
chives,sprinkled,0.0,0.0,0.0
brown,dark,0.0,0.0,0.0
chicken,sausages,0.0,0.0,0.0
yellow,matzo balls,0.0,0.0,0.0
in the upper right,matzo balls,0.0,0.0,0.0
golden-brown,orange-brown,0.5,0.0,0.5
hen,hen,1.0,0.0,1.0
brown,brown,1.0,0.0,1.0
at the top left,located,0.0,0.0,0.0
salad,dog food,0.0,0.0,0.0
green-white,beige,0.0,0.0,0.0
over the salad leaves,on top of,0.0,0.0,0.0
tomatoes,green,0.0,0.0,0.0
edamame,tomatoes,0.0,0.0,0.0
hummus,rice,0.0,0.0,0.0
black,throughout,0.0,0.0,0.0
on top of,on top,0.8,0.6666666666666666,0.8
yellow,light,0.0,0.0,0.0
hummus,hummus,1.0,0.0,1.0
submerged,bowl,0.0,0.0,0.0
crackers,chips,0.0,0.0,0.0
on the right,to the right,0.6666666666666666,0.5,0.6666666666666666
bowl,bowl,1.0,0.0,1.0
brownish-green,light,0.0,0.0,0.0
towards the top left,situated,0.0,0.0,0.0
beige,light,0.0,0.0,0.0
hummus,hummus,1.0,0.0,1.0
yellow,yellow,1.0,0.0,1.0
tomatoes,with a green rim,0.0,0.0,0.0
spices,dusted,0.0,0.0,0.0
yellow-beige,light,0.0,0.0,0.0
bowl,bowl,1.0,0.0,1.0
orange,orange,1.0,0.0,1.0
carrots,bowl,0.0,0.0,0.0
on the plate,within a white bowl,0.0,0.0,0.0
reddish-brown,red,0.0,0.0,0.0
jars,jars,1.0,0.0,1.0
in the center,across a colorful,0.0,0.0,0.0
orange,on a plate,0.0,0.0,0.0
jars,glass jars,0.6666666666666666,0.0,0.6666666666666666
glass,glass,1.0,0.0,1.0
in the center,in the upper half,0.5714285714285715,0.4,0.5714285714285715
pinkish-white,red,0.0,0.0,0.0
in the center,in each jar,0.3333333333333333,0.0,0.3333333333333333
bottom half,in the upper left quadrant,0.0,0.0,0.0
orange,amber,0.0,0.0,0.0
vibrant,vibrant,1.0,0.0,1.0
glass,glass jars,0.6666666666666666,0.0,0.6666666666666666
papaya,strawberries,0.0,0.0,0.0
fresh,vibrant,0.0,0.0,0.0
on a white cloth,on a surface,0.5714285714285715,0.4,0.5714285714285715
dark brown,tan,0.0,0.0,0.0
cubes,tan,0.0,0.0,0.0
beige,red,0.0,0.0,0.0
scattered,copper-colored,0.0,0.0,0.0
black,reddish-orange,0.0,0.0,0.0
dark,terracotta-colored,0.0,0.0,0.0
stacked,piled,0.0,0.0,0.0
dish,bowl,0.0,0.0,0.0
in the center,in a pile,0.3333333333333333,0.0,0.3333333333333333
brown,brown,1.0,0.0,1.0
beef jerky,fajitas,0.0,0.0,0.0
scattered,piled,0.0,0.0,0.0
reddish-brown,brown,0.6666666666666666,0.0,0.6666666666666666
around the edges,on a white plate,0.0,0.0,0.0
brown,brown,1.0,0.0,1.0
beef jerky,fajitas,0.0,0.0,0.0
overlapping,pile,0.0,0.0,0.0
dark brown,brown,0.6666666666666666,0.0,0.6666666666666666
located inside,brown,0.0,0.0,0.0
jar,brown,0.0,0.0,0.0
sitting,wooden,0.0,0.0,0.0
wooden,glass,0.0,0.0,0.0
yellow-tan,purplish-red,0.0,0.0,0.0
plate,on plate,0.6666666666666666,0.0,0.6666666666666666
white,green,0.0,0.0,0.0
glazed,textured,0.0,0.0,0.0
Sloppy Joe,hummus,0.0,0.0,0.0
reddish-brown,brown,0.6666666666666666,0.0,0.6666666666666666
yellow,yellow,1.0,0.0,1.0
on the bottom,at the bottom,0.6666666666666666,0.5,0.6666666666666666
golden-brown,golden,0.6666666666666666,0.0,0.6666666666666666
chicken,pork,0.0,0.0,0.0
orange,within the taquitos,0.0,0.0,0.0
on top,on top,1.0,1.0,1.0
chips,mushrooms,0.0,0.0,0.0
golden-brown,golden,0.6666666666666666,0.0,0.6666666666666666
bun,brown,0.0,0.0,0.0
gray,green,0.0,0.0,0.0
on a plate,spilling onto,0.0,0.0,0.0
tan,white,0.0,0.0,0.0
bun,plate,0.0,0.0,0.0
red,reddish-brown,0.0,0.0,0.0
on top,on top,1.0,1.0,1.0
diced,orange,0.0,0.0,0.0
beige,vibrant,0.0,0.0,0.0
juice,cocktail,0.0,0.0,0.0
on the table,vibrant,0.0,0.0,0.0
glass,glass,1.0,0.0,1.0
in a glass,vibrant,0.0,0.0,0.0
vibrant,vibrant,1.0,0.0,1.0
glass,glass,1.0,0.0,1.0
yellow,over the rim,0.0,0.0,0.0
watermelon,pineapple,0.0,0.0,0.0
pink,red,0.0,0.0,0.0
blueberries,light brown,0.0,0.0,0.0
green surface,on a blue plate,0.0,0.0,0.0
4th of July,Halloween,0.0,0.0,0.0
golden-brown,reddish-orange,0.0,0.0,0.0
dispersed,green,0.0,0.0,0.0
kale,arugula,0.0,0.0,0.0
bowl,soup,0.0,0.0,0.0
green,green,1.0,0.0,1.0
chips,fajitas,0.0,0.0,0.0
bowl,basket,0.0,0.0,0.0
on a wooden surface,on the bowl,0.28571428571428575,0.0,0.28571428571428575
brownish,green,0.0,0.0,0.0
dark green,green,0.6666666666666666,0.0,0.6666666666666666
kale,kale,1.0,0.0,1.0
red,red,1.0,0.0,1.0
on top of,in the lower right quadrant,0.0,0.0,0.0
colorful,colorful,1.0,0.0,1.0
kebabs,enchiladas,0.0,0.0,0.0
red,brown,0.0,0.0,0.0
on a plate,reddish-brown,0.0,0.0,0.0
pineapple,cherries,0.0,0.0,0.0
white,green,0.0,0.0,0.0
kohlrabi,fennel,0.0,0.0,0.0
arranged,off-white,0.0,0.0,0.0
brown,white,0.0,0.0,0.0
on a plate,off-white,0.0,0.0,0.0
yellow,white,0.0,0.0,0.0
noodles,yellow,0.0,0.0,0.0
yellow,topped with,0.0,0.0,0.0
on the top,over the mussels,0.3333333333333333,0.0,0.3333333333333333
golden-yellow,yellow,0.6666666666666666,0.0,0.6666666666666666
baking,cooking,0.0,0.0,0.0
sprinkling,topping,0.0,0.0,0.0
noodles,yellow,0.0,0.0,0.0
brown,throughout the frame,0.0,0.0,0.0
brown,brown,1.0,0.0,1.0
lamb,beef,0.0,0.0,0.0
in the center,brown,0.0,0.0,0.0
reddish-brown,in a reddish-brown broth,0.5714285714285715,0.4,0.5714285714285715
stew,baking,0.0,0.0,0.0
fills,fills,1.0,0.0,1.0
white,white,1.0,0.0,1.0
throughout the stew,light brown,0.0,0.0,0.0
white,on the right side,0.0,0.0,0.0
lamb,chicken,0.0,0.0,0.0
brown,on the wooden cutting board,0.0,0.0,0.0
scattered around,orange,0.0,0.0,0.0
lamb,chicken,0.0,0.0,0.0
gradient,on the wooden cutting board,0.0,0.0,0.0
brown,dark brown,0.6666666666666666,0.0,0.6666666666666666
onions,translucent,0.0,0.0,0.0
cooked,cooked,1.0,0.0,1.0
orange,green,0.0,0.0,0.0
lasagna,pasta,0.0,0.0,0.0
creamy,creamy,1.0,0.0,1.0
white,cheese,0.0,0.0,0.0
on the surface,across the top,0.3333333333333333,0.0,0.3333333333333333
golden-brown,golden-brown,1.0,1.0,1.0
lasagna,enchiladas,0.0,0.0,0.0
black,on a black,0.5,0.0,0.5
on a black stovetop,on a plate,0.5714285714285715,0.4,0.5714285714285715
green,light brown,0.0,0.0,0.0
green,green,1.0,0.0,1.0
lasagna,enchiladas,0.0,0.0,0.0
red,red,1.0,0.0,1.0
yellow,orange,0.0,0.0,0.0
on top of,on a plate,0.3333333333333333,0.0,0.3333333333333333
banana,mango,0.0,0.0,0.0
yellow,blue,0.0,0.0,0.0
on the left,red,0.0,0.0,0.0
green,green,1.0,0.0,1.0
clear,clear,1.0,0.0,1.0
yellow,yellow,1.0,0.0,1.0
into the lassi,into the frappuccino,0.6666666666666666,0.5,0.6666666666666666
green,green,1.0,0.0,1.0
transparent,clear,0.0,0.0,0.0
white,white,1.0,0.0,1.0
tan,beige,0.0,0.0,0.0
on a plate,copper-colored,0.0,0.0,0.0
white,mug,0.0,0.0,0.0
tan,tan,1.0,0.0,1.0
on top of,over the pasta,0.0,0.0,0.0
strawberry,apple,0.0,0.0,0.0
white,white,1.0,0.0,1.0
latte,smoothie,0.0,0.0,0.0
shaved chocolate,mug,0.0,0.0,0.0
brown,tan,0.0,0.0,0.0
on top of,on top of,1.0,1.0,1.0
yellow,yellow,1.0,0.0,1.0
in the center,sits,0.0,0.0,0.0
pie,pavlova,0.0,0.0,0.0
triangular,triangular,1.0,0.0,1.0
on the top,on top,0.8,0.0,0.8
lemon,pineapple,0.0,0.0,0.0
yellow,yellow,1.0,0.0,1.0
spoon,spoon,1.0,0.0,1.0
yellow,to the viewer,0.0,0.0,0.0
jars,jars,1.0,0.0,1.0
lemon curd,relish,0.0,0.0,0.0
on the tray,inserted,0.0,0.0,0.0
tan,brown,0.0,0.0,0.0
cookies,fajitas,0.0,0.0,0.0
on a sheet,on a black wire,0.5714285714285715,0.4,0.5714285714285715
pink,yellow,0.0,0.0,0.0
strawberry,lime,0.0,0.0,0.0
yellow,yellow,1.0,0.0,1.0
on the rim,on the rim,1.0,1.0,1.0
Lemonade,lemonade,1.0,0.0,1.0
Lemonade,filled,0.0,0.0,0.0
yellow,yellow,1.0,0.0,1.0
brown,brown,1.0,0.0,1.0
brown,brown,1.0,0.0,1.0
lentils,vegetables,0.0,0.0,0.0
visible,brown,0.0,0.0,0.0
light brown,is,0.0,0.0,0.0
dispersed,located,0.0,0.0,0.0
yellowish-orange,brown,0.0,0.0,0.0
lentils,rice,0.0,0.0,0.0
dispersed,dispersed,1.0,0.0,1.0
green,green,1.0,0.0,1.0
dispersed,center,0.0,0.0,0.0
red,red,1.0,0.0,1.0
green,green,1.0,0.0,1.0
orange-brown,brown,0.6666666666666666,0.0,0.6666666666666666
on the left,on the right side,0.5714285714285715,0.4,0.5714285714285715
to the right,occupying,0.0,0.0,0.0
grain,sugar,0.0,0.0,0.0
translucent,white,0.0,0.0,0.0
glass,glass,1.0,0.0,1.0
whitish-yellow,terracotta-colored,0.0,0.0,0.0
on the rim,on the rim,1.0,1.0,1.0
lime,lemon,0.0,0.0,0.0
yellow,yellow,1.0,0.0,1.0
linguine,fettuccine,0.0,0.0,0.0
green,green,1.0,0.0,1.0
scattered,scattered,1.0,0.0,1.0
beige,yellow,0.0,0.0,0.0
pasta,pasta,1.0,0.0,1.0
brown,on a plate,0.0,0.0,0.0
green,green,1.0,0.0,1.0
on top of,on the upper left side,0.25,0.0,0.25
white,green,0.0,0.0,0.0
golden-brown,golden-brown,1.0,1.0,1.0
on a plate,on a black wire rack,0.5,0.3333333333333333,0.5
blueberries,dark brown,0.0,0.0,0.0
wooden,wooden,1.0,0.0,1.0
cheese,white,0.0,0.0,0.0
yellow,in the background,0.0,0.0,0.0
on the left,in the background,0.3333333333333333,0.0,0.3333333333333333
yes,yellow,0.0,0.0,0.0
white,green,0.0,0.0,0.0
in the center,in the foreground,0.6666666666666666,0.5,0.6666666666666666
golden,on a white paper towel,0.0,0.0,0.0
overlapping,overlapping,1.0,0.0,1.0
reddish-brown,on a white paper towel,0.0,0.0,0.0
reddish-brown,red,0.0,0.0,0.0
on the right side,in the lower left corner,0.22222222222222224,0.0,0.22222222222222224
bowl,glass,0.0,0.0,0.0
yellow,yellow,1.0,0.0,1.0
covering,yellow,0.0,0.0,0.0
vibrant,good,0.0,0.0,0.0
skillet,skillet,1.0,0.0,1.0
browned,pinkish-tan,0.0,0.0,0.0
yellow,yellow,1.0,0.0,1.0
on top of,brown,0.0,0.0,0.0
green,green,1.0,0.0,1.0
in the center,on the plate,0.3333333333333333,0.0,0.3333333333333333
macaroni,pasta,0.0,0.0,0.0
yellow,yellow,1.0,0.0,1.0
on the top,toasted,0.0,0.0,0.0
yellow,yellow,1.0,0.0,1.0
macaroni,spaghetti,0.0,0.0,0.0
clustered,yellow,0.0,0.0,0.0
on the left side,yellow,0.0,0.0,0.0
ginger,tan,0.0,0.0,0.0
Mahi Mahi,Flounder,0.0,0.0,0.0
brown,tan,0.0,0.0,0.0
in the bottom center,in the center,0.8571428571428571,0.4,0.8571428571428571
golden-brown,tan,0.0,0.0,0.0
Mahi Mahi,Flounder,0.0,0.0,0.0
yellow,yellow,1.0,0.0,1.0
beans,cucumber,0.0,0.0,0.0
white,brown,0.0,0.0,0.0
reddish-brown,golden,0.0,0.0,0.0
green,green,1.0,0.0,1.0
orange,yellow,0.0,0.0,0.0
spinach,potatoes,0.0,0.0,0.0
melted,melted,1.0,0.0,1.0
sticky,fluffy,0.0,0.0,0.0
yellow,yellow,1.0,0.0,1.0
arranged,yellow,0.0,0.0,0.0
on top of,on the upper-half,0.28571428571428575,0.0,0.28571428571428575
pink,yellow,0.0,0.0,0.0
Cadillac,Punch,0.0,0.0,0.0
white,white,1.0,0.0,1.0
on the surface,green,0.0,0.0,0.0
