Image,Question,Answer,predicted_answer,gpt_score
df836fe70475d5d,Where is the Cranberry Fluff mounded to,to the brim,above the rim,0.5
93caec07215ba61,What color is the interior of the focaccia,yellow,yellow,0.5
93caec07215ba61,What type of bread is shown in the image,focaccia,lefse,0.5
93caec07215ba61,What color is the basil on top of the focaccia,green,green,0.5
93caec07215ba61,What material is the surface the focaccia is resting on,wooden,wooden,0.5
82927363da2288b,What color is the fondue in the bowl,yellow,yellow,0.5
82927363da2288b,What is the fondue contained in,bowl,pot,0.5
82927363da2288b,What is the state of the bread's crust,toasted,sliced,0.5
82927363da2288b,What color is the crust of the bread,golden-brown,golden-brown,0.5
82927363da2288b,Where is the fondue dripping from,down from,from the chocolate-covered pear,0.5
2d2938a660f6b1d,What color are the pretzel rings,brown,brown,0.5
2d2938a660f6b1d,What type of food item is drizzled with white chocolate,pretzel,over the Fritos,0.5
82c11793c3b8518,What color is the dessert,brown,reddish-pink,0.5
82c11793c3b8518,What type of food is shown in the image,dessert,fajitas,0.5
82c11793c3b8518,What shape are the desserts,rectangular,squares,0.5
f189044f1aaf168,What color are the slivered almonds on the candies,brown,on top of,0.5
f189044f1aaf168,What type of nuts are scattered on the candies,almonds,peanuts,0.5
f189044f1aaf168,How are the almonds positioned on the candies,scattered,at the center,0.5
ff63f9d9e982d84,What color is the baking dish,white,white,0.5
ff63f9d9e982d84,What type of dish is the Frito Pie Casserole in,casserole,pie,0.5
ff63f9d9e982d84,How are the chopped green onions arranged on top of the chips,scattered,scattered,0.5
ff63f9d9e982d84,What color is the mixture underneath the chips,reddish-brown,pink,0.5
ff63f9d9e982d84,Where is the layer of Frito chips located,on top,on a plate,0.5
c1995791b9f2571,What color is the pan,black,black,0.5
c1995791b9f2571,What color is the base of the frittata,yellow,brown,0.5
c1995791b9f2571,How are the green herbs distributed in the frittata,scattered,scattered,0.5
c1995791b9f2571,What are the bright red slices arranged in the center,tomatoes,tomatoes,0.5
c1995791b9f2571,Where are the slices of tomatoes located,in a black pan,on each piece,0.5
76f8eb55a8ddb4a,What color is the frittata primarily,yellow,yellow,0.5
76f8eb55a8ddb4a,What vegetable is visible in the frittata,broccoli,potato,0.5
76f8eb55a8ddb4a,What is the overall tone of the frittata's color,light,dark,0.5
76f8eb55a8ddb4a,What type of cheese is visible in the frittata,cheddar,potato,0.5
3fd383827ec0643,What color are the crab fritters,brown,golden-brown,0.5
3fd383827ec0643,How are the crab fritters arranged on the plate,clustered,piled,0.5
3fd383827ec0643,What is the food served on,plate,plate,0.5
3fd383827ec0643,What color are the lemon wedges,yellow,yellow,0.5
3fd383827ec0643,Where are the lemon wedges located,on the left,on the plate,0.5
8fb828778ec290d,What color is the larger fritter,golden-brown,white,0.5
8fb828778ec290d,What type of food is on the plate,fritter,enchiladas,0.5
8fb828778ec290d,How does the texture of the fritter appear around the edges,crispy,bubbly,0.5
8fb828778ec290d,What color is the plate,white,green,0.5
90566bb352454ee,What is the flavor of the frosting on the stack,chocolate,chocolate,0.5
90566bb352454ee,What is the arrangement of the chocolate-frosted items,stack,at the bottom,0.5
90566bb352454ee,What color is the chocolate frosting,brown,on top of,0.5
90566bb352454ee,Where is the stack of chocolate-frosted items placed,on a plate,on a white plate,0.5
a238a1570e7fe42,What is the shape of the frosting,swirled,clear,0.5
a238a1570e7fe42,What color is the frosting,pink,off-white,0.5
a238a1570e7fe42,What is the dessert in the image,cupcake,cake,0.5
a238a1570e7fe42,What fruit is in the frosting,cherry,raspberry,0.5
a238a1570e7fe42,Where is the frosting located,on top of,on top of,0.5
d5e6b885904e072,What are the containers holding the frosting,bowls,jars,0.5
0de51666d9bbd9c,What does the frosting evenly do to the cake,coats,covers,0.5
0de51666d9bbd9c,What is the dessert in the image,cake,cake,0.5
0de51666d9bbd9c,What color is the frosting,brown,off-white,0.5
0de51666d9bbd9c,Where is the cake placed,on the plate,on a white plate,0.5
97145150b1c3a0a,What color is the plate,blue,green,0.5
97145150b1c3a0a,What type of dish are shown in the image,fries,enchiladas,0.5
97145150b1c3a0a,What color is the melted cheese,orange,yellow,0.5
97145150b1c3a0a,Where is the melted cheese located,on top of,on top of,0.5
a88c7dd881219e4,What color are the French fries in the casserole,yellow,golden-yellow,0.5
a88c7dd881219e4,What type of dish is the food in the image,casserole,casserole,0.5
17b989adaf9150e,What color is the plate,white,green,0.5
17b989adaf9150e,What type of food is described as golden-brown,fries,pizza pockets,0.5
17b989adaf9150e,What color are some of the fillings,golden-brown,red,0.5
17b989adaf9150e,What color are some of the other fillings,orange,red,0.5
17b989adaf9150e,Where are the green spices sprinkled,on top of,on top,0.5
a9c7fa28ed37744,What is the primary color of the fries,yellow,yellow,0.5
a9c7fa28ed37744,What vegetable are the fries made from,potato,yam,0.5
a9c7fa28ed37744,What color is the skin on some of the fries,reddish-brown,reddish-pink,0.5
a9c7fa28ed37744,Where are the fries placed,on a plate,bowl,0.5
892b050aed75a1b,What is the primary color of the sweet potato fries,yellow,orange,0.5
892b050aed75a1b,What type of food is shown in the image,fries,fajitas,0.5
892b050aed75a1b,What is the appearance of the edges of some fries,charred,out of the bowl,0.5
892b050aed75a1b,Where are the fries arranged on the plate,in the center,towards the lower-right,0.5
892b050aed75a1b,What color is the napkin under the plate,blue,green,0.5
07cf1edcce84e68,What is the base color of the fudge,white,light,0.5
07cf1edcce84e68,What type of food is shown in the image,fudge,fajitas,0.5
07cf1edcce84e68,What color are the cranberries in the fudge,red,red,0.5
07cf1edcce84e68,What type of nuts are in the fudge,walnuts,fudge,0.5
bf0ab2726eb40b3,What color is the fudge,brown,brown,0.5
bf0ab2726eb40b3,What type of dessert is shown,fudge,flan,0.5
bf0ab2726eb40b3,Where is the fudge located in the image,on the left,on top of,0.5
bf0ab2726eb40b3,What does the surface of the fudge have,sheen,creamy,0.5
34f562a43a24940,What color is the crust of the galette,golden-brown,golden-brown,0.5
34f562a43a24940,What color are the cherry tomatoes,red,red,0.5
34f562a43a24940,Where are the basil leaves located on the galette,atop the galette,on top of,0.5
34f562a43a24940,What color are the basil leaves,green,green,0.5
599a7d7530ff76b,What color is the surface of the Galette des Rois,golden-brown,golden-brown,0.5
599a7d7530ff76b,What type of food is the Galette des Rois,pastry,golden-brown,0.5
599a7d7530ff76b,What color is the powdered sugar on the Galette des Rois,white,white,0.5
599a7d7530ff76b,How is the powdered sugar distributed on the Galette des Rois,sprinkled,white,0.5
5b46052cbc1ded8,What fruit is red and placed towards the top and center,strawberry,reddish-brown,0.5
5b46052cbc1ded8,What color is the crust of the galette,golden-brown,golden-brown,0.5
5b46052cbc1ded8,What fruit is dark blue and nestled among the strawberry slices,blueberries,blueberries,0.5
5b46052cbc1ded8,Where are the strawberry slices placed,towards the top,on top of,0.5
fb707f2c874780c,What is the color of the outer layers of the garlic,tan,chocolatey,0.5
fb707f2c874780c,What is the main ingredient in the image,garlic,chickpeas,0.5
fb707f2c874780c,What is the color of the exposed cloves of garlic,yellow,brown,0.5
fb707f2c874780c,What is the color of the foil surrounding the garlic,silver,shiny,0.5
014f5ece7199f30,What color is the lemon-lime soda gelatin salad,green,green,0.5
014f5ece7199f30,What type of dish is the lemon-lime soda gelatin salad,dessert,cream soda,0.5
014f5ece7199f30,What is the texture of the lemon-lime soda gelatin salad like,gelatin,gelatin,0.5
014f5ece7199f30,What is the overall impression of the lemon-lime soda gelatin salad,creamy,homemade,0.5
3920c6be53a6f6c,What color is the chicken,golden-brown,orange,0.5
3920c6be53a6f6c,What is the chicken served in,bowl,bowl,0.5
3920c6be53a6f6c,How is the chicken arranged,sliced,scattered,0.5
3920c6be53a6f6c,What color are the garnishes on the chicken,green,green,0.5
3920c6be53a6f6c,Where is the chicken placed in relation to the rice,on top of,above the chicken,0.5
a3729bd13d1a3ce,"What ingredient adds a warm, spicy flavor to the dish",ginger,ginger,0.5
a3729bd13d1a3ce,What is the main protein in the dish,chicken,chicken,0.5
a3729bd13d1a3ce,What color is the plate,white,green,0.5
a3729bd13d1a3ce,Where is the stir-fry placed,on a plate,on a dark wooden surface,0.5
a3729bd13d1a3ce,What color are the bell pepper slices primarily located on the left side of the plate,red,red,0.5
00e593048406ff1,What is the color of the ginger syrup,translucent,dark,0.5
00e593048406ff1,What is the syrup contained in,jar,contained,0.5
00e593048406ff1,What color is the ginger syrup,amber,amber,0.5
00e593048406ff1,Where is the jar positioned in the image,in the center,positioned,0.5
fea12437470c358,What color is the crust of the treats,yellow,brown,0.5
fea12437470c358,What type of treats are shown in the image,gingerbread,treats,0.5
fea12437470c358,What is on top of the gingerbread treats,chocolate,plate,0.5
fea12437470c358,What color is the plate,beige,green,0.5
e54f96ac6dd17b3,What color is the gingerbread house,brown,gingerbread,0.5
e54f96ac6dd17b3,Is the gingerbread house shaped like a house,yes,house,0.5
e54f96ac6dd17b3,What color is the icing on the roof,white,caramel,0.5
e54f96ac6dd17b3,What shape is formed by the light blue and pink candies,flower,sandwich,0.5
a39e3415ded2a21,What color are the dots on the tan gingerbread figure in the left center,green,with white,0.5
a39e3415ded2a21,Where is the dark brown gingerbread man with green icing located,on top,leans,0.5
59f3fdd700719ff,What type of cookies are on the plate,gingerbread cookies,in the center,0.5
59f3fdd700719ff,What color are the gingerbread cookies,brown,reddish-brown,0.5
59f3fdd700719ff,Where is the glass situated,on a plate,red,0.5
40731821312df84,What is the color of the vanilla glaze,beige,white,0.5
40731821312df84,What type of baked goods are shown in the image,cookies,cookies,0.5
40731821312df84,How are the cookies arranged,stacked,clustered,0.5
40731821312df84,Where is the glaze spread on the cookies,on top of,over the top,0.5
e2f346240095e65,What color is the bowl the soup is served in,white,white,0.5
e2f346240095e65,What color is the soup base,yellow,brown,0.5
e2f346240095e65,What meat is scattered throughout the soup,bacon,egg,0.5
e2f346240095e65,Where are the chopped green onions placed,on top,on top,0.5
bb9b1c1288afbc7,What type of pasta is pale yellow and scattered on the plate,gnocchi,potatoes,0.5
bb9b1c1288afbc7,What seafood is distributed around the center and left side of the plate,shrimp,curry,0.5
bb9b1c1288afbc7,What color are the asparagus spears,green,green,0.5
f72def05a510d0d,What color is the chicken sausage,brownish-red,brown,0.5
f72def05a510d0d,What type of dumplings are in the dish,gnocchi,glass,0.5
f72def05a510d0d,What color are the broccoli florets,green,green,0.5
f72def05a510d0d,Where are the food items located,on a plate,on the plate,0.5
0596db289a95c00,What color is the rotini pasta,yellow,orange,0.5
0596db289a95c00,What type of food is the rotini,pasta,orange,0.5
0596db289a95c00,What color is the tomato-based sauce,red,red,0.5
0596db289a95c00,Where is the sprig of parsley placed,on top of,on top of,0.5
0596db289a95c00,What color is the sprig of parsley,green,green,0.5
24e93d74ec63682,What color is the macaroni in the Goulash Supreme,orange-brown,yellow,0.5
24e93d74ec63682,What type of pasta is used in the Goulash Supreme,macaroni,turkey,0.5
24e93d74ec63682,How are the macaroni pieces arranged in the bowl,scattered,scattered,0.5
24e93d74ec63682,What color are the diced tomatoes in the Goulash Supreme,red,reddish-brown,0.5
24e93d74ec63682,Where is the green sprig of parsley located,at the top,in the lower left,0.5
4fe57bd9df72e3f,How is the ground beef arranged in the bowl,scattered,red,0.5
4fe57bd9df72e3f,What type of meat is used in the dish,beef,venison,0.5
4fe57bd9df72e3f,What color are the potatoes,yellow,golden-brown,0.5
4fe57bd9df72e3f,What color are the carrots,orange,orange,0.5
ba01bc8f6481ce0,What color are the specks of lemon zest in the granita,yellow,yellow,0.5
ba01bc8f6481ce0,What fruit is used to flavor the granita,lemon,lemon,0.5
ba01bc8f6481ce0,What material is the granita served in,glass,red,0.5
e26db2540b79be7,What fruit is used to make the granita,watermelon,pineapple,0.5
e26db2540b79be7,What is placed on top of the granita,mint,red,0.5
56f2be6ebb5a498,What color is the granola,brown,brown,0.5
56f2be6ebb5a498,What type of food is shown in the image,granola,fajitas,0.5
56f2be6ebb5a498,What color are the cranberries in the granola,red,red,0.5
1de8bda867af12d,What is the primary color of the granola,brown,brown,0.5
1de8bda867af12d,What type of food is being described,granola,fritters,0.5
1de8bda867af12d,What color are the cranberries in the granola,red,red,0.5
1de8bda867af12d,How are the coconut flakes distributed in the granola,scattered,white,0.5
1de8bda867af12d,Where are the almonds located in the granola,in the mixture,on a red cloth,0.5
c8325a55672f711,What is the color of the creamy sauce,yellow,yellow,0.5
c8325a55672f711,What is the main ingredient in the dish,potatoes,fries,0.5
c8325a55672f711,What color are the potato slices,yellow,on a plate,0.5
c8325a55672f711,Where are the potatoes placed,in a baking dish,scattered throughout,0.5
6469a613547241c,What color is the dish,yellow,white,0.5
6469a613547241c,What type of container holds the scallops,dish,bowl,0.5
6469a613547241c,What color are the scallops,white,are,0.5
6469a613547241c,What is the color of the sauce surrounding the scallops,yellow,with a reddish-brown tomato-based sauce,0.5
6469a613547241c,Where is the dish positioned in the frame,in the lower center,on the left side,0.5
8659c8bf322c959,What is the size of the ham pieces,diced,red,0.5
8659c8bf322c959,What type of seafood is in the bowl,shrimp,mussels,0.5
f8f3ab847fbd98e,What color are the carrot pieces,orange,orange,0.5
f8f3ab847fbd98e,What is the main liquid in the pot,broth,silver,0.5
f8f3ab847fbd98e,Where are the carrots and celery positioned,on the left,mixed,0.5
37efc4acb95a4cc,What is the food served in,bowl,bowl,0.5
37efc4acb95a4cc,What color is the lemon wedge,lemon,yellow,0.5
37efc4acb95a4cc,What color is the lemon wedge,yellow,yellow,0.5
37efc4acb95a4cc,Where is the lemon wedge placed in the bowl,on the left side,on the top,0.5
768d83ac0f75f2c,How are the chicken pieces arranged in the dish,scattered,scattered,0.5
768d83ac0f75f2c,What color is the sauce in the gumbo,brown,brown,0.5
768d83ac0f75f2c,What type of meat is included in the gumbo besides sausage,chicken,reddish-brown,0.5
768d83ac0f75f2c,What type of meat is included in the gumbo besides chicken,sausage,chicken,0.5
57fcd575d52b6f1,What color is the pita bread,beige,yellow,0.5
57fcd575d52b6f1,What type of food is shown in the image,gyros,fajitas,0.5
57fcd575d52b6f1,What color is the gyro meat,brown,brown,0.5
57fcd575d52b6f1,Where are the gyros mostly arranged in the image,on the left side,on top of,0.5
57fcd575d52b6f1,What color are the lettuce leaves,green,green,0.5
501fae196787866,What is the texture of the panko crust,crispy,porous,0.5
501fae196787866,What type of fish is shown in the image,halibut,Flounder,0.5
501fae196787866,What color is the halibut,white,white,0.5
501fae196787866,What color are the beans,green,green,0.5
501fae196787866,Where is the crispy panko crust located,on top,is located on top,0.5
ef1a71508ed5873,What color is the crust of the halibut,beige,white,0.5
ef1a71508ed5873,What type of fish is being served,Halibut,halibut,0.5
ef1a71508ed5873,What color is the broccoli,green,green,0.5
ef1a71508ed5873,What is the broccoli located on,on the right,on the plate,0.5
8a148819c0cb4f0,What color are the halloumi pieces after frying,golden-brown,golden-brown,0.5
8a148819c0cb4f0,What type of cheese is being fried,halloumi,brie,0.5
8a148819c0cb4f0,What color is the plate,gray,green,0.5
8a148819c0cb4f0,Where is the lemon slice positioned on the plate,on the left,on the rim,0.5
8a148819c0cb4f0,What color is the lemon slice,yellow,yellow,0.5
d0a17cef7c0faf3,What fruit is visible on the surface of the ham,apricot,cranberries,0.5
d0a17cef7c0faf3,What color is the exterior of the ham,reddish-brown,brown,0.5
d0a17cef7c0faf3,What is next to the ham in the upper right quadrant of the plate,bowl,meatloaf,0.5
d0a17cef7c0faf3,Where is the bowl of brown sugar sauce located,in the upper right,in the center,0.5
5d818c429496351,What color is the ham,pink,reddish-brown,0.5
5d818c429496351,What type of meat is shown in the image,ham,chicken,0.5
cc1e04c85b3b6fb,What color is the ham inside the sandwich,pink,reddish-brown,0.5
cc1e04c85b3b6fb,What is the main food item in the image,sandwich,bread,0.5
cc1e04c85b3b6fb,What color are the pickle slices,green,green,0.5
cc1e04c85b3b6fb,Where are the food items placed,on a plate,on the plate,0.5
cc1e04c85b3b6fb,What color are the edges of the pickle slices,green,green,0.5
1c1452434772ef5,What is the primary color of the ham slices,pink,light pink,0.5
1c1452434772ef5,What type of meat is shown in the image,ham,chicken,0.5
1c1452434772ef5,What is the appearance of the edges of some ham slices,caramelized,glossy,0.5
1c1452434772ef5,Where are the ham slices layered,layered on,pinkish-brown,0.5
1c1452434772ef5,What is the ham layered on top of,lettuce,cheese,0.5
b397bd5d4937bfb,What is the main vegetable in the hash,potato,cabbage,0.5
b397bd5d4937bfb,What color are the cubed sweet potatoes,orange,brown,0.5
b397bd5d4937bfb,Where are the sprigs of dill located,throughout,on top,0.5
b397bd5d4937bfb,What color is the yolk of the fried egg,yellow,yellow,0.5
8ba0dca8f0c3725,What color is the Texas Hash,brownish,yellow,0.5
8ba0dca8f0c3725,What is the food served on,plate,plate,0.5
8ba0dca8f0c3725,What color is the melted cheese,yellow,yellow,0.5
8ba0dca8f0c3725,Where are the scallions placed,sprinkled on top,on top,0.5
8ba0dca8f0c3725,What color is the plate,white,green,0.5
7e60dd9c05f81e5,What color are the sweet potato cubes,orange,orange,0.5
7e60dd9c05f81e5,What type of vegetable is used in the hash,potato,peppers,0.5
7e60dd9c05f81e5,How is the egg prepared,fried,fried,0.5
7e60dd9c05f81e5,Where is the fried egg placed,on top of,atop the quinoa,0.5
7e60dd9c05f81e5,What is the red-colored item in front of the potatoes,bacon,red,0.5
bae167eccbe36fa,What food item is shown in the image,hash browns,hash browns,0.5
bae167eccbe36fa,What color is the top of the top left hash brown,golden-brown,on top,0.5
bae167eccbe36fa,Are the hash browns touching each other,yes,touching,0.5
bae167eccbe36fa,Where are the hash browns placed,on a plate,to the plate,0.5
9b5b05482f16491,What color are the hash browns,golden-brown,golden-brown,0.5
9b5b05482f16491,What are the hash browns served on,plate,golden-brown,0.5
9b5b05482f16491,What color is the rim of the plate,orange,with a red rim,0.5
9b5b05482f16491,What is sprinkled on the white creamy sauce,chives,sprinkled,0.5
71f29ccc1bb79d2,What color are the chicken hearts and mushrooms,brown,dark,0.5
71f29ccc1bb79d2,What type of meat is visible in the image,chicken,sausages,0.5
71f29ccc1bb79d2,What color are the round objects in the upper right corner,yellow,matzo balls,0.5
71f29ccc1bb79d2,"Where are the pale yellow, round objects located in the image",in the upper right,matzo balls,0.5
6af6a4433e4a0c7,What color is the top of the Cornish Game Hen,golden-brown,orange-brown,0.5
6af6a4433e4a0c7,What type of bird is shown in the image,hen,hen,0.5
6af6a4433e4a0c7,What color are the darker grains in the rice stuffing,brown,brown,0.5
6af6a4433e4a0c7,Where is the Cornish Game Hen positioned in the image,at the top left,located,0.5
4e8597ee35c2dfd,What type of food is in the bowl,salad,dog food,0.5
4e8597ee35c2dfd,What colors are present in the salad dressing,green-white,beige,0.5
4e8597ee35c2dfd,Where is the dressing drizzled,over the salad leaves,on top of,0.5
4e8597ee35c2dfd,What vegetable pieces are in the salad,tomatoes,green,0.5
00bf2bb6e5a159a,What type of beans are clustered on top of the hummus,edamame,tomatoes,0.5
00bf2bb6e5a159a,What is the base of the dish made of,hummus,rice,0.5
00bf2bb6e5a159a,What color are the small seeds scattered on the hummus,black,throughout,0.5
00bf2bb6e5a159a,Where are the edamame beans located,on top of,on top,0.5
b3642208c36c1c0,What is the color of the hummus,yellow,light,0.5
b3642208c36c1c0,What is the dip in the bowl,hummus,hummus,0.5
b3642208c36c1c0,Where are the crackers placed in relation to the hummus,submerged,bowl,0.5
b3642208c36c1c0,What is served alongside the hummus,crackers,chips,0.5
b3642208c36c1c0,Where are the crackers positioned in the bowl,on the right,to the right,0.5
1d926823e55a19f,What is the hummus served in,bowl,bowl,0.5
1d926823e55a19f,What color is the hummus,brownish-green,light,0.5
1d926823e55a19f,Where is the bowl situated in the image,towards the top left,situated,0.5
3c4a5088c3151a4,What color is the hummus,beige,light,0.5
3c4a5088c3151a4,What is the name of the food in the bowl,hummus,hummus,0.5
3c4a5088c3151a4,What color is the oil in the center of the hummus,yellow,yellow,0.5
3c4a5088c3151a4,What is arranged around the rim of the bowl,tomatoes,with a green rim,0.5
