reference,hypothesis,gpt_score
to the brim,in glass,0.2
yellow,pale yellow,0.8
focaccia,focaccia loaf,0.9
green,green,1.0
wooden,wood,0.9
yellow,light yellow,0.8
bowl,white bowl,0.9
toasted,browned,0.8
golden-brown,brown,0.7
down from,the bread,0.0
brown,"tan, light",0.5
pretzel,snack mix,0.4
brown,tan,0.7
dessert,brownie squares,0.8
rectangular,squares,0.8
brown,light yellow,0.1
almonds,sliced almonds,0.9
scattered,on top,0.1
white,ivory,0.8
casserole,white baking dish,0.3
scattered,randomly sprinkled,0.8
reddish-brown,brown reddish,0.9
on top,in the dish,0.1
black,dark,0.7
yellow,yellowish cream,0.8
scattered,unevenly placed,0.8
tomatoes,sliced tomatoes,0.9
in a black pan,top of omelette,0.1
yellow,light yellow,0.8
broccoli,broccoli,1.0
light,pale yellow,0.6
cheddar,cheddar,1.0
brown,brownish,0.8
clustered,clustered together,0.9
plate,decorated plate,0.9
yellow,yellow,1.0
on the left,left of food,0.7
golden-brown,yellowish brown,0.8
fritter,latkes,0.4
crispy,crisp and golden,0.8
white,ivory,0.8
chocolate,chocolate,1.0
stack,stacked on plate,0.7
brown,dark brown,0.8
on a plate,on a plate,1.0
swirled,swirls or roses,0.6
pink,pink,1.0
cupcake,cake with icing,0.8
cherry,berries,0.5
on top of,on dessert,0.2
bowls,small bowls,0.9
coats,covers it,0.2
cake,cake,1.0
brown,dark brown,0.8
on the plate,on plate,0.9
blue,light blue,0.8
fries,loaded potatoes,0.2
orange,golden yellow,0.6
on top of,on fries,0.2
yellow,yellow,1.0
casserole,mac and cheese,0.7
white,white,1.0
fries,pizza strips,0.2
golden-brown,redish orange,0.3
orange,reddish orange,0.8
on top of,on pastries,0.2
yellow,yellow,1.0
potato,potatoes,1.0
reddish-brown,reddish brown,1.0
on a plate,on a plate,1.0
yellow,orange,0.7
fries,sweet potato fries,0.8
charred,slightly burnt,0.8
in the center,on dish,0.1
blue,navy,0.8
white,ivory,0.8
fudge,fudge squares,0.8
red,red,1.0
walnuts,almonds,0.5
brown,beige,0.6
fudge,fudge,1.0
on the left,on paper,0.1
sheen,shine,0.8
golden-brown,golden brown,1.0
red,red yellow,0.5
atop the galette,on edge,0.1
green,emerald,0.8
golden-brown,golden brown,1.0
pastry,cake,0.8
white,light shade,0.7
sprinkled,herringbone pattern,0.1
strawberry,strawberry,1.0
golden-brown,golden brown,1.0
blueberries,blueberries,1.0
towards the top,on dessert,0.1
tan,off white,0.0
garlic,roasted bulb,0.7
yellow,pale yellow,0.8
silver,silver,1.0
green,green,1.0
dessert,jello salad,0.5
gelatin,creamy and lumpy,0.2
creamy,unappetizing appearance,0.1
golden-brown,brownish tan,0.7
bowl,a plate,0.2
sliced,sliced atop grains,0.7
green,white green,0.5
on top of,atop the mound,1.0
ginger,peppers maybe,0.2
chicken,poultry,0.8
white,off white,0.8
on a plate,on dish,0.8
red,is crimson,0.9
translucent,pale yellow,0.2
jar,glass jar,0.9
amber,pale yellow,0.7
in the center,on wood surface,0.1
yellow,yellow,1.0
gingerbread,puff pastries,0.2
chocolate,brown squares,0.3
beige,beige,1.0
brown,tan,0.7
yes,yes it is,0.8
white,white,1.0
flower,floral design,0.7
green,green red,0.5
on top,top left,0.3
gingerbread cookies,gingersnap,0.7
brown,brown,1.0
on a plate,on plate,0.9
beige,ivory,0.8
cookies,iced cookies,0.9
stacked,stacked atop each,0.9
on top of,on tops,0.7
white,ivory,0.8
yellow,creamy yellow,0.8
bacon,bacon strips,0.9
on top,on liquid,0.2
gnocchi,gnocchi,1.0
shrimp,cooked shrimp,0.9
green,green,1.0
brownish-red,brown,0.7
gnocchi,gnocchi,1.0
green,greens,0.9
on a plate,in plate,0.6
yellow,yellow,1.0
pasta,spiral pasta,0.9
red,reddish brown,0.7
on top of,top of aliment,0.3
green,emerald,0.8
orange-brown,orange,0.7
macaroni,elbow macaroni,0.9
scattered,randomly arranged,0.8
red,red,1.0
at the top,right side,0.1
scattered,scattered throughout,0.9
beef,ground beef,0.9
yellow,yellowish,0.9
orange,orange,1.0
yellow,yellow,1.0
lemon,citrus fruit,0.8
glass,glass,1.0
watermelon,grapefruit,0.2
mint,leaves,0.2
brown,tan,0.7
granola,granola,1.0
red,red,1.0
brown,brown,1.0
granola,granola,1.0
red,red,1.0
scattered,scattered evenly,0.8
in the mixture,in image,0.2
yellow,ivory,0.2
potatoes,potatoes,1.0
yellow,pale yellow,0.8
in a baking dish,in dish,0.7
yellow,blue,0.2
dish,blue dish,0.9
white,ivory hue,0.8
yellow,yellowish white,0.8
in the lower center,foreground,0.1
diced,small cubes,0.7
shrimp,prawns,0.9
orange,orange,1.0
broth,broth,1.0
on the left,inside pot,0.1
bowl,bowl,1.0
lemon,yellow,0.3
yellow,yellow,1.0
on the left side,on the side,0.7
scattered,randomly scattered around,0.9
brown,brown,1.0
chicken,poultry pieces,0.8
sausage,sausage,1.0
beige,light brown,0.8
gyros,pita sandwiches,0.2
brown,brown,1.0
on the left side,large plate,0.1
green,green,1.0
crispy,bumpy grainy fine,0.1
halibut,cod fillet,0.3
white,yellowish or whitish,0.8
green,green,1.0
on top,on fish,0.1
beige,light yellow,0.3
Halibut,white flaky,0.2
green,verdant,1.0
on the right,a surface,0.1
golden-brown,golden brown,1.0
halloumi,halloumi,1.0
gray,gray,1.0
on the left,on the left,1.0
yellow,light tone,0.5
apricot,orange,0.3
reddish-brown,brown,0.7
bowl,bowl of sauce,0.8
in the upper right,upper right,0.9
pink,pinkish orange,0.7
ham,ham,1.0
pink,light reddish,0.8
sandwich,sandwich,1.0
green,yellowish green,0.8
on a plate,white surface,0.3
green,dark greenish,0.8
pink,reddish,0.5
ham,ham,1.0
caramelized,dark brown,0.5
layered on,top of greenery,0.2
lettuce,greenery,0.5
potato,sweet potato,0.8
orange,orange brown,0.8
throughout,on food,0.0
yellow,yellow,1.0
brownish,yellow brown,0.8
plate,white plate,0.9
yellow,yellowish white,0.8
sprinkled on top,on topping,0.5
white,ivory,0.8
orange,orange,1.0
potato,butternut squash,0.2
fried,sunny side up,0.2
on top of,on top,1.0
bacon,bacon piece,0.9
hash browns,potato cakes,0.6
golden-brown,tan,0.7
yes,yes some do,0.7
on a plate,on plate,0.9
golden-brown,golden brown,1.0
plate,a plate,1.0
orange,orange,1.0
chives,chopped chives,0.9
brown,light brown,0.8
chicken,is not visible,0.0
yellow,yellow,1.0
in the upper right,top right,0.9
golden-brown,gold,0.6
hen,roasted chicken,0.7
brown,black brown,0.5
at the top left,on plate,0.1
salad,salad,1.0
green-white,pale light,0.2
over the salad leaves,on leaves,0.6
tomatoes,"greens, tomatoes",0.7
edamame,edamame legumes,0.9
hummus,ceramic material,0.0
black,dark,0.7
on top of,top of dip,0.5
yellow,light yellow,0.8
hummus,garbanzo paste,0.9
submerged,on top,0.0
crackers,baked squares,0.6
on the right,on edge,0.2
bowl,dish,0.7
brownish-green,yellowish brown,0.5
towards the top left,on plate,0.1
beige,beige,1.0
hummus,hummus dip,0.9
yellow,yellow,1.0
tomatoes,red wedges,0.2
spices,some spice,0.8
yellow-beige,beige,0.8
bowl,a bowl,1.0
orange,orange,1.0
carrots,orange veggies,0.6
on the plate,next to bowl,0.2
reddish-brown,red,0.7
jars,glass vessels,0.8
in the center,close together,0.3
orange,yellowish orange,0.8
jars,clear bottles,0.4
glass,metals,0.0
in the center,surface,0.1
pinkish-white,light pink,0.8
in the center,inside jar,0.2
bottom half,inside jar,0.1
orange,yellowish orange,0.8
vibrant,orange yellow,0.7
glass,clear vessels,0.6
papaya,pineapple,0.2
fresh,orange slices,0.3
on a white cloth,on cloth,0.6
dark brown,dark brown,1.0
cubes,square tiles,0.3
beige,light beige,0.9
scattered,randomly within liquid,0.5
black,dark brown,0.7
dark,dark brown,0.8
stacked,stacked together,0.9
dish,white dish,0.9
in the center,center,0.9
brown,brown,1.0
beef jerky,beef jerky,1.0
scattered,in a pile,0.1
reddish-brown,brown shades,0.7
around the edges,top left,0.2
brown,dark brown,0.8
beef jerky,beef jerky,1.0
overlapping,in piles,0.2
dark brown,brown,0.8
located inside,inside container,0.8
jar,glass container,0.8
sitting,sitting there,0.9
wooden,wood,0.8
yellow-tan,light brown,0.7
plate,on plate,0.7
white,white,1.0
glazed,shiny texture,0.7
Sloppy Joe,sloppy joe,1.0
reddish-brown,reddish brown,1.0
yellow,yellow,1.0
on the bottom,below filling,0.3
golden-brown,beige,0.4
chicken,poultry,0.8
orange,light orange,0.8
on top,on bread,0.3
chips,potato chips,1.0
golden-brown,light brown,0.7
bun,top roll,0.3
gray,gray,1.0
on a plate,the plate,0.7
tan,light brown,0.3
bun,yes it is,0.0
red,dark reddish,0.8
on top,on the bun,0.5
diced,yes,0.0
beige,beige,1.0
juice,milk beverage,0.4
on the table,in beverages,0.1
glass,a cup,0.5
in a glass,in containers,0.4
vibrant,light brown,0.2
glass,stemware,0.7
yellow,yellow,1.0
watermelon,melon,0.8
pink,reddish,0.5
blueberries,blueberries,1.0
green surface,green,0.8
4th of July,fourth of july,1.0
golden-brown,light yellow,0.3
dispersed,mixed evenly,0.6
kale,kale,1.0
bowl,white dish,0.5
green,verdant,1.0
chips,chips,1.0
bowl,a container,0.6
on a wooden surface,on the wood,0.8
brownish,brownish,1.0
dark green,emerald,0.7
kale,kale,1.0
red,red,1.0
on top of,inside food,0.1
colorful,delicious looking,0.3
kebabs,grilled skewers,0.8
red,reddish brown,0.7
on a plate,white surface,0.3
pineapple,pineapple,1.0
white,ivory,0.8
kohlrabi,rutabaga,0.5
arranged,stacked together,0.7
brown,dark brownish,0.8
on a plate,on platter,0.9
yellow,gray,0.2
noodles,noodles,1.0
yellow,yellowish brown,0.8
on the top,on pasta,0.1
golden-yellow,yellowish brown,0.5
baking,being cooked,0.6
sprinkling,paprika powder,0.2
noodles,egg noodles,0.9
brown,brown and black,0.7
brown,brown,1.0
lamb,roast lamb,0.9
in the center,in pan,0.1
reddish-brown,reddish hue,0.7
stew,bowl,0.2
fills,fills areas,0.9
white,white,1.0
throughout the stew,inside bowl,0.2
white,white,1.0
lamb,shank lamb,0.8
brown,brown,1.0
scattered around,on plate,0.2
lamb,lamb shoulder,0.9
gradient,burnt texture,0.1
brown,brown,1.0
onions,cooked alliums,0.7
cooked,cooked down,0.8
orange,terracotta,0.5
lasagna,baked pasta,0.7
creamy,smooth creamy,0.9
white,ivory,0.8
on the surface,on topping,0.3
golden-brown,golden brown,1.0
lasagna,lasagna,1.0
black,black,1.0
on a black stovetop,on stove,0.6
green,light yellowish green,0.8
green,green,1.0
lasagna,salad style meal,0.1
red,red,1.0
yellow,yellowish,0.9
on top of,top greens,0.2
banana,mango,0.5
yellow,light yellowish,0.8
on the left,in beverage,0.0
green,verdant,1.0
clear,transparent,0.9
yellow,yellowish brown,0.8
into the lassi,into glass,0.2
green,verdant,1.0
transparent,transparent,1.0
white,ivory,0.8
tan,beige,0.1
on a plate,on plate,0.9
white,light shade,0.6
tan,tan,1.0
on top of,on cream,0.2
strawberry,strawberry,1.0
white,ivory,0.8
latte,latte with cream,0.9
shaved chocolate,spice powder,0.1
brown,light brown,0.8
on top of,on top,0.9
yellow,pale yellow,0.8
in the center,on crust,0.1
pie,citrus cake,0.1
triangular,triangular wedge,0.9
on the top,on dessert,0.2
lemon,lemon,1.0
yellow,yellow,1.0
spoon,spoon,1.0
yellow,yellow,1.0
jars,glass vessels,0.8
lemon curd,lemon curd,1.0
on the tray,inside jars or surface,0.2
tan,beige,0.1
cookies,cookies,1.0
on a sheet,foil surface,0.2
pink,red,0.5
strawberry,strawberry and lemon,0.8
yellow,yellow,1.0
on the rim,on rim,0.9
Lemonade,iced tea,0.2
Lemonade,beverage and ice,0.3
yellow,yellowish brown,0.8
brown,light brown,0.8
brown,brown,1.0
lentils,lentil stew,0.9
visible,yes they are,0.0
light brown,reddish brown,0.6
dispersed,in dish,0.1
yellowish-orange,yellowish orange,1.0
lentils,lentil puree,0.9
dispersed,evenly spread,0.9
green,verdant,1.0
dispersed,center portion,0.1
red,red,1.0
green,green,1.0
orange-brown,tan,0.7
on the left,left,0.9
to the right,at the top,0.1
grain,couscous rice blend,0.5
translucent,pale yellow,0.2
glass,clear material,0.7
whitish-yellow,clear,0.1
on the rim,beverage rim,0.5
lime,citrus slice,0.6
yellow,light beige,0.4
linguine,linguine,1.0
green,verdant,1.0
scattered,scattered over pasta,0.8
beige,light yellow,0.3
pasta,pasta,1.0
brown,dark brown,0.8
green,verdant,1.0
on top of,on noodles,0.2
white,cream,0.8
golden-brown,golden brown,1.0
on a plate,the plate,0.7
blueberries,blueberry,0.9
wooden,wood,0.9
cheese,cheese bread,0.8
yellow,yellowish white,0.8
on the left,left,0.9
yes,cannot tell,0.2
white,ivory,0.8
in the center,upon platter,0.1
golden,tan,0.5
overlapping,close together,0.7
reddish-brown,golden brown,0.4
reddish-brown,reddish brown,1.0
on the right side,on plate,0.2
bowl,white bowl,0.9
yellow,yellow orange,0.8
covering,covering them,0.9
vibrant,appetizing skillet meal,0.2
skillet,iron skillet,0.9
browned,brown,0.9
yellow,orange yellow,0.7
on top of,over the eggs,0.6
green,verdant hued,0.9
in the center,in container,0.2
macaroni,elbows,0.2
yellow,golden yellowish,0.8
on the top,on top,0.9
yellow,yellowish,0.9
macaroni,shell shaped,0.2
clustered,in a mound,0.3
on the left side,left,0.8
ginger,orange glaze,0.1
Mahi Mahi,glazed fish,0.2
brown,dark brown,0.8
in the bottom center,center bottom,0.9
golden-brown,brown,0.7
Mahi Mahi,salmon,0.2
yellow,yellow,1.0
beans,green beans,0.9
white,ivory and brown,0.3
reddish-brown,brown,0.7
green,verdant,1.0
orange,yellowish brown,0.2
spinach,spinach,1.0
melted,melted and gooey,0.9
sticky,"moist, plump",0.2
yellow,yellow,1.0
arranged,in rows,0.5
on top of,on grain,0.2
pink,light brown,0.2
Cadillac,margarita,0.0
white,ivory,0.8
on the surface,glass rim,0.1
green,green,1.0
yellowish-green,yellow,0.5
margaritas,margarita,1.0
silver,metallic,0.6
yellow-green,pale yellow,0.5
white,white,1.0
yellow,yellow,1.0
white,white,1.0
from the top,in beverage,0.0
margaritas,margarita,1.0
blue,azure,0.8
on the plate,on dish,0.8
green,green,1.0
red,reddish,0.8
blackberries,blackberry,0.9
on the wooden surface,on drink edge,0.1
green,verdant,1.0
marinade,brown sauce,0.4
surrounding,around food,0.7
chicken,poultry,0.8
glossy,dark fluid,0.1
in the background,surrounding it,0.4
viscous,thin liquid,0.3
marinade,salad dressing,0.7
in the bowl,white bowl,0.5
in the center,on surface,0.1
lemon,lemon,1.0
reddish-brown,brownish red,1.0
coats,makes it shiny,0.0
skewers,a dish,0.2
white,ivory,0.8
reddish-brown,dark brown,0.6
chicken,poultry pieces,0.8
on the upper chicken,on food,0.1
amber,amber,1.0
marmalade,fruit spread,0.8
amber,light brown,0.6
glass,clear material,0.7
orange,orangish brownish,0.7
amber,amber,1.0
marmalade,jam,0.8
striped,horizontal stripes,0.8
to its left,left of it,0.9
brown,brown,1.0
coated,shredded coco,0.1
three,three items,0.9
on the left,left,1.0
coconut,shredded coco,0.8
marshmallows,marshmallow cubes,0.9
light pink,light purplish red,0.5
on a small plate,on plate,0.8
bottom,the plate,0.1
vibrant,red drink,0.3
watermelon,lime and watermelon,0.5
pink,red,0.5
on the top,on rim,0.4
green,yellow greenish,0.7
red,crimson,0.9
stemmed,coupe glasses,0.0
brown,white golden,0.1
on top of,on the rim,0.5
reddish-purple,burgundy,0.8
martini,martini cocktail,0.9
red,red,1.0
with two bright red cherries,two fruits,0.2
agave,agave nectar,0.8
pistachio,cannot be determined,0.0
green,pale immature foliage,0.4
cylindrical,round cylinder,0.9
rectangular bar,rectangle,0.8
on the left side,on a surface,0.2
white,ivory,0.8
orange,orangish,0.8
carrots,carrots,1.0
in a bowl,in bowl,0.9
crispy,brown and crispy,0.9
chicken,poultry,0.8
white,ivory,0.8
yellow,yellow,1.0
on a plate,on plate,0.9
mayo,mayonnaise,1.0
smooth,smooth glossy,0.9
gray,gray,1.0
in the upper left corner,in container,0.1
bowl,small bowl,0.9
orange,coral,0.3
basil,basil,1.0
on a light-colored surface,on surface,0.4
light green,light greenish,0.9
fills,fills it,0.9
bowl,glass bowl,0.9
leaves,plant with flowers,0.2
to the right of,next it,0.1
yellow,yellow,1.0
meatballs,meatballs,1.0
on top,on noodles,0.2
green,green,1.0
orange-brown,orange reddish,0.7
tomato sauce,tomato based,0.7
covers,covers them,0.9
green,green,1.0
sweet,barbecue sauce,0.3
meatballs,glazed meatball,0.9
brownish-red,dark reddish-brown,0.9
in the center,within the dish,0.3
bowl,white bowl,0.9
creamy,thick glaze,0.5
meatballs,meatballs,1.0
orange,light brown,0.2
underneath,below the balls,0.4
green,green,1.0
brown,brown,1.0
salad,salad and roll,0.8
sliced,thin strips,0.8
is in,on plate,0.2
golden,yellowish brown,0.6
meatloaf,meatloaf with potatoes,0.9
light-brown,brown,0.8
reddish-brown,dark red,0.6
towards the right side,on the dish,0.1
dark,dark brown,0.8
meatloaf,meatloaf,1.0
white,white,1.0
with sprigs,thyme sprigs,0.9
bright,verdant,0.2
broccoli,broccoli,1.0
red,reddish pink,0.7
browned,baked & topped,0.3
across the image,throughout image,0.8
yellow,ivory,0.2
smoothie,smoothie,1.0
glass,transparent substance,0.7
white,orange,0.1
near to,beside smoothie glass,0.3
clear,transparent,0.9
pitcher,carafe,0.1
beige,light brown,0.8
in the center-left,table,0.0
pink,rosy,0.9
milkshakes,milk shake,1.0
topped,top of glass,0.3
red,red,1.0
on each milkshake,top of shake,0.3
chocolate,brown topping,0.3
brown,light yellow,0.1
on top,on dessert,0.3
clear,infused liquid,0.1
pitcher,glass pitcher,0.9
yellow,yellow,1.0
on a wooden board,on cutting board,0.8
yellowish,pale yellow,0.8
tofu,tofu cubes,0.9
scattered across,scattered on surface,0.8
blue,ivory,0.1
reddish-brown,reddish brown,1.0
jar,glass bottle,0.5
viscous,thick appearance,0.7
on the top,on liquid,0.1
tomatoes,tomatoes,1.0
bowl,glass bowl,0.9
mixed,piled together,0.7
brown,brown tan,0.8
orange,orange yellow,0.8
in a clear glass bowl,inside container,0.3
brown,brown,1.0
bowl,wooden bowl,0.9
candies,candies popcorn,0.7
golden-brown,golden brown,1.0
blue,azure,0.8
wooden,wood and paper,0.5
pretzels,party mix,0.3
orange,orange,1.0
on the left,left,0.9
beige,light yellowish brown,0.8
brown,brown,1.0
towards the bottom,lower left,0.5
brown,light brownish,0.8
jar,glass jar,0.9
filled,granular solid,0.2
white,brown and white,0.5
to the left of,left,0.8
brown,brown,1.0
foamy,soft peaks,0.3
with whipped cream,cream and bits,0.3
scattered,top of drink,0.0
yellow-green,greenish yellow,0.9
mojito,mojito cocktail,0.9
green,green,1.0
by the Pitcher,in pitcher,0.5
fresh,fresh vibrant,0.9
green,pale aqua,0.5
mojito,cocktail beverages,0.6
yellow,yellow green,0.8
strawberry,strawberry,1.0
transparent,clear,1.0
mousse,rice pudding,0.2
brown,dark brown,0.8
creamy,light frothy airy,0.3
on a silver tray,silver plate,0.7
golden-yellow,yellowish,0.7
muffins,muffin,1.0
obscuring,blocking it,0.7
blue,blue,1.0
beverage,cocktail drink,0.8
fill,iced beverage,0.2
white,white,1.0
on top of,on beverage,0.2
copper,copper,1.0
mug,copper mug,0.9
green,green,1.0
yellow,yellow,1.0
on the wooden surface,next cup,0.0
brown,brown,1.0
mushrooms,sautéed fungi,0.9
glossy,glossy brown liquid,0.9
green,emerald hue,0.8
in a pile,in pile,0.9
yellow,light gold,0.8
eggs,scrambled eggs,0.9
mushroom,mushrooms and scallions,0.7
brown,brown and white,0.8
chicken,poultry meat,0.8
brown,light brown,0.8
on the right,inside the vessel,0.1
herbs,parsley flakes,0.9
creamy,soft looking,0.3
mushrooms,sautéed mushrooms,0.9
black,dark,0.7
from the pan,the skillet,0.2
brown,brown,1.0
yellow,light yellow,0.8
enoki mushrooms,enoki mushrooms,1.0
tangled,thin tubes,0.2
strands,spaghetti-like,0.7
immersed,cooked shellfish,0.1
mussels,mussels,1.0
orange-red,orangish red,0.9
brownish-red,reddish brown,1.0
on the left,left side,0.8
yellow-orange,yellow,0.7
pouring,it's flowing,0.5
jar,glass container,0.8
wooden,wood,0.9
above the jar,metal spoon,0.0
glass,clear substance,0.7
wooden,wooden top,0.9
mustard,mustard,1.0
to the right,next to it,0.3
Dijon,light brown,0.1
tan,tan,1.0
lined up,in row,0.8
jars,glass jars,0.9
creamy,thick & smooth,0.8
nachos,corn chips,0.8
light-orange,beige,0.5
on top of,chips,0.0
bowl,clear container,0.5
potato,fried potatoes,0.8
white,ivory,0.8
golden-brown,yellowish brown,0.8
cheese,cheese,1.0
on a plate,on plate,0.9
chocolate,fudge topping,0.6
nachos,tortilla crisps,0.8
brown,tan,0.7
white,ivory,0.8
on top of,atop chips,0.8
smooth,smooth drink,0.8
glass,a vessel,0.6
pink,salmon,0.7
refresher,fruit smoothie,0.1
soup,soup,1.0
green,verdant hue,0.9
chicken,poultry pieces,0.8
on the lower-right,side of bowl,0.2
light blue,blue,0.8
bowl,a dish,0.7
fill,mostly filled,0.7
yellow,yellow,1.0
in the center,in dish,0.2
crunchy,bumpy,0.2
nuggets,fried items,0.4
white,ivory,0.8
on the right side,center,0.1
red,reddish brown,0.7
corn nuts,pecans,0.1
brown,brown,1.0
on the napkin,on napkin,0.9
golden-brown,tan,0.7
oatmeal,coconut dessert,0.1
filling,coconut filling,0.8
white,beige,0.7
on a white surface,on surface,0.5
beige,light brown,0.8
fill,fills container,0.8
blueberries,blueberry,0.9
red,crimson,0.9
on top,in dish,0.1
black,black,1.0
rice,cooked grains,0.6
green,verdant,1.0
okra,okra,1.0
in a black cooking pot,large pan,0.3
beige,tan,0.8
chicken,poultry fillet,0.7
green,green,1.0
on top,on plate,0.4
tomatoes,red tomatoes,0.9
golden,light brownish,0.4
olives,fried stuffed item,0.1
cut,they're sliced,0.7
on the bottom,white surface,0.1
green,light brownish,0.2
wooden,wood,0.8
bread,olive loaf,0.7
black,dark,0.7
golden-brown,beige,0.5
on a wooden cutting board,wooden surface,0.8
visible,yes they are,0.0
olives,preserved lemons,0.2
glass,glass,1.0
white,white,1.0
yellow,yellow,1.0
spilling out of,is inside,0.1
bacon,bacon,1.0
mixed,diced bacon,0.3
located on the left side,underneath omelet,0.0
omelette,fried egg,0.7
scattered,inside the food,0.0
red,red,1.0
caramelized,brownish,0.4
melted,it's melted,0.9
onions,baked cheese,0.0
brown,pale,0.1
cheese,melted cheese,0.9
towards the bottom,center bottom,0.6
reddish-brown,brown,0.7
nestled,in the bun,0.1
orange,orange,1.0
to the left of,beside the wiener,0.2
orange,color,0.2
plate,a dish,0.8
vibrant,deep apricot,0.4
thick,creamy smooth,0.6
drink,smoothie,0.7
garnished,for garnish,0.5
green,verdant,1.0
at the bottom,lower left,0.4
pink,reddish hue,0.6
Oreo,yes it does,0.0
sprinkled,yes it is,0.0
on top surface,on dessert,0.2
circular,circle,1.0
crust,top crust,0.8
star-shaped,star shaped,1.0
oysters,oysters,1.0
green,verdant,1.0
on a star-shaped plate,on platter,0.5
white,white,1.0
oysters,oysters,1.0
yellow,yellowish,0.9
reddish-brown,reddish brown,1.0
white,white,1.0
yellow,yellow,1.0
scattered,scattered around,0.9
shrimp,and mollusk,0.2
in a bowl,within the rice,0.2
chicken,poultry and sausage,0.4
scattered,scattered randomly,0.9
orange-brown,light brownish,0.7
shrimp,shrimp,1.0
green,verdant,1.0
pancake,scallion pancakes,0.8
white,ivory,0.8
golden brown,golden brown,1.0
on the left side,on dish,0.1
salty,unknown,0.0
pancakes,crepes,0.7
cooking,fried on pan,0.7
yellow,yellowish white,0.8
golden yellow,yellowish brown,0.5
paneer,paneer,1.0
reddish-brown,orangish brown,0.7
on top,on paneer,0.2
vibrant,green garnish,0.3
green,green,1.0
bowl,circular,0.2
blue,light blue,0.8
scattered,irregularly arranged pieces,0.8
on top,green stuff,0.0
cranberry,cherries,0.2
glass,clear glass,0.9
red,reddish brown,0.7
on a table,on surface,0.7
white,white,1.0
parfaits,parfait,0.9
red,red,1.0
on top,on topping,0.5
orange,orange slice,0.9
yellow,yellow,1.0
fills,contains cream,0.2
vegetable,pureed vegetable,0.9
white,ivory,0.8
in the center,in it,0.2
round,circular,1.0
parsnips,cauliflower purée,0.1
beige,ivory,0.8
smooth,smooth creamy,0.8
chicken,poultry,0.8
reddish-orange,reddish brown,0.7
pasta,rotini,0.8
scattered amidst,in pasta,0.0
diced,small size,0.2
orange,orange and white,0.8
pasta,pasta,1.0
melted,melted,1.0
brownish-tan,yellowish brown,0.8
beige,tan,0.8
pasta,penne,0.8
shrimp,prawns,0.9
green,green,1.0
over the shrimp,over the seafood,0.6
scattered,scattered throughout,0.9
pasta,blue ceramic,0.0
yellow,light yellow,0.8
on top,on pasta,0.2
