Answer,Predict,EM,Precision,Recall,F1
drink,ice,0.0,0.0,0.0,0.0
white,white,1.0,1.0,1.0,1.0
reddish-orange,white,0.0,0.0,0.0,0.0
on top of,on top,0.0,1.0,0.6666666666666666,0.8
shiny,crispy,0.0,0.0,0.0,0.0
flan,cake,0.0,0.0,0.0,0.0
white,white,1.0,1.0,1.0,1.0
caramel-colored,white,0.0,0.0,0.0,0.0
chicken,bacon,0.0,0.0,0.0,0.0
drizzled,drizzled,1.0,1.0,1.0,1.0
purple,red,0.0,0.0,0.0,0.0
yellow,yellow,1.0,1.0,1.0,1.0
diced,sliced,0.0,0.0,0.0,0.0
pineapple,peaches,0.0,0.0,0.0,0.0
moist,creamy,0.0,0.0,0.0,0.0
throughout the dish,scattered,0.0,0.0,0.0,0.0
glass,dish,0.0,0.0,0.0,0.0
filling,fills,0.0,0.0,0.0,0.0
cranberries,cranberries,1.0,1.0,1.0,1.0
grapes,lemon,0.0,0.0,0.0,0.0
to the brim,on top of,0.0,0.0,0.0,0.0
yellow,yellow,1.0,1.0,1.0,1.0
focaccia,pita bread,0.0,0.0,0.0,0.0
green,green,1.0,1.0,1.0,1.0
wooden,wooden,1.0,1.0,1.0,1.0
yellow,yellow,1.0,1.0,1.0,1.0
bowl,pot,0.0,0.0,0.0,0.0
toasted,toasted,1.0,1.0,1.0,1.0
golden-brown,brown,0.0,0.0,0.0,0.0
down from,from the bottom,0.0,0.3333333333333333,0.5,0.4
brown,brown,1.0,1.0,1.0,1.0
pretzel,burrito,0.0,0.0,0.0,0.0
brown,white,0.0,0.0,0.0,0.0
dessert,chips,0.0,0.0,0.0,0.0
rectangular,square,0.0,0.0,0.0,0.0
brown,brown,1.0,1.0,1.0,1.0
almonds,peanuts,0.0,0.0,0.0,0.0
scattered,arranged,0.0,0.0,0.0,0.0
white,white,1.0,1.0,1.0,1.0
casserole,pie,0.0,0.0,0.0,0.0
scattered,scattered,1.0,1.0,1.0,1.0
reddish-brown,red,0.0,0.0,0.0,0.0
on top,on top,1.0,1.0,1.0,1.0
black,silver,0.0,0.0,0.0,0.0
yellow,yellow,1.0,1.0,1.0,1.0
scattered,scattered,1.0,1.0,1.0,1.0
tomatoes,tomatoes,1.0,1.0,1.0,1.0
in a black pan,on top of,0.0,0.0,0.0,0.0
yellow,yellow,1.0,1.0,1.0,1.0
broccoli,zucchini,0.0,0.0,0.0,0.0
light,dark,0.0,0.0,0.0,0.0
cheddar,feta,0.0,0.0,0.0,0.0
brown,golden-brown,0.0,0.0,0.0,0.0
clustered,arranged,0.0,0.0,0.0,0.0
plate,plate,1.0,1.0,1.0,1.0
yellow,yellow,1.0,1.0,1.0,1.0
on the left,to the left,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
golden-brown,golden-brown,1.0,1.0,1.0,1.0
fritter,burrito,0.0,0.0,0.0,0.0
crispy,crispy,1.0,1.0,1.0,1.0
white,white,1.0,1.0,1.0,1.0
chocolate,spicy,0.0,0.0,0.0,0.0
stack,mix,0.0,0.0,0.0,0.0
brown,brown,1.0,1.0,1.0,1.0
on a plate,on a plate,1.0,1.0,1.0,1.0
swirled,swirled,1.0,1.0,1.0,1.0
pink,white,0.0,0.0,0.0,0.0
cupcake,flan,0.0,0.0,0.0,0.0
cherry,rhubarb,0.0,0.0,0.0,0.0
on top of,on top of,1.0,1.0,1.0,1.0
bowls,jars,0.0,0.0,0.0,0.0
coats,covers,0.0,0.0,0.0,0.0
cake,flan,0.0,0.0,0.0,0.0
brown,white,0.0,0.0,0.0,0.0
on the plate,on a plate,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
blue,white,0.0,0.0,0.0,0.0
fries,oatmeal,0.0,0.0,0.0,0.0
orange,yellow,0.0,0.0,0.0,0.0
on top of,on top,0.0,1.0,0.6666666666666666,0.8
yellow,golden-yellow,0.0,0.0,0.0,0.0
casserole,salad,0.0,0.0,0.0,0.0
white,white,1.0,1.0,1.0,1.0
fries,mushrooms,0.0,0.0,0.0,0.0
golden-brown,red,0.0,0.0,0.0,0.0
orange,red,0.0,0.0,0.0,0.0
on top of,on top,0.0,1.0,0.6666666666666666,0.8
yellow,yellow,1.0,1.0,1.0,1.0
potato,zucchini,0.0,0.0,0.0,0.0
reddish-brown,brown,0.0,0.0,0.0,0.0
on a plate,plate,0.0,1.0,0.3333333333333333,0.5
yellow,orange,0.0,0.0,0.0,0.0
fries,chips,0.0,0.0,0.0,0.0
charred,browned,0.0,0.0,0.0,0.0
in the center,in the center,1.0,1.0,1.0,1.0
blue,white,0.0,0.0,0.0,0.0
white,brown,0.0,0.0,0.0,0.0
fudge,chips,0.0,0.0,0.0,0.0
red,red,1.0,1.0,1.0,1.0
walnuts,pecans,0.0,0.0,0.0,0.0
brown,brown,1.0,1.0,1.0,1.0
fudge,cake,0.0,0.0,0.0,0.0
on the left,in the center,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
sheen,has,0.0,0.0,0.0,0.0
golden-brown,golden-brown,1.0,1.0,1.0,1.0
red,red,1.0,1.0,1.0,1.0
atop the galette,on top of,0.0,0.0,0.0,0.0
green,green,1.0,1.0,1.0,1.0
golden-brown,white,0.0,0.0,0.0,0.0
pastry,vegetables,0.0,0.0,0.0,0.0
white,white,1.0,1.0,1.0,1.0
sprinkled,scattered,0.0,0.0,0.0,0.0
strawberry,cranberries,0.0,0.0,0.0,0.0
golden-brown,golden-brown,1.0,1.0,1.0,1.0
blueberries,blueberries,1.0,1.0,1.0,1.0
towards the top,on top,0.0,0.5,0.3333333333333333,0.4
tan,yellow,0.0,0.0,0.0,0.0
garlic,tofu,0.0,0.0,0.0,0.0
yellow,yellow,1.0,1.0,1.0,1.0
silver,silver,1.0,1.0,1.0,1.0
green,yellow,0.0,0.0,0.0,0.0
dessert,salad,0.0,0.0,0.0,0.0
gelatin,creamy,0.0,0.0,0.0,0.0
creamy,homemade,0.0,0.0,0.0,0.0
golden-brown,golden-brown,1.0,1.0,1.0,1.0
bowl,bowl,1.0,1.0,1.0,1.0
sliced,arranged,0.0,0.0,0.0,0.0
green,green,1.0,1.0,1.0,1.0
on top of,on top of,1.0,1.0,1.0,1.0
ginger,garlic,0.0,0.0,0.0,0.0
chicken,chicken,1.0,1.0,1.0,1.0
white,white,1.0,1.0,1.0,1.0
on a plate,on a plate,1.0,1.0,1.0,1.0
red,red,1.0,1.0,1.0,1.0
translucent,dark,0.0,0.0,0.0,0.0
jar,jar,1.0,1.0,1.0,1.0
amber,amber,1.0,1.0,1.0,1.0
in the center,in the center,1.0,1.0,1.0,1.0
yellow,golden-brown,0.0,0.0,0.0,0.0
gingerbread,treats,0.0,0.0,0.0,0.0
chocolate,sprinkled,0.0,0.0,0.0,0.0
beige,white,0.0,0.0,0.0,0.0
brown,brown,1.0,1.0,1.0,1.0
yes,square,0.0,0.0,0.0,0.0
white,white,1.0,1.0,1.0,1.0
flower,rectangular,0.0,0.0,0.0,0.0
green,white,0.0,0.0,0.0,0.0
on top,located,0.0,0.0,0.0,0.0
gingerbread cookies,pizzelles,0.0,0.0,0.0,0.0
brown,brown,1.0,1.0,1.0,1.0
on a plate,on a wooden surface,0.0,0.5,0.6666666666666666,0.5714285714285715
beige,is,0.0,0.0,0.0,0.0
cookies,muffins,0.0,0.0,0.0,0.0
stacked,stacked,1.0,1.0,1.0,1.0
on top of,on top,0.0,1.0,0.6666666666666666,0.8
white,white,1.0,1.0,1.0,1.0
yellow,white,0.0,0.0,0.0,0.0
bacon,bacon,1.0,1.0,1.0,1.0
on top,on top,1.0,1.0,1.0,1.0
gnocchi,spaghetti,0.0,0.0,0.0,0.0
shrimp,shrimp,1.0,1.0,1.0,1.0
green,green,1.0,1.0,1.0,1.0
brownish-red,brown,0.0,0.0,0.0,0.0
gnocchi,pierogi,0.0,0.0,0.0,0.0
green,green,1.0,1.0,1.0,1.0
on a plate,on the plate,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
yellow,yellow,1.0,1.0,1.0,1.0
pasta,meat,0.0,0.0,0.0,0.0
red,red,1.0,1.0,1.0,1.0
on top of,on top,0.0,1.0,0.6666666666666666,0.8
green,green,1.0,1.0,1.0,1.0
orange-brown,yellow,0.0,0.0,0.0,0.0
macaroni,macaroni,1.0,1.0,1.0,1.0
scattered,scattered,1.0,1.0,1.0,1.0
red,red,1.0,1.0,1.0,1.0
at the top,on top,0.0,0.5,0.3333333333333333,0.4
scattered,distributed,0.0,0.0,0.0,0.0
beef,chicken,0.0,0.0,0.0,0.0
yellow,yellow,1.0,1.0,1.0,1.0
orange,orange,1.0,1.0,1.0,1.0
yellow,yellow,1.0,1.0,1.0,1.0
lemon,watermelon,0.0,0.0,0.0,0.0
glass,glass,1.0,1.0,1.0,1.0
watermelon,watermelon,1.0,1.0,1.0,1.0
mint,on top,0.0,0.0,0.0,0.0
brown,brown,1.0,1.0,1.0,1.0
granola,chips,0.0,0.0,0.0,0.0
red,red,1.0,1.0,1.0,1.0
brown,brown,1.0,1.0,1.0,1.0
granola,vegetables,0.0,0.0,0.0,0.0
red,red,1.0,1.0,1.0,1.0
scattered,scattered,1.0,1.0,1.0,1.0
in the mixture,scattered,0.0,0.0,0.0,0.0
yellow,creamy,0.0,0.0,0.0,0.0
potatoes,tofu,0.0,0.0,0.0,0.0
yellow,yellow,1.0,1.0,1.0,1.0
in a baking dish,on a plate,0.0,0.3333333333333333,0.25,0.28571428571428575
yellow,white,0.0,0.0,0.0,0.0
dish,bowl,0.0,0.0,0.0,0.0
white,green,0.0,0.0,0.0,0.0
yellow,reddish-brown,0.0,0.0,0.0,0.0
in the lower center,in the center,0.0,1.0,0.75,0.8571428571428571
diced,large,0.0,0.0,0.0,0.0
shrimp,shrimp,1.0,1.0,1.0,1.0
orange,orange,1.0,1.0,1.0,1.0
broth,milk,0.0,0.0,0.0,0.0
on the left,on a plate,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
bowl,dish,0.0,0.0,0.0,0.0
lemon,yellow,0.0,0.0,0.0,0.0
yellow,yellow,1.0,1.0,1.0,1.0
on the left side,on the rim,0.0,0.6666666666666666,0.5,0.5714285714285715
scattered,scattered,1.0,1.0,1.0,1.0
brown,red,0.0,0.0,0.0,0.0
chicken,bacon,0.0,0.0,0.0,0.0
sausage,bacon,0.0,0.0,0.0,0.0
beige,yellow,0.0,0.0,0.0,0.0
gyros,chips,0.0,0.0,0.0,0.0
brown,brown,1.0,1.0,1.0,1.0
on the left side,in the center,0.0,0.3333333333333333,0.25,0.28571428571428575
green,green,1.0,1.0,1.0,1.0
crispy,flaky,0.0,0.0,0.0,0.0
halibut,walleye,0.0,0.0,0.0,0.0
white,white,1.0,1.0,1.0,1.0
green,green,1.0,1.0,1.0,1.0
on top,located,0.0,0.0,0.0,0.0
beige,golden-brown,0.0,0.0,0.0,0.0
halibut,halibut,1.0,1.0,1.0,1.0
green,green,1.0,1.0,1.0,1.0
on the right,plate,0.0,0.0,0.0,0.0
golden-brown,golden-brown,1.0,1.0,1.0,1.0
halloumi,feta,0.0,0.0,0.0,0.0
gray,white,0.0,0.0,0.0,0.0
on the left,on the rim,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
yellow,yellow,1.0,1.0,1.0,1.0
apricot,cranberries,0.0,0.0,0.0,0.0
reddish-brown,brown,0.0,0.0,0.0,0.0
bowl,potatoes,0.0,0.0,0.0,0.0
in the upper right,in the center,0.0,0.6666666666666666,0.5,0.5714285714285715
pink,pink,1.0,1.0,1.0,1.0
ham,chicken,0.0,0.0,0.0,0.0
pink,pink,1.0,1.0,1.0,1.0
sandwich,toast,0.0,0.0,0.0,0.0
green,green,1.0,1.0,1.0,1.0
on a plate,on a plate,1.0,1.0,1.0,1.0
green,browned,0.0,0.0,0.0,0.0
pink,pink,1.0,1.0,1.0,1.0
ham,chicken,0.0,0.0,0.0,0.0
caramelized,browned,0.0,0.0,0.0,0.0
layered on,on top of,0.0,0.3333333333333333,0.5,0.4
lettuce,on top of,0.0,0.0,0.0,0.0
potato,tomato,0.0,0.0,0.0,0.0
orange,orange,1.0,1.0,1.0,1.0
throughout,on top,0.0,0.0,0.0,0.0
yellow,yellow,1.0,1.0,1.0,1.0
brownish,yellow,0.0,0.0,0.0,0.0
plate,plate,1.0,1.0,1.0,1.0
yellow,yellow,1.0,1.0,1.0,1.0
sprinkled on top,on top,0.0,1.0,0.6666666666666666,0.8
white,white,1.0,1.0,1.0,1.0
orange,orange,1.0,1.0,1.0,1.0
potato,mushrooms,0.0,0.0,0.0,0.0
fried,scrambled,0.0,0.0,0.0,0.0
on top of,on a plate,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
bacon,sauce,0.0,0.0,0.0,0.0
hash browns,pancakes,0.0,0.0,0.0,0.0
golden-brown,yellow,0.0,0.0,0.0,0.0
yes,overlapping,0.0,0.0,0.0,0.0
on a plate,on a plate,1.0,1.0,1.0,1.0
golden-brown,golden-brown,1.0,1.0,1.0,1.0
plate,plate,1.0,1.0,1.0,1.0
orange,blue,0.0,0.0,0.0,0.0
chives,sprinkled,0.0,0.0,0.0,0.0
brown,golden-brown,0.0,0.0,0.0,0.0
chicken,chicken,1.0,1.0,1.0,1.0
yellow,brown,0.0,0.0,0.0,0.0
in the upper right,in the center,0.0,0.6666666666666666,0.5,0.5714285714285715
golden-brown,golden-brown,1.0,1.0,1.0,1.0
hen,pheasant,0.0,0.0,0.0,0.0
brown,brown,1.0,1.0,1.0,1.0
at the top left,in the center,0.0,0.3333333333333333,0.25,0.28571428571428575
salad,soup,0.0,0.0,0.0,0.0
green-white,multicolored,0.0,0.0,0.0,0.0
over the salad leaves,on top of,0.0,0.0,0.0,0.0
tomatoes,zucchini,0.0,0.0,0.0,0.0
edamame,beans,0.0,0.0,0.0,0.0
hummus,rice,0.0,0.0,0.0,0.0
black,white,0.0,0.0,0.0,0.0
on top of,on top of,1.0,1.0,1.0,1.0
yellow,light,0.0,0.0,0.0,0.0
hummus,hummus,1.0,1.0,1.0,1.0
submerged,on top of,0.0,0.0,0.0,0.0
crackers,mushrooms,0.0,0.0,0.0,0.0
on the right,in the center,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
bowl,bowl,1.0,1.0,1.0,1.0
brownish-green,beige,0.0,0.0,0.0,0.0
towards the top left,in the center,0.0,0.3333333333333333,0.25,0.28571428571428575
beige,beige,1.0,1.0,1.0,1.0
hummus,hummus,1.0,1.0,1.0,1.0
yellow,yellow,1.0,1.0,1.0,1.0
tomatoes,salad,0.0,0.0,0.0,0.0
spices,dusted,0.0,0.0,0.0,0.0
yellow-beige,beige,0.0,0.0,0.0,0.0
bowl,bowl,1.0,1.0,1.0,1.0
orange,orange,1.0,1.0,1.0,1.0
carrots,with,0.0,0.0,0.0,0.0
on the plate,on a plate,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
reddish-brown,red,0.0,0.0,0.0,0.0
jars,jars,1.0,1.0,1.0,1.0
in the center,in the center,1.0,1.0,1.0,1.0
orange,red,0.0,0.0,0.0,0.0
jars,jars,1.0,1.0,1.0,1.0
glass,glass,1.0,1.0,1.0,1.0
in the center,in the center,1.0,1.0,1.0,1.0
pinkish-white,white,0.0,0.0,0.0,0.0
in the center,in the center,1.0,1.0,1.0,1.0
bottom half,of the image,0.0,0.0,0.0,0.0
orange,red,0.0,0.0,0.0,0.0
vibrant,vibrant,1.0,1.0,1.0,1.0
glass,jars,0.0,0.0,0.0,0.0
papaya,apple,0.0,0.0,0.0,0.0
fresh,fresh,1.0,1.0,1.0,1.0
on a white cloth,on a wooden surface,0.0,0.5,0.5,0.5
dark brown,brown,0.0,1.0,0.5,0.6666666666666666
cubes,square,0.0,0.0,0.0,0.0
beige,orange,0.0,0.0,0.0,0.0
scattered,scattered,1.0,1.0,1.0,1.0
black,reddish-brown,0.0,0.0,0.0,0.0
dark,reddish-brown,0.0,0.0,0.0,0.0
stacked,distributed,0.0,0.0,0.0,0.0
dish,bowl,0.0,0.0,0.0,0.0
in the center,in the center,1.0,1.0,1.0,1.0
brown,brown,1.0,1.0,1.0,1.0
beef jerky,chips,0.0,0.0,0.0,0.0
scattered,scattered,1.0,1.0,1.0,1.0
reddish-brown,brown,0.0,0.0,0.0,0.0
around the edges,on top,0.0,0.0,0.0,0.0
brown,brown,1.0,1.0,1.0,1.0
beef jerky,chips,0.0,0.0,0.0,0.0
overlapping,stacked,0.0,0.0,0.0,0.0
dark brown,brown,0.0,1.0,0.5,0.6666666666666666
located inside,on the plate,0.0,0.0,0.0,0.0
jar,jar,1.0,1.0,1.0,1.0
sitting,sitting,1.0,1.0,1.0,1.0
wooden,wooden,1.0,1.0,1.0,1.0
yellow-tan,yellow,0.0,0.0,0.0,0.0
plate,on a plate,0.0,0.3333333333333333,1.0,0.5
white,white,1.0,1.0,1.0,1.0
glazed,textured,0.0,0.0,0.0,0.0
sloppy joe,sandwich,0.0,0.0,0.0,0.0
reddish-brown,brown,0.0,0.0,0.0,0.0
yellow,yellow,1.0,1.0,1.0,1.0
on the bottom,located,0.0,0.0,0.0,0.0
golden-brown,yellow,0.0,0.0,0.0,0.0
chicken,sausage,0.0,0.0,0.0,0.0
orange,brown,0.0,0.0,0.0,0.0
on top,on top of,0.0,0.6666666666666666,1.0,0.8
chips,mushrooms,0.0,0.0,0.0,0.0
golden-brown,yellow,0.0,0.0,0.0,0.0
bun,covering,0.0,0.0,0.0,0.0
gray,white,0.0,0.0,0.0,0.0
on a plate,spilling onto,0.0,0.0,0.0,0.0
tan,yellow,0.0,0.0,0.0,0.0
bun,plate,0.0,0.0,0.0,0.0
red,red,1.0,1.0,1.0,1.0
on top,on top,1.0,1.0,1.0,1.0
diced,diced,1.0,1.0,1.0,1.0
beige,yellow,0.0,0.0,0.0,0.0
juice,margarita,0.0,0.0,0.0,0.0
on the table,on top,0.0,0.5,0.3333333333333333,0.4
glass,bowl,0.0,0.0,0.0,0.0
in a glass,located in,0.0,0.5,0.3333333333333333,0.4
vibrant,vibrant,1.0,1.0,1.0,1.0
glass,glass,1.0,1.0,1.0,1.0
yellow,yellow,1.0,1.0,1.0,1.0
watermelon,watermelon,1.0,1.0,1.0,1.0
pink,red,0.0,0.0,0.0,0.0
blueberries,rhubarb,0.0,0.0,0.0,0.0
green surface,white,0.0,0.0,0.0,0.0
4th of july,halloween,0.0,0.0,0.0,0.0
golden-brown,reddish-brown,0.0,0.0,0.0,0.0
dispersed,scattered,0.0,0.0,0.0,0.0
kale,kale,1.0,1.0,1.0,1.0
bowl,soup,0.0,0.0,0.0,0.0
green,green,1.0,1.0,1.0,1.0
chips,chips,1.0,1.0,1.0,1.0
bowl,plate,0.0,0.0,0.0,0.0
on a wooden surface,on a wooden surface,1.0,1.0,1.0,1.0
brownish,browned,0.0,0.0,0.0,0.0
dark green,green,0.0,1.0,0.5,0.6666666666666666
kale,kale,1.0,1.0,1.0,1.0
red,red,1.0,1.0,1.0,1.0
on top of,submerged,0.0,0.0,0.0,0.0
colorful,rich,0.0,0.0,0.0,0.0
kebabs,salad,0.0,0.0,0.0,0.0
red,brown,0.0,0.0,0.0,0.0
on a plate,on a plate,1.0,1.0,1.0,1.0
pineapple,cranberries,0.0,0.0,0.0,0.0
white,white,1.0,1.0,1.0,1.0
kohlrabi,zucchini,0.0,0.0,0.0,0.0
arranged,arranged,1.0,1.0,1.0,1.0
brown,brown,1.0,1.0,1.0,1.0
on a plate,on a plate,1.0,1.0,1.0,1.0
yellow,white,0.0,0.0,0.0,0.0
noodles,fruit,0.0,0.0,0.0,0.0
yellow,yellow,1.0,1.0,1.0,1.0
on the top,on top,0.0,1.0,0.6666666666666666,0.8
golden-yellow,yellow,0.0,0.0,0.0,0.0
baking,baking,1.0,1.0,1.0,1.0
sprinkling,sprinkled,0.0,0.0,0.0,0.0
noodles,garlic,0.0,0.0,0.0,0.0
brown,brown,1.0,1.0,1.0,1.0
brown,brown,1.0,1.0,1.0,1.0
lamb,chicken,0.0,0.0,0.0,0.0
in the center,on top of,0.0,0.0,0.0,0.0
reddish-brown,reddish-brown,1.0,1.0,1.0,1.0
stew,baking,0.0,0.0,0.0,0.0
fills,fills,1.0,1.0,1.0,1.0
white,bowl,0.0,0.0,0.0,0.0
throughout the stew,scattered throughout,0.0,0.5,0.3333333333333333,0.4
white,white,1.0,1.0,1.0,1.0
lamb,chicken,0.0,0.0,0.0,0.0
brown,brown,1.0,1.0,1.0,1.0
scattered around,scattered throughout,0.0,0.5,0.5,0.5
lamb,chicken,0.0,0.0,0.0,0.0
gradient,homemade,0.0,0.0,0.0,0.0
brown,red,0.0,0.0,0.0,0.0
onions,vegetables,0.0,0.0,0.0,0.0
cooked,sliced,0.0,0.0,0.0,0.0
orange,white,0.0,0.0,0.0,0.0
lasagna,salad,0.0,0.0,0.0,0.0
creamy,creamy,1.0,1.0,1.0,1.0
white,red,0.0,0.0,0.0,0.0
on the surface,on top,0.0,0.5,0.3333333333333333,0.4
golden-brown,yellow,0.0,0.0,0.0,0.0
lasagna,salad,0.0,0.0,0.0,0.0
black,black,1.0,1.0,1.0,1.0
on a black stovetop,on a plate,0.0,0.6666666666666666,0.5,0.5714285714285715
green,yellow,0.0,0.0,0.0,0.0
green,green,1.0,1.0,1.0,1.0
lasagna,salad,0.0,0.0,0.0,0.0
red,red,1.0,1.0,1.0,1.0
yellow,orange,0.0,0.0,0.0,0.0
on top of,resting on,0.0,0.5,0.3333333333333333,0.4
banana,watermelon,0.0,0.0,0.0,0.0
yellow,red,0.0,0.0,0.0,0.0
on the left,in the glass,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
green,green,1.0,1.0,1.0,1.0
clear,clear,1.0,1.0,1.0,1.0
yellow,yellow,1.0,1.0,1.0,1.0
into the lassi,into the milkshake,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
green,green,1.0,1.0,1.0,1.0
transparent,clear,0.0,0.0,0.0,0.0
white,white,1.0,1.0,1.0,1.0
tan,yellow,0.0,0.0,0.0,0.0
on a plate,on a wooden surface,0.0,0.5,0.6666666666666666,0.5714285714285715
white,white,1.0,1.0,1.0,1.0
tan,brown,0.0,0.0,0.0,0.0
on top of,on top,0.0,1.0,0.6666666666666666,0.8
strawberry,bananas,0.0,0.0,0.0,0.0
white,white,1.0,1.0,1.0,1.0
latte,smoothie,0.0,0.0,0.0,0.0
shaved chocolate,has,0.0,0.0,0.0,0.0
brown,brown,1.0,1.0,1.0,1.0
on top of,on top,0.0,1.0,0.6666666666666666,0.8
yellow,yellow,1.0,1.0,1.0,1.0
in the center,sits on,0.0,0.0,0.0,0.0
pie,cake,0.0,0.0,0.0,0.0
triangular,square,0.0,0.0,0.0,0.0
on the top,on top,0.0,1.0,0.6666666666666666,0.8
lemon,peaches,0.0,0.0,0.0,0.0
yellow,yellow,1.0,1.0,1.0,1.0
spoon,spoon,1.0,1.0,1.0,1.0
yellow,yellow,1.0,1.0,1.0,1.0
jars,jars,1.0,1.0,1.0,1.0
lemon curd,relish,0.0,0.0,0.0,0.0
on the tray,spoon,0.0,0.0,0.0,0.0
tan,brown,0.0,0.0,0.0,0.0
cookies,chips,0.0,0.0,0.0,0.0
