Answer,Predict,gpt_score
sprinkled on top,on top,0.5
white,white,1.0
orange,orange,1.0
potato,mushrooms,0.1
fried,scrambled,0.2
on top of,on a plate,0.5
bacon,sauce,0.1
hash browns,pancakes,0.1
golden-brown,yellow,0.5
yes,overlapping,0.1
on a plate,on a plate,1.0
golden-brown,golden-brown,1.0
plate,plate,1.0
orange,blue,0.0
chives,sprinkled,0.3
brown,golden-brown,0.7
chicken,chicken,1.0
yellow,brown,0.2
in the upper right,in the center,0.2
golden-brown,golden-brown,1.0
hen,pheasant,0.3
brown,brown,1.0
at the top left,in the center,0.2
salad,soup,0.2
green-white,multicolored,0.3
over the salad leaves,on top of,0.6
tomatoes,zucchini,0.2
edamame,beans,0.7
hummus,rice,0.1
black,white,0.0
on top of,on top of,1.0
yellow,light,0.3
hummus,hummus,1.0
submerged,on top of,0.0
crackers,mushrooms,0.1
on the right,in the center,0.2
bowl,bowl,1.0
brownish-green,beige,0.2
towards the top left,in the center,0.3
beige,beige,1.0
hummus,hummus,1.0
yellow,yellow,1.0
tomatoes,salad,0.3
spices,dusted,0.1
yellow-beige,beige,0.7
bowl,bowl,1.0
orange,orange,1.0
carrots,with,0.0
on the plate,on a plate,0.9
reddish-brown,red,0.7
jars,jars,1.0
in the center,in the center,1.0
orange,red,0.2
jars,jars,1.0
glass,glass,1.0
in the center,in the center,1.0
pinkish-white,white,0.7
in the center,in the center,1.0
bottom half,of the image,0.2
orange,red,0.2
vibrant,vibrant,1.0
glass,jars,0.4
papaya,apple,0.2
fresh,fresh,1.0
on a white cloth,on a wooden surface,0.2
dark brown,brown,0.8
cubes,square,0.5
beige,orange,0.2
scattered,scattered,1.0
black,reddish-brown,0.2
dark,reddish-brown,0.3
stacked,distributed,0.2
dish,bowl,0.3
in the center,in the center,1.0
brown,brown,1.0
beef jerky,chips,0.2
scattered,scattered,1.0
reddish-brown,brown,0.7
around the edges,on top,0.2
brown,brown,1.0
beef jerky,chips,0.2
overlapping,stacked,0.4
dark brown,brown,0.8
located inside,on the plate,0.2
jar,jar,1.0
sitting,sitting,1.0
wooden,wooden,1.0
yellow-tan,yellow,0.9
plate,on a plate,0.7
white,white,1.0
glazed,textured,0.3
sloppy joe,sandwich,0.7
reddish-brown,brown,0.7
yellow,yellow,1.0
on the bottom,located,0.3
golden-brown,yellow,0.5
chicken,sausage,0.1
orange,brown,0.2
on top,on top of,0.9
chips,mushrooms,0.1
golden-brown,yellow,0.5
bun,covering,0.1
gray,white,0.1
on a plate,spilling onto,0.2
tan,yellow,0.2
bun,plate,0.1
red,red,1.0
on top,on top,1.0
diced,diced,1.0
beige,yellow,0.3
juice,margarita,0.5
on the table,on top,0.5
glass,bowl,0.2
in a glass,located in,0.5
vibrant,vibrant,1.0
glass,glass,1.0
yellow,yellow,1.0
watermelon,watermelon,1.0
pink,red,0.3
blueberries,rhubarb,0.1
green surface,white,0.1
4th of july,halloween,0.1
golden-brown,reddish-brown,0.6
dispersed,scattered,1.0
kale,kale,1.0
bowl,soup,0.2
green,green,1.0
chips,chips,1.0
bowl,plate,0.2
on a wooden surface,on a wooden surface,1.0
brownish,browned,0.7
dark green,green,0.7
kale,kale,1.0
red,red,1.0
on top of,submerged,0.1
colorful,rich,0.5
kebabs,salad,0.1
red,brown,0.2
on a plate,on a plate,1.0
pineapple,cranberries,0.1
white,white,1.0
kohlrabi,zucchini,0.3
arranged,arranged,1.0
brown,brown,1.0
on a plate,on a plate,1.0
yellow,white,0.1
noodles,fruit,0.1
yellow,yellow,1.0
on the top,on top,0.9
golden-yellow,yellow,0.7
baking,baking,1.0
sprinkling,sprinkled,0.7
noodles,garlic,0.1
brown,brown,1.0
brown,brown,1.0
lamb,chicken,0.2
in the center,on top of,0.2
reddish-brown,reddish-brown,1.0
stew,baking,0.2
fills,fills,1.0
white,bowl,0.2
throughout the stew,scattered throughout,0.5
white,white,1.0
lamb,chicken,0.2
brown,brown,1.0
scattered around,scattered throughout,0.8
lamb,chicken,0.2
gradient,homemade,0.1
brown,red,0.1
onions,vegetables,0.7
cooked,sliced,0.2
orange,white,0.0
lasagna,salad,0.2
creamy,creamy,1.0
white,red,0.0
on the surface,on top,0.7
golden-brown,yellow,0.5
lasagna,salad,0.2
black,black,1.0
on a black stovetop,on a plate,0.3
green,yellow,0.1
green,green,1.0
lasagna,salad,0.2
red,red,1.0
yellow,orange,0.2
on top of,resting on,0.7
banana,watermelon,0.2
yellow,red,0.1
on the left,in the glass,0.2
green,green,1.0
clear,clear,1.0
yellow,yellow,1.0
into the lassi,into the milkshake,0.6
green,green,1.0
transparent,clear,0.9
white,white,1.0
tan,yellow,0.3
on a plate,on a wooden surface,0.3
white,white,1.0
tan,brown,0.3
on top of,on top,0.9
strawberry,bananas,0.1
white,white,1.0
latte,smoothie,0.2
shaved chocolate,has,0.1
brown,brown,1.0
on top of,on top,0.9
yellow,yellow,1.0
in the center,sits on,0.3
pie,cake,0.2
triangular,square,0.1
on the top,on top,0.9
lemon,peaches,0.1
yellow,yellow,1.0
spoon,spoon,1.0
yellow,yellow,1.0
jars,jars,1.0
lemon curd,relish,0.2
on the tray,spoon,0.2
tan,brown,0.5
cookies,chips,0.2
on a sheet,on a plate,0.5
pink,red,0.2
strawberry,watermelon,0.2
yellow,yellow,1.0
on the rim,on the rim,1.0
lemonade,lemonade,1.0
lemonade,filled,0.2
yellow,yellow,1.0
brown,brown,1.0
brown,brown,1.0
lentils,mushrooms,0.1
visible,visible,1.0
light brown,translucent,0.2
dispersed,in the center,0.1
yellowish-orange,brown,0.3
lentils,rice,0.2
dispersed,scattered,1.0
green,green,1.0
dispersed,in the center,0.1
red,red,1.0
green,green,1.0
orange-brown,green,0.1
on the left,on top,0.3
to the right,to the left,0.1
grain,filling,0.2
translucent,green,0.2
glass,glass,1.0
whitish-yellow,green,0.1
on the rim,on the rim,1.0
lime,lemon,0.6
yellow,yellow,1.0
linguine,ravioli,0.3
green,green,1.0
scattered,scattered,1.0
beige,yellow,0.3
pasta,pasta,1.0
brown,brown,1.0
green,green,1.0
on top of,on top,0.9
white,white,1.0
golden-brown,brown,0.7
on a plate,on a plate,1.0
blueberries,rhubarb,0.1
wooden,wooden,1.0
cheese,vegetables,0.0
yellow,white,0.1
on the left,to the left,0.7
yes,vegan,0.1
white,white,1.0
in the center,in the center,1.0
golden,golden-brown,0.8
overlapping,overlapping,1.0
reddish-brown,yellow,0.1
reddish-brown,red,0.7
on the right side,located,0.3
bowl,bowl,1.0
yellow,yellow,1.0
covering,covering,1.0
vibrant,colorful,0.9
skillet,skillet,1.0
browned,reddish-brown,0.7
yellow,yellow,1.0
on top of,on top,0.9
green,green,1.0
in the center,on the plate,0.3
macaroni,macaroni,1.0
yellow,yellow,1.0
on the top,on top,0.9
yellow,yellow,1.0
macaroni,ravioli,0.3
clustered,mixed,0.3
on the left side,on the right side,0.1
ginger,spicy,0.3
mahi mahi,walleye,0.2
brown,orange,0.1
in the bottom center,in the center,0.8
golden-brown,yellow,0.6
mahi mahi,walleye,0.2
yellow,yellow,1.0
beans,zucchini,0.1
white,golden-brown,0.2
reddish-brown,brown,0.7
green,green,1.0
orange,white,0.0
spinach,zucchini,0.2
melted,melted,1.0
sticky,creamy,0.1
yellow,yellow,1.0
arranged,scattered,0.1
on top of,on top,0.9
pink,yellow,0.1
cadillac,punch,0.1
white,white,1.0
on the surface,on the rim,0.5
green,green,1.0
yellowish-green,yellow,0.6
margaritas,smoothie,0.2
silver,white,0.2
yellow-green,yellow,0.7
white,white,1.0
yellow,yellow,1.0
white,white,1.0
from the top,on top of,0.6
margaritas,margarita,0.9
blue,white,0.0
on the plate,on a plate,0.9
green,green,1.0
red,yellow,0.1
blackberries,lemon,0.1
on the wooden surface,on top,0.4
green,green,1.0
marinade,surrounds,0.2
surrounding,in the center,0.1
chicken,chicken,1.0
glossy,glossy,1.0
in the background,next to,0.2
viscous,thick,1.0
marinade,dipping,0.3
in the bowl,is contained,0.4
in the center,in the center,1.0
lemon,bananas,0.2
reddish-brown,reddish-brown,1.0
coats,covers,0.3
skewers,are,0.0
white,white,1.0
reddish-brown,brown,0.7
chicken,chicken,1.0
on the upper chicken,in the center,0.2
amber,vibrant,0.3
marmalade,margarita,0.2
amber,red,0.2
glass,glass jar,0.9
orange,red,0.2
amber,red,0.2
marmalade,relish,0.2
striped,checkered,0.2
to its left,to the left of,0.9
brown,white,0.0
coated,chocolate,0.2
three,scoops,0.1
on the left,located,0.3
coconut,sugar,0.1
marshmallows,toffee,0.1
light pink,white,0.2
on a small plate,on top,0.3
bottom,on the left,0.2
vibrant,vibrant,1.0
watermelon,lime,0.2
pink,red,0.3
on the top,on the rim,0.6
green,green,1.0
red,yellow,0.1
stemmed,glasses,0.1
brown,white,0.0
on top of,on the rim,0.5
reddish-purple,yellow,0.1
martini,smoothie,0.2
red,red,1.0
with two bright red cherries,sliced,0.2
agave,clear,0.1
pistachio,almond,0.2
green,green,1.0
cylindrical,rectangular,0.1
rectangular bar,rectangular,0.7
on the left side,on the left side,1.0
white,white,1.0
orange,orange,1.0
carrots,zucchini,0.2
in a bowl,in a brown bowl,0.9
crispy,crispy,1.0
chicken,chicken,1.0
white,white,1.0
yellow,yellow,1.0
on a plate,on a plate,1.0
mayo,chutney,0.2
smooth,creamy,0.6
gray,black,0.1
in the upper left corner,on top of,0.5
bowl,bowl,1.0
orange,red,0.2
basil,cilantro,0.2
on a light-colored surface,on a wooden surface,0.6
light green,yellow,0.2
fills,fills,1.0
bowl,container,0.7
leaves,salad,0.3
to the right of,to the left,0.1
yellow,yellow,1.0
meatballs,chicken,0.1
on top,on top of,0.9
green,green,1.0
orange-brown,brown,0.7
tomato sauce,pesto,0.2
covers,coats,0.3
green,green,1.0
sweet,spicy,0.1
meatballs,soup,0.2
brownish-red,brown,0.7
in the center,on a plate,0.3
bowl,bowl,1.0
creamy,creamy,1.0
meatballs,chicken,0.1
orange,red,0.2
underneath,behind,0.2
green,green,1.0
brown,brown,1.0
salad,mushrooms,0.2
sliced,sliced,1.0
is in,in the center,0.6
golden,golden-brown,0.8
meatloaf,salad,0.1
light-brown,brown,0.8
reddish-brown,red,0.7
towards the right side,on top of,0.3
dark,brown,0.2
meatloaf,meatloaf,1.0
white,white,1.0
with sprigs,bacon,0.1
bright,green,0.2
broccoli,zucchini,0.2
red,pink,0.2
browned,browned,1.0
across the image,throughout the bowl,0.2
yellow,orange,0.3
smoothie,smoothie,1.0
glass,glass,1.0
white,orange,0.1
near to,on top of,0.3
clear,clear,1.0
pitcher,glass jar,0.2
beige,is,0.0
in the center-left,sitting,0.2
pink,white,0.1
milkshakes,margarita,0.2
topped,on top,0.7
red,red,1.0
on each milkshake,on top of,0.2
chocolate,chocolate,1.0
brown,yellow,0.1
on top,on top,1.0
clear,clear,1.0
pitcher,jar,0.2
yellow,yellow,1.0
on a wooden board,on a wooden surface,0.9
yellowish,reddish-brown,0.4
tofu,bacon,0.1
scattered across,scattered,0.7
blue,blue,1.0
reddish-brown,brown,0.7
jar,container,0.7
viscous,creamy,0.4
on the top,on top of,0.7
tomatoes,lettuce,0.2
bowl,bowl,1.0
mixed,mixed,1.0
brown,brown,1.0
orange,golden-brown,0.5
in a clear glass bowl,on a plate,0.2
brown,brown,1.0
bowl,bowl,1.0
candies,candies,1.0
golden-brown,brown,0.8
blue,red,0.0
wooden,wooden,1.0
pretzels,mushrooms,0.1
orange,white,0.0
on the left,on the left,1.0
beige,yellow,0.3
brown,golden-brown,0.7
towards the bottom,in the center,0.2
brown,brown,1.0
jar,bowl,0.2
filled,filled,1.0
white,brown,0.1
to the left of,in the center,0.1
brown,brown,1.0
foamy,creamy,0.5
with whipped cream,sprinkled,0.3
scattered,on top,0.1
yellow-green,green,0.7
mojito,margarita,0.5
green,green,1.0
by the pitcher,served,0.2
fresh,colorful,0.2
green,red,0.0
mojito,margarita,0.4
yellow,green,0.1
strawberry,rhubarb,0.3
transparent,clear,0.9
mousse,cake,0.3
brown,brown,1.0
creamy,creamy,1.0
on a silver tray,on a plate,0.7
golden-yellow,brown,0.3
muffins,muffins,1.0
obscuring,covering,0.9
blue,white,0.1
beverage,margarita,0.6
fill,float,0.2
white,white,1.0
on top of,on top of,1.0
copper,copper,1.0
mug,mug,1.0
green,green,1.0
yellow,yellow,1.0
on the wooden surface,on the rim,0.3
brown,brown,1.0
mushrooms,chips,0.1
glossy,creamy,0.2
green,green,1.0
in a pile,stacked,0.6
yellow,yellow,1.0
eggs,mushrooms,0.1
mushroom,mushrooms,1.0
brown,brown,1.0
chicken,chicken,1.0
brown,white,0.0
on the right,in the center,0.2
herbs,herbs,1.0
creamy,charred,0.1
mushrooms,fish,0.0
black,silver,0.1
from the pan,in a pan,0.7
brown,brown,1.0
yellow,brown,0.2
enoki mushrooms,mushrooms,0.7
tangled,appear,0.2
strands,sliced,0.2
immersed,submerged,0.9
mussels,mussels,1.0
orange-red,reddish-brown,0.7
brownish-red,reddish-brown,0.9
on the left,in the center,0.2
yellow-orange,yellow,0.7
pouring,spilling,0.6
jar,jar,1.0
wooden,wooden,1.0
above the jar,on a spoon,0.2
glass,glass,1.0
wooden,wooden surface,0.9
mustard,mustard,1.0
to the right,to the left,0.1
dijon,jalapenos,0.1
tan,yellow,0.2
lined up,arranged,0.7
jars,jars,1.0
creamy,creamy,1.0
nachos,pancakes,0.1
light-orange,yellow,0.4
on top of,on top,0.9
bowl,bowl,1.0
potato,rice,0.1
white,white,1.0
golden-brown,golden-brown,1.0
cheese,cheese,1.0
on a plate,on a plate,1.0
chocolate,drizzled,0.2
nachos,rice,0.1
brown,yellow,0.1
white,white,1.0
on top of,in the center,0.3
smooth,creamy,0.6
glass,mug,0.5
pink,pink,1.0
refresher,smoothie,0.2
soup,salad,0.2
green,green,1.0
chicken,chicken,1.0
on the lower-right,on the rim,0.4
light blue,white,0.2
bowl,dish,0.7
fill,fill,1.0
yellow,yellow,1.0
in the center,in the center,1.0
crunchy,crispy,0.7
nuggets,burrito,0.1
white,white,1.0
on the right side,in the center,0.2
red,red,1.0
corn nuts,pecans,0.1
brown,brown,1.0
on the napkin,in the center,0.2
golden-brown,golden-brown,1.0
oatmeal,pie,0.1
filling,filling,1.0
white,white,1.0
on a white surface,on a plate,0.7
beige,brown,0.3
fill,fill,1.0
blueberries,blueberries,1.0
red,red,1.0
on top,on top of,0.9
black,blue,0.1
rice,tofu,0.1
green,green,1.0
okra,zucchini,0.2
in a black cooking pot,skillet,0.3
beige,white,0.2
chicken,chicken,1.0
green,green,1.0
on top,on top,1.0
tomatoes,cranberries,0.1
golden,green,0.1
olives,chips,0.1
cut,cut,1.0
on the bottom,on top,0.1
green,green,1.0
wooden,wooden,1.0
bread,pita bread,0.9
black,green,0.0
golden-brown,brown,0.8
on a wooden cutting board,on a plate,0.4
visible,visible,1.0
olives,pickles,0.2
glass,glass,1.0
white,white,1.0
yellow,yellow,1.0
spilling out of,covering,0.2
bacon,sausage,0.2
mixed,roasted,0.3
located on the left side,on top,0.2
omelette,polenta,0.2
scattered,scattered,1.0
red,red,1.0
caramelized,brown,0.6
melted,melted,1.0
onions,mushrooms,0.1
brown,white,0.0
cheese,cheese,1.0
towards the bottom,on the left,0.2
reddish-brown,red,0.7
nestled,folded,0.3
orange,white,0.0
to the left of,behind,0.2
orange,orange,1.0
plate,plate,1.0
vibrant,bright,0.9
thick,creamy,0.2
drink,drink,1.0
garnished,garnish,0.7
green,green,1.0
at the bottom,on the left,0.2
pink,purple,0.2
oreo,contains,0.2
sprinkled,sprinkled,1.0
on top surface,scattered across,0.2
circular,round,0.9
crust,pie crust,0.9
star-shaped,white,0.2
oysters,mussels,0.5
green,green,1.0
on a star-shaped plate,on a plate,0.7
white,white,1.0
oysters,mussels,0.5
yellow,yellow,1.0
reddish-brown,reddish-brown,1.0
white,white,1.0
yellow,white,0.1
scattered,scattered,1.0
shrimp,shrimp,1.0
in a bowl,in the center,0.2
chicken,sausage,0.1
scattered,scattered,1.0
orange-brown,brown,0.7
shrimp,shrimp,1.0
green,green,1.0
pancake,chips,0.1
white,white,1.0
golden brown,brown,0.8
on the left side,on the left,1.0
salty,sweet,0.1
pancakes,chips,0.1
cooking,frying,0.7
yellow,brown,0.1
golden yellow,yellow,0.8
paneer,tofu,0.2
reddish-brown,brown,0.7
on top,on top,1.0
vibrant,vibrant,1.0
green,yellow,0.1
bowl,bowl,1.0
blue,white,0.0
scattered,scattered,1.0
on top,on top,1.0
cranberry,rhubarb,0.2
glass,bowl,0.2
red,yellow,0.1
on a table,on a wooden surface,0.7
white,white,1.0
parfaits,cake,0.3
red,red,1.0
on top,on top,1.0
orange,rhubarb,0.1
yellow,yellow,1.0
fills,fills,1.0
vegetable,soup,0.3
white,pink,0.1
in the center,in the center,1.0
round,rectangular,0.1
parsnips,zucchini,0.2
beige,yellow,0.3
smooth,creamy,0.6
chicken,chicken,1.0
reddish-orange,red,0.7
pasta,macaroni,0.7
scattered amidst,in the center,0.1
diced,diced,1.0
orange,yellow,0.3
pasta,pasta,1.0
melted,melted,1.0
brownish-tan,yellow,0.2
beige,yellow,0.3
pasta,ravioli,0.7
shrimp,shrimp,1.0
green,green,1.0
over the shrimp,in the center,0.2
scattered,scattered,1.0
pasta,rice,0.2
yellow,yellow,1.0
on top,on top,1.0
dish,polenta,0.2
red,red,1.0
scattered,distributed,0.7
eggplant,zucchini,0.3
golden-yellow,golden-brown,0.8
bowls,on top of,0.1
with a brown wooden handle,silver,0.1
white,white,1.0
yellow,yellow,1.0
blueberries,rhubarb,0.1
nestled among,on top of,0.1
pavlova,ice cream,0.3
greenish-yellow,yellow,0.7
soup,salad,0.2
white,bowl,0.2
submerged,submerged,1.0
peas,soup,0.2
bowl,are,0.0
italian,italian,1.0
on the right side,in the center,0.2
vibrant,vibrant,1.0
holding,held,0.6
white,black,0.0
in the center,in the center,1.0
yellow-orange,yellow,0.7
glasses,bowl,0.1
wooden,wooden,1.0
on the rim,on the rim,1.0
reddish-yellow,red,0.7
margaritas,margarita,1.0
served,served,1.0
bright,vibrant,0.8
glasses,glasses,1.0
in the center,in the center,1.0
tea,drink,0.5
drinking,drinking,1.0
peach,chocolate,0.1
yellow,red,0.1
to the right,on the left,0.1
peachy-orange,orange,0.7
pitcher,bowl,0.1
red,red,1.0
on the left,on a wooden surface,0.5
dark,brown,0.2
peanut butter,garlic,0.1
golden brown,brown,0.8
on the lower right,on the left,0.2
cookie,cake,0.3
light brown,brown,0.8
ice cream,fruit,0.1
smooth,thick,0.1
near the top,at the bottom,0.1
yellow,white,0.1
muffins,chips,0.1
perfect,amazing,0.7
white,white,1.0
on the plate,on top of,0.3
red,yellow,0.1
in the left side,in the center,0.2
brown,brown,1.0
pecan,pecans,0.9
white,white,1.0
on top,on top of,0.9
reddish-brown,brown,0.7
tan,brown,0.5
overlapping,angled,0.2
brown,green,0.0
on the cracker,located in,0.2
appetizer,salad,0.6
penne,ravioli,0.2
distributed,distributed,1.0
red,yellow,0.1
cilantro,parsley,0.6
on top of,on top,0.9
penne,ravioli,0.2
red-orange,red,0.7
sauteed,diced,0.3
peppers,mushrooms,0.1
green,red,0.0
peppers,tomatoes,0.3
scattered across,scattered across,1.0
glistening,glistening,1.0
white,white,1.0
pesto,barbeque,0.1
container,jar,0.7
vibrant,vibrant,1.0
textured,creamy,0.2
pesto,pesto,1.0
fills,fills,1.0
white,white,1.0
on top of,on top,0.9
chicken,chicken,1.0
falling onto,spilled,0.3
green,green,1.0
scattered,scattered,1.0
pickles,oats,0.1
glass,glass,1.0
full,filled,0.7
yellow,green,0.1
sliced,cut,0.9
yellowish-green,green,0.7
pickles,pickles,1.0
on the left side,on the left,1.0
white,white,1.0
clear,clear,1.0
pickles,pickles,1.0
green,green,1.0
in a jar,jars,0.5
melted,melted,1.0
