answer,predicted_answer,bleu_score
golden-brown,golden brown,0.0
lasagna,lasagna,1.0
black,black,1.0
on a black stovetop,on a baking sheet,0.16821895003341453
green,white,0.0
green,green,1.0
lasagna,A taco salad,0.0
red,red,1.0
yellow,yellow,1.0
on top of,it is not on the plate,0.03759340464156993
banana,mango,0.0
yellow,yellow,1.0
on the left,on the left side,0.43146827293898643
green,green,1.0
clear,clear,1.0
yellow,yellow-orange,0.0
into the lassi,in the drink,0.07249749990681824
green,green,1.0
transparent,clear,0.0
white,white,1.0
tan,white and brown,0.0
on a plate,on a white plate,0.18616487055295167
white,white,1.0
tan,brown,0.0
on top of,on top of the whipped cream,0.23376641384792204
strawberry,strawberry,1.0
white,white with red accents.,0.061033220311973134
latte,mocha coffee,0.0
shaved chocolate,cinnamon,0.0
brown,coffee,0.0
on top of,on top of the coffee,0.29950981436291046
yellow,white,0.0
in the center,in the crust,0.21177974141341938
pie,lemon pie,0.06754436142034707
triangular,triangular,1.0
on the top,on top of the pie,0.06007837481758424
lemon,"there is no cream, however, the dish is likely to be made with eggs and parmesan cheese.",0.0
yellow,yellow,1.0
spoon,a spoon,0.06754436142034707
yellow,yellow,1.0
jars,jars,1.0
lemon curd,caramel corn,0.0
on the tray,in the jar of mocha coffee,0.03759340464156993
tan,light brown,0.0
cookies,pizza,0.0
on a sheet,on the baking sheet,0.07258113984652705
pink,pink,1.0
strawberry,lemon,0.0
yellow,yellow,1.0
on the rim,on the side of the drink,0.09717716588732002
Lemonade,iced coffee,0.0
Lemonade,mocha coffee,0.0
yellow,yellow,1.0
brown,light brown,0.06754436142034707
brown,brown,1.0
lentils,soup,0.0
visible,yes,0.0
light brown,brown,0.36787944117144233
dispersed,in the sauce,0.0
yellowish-orange,orange,0.0
lentils,rice,0.0
dispersed,scattered,0.0
green,green,1.0
dispersed,left side,0.0
red,red,1.0
green,green,1.0
orange-brown,orange,0.0
on the left,left side of the plate,0.05428693985879238
to the right,above,0.0
grain,couscous,0.0
translucent,clear,0.0
glass,glass,1.0
whitish-yellow,clear,0.0
on the rim,behind the mug,0.07249749990681824
lime,There is no fruit on the rim of the glass. There is a lemon wedge on the side of the glass.,0.0
yellow,white,0.0
linguine,linguine,1.0
green,green,1.0
scattered,Scattered,0.0
beige,pale yellow,0.0
pasta,pasta,1.0
brown,dark brown,0.06754436142034707
green,green,1.0
on top of,on top of the pasta,0.29950981436291046
white,white,1.0
golden-brown,golden-brown,1.0
on a plate,on a plate,0.5757197301274735
blueberries,blueberries,1.0
wooden,wood,0.0
cheese,a biscuit,0.0
yellow,white,0.0
on the left,to the left,0.21177974141341938
yes,"No, the rolls are not vegan, as they contain butter and cheese.",0.0
white,white,1.0
in the center,side by side,0.0
golden,golden-brown,0.0
overlapping,they are overlapping,0.07249749990681824
reddish-brown,golden brown,0.0
reddish-brown,dark brown,0.0
on the right side,on the plate,0.15174681566793558
bowl,a bowl,0.06754436142034707
yellow,yellow,1.0
covering,binding,0.0
vibrant,appealing,0.0
skillet,a pan,0.0
browned,brown,0.0
yellow,yellow,1.0
on top of,on top of the cheese,0.29950981436291046
green,green,1.0
in the center,in the middle of the plate,0.09717716588732002
macaroni,macaroni,1.0
yellow,macaroni is not visible in this image.,0.0
on the top,on top,0.04871911135426937
yellow,yellow,1.0
macaroni,pasta,0.0
clustered,in a pile,0.0
on the left side,left,0.049787068367863944
ginger,teriyaki,0.0
Mahi Mahi,There is no fish in this image.,0.0
brown,dark brown,0.06754436142034707
in the bottom center,not in the image,0.16821895003341453
golden-brown,"the fish is not labeled, but it is likely to be a white fish.",0.0
Mahi Mahi,Mahi-mahi,0.0
yellow,yellow,1.0
beans,green beans,0.06754436142034707
white,white,1.0
reddish-brown,burnt brown,0.0
green,green,1.0
orange,orange,1.0
spinach,spinach,1.0
melted,melted,1.0
sticky,sticky,1.0
yellow,yellow,1.0
arranged,in a fan shape,0.0
on top of,on top,0.13427896671164932
pink,orange,0.0
Cadillac,margarita,0.0
white,clear,0.0
on the surface,to the side of the glass,0.03759340464156993
green,green,1.0
yellowish-green,yellow,0.0
margaritas,margarita,0.0
silver,silver,1.0
yellow-green,white,0.0
white,white,1.0
yellow,yellow,1.0
white,white,1.0
from the top,on the rim of the glass,0.03759340464156993
margaritas,margaritas,1.0
blue,turquoise,0.0
on the plate,on a plate,0.08621454270909737
green,green,1.0
red,red,1.0
blackberries,blackberries,1.0
on the wooden surface,on top of the mocha,0.05428693985879238
green,green,1.0
marinade,a sauce,0.0
surrounding,on the right side of the dish,0.0
chicken,fish,0.0
glossy,it appears to be brown,0.0
in the background,on top,0.0
viscous,liquid,0.0
marinade,"the sauce is likely a homemade sauce that includes olive oil, parmesan cheese, black pepper, and dried oregano, which is used for the dish",0.0
in the bowl,in a bowl,0.08621454270909737
in the center,in the center of the image,0.23376641384792204
lemon,lemon,1.0
reddish-brown,orange,0.0
coats,gives it a golden-brown color,0.0
skewers,a skewer,0.0
white,white,1.0
reddish-brown,red,0.0
chicken,pork,0.0
on the upper chicken,on the chicken,0.16793545727180179
amber,orange,0.0
marmalade,jelly,0.0
amber,orange,0.0
glass,glass,1.0
orange,orange,1.0
amber,red-orange,0.0
marmalade,jelly,0.0
striped,yellow and white stripes,0.0
to its left,to the right,0.07249749990681824
brown,white,0.0
coated,coconut,0.0
three,there is no marshmallow logs in the image,0.0
on the left,to the left,0.21177974141341938
coconut,coconut,1.0
marshmallows,marshmallows,1.0
light pink,pink,0.36787944117144233
on a small plate,on the plate,0.06177541927786947
bottom,on the left side of the plate,0.0
vibrant,The drink is pink and has a sugar rim and lime and watermelon garnish.,0.0
watermelon,watermelon,1.0
pink,red,0.0
on the top,on the edge of the drink,0.09717716588732002
green,green,1.0
red,red,1.0
stemmed,martini glasses,0.0
brown,white,0.0
on top of,on the surface,0.07249749990681824
reddish-purple,brown,0.0
martini,mocha coffee,0.0
red,red,1.0
with two bright red cherries,cherries,0.01831563888873418
agave,a bottle of sriracha,0.0
pistachio,almonds,0.0
green,green,1.0
cylindrical,cylindrical,1.0
rectangular bar,rectangular,0.36787944117144233
on the left side,in the center of the plate,0.03759340464156993
white,white,1.0
orange,orange,1.0
carrots,carrots,1.0
in a bowl,on a plate,0.07249749990681824
crispy,crispy,1.0
chicken,pork,0.0
white,white,1.0
yellow,yellow,1.0
on a plate,on a plate,0.5757197301274735
mayo,butter,0.0
smooth,Smooth,0.0
gray,not visible,0.0
in the upper left corner,on the side of the plate,0.03759340464156993
bowl,sauce,0.0
orange,orange,1.0
basil,basil,1.0
on a light-colored surface,on a table,0.15174681566793558
light green,green,0.36787944117144233
fills,it appears to be blended into the soup,0.0
bowl,a bowl,0.06754436142034707
leaves,brussels sprouts,0.0
to the right of,on the right side,0.16821895003341453
yellow,yellow,1.0
meatballs,shrimp,0.0
on top,in the white sauce,0.0
green,green,1.0
orange-brown,brown,0.0
tomato sauce,tomato sauce,0.2213885886251307
covers,The tomato sauce covers the meatballs.,0.03759340464156993
green,green,1.0
sweet,"meatballs are likely seasoned with salt, pepper, and herbs, and may also contain additional ingredients such as garlic, onion, and breadcrumbs. The flavor of the meatballs is likely savory and slightly sweet, with a rich, meaty taste.",0.0
meatballs,meatballs,1.0
brownish-red,brown,0.0
in the center,on top of the sauce,0.0456496931223525
bowl,a sauce,0.0
creamy,thick and creamy,0.07249749990681824
meatballs,shrimp,0.0
orange,orange,1.0
underneath,underneath the meatballs,0.07249749990681824
green,green,1.0
brown,dark brown,0.06754436142034707
salad,a salad,0.06754436142034707
sliced,sliced,1.0
is in,not shown,0.0
golden,golden-brown,0.0
meatloaf,meatloaf,1.0
light-brown,brown,0.0
reddish-brown,dark brown,0.0
towards the right side,center,0.0
dark,charred,0.0
meatloaf,meatloaf,1.0
white,white,1.0
with sprigs,thyme,0.0
bright,green,0.0
broccoli,broccoli,1.0
red,pink,0.0
browned,the cubes appear to be cooked,0.0
across the image,evenly,0.0
yellow,orange,0.0
smoothie,mocha,0.0
glass,glass,1.0
white,orange,0.0
near to,next to the dish,0.061033220311973134
clear,clear,1.0
pitcher,a jar,0.0
beige,light brown,0.0
in the center-left,on a wooden surface,0.0
pink,pink,1.0
milkshakes,milkshake,0.0
topped,on top of the whipped cream,0.0
red,red,1.0
on each milkshake,top of the whipped cream,0.0
chocolate,chocolate,1.0
brown,beige,0.0
on top,on top of the chocolate frosting,0.09717716588732002
clear,clear,1.0
pitcher,a pitcher,0.06754436142034707
yellow,yellow,1.0
on a wooden board,on a wooden cutting board,0.32184424080043433
yellowish,yellow,0.0
tofu,the tofu,0.06754436142034707
scattered across,scattered around the soup,0.061033220311973134
blue,white,0.0
reddish-brown,reddish-brown,1.0
jar,a bottle,0.0
viscous,smooth,0.0
on the top,sprinkled on top of the mocha coffee,0.042587297623443834
tomatoes,tomatoes,1.0
bowl,a bowl,0.06754436142034707
mixed,randomly,0.0
brown,brown,1.0
orange,yellow,0.0
in a clear glass bowl,inside the tin,0.0
brown,brown,1.0
bowl,a bowl,0.06754436142034707
candies,candy corn,0.0
golden-brown,gold,0.0
blue,blue and white,0.07249749990681824
wooden,wood,0.0
pretzels,chex mix,0.0
orange,orange,1.0
on the left,next to the plate,0.061033220311973134
beige,golden-brown,0.0
brown,brown,1.0
towards the bottom,on top of the other ingredients,0.03759340464156993
brown,white,0.0
jar,a jar,0.06754436142034707
filled,It is crushed.,0.0
white,brown and white,0.07249749990681824
to the left of,in the background,0.05194672862155564
brown,brown,1.0
foamy,whipped cream,0.0
with whipped cream,whipped cream and chocolate chips,0.12121093525642128
scattered,on top of the whipped cream,0.0
yellow-green,greenish-yellow,0.0
mojito,mocha,0.0
green,green,1.0
by the Pitcher,"Not served, the image shows a plate of food, not a mojito",0.020044994979069072
fresh,green,0.0
green,green,1.0
mojito,a mocha coffee,0.0
yellow,green,0.0
strawberry,strawberry,1.0
transparent,clear,0.0
mousse,mousse,1.0
brown,brown,1.0
creamy,smooth,0.0
on a silver tray,on the plate,0.05194672862155564
golden-yellow,golden brown,0.0
muffins,muffins,1.0
obscuring,leaning,0.0
blue,blue,1.0
beverage,cocktail,0.0
fill,there are no ice cubes in the glass.,0.0
white,white,1.0
on top of,on top of the drink,0.29950981436291046
copper,copper,1.0
mug,a mug,0.06754436142034707
green,green,1.0
yellow,green,0.0
on the wooden surface,on top of the ice,0.05428693985879238
brown,light brown,0.06754436142034707
mushrooms,"mushroom, pork, and onion stir-fry",0.0
glossy,thick,0.0
green,green,1.0
in a pile,on top of the onions,0.0
yellow,yellow,1.0
eggs,scrambled eggs,0.06754436142034707
mushroom,mushrooms,0.0
brown,mushrooms are brown and white,0.0456496931223525
chicken,shrimp,0.0
brown,cream-colored,0.0
on the right,it is not visible,0.0
herbs,parsley,0.0
creamy,soft,0.0
mushrooms,mushrooms,1.0
black,black,1.0
from the pan,in a pan,0.07249749990681824
brown,dark brown,0.06754436142034707
yellow,white,0.0
enoki mushrooms,Enoki mushrooms,0.06754436142034707
tangled,long,0.0
strands,"long, thin, and white",0.0
immersed,cooked,0.0
mussels,mussels,1.0
orange-red,orange,0.0
brownish-red,red,0.0
on the left,on the left side of the plate,0.19308506685901675
yellow-orange,orange,0.0
pouring,The spoon is pouring the sauce into the jar.,0.02573285025273419
jar,a jar,0.06754436142034707
wooden,wood,0.0
above the jar,above the jar,0.5757197301274735
glass,ceramic,0.0
wooden,wood,0.0
mustard,butter,0.0
to the right,to the left,0.21177974141341938
Dijon,"There is no mustard in the jars. The jars contain what appears to be a creamy coffee beverage, likely mocha.",0.0
tan,tan,1.0
lined up,There are no jars in the image.,0.0
jars,jars,1.0
creamy,thick,0.0
nachos,nachos,1.0
light-orange,orange,0.0
on top of,on top of the nachos,0.29950981436291046
bowl,a jar,0.0
potato,potatoes,0.0
white,white,1.0
golden-brown,golden brown,0.0
cheese,cheese,1.0
on a plate,on a plate,0.5757197301274735
chocolate,chocolate,1.0
nachos,pita chips,0.0
brown,light brown,0.06754436142034707
white,"there is no paper plate, the dish is on a white plate.",0.020044994979069072
on top of,on the middle of the pizza,0.044706344276931285
smooth,smooth,1.0
glass,a glass,0.06754436142034707
pink,pink,1.0
refresher,coffee,0.0
soup,a bowl of chicken soup with lime and jalapeno slices,0.023457495174891017
green,green,1.0
