Image,Question,Answer,Predicted_Answer,gpt_score
c0975f297eda584,What does the fettuccine do in the frame,fills,twists around a bowl,0.2
c0975f297eda584,What type of pasta is shown,fettuccine,linguine,0.7
c0975f297eda584,What is the texture of the sauce,creamy,smooth,0.7
c0975f297eda584,What is scattered on top of the pasta,cheese,parmesan cheese,0.9
c0975f297eda584,Where are the thin strands of cheese located,on top of,on top of pasta,0.9
4a760002afb43b8,What is the color of the base of the dish,white,white,1.0
4a760002afb43b8,Where is the fettuccine located in the dish,located throughout,underneath the toppings,0.2
4a760002afb43b8,What type of meat is scattered on top of the pasta,chicken,chicken,1.0
4a760002afb43b8,What color are the slightly browned areas on the chicken,asparagus,brown,0.1
614c5dee532b78e,What color are the figs,purple,purple,1.0
614c5dee532b78e,What type of fruit is shown in the image,figs,none,0.0
614c5dee532b78e,Where is the goat cheese placed,on top of,on top of the meat,0.9
614c5dee532b78e,What is the texture of the goat cheese,creamy,crumbly,0.2
614c5dee532b78e,How is the goat cheese distributed,scattered,crumbled,0.6
a31ea68b260d0c2,What color is the interior of the cut filet,pinkish-red,pink,0.7
a31ea68b260d0c2,What type of meat is shown in the image,filet,pork,0.1
a31ea68b260d0c2,What color is the seared exterior of the filets,brown,dark brown,0.9
a31ea68b260d0c2,Where are the filets placed,on a plate,on a plate,1.0
a31ea68b260d0c2,How is the exterior of the filets described,seared,crispy,0.6
260ac1e7d31775e,What color is the plate,blue,blue,1.0
260ac1e7d31775e,What type of food is being served,fish,fish,1.0
260ac1e7d31775e,What herb is scattered on the fish,dill,dill,1.0
260ac1e7d31775e,What color is the fish generally,white,white,1.0
395a4e305e40a37,What flavor is the fish,Lemony,herb seasoned,0.2
395a4e305e40a37,What type of food is shown in the image,Fish,salmon,0.7
395a4e305e40a37,What color is the plate,Orange,orange,1.0
395a4e305e40a37,Where is the fish placed,on plate,on the plate,0.9
395a4e305e40a37,What color are the herbs on the fish,Green,green,1.0
a5b87a311528eb8,What color is the plate,yellow,white with blue flowers,0.1
a5b87a311528eb8,What type of food is in the center of the plate,fish,fried fish,0.7
a5b87a311528eb8,What color is the fish,golden-brown,no fish,0.1
a5b87a311528eb8,Where is the fish located,on a plate,on the plate,1.0
a5b87a311528eb8,What color are the scallions on the fish,green,green,1.0
ce3a724e27e8f9f,What color is the fish,white,white,1.0
ce3a724e27e8f9f,What is the main ingredient in the dish,fish,rice,0.0
ce3a724e27e8f9f,What color is the sauce on top of the fish,brown,brown sauce,0.7
ce3a724e27e8f9f,Where is the ginger placed,on top of,on the fish,0.2
ce3a724e27e8f9f,What color are the scallions on top of the fish,green,green,1.0
27bc4f71b275ae7,What is in the clear glass,drink,coffee,0.7
27bc4f71b275ae7,What color is the foam on the drink,white,white,1.0
27bc4f71b275ae7,What color are the patterns on top of the foam,reddish-orange,brown,0.3
27bc4f71b275ae7,Where are the reddish-orange patterns located,on top of,on the foam,0.5
c3720ab16e601cc,What is the texture of the flan's top surface,shiny,crispy,0.2
c3720ab16e601cc,What type of dessert is shown in the image,flan,flan,1.0
c3720ab16e601cc,What color is the plate,white,white,1.0
c3720ab16e601cc,What color is the surface on top of the flan,caramel-colored,caramel,0.9
8988bdd592b7b2b,What type of meat is scattered on the flatbread,chicken,pork,0.0
8988bdd592b7b2b,How is the teriyaki sauce applied over the toppings,drizzled,drizzled,1.0
8988bdd592b7b2b,What is the color of the onions on the flatbread,purple,purple,1.0
a04609d90ed6c41,What color is the pineapple in the dish,yellow,yellow,1.0
a04609d90ed6c41,How is the pineapple prepared in the dish,diced,chopped,0.9
a04609d90ed6c41,What fruit is used in the dish,pineapple,pineapple,1.0
a04609d90ed6c41,What is the texture of the overall mixture,moist,crunchy,0.1
a04609d90ed6c41,How are the bread and pineapple pieces distributed in the dish,throughout the dish,mixed together,0.3
df836fe70475d5d,What type of container is the Cranberry Fluff served in,glass,a bowl,0.2
df836fe70475d5d,How full is the bowl with the Cranberry Fluff,filling,full,0.5
df836fe70475d5d,What fruit pieces are visible in the Cranberry Fluff,cranberries,cranberries,1.0
df836fe70475d5d,What fruit halves are prominently visible on the right side of the mound,grapes,grapes,1.0
df836fe70475d5d,Where is the Cranberry Fluff mounded to,to the brim,on the plate,0.2
93caec07215ba61,What color is the interior of the focaccia,yellow,light yellow,0.9
93caec07215ba61,What type of bread is shown in the image,focaccia,focaccia,1.0
93caec07215ba61,What color is the basil on top of the focaccia,green,green,1.0
93caec07215ba61,What material is the surface the focaccia is resting on,wooden,wood,0.9
82927363da2288b,What color is the fondue in the bowl,yellow,yellow,1.0
82927363da2288b,What is the fondue contained in,bowl,cheese,0.1
82927363da2288b,What is the state of the bread's crust,toasted,toasted,1.0
82927363da2288b,What color is the crust of the bread,golden-brown,golden brown,1.0
82927363da2288b,Where is the fondue dripping from,down from,the bread,0.1
2d2938a660f6b1d,What color are the pretzel rings,brown,unanswerable,0.0
2d2938a660f6b1d,What type of food item is drizzled with white chocolate,pretzel,caramel corn,0.2
82c11793c3b8518,What color is the dessert,brown,there is no dessert,0.0
82c11793c3b8518,What type of food is shown in the image,dessert,pork and veggies,0.1
82c11793c3b8518,What shape are the desserts,rectangular,square,0.5
f189044f1aaf168,What color are the slivered almonds on the candies,brown,light brown,0.9
f189044f1aaf168,What type of nuts are scattered on the candies,almonds,almonds,1.0
f189044f1aaf168,How are the almonds positioned on the candies,scattered,chopped,0.3
ff63f9d9e982d84,What color is the baking dish,white,white,1.0
ff63f9d9e982d84,What type of dish is the Frito Pie Casserole in,casserole,baking dish,0.7
ff63f9d9e982d84,How are the chopped green onions arranged on top of the chips,scattered,sprinkled,0.7
ff63f9d9e982d84,What color is the mixture underneath the chips,reddish-brown,red,0.7
ff63f9d9e982d84,Where is the layer of Frito chips located,on top,under the toppings,0.2
c1995791b9f2571,What color is the pan,black,black,1.0
c1995791b9f2571,What color is the base of the frittata,yellow,light yellow,0.9
c1995791b9f2571,How are the green herbs distributed in the frittata,scattered,scattered throughout,0.9
c1995791b9f2571,What are the bright red slices arranged in the center,tomatoes,tomato slices,0.7
c1995791b9f2571,Where are the slices of tomatoes located,in a black pan,on top of the pizza,0.2
76f8eb55a8ddb4a,What color is the frittata primarily,yellow,yellow,1.0
76f8eb55a8ddb4a,What vegetable is visible in the frittata,broccoli,broccoli,1.0
76f8eb55a8ddb4a,What is the overall tone of the frittata's color,light,yellow,0.3
76f8eb55a8ddb4a,What type of cheese is visible in the frittata,cheddar,cheddar,1.0
3fd383827ec0643,What color are the crab fritters,brown,golden brown,0.7
3fd383827ec0643,How are the crab fritters arranged on the plate,clustered,in a pile,0.7
3fd383827ec0643,What is the food served on,plate,a plate,1.0
3fd383827ec0643,What color are the lemon wedges,yellow,not visible,0.1
3fd383827ec0643,Where are the lemon wedges located,on the left,on the side,0.6
8fb828778ec290d,What color is the larger fritter,golden-brown,golden,0.7
8fb828778ec290d,What type of food is on the plate,fritter,potato pancakes,0.6
8fb828778ec290d,How does the texture of the fritter appear around the edges,crispy,crispy,1.0
8fb828778ec290d,What color is the plate,white,white,1.0
90566bb352454ee,What is the flavor of the frosting on the stack,chocolate,chocolate,1.0
90566bb352454ee,What is the arrangement of the chocolate-frosted items,stack,stacked,0.6
90566bb352454ee,What color is the chocolate frosting,brown,brown,1.0
90566bb352454ee,Where is the stack of chocolate-frosted items placed,on a plate,on a plate,1.0
a238a1570e7fe42,What is the shape of the frosting,swirled,swirled,1.0
a238a1570e7fe42,What color is the frosting,pink,pink,1.0
a238a1570e7fe42,What is the dessert in the image,cupcake,cupcake,1.0
a238a1570e7fe42,What fruit is in the frosting,cherry,strawberries,0.2
a238a1570e7fe42,Where is the frosting located,on top of,on the cupcake,0.3
d5e6b885904e072,What are the containers holding the frosting,bowls,there is no frosting.,0.1
0de51666d9bbd9c,What does the frosting evenly do to the cake,coats,covers it,0.2
0de51666d9bbd9c,What is the dessert in the image,cake,chocolate cake,0.9
0de51666d9bbd9c,What color is the frosting,brown,chocolate,0.6
0de51666d9bbd9c,Where is the cake placed,on the plate,on a plate,0.9
97145150b1c3a0a,What color is the plate,blue,white,0.0
97145150b1c3a0a,What type of dish are shown in the image,fries,pasta,0.2
97145150b1c3a0a,What color is the melted cheese,orange,melted,0.1
97145150b1c3a0a,Where is the melted cheese located,on top of,on top of fries,0.9
a88c7dd881219e4,What color are the French fries in the casserole,yellow,unanswerable,0.0
a88c7dd881219e4,What type of dish is the food in the image,casserole,macaroni and cheese,0.6
17b989adaf9150e,What color is the plate,white,white,1.0
17b989adaf9150e,What type of food is described as golden-brown,fries,fried pork,0.2
17b989adaf9150e,What color are some of the fillings,golden-brown,orange,0.4
17b989adaf9150e,What color are some of the other fillings,orange,orange,1.0
17b989adaf9150e,Where are the green spices sprinkled,on top of,on the top,0.9
a9c7fa28ed37744,What is the primary color of the fries,yellow,golden brown,0.6
a9c7fa28ed37744,What vegetable are the fries made from,potato,potatoes,1.0
a9c7fa28ed37744,What color is the skin on some of the fries,reddish-brown,red,0.7
a9c7fa28ed37744,Where are the fries placed,on a plate,not present,0.0
892b050aed75a1b,What is the primary color of the sweet potato fries,yellow,orange,0.2
892b050aed75a1b,What type of food is shown in the image,fries,french fries,1.0
892b050aed75a1b,What is the appearance of the edges of some fries,charred,burnt,1.0
892b050aed75a1b,Where are the fries arranged on the plate,in the center,randomly,0.1
892b050aed75a1b,What color is the napkin under the plate,blue,blue,1.0
07cf1edcce84e68,What is the base color of the fudge,white,white,1.0
07cf1edcce84e68,What type of food is shown in the image,fudge,white chocolate fudge,0.7
07cf1edcce84e68,What color are the cranberries in the fudge,red,red,1.0
07cf1edcce84e68,What type of nuts are in the fudge,walnuts,walnuts,1.0
bf0ab2726eb40b3,What color is the fudge,brown,light brown,0.9
bf0ab2726eb40b3,What type of dessert is shown,fudge,caramel fudge,0.9
bf0ab2726eb40b3,Where is the fudge located in the image,on the left,in a square,0.2
bf0ab2726eb40b3,What does the surface of the fudge have,sheen,shiny surface,0.7
34f562a43a24940,What color is the crust of the galette,golden-brown,golden brown,1.0
34f562a43a24940,What color are the cherry tomatoes,red,red,1.0
34f562a43a24940,Where are the basil leaves located on the galette,atop the galette,top left corner,0.2
34f562a43a24940,What color are the basil leaves,green,there are no basil leaves.,0.1
599a7d7530ff76b,What color is the surface of the Galette des Rois,golden-brown,brown,0.7
599a7d7530ff76b,What type of food is the Galette des Rois,pastry,a cake,0.7
599a7d7530ff76b,What color is the powdered sugar on the Galette des Rois,white,white,1.0
599a7d7530ff76b,How is the powdered sugar distributed on the Galette des Rois,sprinkled,on top,0.2
5b46052cbc1ded8,What fruit is red and placed towards the top and center,strawberry,strawberries,1.0
5b46052cbc1ded8,What color is the crust of the galette,golden-brown,light brown,0.7
5b46052cbc1ded8,What fruit is dark blue and nestled among the strawberry slices,blueberries,blueberries,1.0
5b46052cbc1ded8,Where are the strawberry slices placed,towards the top,on top of the pizza,0.2
fb707f2c874780c,What is the color of the outer layers of the garlic,tan,white,0.1
fb707f2c874780c,What is the main ingredient in the image,garlic,garlic,1.0
fb707f2c874780c,What is the color of the exposed cloves of garlic,yellow,yellow,1.0
fb707f2c874780c,What is the color of the foil surrounding the garlic,silver,silver,1.0
014f5ece7199f30,What color is the lemon-lime soda gelatin salad,green,green,1.0
014f5ece7199f30,What type of dish is the lemon-lime soda gelatin salad,dessert,jello salad,0.3
014f5ece7199f30,What is the texture of the lemon-lime soda gelatin salad like,gelatin,gelatinous,0.7
014f5ece7199f30,What is the overall impression of the lemon-lime soda gelatin salad,creamy,refreshing,0.3
3920c6be53a6f6c,What color is the chicken,golden-brown,white,0.1
3920c6be53a6f6c,What is the chicken served in,bowl,on rice,0.2
3920c6be53a6f6c,How is the chicken arranged,sliced,sliced,1.0
3920c6be53a6f6c,What color are the garnishes on the chicken,green,green,1.0
3920c6be53a6f6c,Where is the chicken placed in relation to the rice,on top of,on top of rice,0.9
a3729bd13d1a3ce,"What ingredient adds a warm, spicy flavor to the dish",ginger,pepper flakes,0.2
a3729bd13d1a3ce,What is the main protein in the dish,chicken,chicken,1.0
a3729bd13d1a3ce,What color is the plate,white,white,1.0
a3729bd13d1a3ce,Where is the stir-fry placed,on a plate,on a plate,1.0
a3729bd13d1a3ce,What color are the bell pepper slices primarily located on the left side of the plate,red,red,1.0
00e593048406ff1,What is the color of the ginger syrup,translucent,golden yellow,0.2
00e593048406ff1,What is the syrup contained in,jar,lemon,0.1
00e593048406ff1,What color is the ginger syrup,amber,yellow,0.5
00e593048406ff1,Where is the jar positioned in the image,in the center,on a wooden board,0.3
fea12437470c358,What color is the crust of the treats,yellow,golden brown,0.6
fea12437470c358,What type of treats are shown in the image,gingerbread,"Not applicable, it's not treats",0.1
fea12437470c358,What is on top of the gingerbread treats,chocolate,powdered sugar,0.2
fea12437470c358,What color is the plate,beige,beige,1.0
e54f96ac6dd17b3,What color is the gingerbread house,brown,brown,1.0
e54f96ac6dd17b3,Is the gingerbread house shaped like a house,yes,yes,1.0
e54f96ac6dd17b3,What color is the icing on the roof,white,white,1.0
e54f96ac6dd17b3,What shape is formed by the light blue and pink candies,flower,flower,1.0
a39e3415ded2a21,What color are the dots on the tan gingerbread figure in the left center,green,red,0.0
a39e3415ded2a21,Where is the dark brown gingerbread man with green icing located,on top,behind the pink man,0.2
59f3fdd700719ff,What type of cookies are on the plate,gingerbread cookies,ginger snaps,0.7
59f3fdd700719ff,What color are the gingerbread cookies,brown,brown,1.0
59f3fdd700719ff,Where is the glass situated,on a plate,on a plate,1.0
40731821312df84,What is the color of the vanilla glaze,beige,white,0.2
40731821312df84,What type of baked goods are shown in the image,cookies,cookies,1.0
40731821312df84,How are the cookies arranged,stacked,stacked,1.0
40731821312df84,Where is the glaze spread on the cookies,on top of,on top of cookies,0.9
e2f346240095e65,What color is the bowl the soup is served in,white,white,1.0
e2f346240095e65,What color is the soup base,yellow,white,0.1
e2f346240095e65,What meat is scattered throughout the soup,bacon,bacon,1.0
e2f346240095e65,Where are the chopped green onions placed,on top,not shown,0.1
bb9b1c1288afbc7,What type of pasta is pale yellow and scattered on the plate,gnocchi,fries,0.1
bb9b1c1288afbc7,What seafood is distributed around the center and left side of the plate,shrimp,shrimp,1.0
bb9b1c1288afbc7,What color are the asparagus spears,green,green,1.0
f72def05a510d0d,What color is the chicken sausage,brownish-red,there is no chicken,0.0
f72def05a510d0d,What type of dumplings are in the dish,gnocchi,potato dumplings,1.0
f72def05a510d0d,What color are the broccoli florets,green,green,1.0
f72def05a510d0d,Where are the food items located,on a plate,on a plate,1.0
0596db289a95c00,What color is the rotini pasta,yellow,white,0.1
0596db289a95c00,What type of food is the rotini,pasta,pasta,1.0
0596db289a95c00,What color is the tomato-based sauce,red,red,1.0
0596db289a95c00,Where is the sprig of parsley placed,on top of,on top of pasta,0.9
0596db289a95c00,What color is the sprig of parsley,green,green,1.0
24e93d74ec63682,What color is the macaroni in the Goulash Supreme,orange-brown,white,0.1
24e93d74ec63682,What type of pasta is used in the Goulash Supreme,macaroni,macaroni,1.0
24e93d74ec63682,How are the macaroni pieces arranged in the bowl,scattered,randomly,0.6
24e93d74ec63682,What color are the diced tomatoes in the Goulash Supreme,red,red,1.0
24e93d74ec63682,Where is the green sprig of parsley located,at the top,top right corner,0.6
4fe57bd9df72e3f,How is the ground beef arranged in the bowl,scattered,crumbled,0.6
4fe57bd9df72e3f,What type of meat is used in the dish,beef,ground beef,0.9
4fe57bd9df72e3f,What color are the potatoes,yellow,golden,0.7
4fe57bd9df72e3f,What color are the carrots,orange,orange,1.0
ba01bc8f6481ce0,What color are the specks of lemon zest in the granita,yellow,yellow,1.0
ba01bc8f6481ce0,What fruit is used to flavor the granita,lemon,lemon,1.0
ba01bc8f6481ce0,What material is the granita served in,glass,crushed ice,0.3
e26db2540b79be7,What fruit is used to make the granita,watermelon,watermelon,1.0
e26db2540b79be7,What is placed on top of the granita,mint,a sprig of mint,0.7
56f2be6ebb5a498,What color is the granola,brown,brown,1.0
56f2be6ebb5a498,What type of food is shown in the image,granola,cereal,0.7
56f2be6ebb5a498,What color are the cranberries in the granola,red,red,1.0
1de8bda867af12d,What is the primary color of the granola,brown,golden brown,0.8
1de8bda867af12d,What type of food is being described,granola,a bowl of food,0.5
1de8bda867af12d,What color are the cranberries in the granola,red,red,1.0
1de8bda867af12d,How are the coconut flakes distributed in the granola,scattered,scattered throughout,0.9
1de8bda867af12d,Where are the almonds located in the granola,in the mixture,on the top,0.2
c8325a55672f711,What is the color of the creamy sauce,yellow,white,0.1
c8325a55672f711,What is the main ingredient in the dish,potatoes,potatoes,1.0
c8325a55672f711,What color are the potato slices,yellow,light yellow,0.9
c8325a55672f711,Where are the potatoes placed,in a baking dish,on top of the dish,0.5
6469a613547241c,What color is the dish,yellow,blue,0.0
6469a613547241c,What type of container holds the scallops,dish,a bowl,0.5
6469a613547241c,What color are the scallops,white,white,1.0
6469a613547241c,What is the color of the sauce surrounding the scallops,yellow,white sauce,0.1
6469a613547241c,Where is the dish positioned in the frame,in the lower center,on the table,0.2
8659c8bf322c959,What is the size of the ham pieces,diced,small cubes,0.7
8659c8bf322c959,What type of seafood is in the bowl,shrimp,shrimp,1.0
f8f3ab847fbd98e,What color are the carrot pieces,orange,orange,1.0
f8f3ab847fbd98e,What is the main liquid in the pot,broth,broth,1.0
f8f3ab847fbd98e,Where are the carrots and celery positioned,on the left,in the broth,0.2
37efc4acb95a4cc,What is the food served in,bowl,spinach,0.1
37efc4acb95a4cc,What color is the lemon wedge,lemon,yellow,0.5
37efc4acb95a4cc,What color is the lemon wedge,yellow,yellow,1.0
37efc4acb95a4cc,Where is the lemon wedge placed in the bowl,on the left side,on the side,0.7
768d83ac0f75f2c,How are the chicken pieces arranged in the dish,scattered,scattered,1.0
768d83ac0f75f2c,What color is the sauce in the gumbo,brown,brown,1.0
768d83ac0f75f2c,What type of meat is included in the gumbo besides sausage,chicken,pork,0.0
768d83ac0f75f2c,What type of meat is included in the gumbo besides chicken,sausage,sausage,1.0
57fcd575d52b6f1,What color is the pita bread,beige,white,0.2
57fcd575d52b6f1,What type of food is shown in the image,gyros,a plate of food,0.5
57fcd575d52b6f1,What color is the gyro meat,brown,golden brown,0.7
57fcd575d52b6f1,Where are the gyros mostly arranged in the image,on the left side,on the plate,0.3
57fcd575d52b6f1,What color are the lettuce leaves,green,there are no lettuce leaves.,0.1
501fae196787866,What is the texture of the panko crust,crispy,crunchy,0.7
501fae196787866,What type of fish is shown in the image,halibut,There is no fish.,0.0
501fae196787866,What color is the halibut,white,white,1.0
501fae196787866,What color are the beans,green,green,1.0
501fae196787866,Where is the crispy panko crust located,on top,on the fish,0.2
ef1a71508ed5873,What color is the crust of the halibut,beige,golden,0.3
ef1a71508ed5873,What type of fish is being served,Halibut,halibut,1.0
ef1a71508ed5873,What color is the broccoli,green,green,1.0
ef1a71508ed5873,What is the broccoli located on,on the right,the plate,0.2
8a148819c0cb4f0,What color are the halloumi pieces after frying,golden-brown,golden brown,1.0
8a148819c0cb4f0,What type of cheese is being fried,halloumi,not cheese,0.1
8a148819c0cb4f0,What color is the plate,gray,white,0.1
8a148819c0cb4f0,Where is the lemon slice positioned on the plate,on the left,on the left,1.0
8a148819c0cb4f0,What color is the lemon slice,yellow,yellow,1.0
d0a17cef7c0faf3,What fruit is visible on the surface of the ham,apricot,none,0.0
d0a17cef7c0faf3,What color is the exterior of the ham,reddish-brown,brown,0.7
d0a17cef7c0faf3,What is next to the ham in the upper right quadrant of the plate,bowl,a small bowl,0.9
d0a17cef7c0faf3,Where is the bowl of brown sugar sauce located,in the upper right,on the plate,0.2
5d818c429496351,What color is the ham,pink,pink,1.0
5d818c429496351,What type of meat is shown in the image,ham,pork,0.3
cc1e04c85b3b6fb,What color is the ham inside the sandwich,pink,pink,1.0
cc1e04c85b3b6fb,What is the main food item in the image,sandwich,pork sandwich,0.9
cc1e04c85b3b6fb,What color are the pickle slices,green,green,1.0
cc1e04c85b3b6fb,Where are the food items placed,on a plate,on a plate,1.0
cc1e04c85b3b6fb,What color are the edges of the pickle slices,green,green,1.0
1c1452434772ef5,What is the primary color of the ham slices,pink,pink,1.0
1c1452434772ef5,What type of meat is shown in the image,ham,fried ham,0.9
1c1452434772ef5,What is the appearance of the edges of some ham slices,caramelized,blackened,0.3
1c1452434772ef5,Where are the ham slices layered,layered on,on top of salad,0.6
1c1452434772ef5,What is the ham layered on top of,lettuce,lettuce,1.0
b397bd5d4937bfb,What is the main vegetable in the hash,potato,sweet potatoes,0.7
b397bd5d4937bfb,What color are the cubed sweet potatoes,orange,orange,1.0
b397bd5d4937bfb,Where are the sprigs of dill located,throughout,on top of the food,0.2
b397bd5d4937bfb,What color is the yolk of the fried egg,yellow,yellow,1.0
8ba0dca8f0c3725,What color is the Texas Hash,brownish,brown,0.9
8ba0dca8f0c3725,What is the food served on,plate,a plate,1.0
8ba0dca8f0c3725,What color is the melted cheese,yellow,yellow,1.0
8ba0dca8f0c3725,Where are the scallions placed,sprinkled on top,on top of the food,0.5
8ba0dca8f0c3725,What color is the plate,white,white,1.0
7e60dd9c05f81e5,What color are the sweet potato cubes,orange,orange,1.0
7e60dd9c05f81e5,What type of vegetable is used in the hash,potato,potatoes,1.0
7e60dd9c05f81e5,How is the egg prepared,fried,fried,1.0
7e60dd9c05f81e5,Where is the fried egg placed,on top of,on top of the dish,1.0
7e60dd9c05f81e5,What is the red-colored item in front of the potatoes,bacon,ham,0.2
bae167eccbe36fa,What food item is shown in the image,hash browns,fried cheese cakes,0.1
bae167eccbe36fa,What color is the top of the top left hash brown,golden-brown,not visible,0.1
bae167eccbe36fa,Are the hash browns touching each other,yes,there are no hash browns.,0.1
bae167eccbe36fa,Where are the hash browns placed,on a plate,Not visible,0.1
9b5b05482f16491,What color are the hash browns,golden-brown,golden brown,1.0
9b5b05482f16491,What are the hash browns served on,plate,a plate,1.0
9b5b05482f16491,What color is the rim of the plate,orange,orange,1.0
9b5b05482f16491,What is sprinkled on the white creamy sauce,chives,green chives,1.0
71f29ccc1bb79d2,What color are the chicken hearts and mushrooms,brown,brown,1.0
71f29ccc1bb79d2,What type of meat is visible in the image,chicken,pork,0.0
71f29ccc1bb79d2,What color are the round objects in the upper right corner,yellow,golden yellow,0.9
71f29ccc1bb79d2,"Where are the pale yellow, round objects located in the image",in the upper right,in the background,0.2
6af6a4433e4a0c7,What color is the top of the Cornish Game Hen,golden-brown,golden brown,1.0
6af6a4433e4a0c7,What type of bird is shown in the image,hen,Cornish hen,0.9
6af6a4433e4a0c7,What color are the darker grains in the rice stuffing,brown,brown,1.0
6af6a4433e4a0c7,Where is the Cornish Game Hen positioned in the image,at the top left,center of the plate,0.2
4e8597ee35c2dfd,What type of food is in the bowl,salad,a salad,1.0
4e8597ee35c2dfd,What colors are present in the salad dressing,green-white,"white, green, brown",0.5
4e8597ee35c2dfd,Where is the dressing drizzled,over the salad leaves,on the salad,0.7
4e8597ee35c2dfd,What vegetable pieces are in the salad,tomatoes,tomatoes,1.0
00bf2bb6e5a159a,What type of beans are clustered on top of the hummus,edamame,edamame,1.0
00bf2bb6e5a159a,What is the base of the dish made of,hummus,pasta,0.1
00bf2bb6e5a159a,What color are the small seeds scattered on the hummus,black,black,1.0
00bf2bb6e5a159a,Where are the edamame beans located,on top of,in the middle,0.2
b3642208c36c1c0,What is the color of the hummus,yellow,light brown,0.2
b3642208c36c1c0,What is the dip in the bowl,hummus,hummus,1.0
b3642208c36c1c0,Where are the crackers placed in relation to the hummus,submerged,on the side,0.1
b3642208c36c1c0,What is served alongside the hummus,crackers,crackers,1.0
b3642208c36c1c0,Where are the crackers positioned in the bowl,on the right,on the side,0.5
1d926823e55a19f,What is the hummus served in,bowl,a bowl,1.0
1d926823e55a19f,What color is the hummus,brownish-green,yellow,0.2
