reference,hypothesis,gpt_score
on top of,above the chicken,0.7
ginger,ginger,1.0
chicken,chicken,1.0
white,green,0.1
on a plate,on a dark wooden surface,0.3
red,red,1.0
translucent,dark,0.1
jar,contained,0.2
amber,amber,1.0
in the center,positioned,0.3
yellow,brown,0.3
gingerbread,treats,0.4
chocolate,plate,0.0
beige,green,0.1
brown,gingerbread,0.2
yes,house,0.0
white,caramel,0.1
flower,sandwich,0.0
green,with white,0.1
on top,leans,0.1
gingerbread cookies,in the center,0.0
brown,reddish-brown,0.8
on a plate,red,0.0
beige,white,0.2
cookies,cookies,1.0
stacked,clustered,0.5
on top of,over the top,0.7
white,white,1.0
yellow,brown,0.2
bacon,egg,0.3
on top,on top,1.0
gnocchi,potatoes,0.3
shrimp,curry,0.1
green,green,1.0
brownish-red,brown,0.7
gnocchi,glass,0.0
green,green,1.0
on a plate,on the plate,0.9
yellow,orange,0.7
pasta,orange,0.0
red,red,1.0
on top of,on top of,1.0
green,green,1.0
orange-brown,yellow,0.2
macaroni,turkey,0.0
scattered,scattered,1.0
red,reddish-brown,0.7
at the top,in the lower left,0.0
scattered,red,0.0
beef,venison,0.3
yellow,golden-brown,0.6
orange,orange,1.0
yellow,yellow,1.0
lemon,lemon,1.0
glass,red,0.1
watermelon,pineapple,0.1
mint,red,0.0
brown,brown,1.0
granola,fajitas,0.0
red,red,1.0
brown,brown,1.0
granola,fritters,0.1
red,red,1.0
scattered,white,0.0
in the mixture,on a red cloth,0.0
yellow,yellow,1.0
potatoes,fries,0.7
yellow,on a plate,0.0
in a baking dish,scattered throughout,0.1
yellow,white,0.2
dish,bowl,0.7
white,are,0.0
yellow,with a reddish-brown tomato-based sauce,0.0
in the lower center,on the left side,0.2
diced,red,0.0
shrimp,mussels,0.2
orange,orange,1.0
broth,silver,0.0
on the left,mixed,0.0
bowl,bowl,1.0
lemon,yellow,0.3
yellow,yellow,1.0
on the left side,on the top,0.2
scattered,scattered,1.0
brown,brown,1.0
chicken,reddish-brown,0.1
sausage,chicken,0.2
beige,yellow,0.3
gyros,fajitas,0.1
brown,brown,1.0
on the left side,on top of,0.1
green,green,1.0
crispy,porous,0.2
halibut,Flounder,0.5
white,white,1.0
green,green,1.0
on top,is located on top,1.0
beige,white,0.2
Halibut,halibut,1.0
green,green,1.0
on the right,on the plate,0.2
golden-brown,golden-brown,1.0
halloumi,brie,0.3
gray,green,0.2
on the left,on the rim,0.2
yellow,yellow,1.0
apricot,cranberries,0.1
reddish-brown,brown,0.7
bowl,meatloaf,0.1
in the upper right,in the center,0.2
pink,reddish-brown,0.3
ham,chicken,0.2
pink,reddish-brown,0.3
sandwich,bread,0.7
green,green,1.0
on a plate,on the plate,0.9
green,green,1.0
pink,light pink,0.9
ham,chicken,0.2
caramelized,glossy,0.2
layered on,pinkish-brown,0.0
lettuce,cheese,0.1
potato,cabbage,0.2
orange,brown,0.2
throughout,on top,0.2
yellow,yellow,1.0
brownish,yellow,0.2
plate,plate,1.0
yellow,yellow,1.0
sprinkled on top,on top,0.7
white,green,0.1
orange,orange,1.0
potato,peppers,0.2
fried,fried,1.0
on top of,atop the quinoa,1.0
bacon,red,0.1
hash browns,hash browns,1.0
golden-brown,on top,0.0
yes,touching,0.0
on a plate,to the plate,0.5
golden-brown,golden-brown,1.0
plate,golden-brown,0.1
orange,with a red rim,0.1
chives,sprinkled,0.0
brown,dark,0.3
chicken,sausages,0.2
yellow,matzo balls,0.0
in the upper right,matzo balls,0.0
golden-brown,orange-brown,0.7
hen,hen,1.0
brown,brown,1.0
at the top left,located,0.2
salad,dog food,0.0
green-white,beige,0.1
over the salad leaves,on top of,0.5
tomatoes,green,0.2
edamame,tomatoes,0.1
hummus,rice,0.1
black,throughout,0.0
on top of,on top,0.9
yellow,light,0.2
hummus,hummus,1.0
submerged,bowl,0.1
crackers,chips,0.5
on the right,to the right,0.9
bowl,bowl,1.0
brownish-green,light,0.1
towards the top left,situated,0.2
beige,light,0.5
hummus,hummus,1.0
yellow,yellow,1.0
tomatoes,with a green rim,0.2
spices,dusted,0.1
yellow-beige,light,0.3
bowl,bowl,1.0
orange,orange,1.0
carrots,bowl,0.1
on the plate,within a white bowl,0.2
reddish-brown,red,0.6
jars,jars,1.0
in the center,across a colorful,0.0
orange,on a plate,0.1
jars,glass jars,0.9
glass,glass,1.0
in the center,in the upper half,0.2
pinkish-white,red,0.4
in the center,in each jar,0.1
bottom half,in the upper left quadrant,0.0
orange,amber,0.7
vibrant,vibrant,1.0
glass,glass jars,0.8
papaya,strawberries,0.1
fresh,vibrant,0.7
on a white cloth,on a surface,0.4
dark brown,tan,0.4
cubes,tan,0.0
beige,red,0.1
scattered,copper-colored,0.1
black,reddish-orange,0.1
dark,terracotta-colored,0.2
stacked,piled,0.9
dish,bowl,0.7
in the center,in a pile,0.2
brown,brown,1.0
beef jerky,fajitas,0.2
scattered,piled,0.2
reddish-brown,brown,0.7
around the edges,on a white plate,0.1
brown,brown,1.0
beef jerky,fajitas,0.2
overlapping,pile,0.2
dark brown,brown,0.8
located inside,brown,0.0
jar,brown,0.0
sitting,wooden,0.0
wooden,glass,0.1
yellow-tan,purplish-red,0.1
plate,on plate,0.7
white,green,0.1
glazed,textured,0.2
Sloppy Joe,hummus,0.0
reddish-brown,brown,0.7
yellow,yellow,1.0
on the bottom,at the bottom,0.9
golden-brown,golden,0.8
chicken,pork,0.2
orange,within the taquitos,0.0
on top,on top,1.0
chips,mushrooms,0.1
golden-brown,golden,0.8
bun,brown,0.2
gray,green,0.2
on a plate,spilling onto,0.1
tan,white,0.0
bun,plate,0.1
red,reddish-brown,0.7
on top,on top,1.0
diced,orange,0.0
beige,vibrant,0.1
juice,cocktail,0.4
on the table,vibrant,0.0
glass,glass,1.0
in a glass,vibrant,0.0
vibrant,vibrant,1.0
glass,glass,1.0
yellow,over the rim,0.0
watermelon,pineapple,0.1
pink,red,0.5
blueberries,light brown,0.0
green surface,on a blue plate,0.1
4th of July,Halloween,0.1
golden-brown,reddish-orange,0.4
dispersed,green,0.1
kale,arugula,0.6
bowl,soup,0.3
green,green,1.0
chips,fajitas,0.1
bowl,basket,0.3
on a wooden surface,on the bowl,0.2
brownish,green,0.1
dark green,green,0.8
kale,kale,1.0
red,red,1.0
on top of,in the lower right quadrant,0.0
colorful,colorful,1.0
kebabs,enchiladas,0.1
red,brown,0.4
on a plate,reddish-brown,0.0
pineapple,cherries,0.1
white,green,0.1
kohlrabi,fennel,0.2
arranged,off-white,0.0
brown,white,0.1
on a plate,off-white,0.1
yellow,white,0.2
noodles,yellow,0.1
yellow,topped with,0.0
on the top,over the mussels,0.2
golden-yellow,yellow,0.8
baking,cooking,0.7
sprinkling,topping,0.6
noodles,yellow,0.1
brown,throughout the frame,0.0
brown,brown,1.0
lamb,beef,0.2
in the center,brown,0.0
reddish-brown,in a reddish-brown broth,0.8
stew,baking,0.2
fills,fills,1.0
white,white,1.0
throughout the stew,light brown,0.0
white,on the right side,0.0
lamb,chicken,0.2
brown,on the wooden cutting board,0.0
scattered around,orange,0.0
lamb,chicken,0.2
gradient,on the wooden cutting board,0.0
brown,dark brown,0.8
onions,translucent,0.1
cooked,cooked,1.0
orange,green,0.1
lasagna,pasta,0.7
creamy,creamy,1.0
white,cheese,0.2
on the surface,across the top,0.7
golden-brown,golden-brown,1.0
lasagna,enchiladas,0.2
black,on a black,0.7
on a black stovetop,on a plate,0.2
green,light brown,0.2
green,green,1.0
lasagna,enchiladas,0.2
red,red,1.0
yellow,orange,0.7
on top of,on a plate,0.3
banana,mango,0.4
yellow,blue,0.2
on the left,red,0.0
green,green,1.0
clear,clear,1.0
yellow,yellow,1.0
into the lassi,into the frappuccino,0.2
green,green,1.0
transparent,clear,1.0
white,white,1.0
tan,beige,0.1
on a plate,copper-colored,0.0
white,mug,0.1
tan,tan,1.0
on top of,over the pasta,0.6
strawberry,apple,0.2
white,white,1.0
latte,smoothie,0.2
shaved chocolate,mug,0.0
brown,tan,0.7
on top of,on top of,1.0
yellow,yellow,1.0
in the center,sits,0.0
pie,pavlova,0.2
triangular,triangular,1.0
on the top,on top,0.9
lemon,pineapple,0.1
yellow,yellow,1.0
spoon,spoon,1.0
yellow,to the viewer,0.0
jars,jars,1.0
lemon curd,relish,0.2
on the tray,inserted,0.0
tan,brown,0.2
cookies,fajitas,0.0
on a sheet,on a black wire,0.2
pink,yellow,0.2
strawberry,lime,0.1
yellow,yellow,1.0
on the rim,on the rim,1.0
Lemonade,lemonade,1.0
Lemonade,filled,0.1
yellow,yellow,1.0
brown,brown,1.0
brown,brown,1.0
lentils,vegetables,0.4
visible,brown,0.1
light brown,is,0.0
dispersed,located,0.3
yellowish-orange,brown,0.4
lentils,rice,0.2
dispersed,dispersed,1.0
green,green,1.0
dispersed,center,0.0
red,red,1.0
green,green,1.0
orange-brown,brown,0.7
on the left,on the right side,0.2
to the right,occupying,0.1
grain,sugar,0.2
translucent,white,0.2
glass,glass,1.0
whitish-yellow,terracotta-colored,0.1
on the rim,on the rim,1.0
lime,lemon,0.5
yellow,yellow,1.0
linguine,fettuccine,0.8
green,green,1.0
scattered,scattered,1.0
beige,yellow,0.3
pasta,pasta,1.0
brown,on a plate,0.0
green,green,1.0
on top of,on the upper left side,0.3
white,green,0.1
golden-brown,golden-brown,1.0
on a plate,on a black wire rack,0.3
blueberries,dark brown,0.0
wooden,wooden,1.0
cheese,white,0.2
yellow,in the background,0.0
on the left,in the background,0.1
yes,yellow,0.0
white,green,0.1
in the center,in the foreground,0.3
golden,on a white paper towel,0.0
overlapping,overlapping,1.0
reddish-brown,on a white paper towel,0.0
reddish-brown,red,0.6
on the right side,in the lower left corner,0.1
bowl,glass,0.2
yellow,yellow,1.0
covering,yellow,0.0
vibrant,good,0.3
skillet,skillet,1.0
browned,pinkish-tan,0.4
yellow,yellow,1.0
on top of,brown,0.0
green,green,1.0
in the center,on the plate,0.2
macaroni,pasta,0.8
yellow,yellow,1.0
on the top,toasted,0.0
yellow,yellow,1.0
macaroni,spaghetti,0.6
clustered,yellow,0.0
on the left side,yellow,0.0
ginger,tan,0.1
Mahi Mahi,Flounder,0.2
brown,tan,0.7
in the bottom center,in the center,0.6
golden-brown,tan,0.7
Mahi Mahi,Flounder,0.2
yellow,yellow,1.0
beans,cucumber,0.1
white,brown,0.2
reddish-brown,golden,0.1
green,green,1.0
orange,yellow,0.3
spinach,potatoes,0.1
melted,melted,1.0
sticky,fluffy,0.1
yellow,yellow,1.0
arranged,yellow,0.0
on top of,on the upper-half,0.5
pink,yellow,0.2
Cadillac,Punch,0.0
white,white,1.0
on the surface,green,0.0
green,green,1.0
yellowish-green,yellowish,0.7
margaritas,soda,0.1
silver,behind,0.0
yellow-green,yellow,0.5
white,white,1.0
yellow,yellow,1.0
white,white,1.0
from the top,on top of,0.9
margaritas,cocktail,0.7
blue,green,0.2
on the plate,yellowish,0.0
green,green,1.0
red,yellow,0.2
blackberries,zucchini,0.0
on the wooden surface,on top of,0.5
green,green,1.0
marinade,with a reddish-brown tomato-based sauce,0.3
surrounding,in a bowl,0.2
chicken,chicken,1.0
glossy,appears,0.2
in the background,in a bowl,0.1
viscous,brown,0.0
marinade,garnish,0.2
in the bowl,in a bowl,0.9
in the center,in the upper right quadrant,0.2
lemon,orange,0.5
reddish-brown,chicken,0.0
coats,coat,1.0
skewers,red,0.0
white,green,0.1
reddish-brown,brown,0.7
chicken,glass bowl,0.0
on the upper chicken,at the bottom left,0.0
amber,red,0.4
marmalade,enchiladas,0.0
amber,orange,0.6
glass,jar,0.7
orange,orange,1.0
amber,orange,0.6
marmalade,curd,0.1
striped,checkered,0.2
to its left,multicolored,0.0
brown,off-white,0.1
coated,in the center,0.0
three,jars,0.0
on the left,in the center,0.2
coconut,brown,0.2
marshmallows,peanut brittle,0.1
light pink,white,0.2
on a small plate,on a plate,0.8
bottom,floating,0.1
vibrant,vibrant,1.0
watermelon,strawberry,0.2
pink,red,0.5
on the top,red,0.0
green,green,1.0
red,reddish-purple,0.6
stemmed,smoothies,0.0
brown,white,0.1
on top of,on the rim,0.5
reddish-purple,tan,0.0
martini,juice,0.2
red,pink,0.7
with two bright red cherries,red,0.2
agave,apples,0.1
pistachio,chestnuts,0.2
green,green,1.0
cylindrical,shaped,0.3
rectangular bar,shaped,0.1
on the left side,orange,0.0
white,dark brown,0.2
orange,orange,1.0
carrots,carrot,1.0
in a bowl,in a brown bowl,0.9
crispy,smooth,0.0
chicken,chicken,1.0
white,green,0.1
yellow,yellow,1.0
on a plate,on a plate,1.0
mayo,chutney,0.1
smooth,creamy,0.8
gray,dark,0.5
in the upper left corner,on top,0.3
bowl,mustard,0.0
orange,mustard,0.2
basil,mustard,0.1
on a light-colored surface,on the bowl,0.2
light green,yellow,0.2
fills,fills,1.0
bowl,bowl,1.0
leaves,apple,0.2
to the right of,around the base,0.1
yellow,yellow,1.0
meatballs,chicken,0.2
on top,submerged,0.0
green,green,1.0
orange-brown,brownish-red,0.6
tomato sauce,marinara,0.8
covers,covers,1.0
green,green,1.0
sweet,Spicy,0.0
meatballs,dog food,0.2
brownish-red,brownish-red,1.0
in the center,on top of,0.1
bowl,white,0.1
creamy,textured,0.2
meatballs,chicken,0.2
orange,orange-red,0.8
underneath,above the chicken,0.0
green,green,1.0
brown,brown,1.0
salad,chips,0.1
sliced,purple,0.0
is in,located in,0.9
golden,brown,0.3
meatloaf,enchiladas,0.1
light-brown,brown,0.8
reddish-brown,red,0.7
towards the right side,positioned,0.2
dark,brown,0.5
meatloaf,salad,0.1
white,green,0.1
with sprigs,garnished,0.6
bright,green,0.3
broccoli,kale,0.7
red,pinkish-red,0.8
browned,golden-yellow,0.6
across the image,throughout the bowl,0.2
yellow,vibrant,0.2
smoothie,juice,0.7
glass,glass,1.0
white,vibrant,0.1
near to,on top of,0.2
clear,clear,1.0
pitcher,brown,0.0
beige,brown,0.7
in the center-left,sitting,0.0
pink,blue,0.2
milkshakes,cocktail,0.2
topped,on top,0.7
red,dark-red,0.8
on each milkshake,on top of,0.2
chocolate,apple,0.1
brown,yellow,0.2
on top,embedded,0.0
clear,clear,1.0
pitcher,pitcher,1.0
yellow,yellow,1.0
on a wooden board,on a wooden surface,0.9
yellowish,reddish-brown,0.3
tofu,orange,0.0
scattered across,on top,0.1
blue,gold,0.0
reddish-brown,golden-yellow,0.1
jar,bowl,0.5
viscous,golden-yellow,0.1
on the top,on top,0.9
tomatoes,golden-yellow,0.1
bowl,bowl,1.0
mixed,mixed,1.0
brown,beige,0.5
orange,golden-tan,0.4
in a clear glass bowl,bowl,0.5
brown,reddish-brown,0.8
bowl,in a clear glass bowl,0.8
candies,fish,0.0
golden-brown,in a clear glass bowl,0.0
blue,red,0.1
wooden,wooden,1.0
pretzels,fish,0.0
orange,seasoned,0.1
on the left,in the background,0.1
beige,inside a tin,0.0
brown,brown,1.0
towards the bottom,to the left,0.0
brown,brown,1.0
jar,pitcher,0.5
filled,brown,0.0
white,brown,0.2
to the left of,to the upper right,0.1
brown,brown,1.0
foamy,frothy,0.9
with whipped cream,white,0.1
scattered,green,0.0
yellow-green,green,0.7
mojito,cocktail,0.7
green,green,1.0
by the Pitcher,glass,0.0
fresh,colorful,0.2
green,green,1.0
mojito,cocktail,0.7
yellow,green,0.2
strawberry,meat,0.0
transparent,silver,0.2
mousse,enchiladas,0.0
brown,brown,1.0
creamy,thick,0.5
on a silver tray,on the tray,0.7
golden-yellow,orange-brown,0.5
muffins,cookies,0.2
obscuring,brown,0.0
blue,white,0.1
beverage,creamy,0.2
fill,white,0.0
white,white,1.0
on top of,on top of,1.0
copper,copper,1.0
mug,mug,1.0
green,over the rim,0.0
yellow,yellow,1.0
on the wooden surface,on the rim,0.2
brown,dark,0.3
mushrooms,fajitas,0.1
glossy,glossy,1.0
green,green,1.0
in a pile,distributed,0.2
yellow,light yellow,0.8
eggs,cheese,0.1
mushroom,tomatoes,0.1
brown,dark,0.3
chicken,chicken,1.0
brown,yellow,0.2
on the right,throughout the bowl,0.1
herbs,herbs,1.0
creamy,dark,0.1
mushrooms,brisket,0.0
black,black,1.0
from the pan,in a pan,0.7
brown,brown,1.0
yellow,dark,0.0
enoki mushrooms,oyster mushrooms,0.3
tangled,glisten,0.0
strands,rectangular,0.0
immersed,submerged,0.9
mussels,nuggets,0.0
orange-red,brown,0.3
brownish-red,brownish-red,1.0
on the left,in the image,0.1
yellow-orange,yellow,0.7
pouring,spoon,0.1
jar,jar,1.0
wooden,wooden,1.0
above the jar,above the jar,1.0
glass,glass jar,0.9
wooden,wooden surface,0.9
mustard,mustard,1.0
to the right,to the left,0.0
Dijon,yellow,0.1
tan,yellow,0.1
lined up,arranged,0.8
jars,bowls,0.4
creamy,pale,0.2
nachos,pancakes,0.1
light-orange,cheese,0.1
on top of,on top,0.9
bowl,cheese,0.1
potato,rice,0.1
white,green,0.1
golden-brown,brown,0.7
cheese,drizzled,0.0
on a plate,on the plate,0.9
chocolate,red,0.0
nachos,orange,0.0
brown,yellow,0.2
white,blue,0.2
on top of,in the center,0.2
smooth,on a plate,0.1
glass,on a plate,0.1
pink,on a plate,0.0
refresher,juice,0.1
soup,enchiladas,0.1
green,green,1.0
chicken,chicken,1.0
on the lower-right,on top of,0.0
light blue,dark brown,0.0
bowl,bowl,1.0
fill,fill,1.0
yellow,yellow,1.0
in the center,on the right side,0.1
crunchy,golden-brown,0.3
nuggets,olives,0.1
white,green,0.1
on the right side,right,0.8
red,orange-red,0.8
corn nuts,brown,0.1
brown,brown,1.0
on the napkin,on the top right,0.2
golden-brown,golden-brown,1.0
oatmeal,pie,0.1
filling,golden-brown,0.1
white,white,1.0
on a white surface,on plate,0.3
beige,chocolate,0.2
fill,fill,1.0
blueberries,blueberries,1.0
red,raspberries,0.5
on top,on the surface,0.6
black,black,1.0
rice,noodles,0.2
green,green,1.0
okra,broccoli,0.2
in a black cooking pot,white,0.0
beige,white,0.2
chicken,chicken,1.0
green,olives,0.5
on top,on top of,0.9
tomatoes,tomatoes,1.0
golden,olives,0.1
olives,fajitas,0.0
cut,sliced,0.9
on the bottom,around the dish,0.1
green,olives,0.3
wooden,wooden,1.0
bread,cornbread,0.8
black,olive,0.1
golden-brown,golden-brown,1.0
on a wooden cutting board,on a wooden surface,0.8
visible,olives,0.0
olives,pickles,0.2
glass,glass jar,0.9
white,green,0.1
yellow,yellow,1.0
spilling out of,drizzled,0.2
bacon,pork,0.7
mixed,chopped,0.4
located on the left side,at the top,0.0
omelette,oatmeal,0.1
scattered,white,0.1
red,red,1.0
caramelized,brown,0.5
melted,melted,1.0
onions,brown,0.1
brown,white,0.1
cheese,covers,0.0
towards the bottom,towards the middle,0.5
reddish-brown,reddish-brown,1.0
nestled,bun,0.1
orange,white,0.0
to the left of,reddish-brown,0.0
orange,mandarin oranges,0.9
plate,mandarin oranges,0.1
vibrant,textured,0.3
thick,foamy,0.3
drink,tea,0.7
garnished,green,0.1
green,on top,0.0
at the bottom,on the left,0.1
pink,meat,0.0
Oreo,contains,0.1
sprinkled,brown,0.1
on top surface,across,0.1
circular,circular,1.0
crust,decorated,0.0
star-shaped,on a white rectangular plate,0.0
oysters,Mussels,0.7
green,white,0.1
on a star-shaped plate,scattered across,0.1
white,green,0.1
oysters,scallops,0.6
yellow,gray,0.2
reddish-brown,atop the beans,0.0
white,dark brown,0.1
yellow,yellow,1.0
scattered,dark,0.1
shrimp,mussels,0.2
in a bowl,in the dish,0.7
chicken,chicken,1.0
scattered,scattered,1.0
orange-brown,yellow,0.2
shrimp,shrimp,1.0
green,green,1.0
pancake,fajitas,0.1
white,green,0.1
golden brown,golden-brown,1.0
on the left side,arranged,0.1
salty,light,0.0
pancakes,fajitas,0.1
cooking,frying,0.8
yellow,light,0.3
golden yellow,scattered,0.0
paneer,fries,0.0
reddish-brown,light brown,0.6
on top,on top of,0.9
vibrant,chunky,0.1
green,scattered,0.0
bowl,bowl,1.0
blue,dark brown,0.0
scattered,scattered,1.0
on top,on top of,0.9
cranberry,cranberry,1.0
glass,glass,1.0
red,tan,0.2
on a table,on the bowl,0.3
white,tan,0.5
parfaits,enchiladas,0.0
red,red,1.0
on top,nuts,0.0
orange,at the bottom,0.0
yellow,reddish-orange,0.5
fills,fills,1.0
vegetable,tropical,0.1
white,sour cream,0.1
in the center,in a pot,0.2
round,tan,0.1
parsnips,kale,0.2
beige,tan,0.8
smooth,thick,0.1
chicken,venison,0.1
reddish-orange,red,0.6
pasta,pasta,1.0
scattered amidst,scattered among,0.9
diced,large,0.0
orange,melted,0.0
pasta,pasta,1.0
melted,melted,1.0
brownish-tan,rice,0.1
beige,pasta,0.0
pasta,pasta,1.0
shrimp,shrimp,1.0
green,green,1.0
over the shrimp,green,0.0
scattered,scattered,1.0
pasta,rice,0.2
yellow,yellow,1.0
on top,on top of,0.9
dish,sauce,0.3
red,red,1.0
scattered,arranged,0.1
eggplant,potatoes,0.2
golden-yellow,orange,0.5
bowls,on the left side,0.0
with a brown wooden handle,silver,0.0
white,grated,0.1
yellow,located on the top,0.0
blueberries,located on the top,0.0
nestled among,on top of,0.1
pavlova,ice cream,0.2
greenish-yellow,green,0.6
soup,greenish,0.1
white,white,1.0
submerged,submerged in,0.9
peas,dog food,0.1
bowl,among the rice,0.0
Italian,Swedish,0.1
on the right side,on the left side,0.0
vibrant,vibrant,1.0
holding,yellow,0.0
white,black,0.0
in the center,in the upper left,0.1
yellow-orange,reddish-purple,0.1
glasses,bowl,0.0
wooden,wooden,1.0
on the rim,in the glass,0.2
reddish-yellow,orange,0.7
margaritas,margaritas,1.0
served,yellowish,0.0
bright,vibrant,0.8
glasses,glasses,1.0
in the center,on the bottom,0.1
tea,tea,1.0
drinking,eating,0.2
peach,peach,1.0
yellow,pink,0.2
to the right,amber,0.0
peachy-orange,yellowish-green,0.2
pitcher,glass,0.1
red,red,1.0
on the left,in the center,0.2
dark,brown,0.5
peanut butter,peanut butter,1.0
golden brown,brown,0.7
on the lower right,brown,0.0
cookie,enchiladas,0.0
light brown,tan,0.8
ice cream,praline,0.2
smooth,tan,0.2
near the top,on the right,0.1
yellow,green,0.2
muffins,fajitas,0.0
perfect,vibrant,0.2
white,red,0.1
on the plate,on a plate,0.9
red,tan,0.2
in the left side,beneath the crumble,0.1
brown,brown,1.0
pecan,pecans,0.9
white,cream,0.8
on top,brown,0.0
reddish-brown,in,0.0
tan,golden-tan,0.8
overlapping,are,0.0
brown,green,0.1
on the cracker,cracker,0.8
appetizer,jalapeno,0.3
penne,gnocchi,0.2
distributed,distributed,1.0
red,orange,0.5
