Image,Question,Answer
3eacd1eb2a4bf09,What color are the bell peppers in the fajitas,red
3eacd1eb2a4bf09,Where are the bell peppers located in relation to the pork,on top of
3eacd1eb2a4bf09,What is the position of the lime wedges in the image,leaning
07b551b82072640,What color are the bell peppers,red
07b551b82072640,What type of meat is used in the dish,chicken
07b551b82072640,What color are the grilled marks on the chicken,brown
07b551b82072640,Where are the ingredients placed,in the basket
07b551b82072640,What type of vegetable is mixed with the chicken and peppers,onions
ec8d556e427215f,What color is the chicken,golden-brown
ec8d556e427215f,What type of meat is used in the fajitas,chicken
ec8d556e427215f,What color is the shredded cheese,yellow
ec8d556e427215f,Where are the tortillas placed,with
ec8d556e427215f,Where is the sour cream located,on a plate
8c23bbfc2929157,What type of meat is included in the dish,chicken
8c23bbfc2929157,What color are the bell peppers at the top-left and right,red
8c23bbfc2929157,What color are the bell pepper slices scattered between the chicken and red peppers,yellow
8c23bbfc2929157,How does the chicken appear in the image,browned
8c23bbfc2929157,Where are the chicken pieces distributed in the image,throughout the image
bbfd764709c2fc5,What color are the grill marks on the chicken,golden
bbfd764709c2fc5,What type of meat is featured in the dish,chicken
bbfd764709c2fc5,What color is the plate under the chicken,blue
bbfd764709c2fc5,What color are the cilantro leaves,green
bbfd764709c2fc5,Where are the lime wedges located,on the left
4540be4f1b7483a,What color is the cilantro,green
4540be4f1b7483a,What herb is shown at the top left of the image,cilantro
4540be4f1b7483a,What color is the bowl filled with pico de gallo,yellow
4540be4f1b7483a,What type of meat is included in the fajita mix,chicken
4540be4f1b7483a,Where is the fajita mix arranged,on a sheet pan
dbdd1a45e11f272,What is the state of the cheese on the chicken pieces,melted
dbdd1a45e11f272,What type of meat is used in the dish,chicken
dbdd1a45e11f272,What color is the plate the dish is served on,white
dbdd1a45e11f272,What color are the chicken pieces primarily,reddish-orange
dbdd1a45e11f272,Where is the cluster of cilantro leaves located,on top of
de4e22d616c136f,What color is the tortilla wrap,white
de4e22d616c136f,What color is the chicken,orange
de4e22d616c136f,What is partially covering the chicken and onions,covering
de4e22d616c136f,What type of meat is used in the Pollo Fajitas,chicken
de4e22d616c136f,Where are the sliced red and orange bell peppers mainly located,in the middle
f723dd68c167fd3,What color is the lettuce used for the cups,green
f723dd68c167fd3,What is the main ingredient of the lettuce cups,lettuce
f723dd68c167fd3,What color is the meat inside the lettuce cups,brown
f723dd68c167fd3,Where is the sour cream placed in the lettuce cups,on top of
f723dd68c167fd3,What pattern is visible on the cloth to the right of the plate,checkered
be533ae9b5f36d8,What is the color of the beef,beef
be533ae9b5f36d8,What color are the diced tomatoes,red
be533ae9b5f36d8,What is the color of the avocado slices,diced
be533ae9b5f36d8,Where are the diced onions located,green
be533ae9b5f36d8,Where is the shredded cheddar cheese placed,on top of
5466136e2c0ad7d,How are the tortillas folded,folded
5466136e2c0ad7d,What type of meat is used in the fajitas,chicken
5466136e2c0ad7d,What color are the bell peppers,green
5466136e2c0ad7d,Where is the guacamole located,atop the fajita filling
5466136e2c0ad7d,What color are the diced tomatoes,tomatoes
8cdb27974d97ff0,What color is the burrito primarily,tan
8cdb27974d97ff0,What type of food is the main item on the plate,burrito
8cdb27974d97ff0,What color is the lettuce on the burrito,green
8cdb27974d97ff0,What color are the bell peppers in the burrito,with yellow
8cdb27974d97ff0,What is the burrito placed on,plate
04bc6b3e8a8aea0,What color are the Mahi Mahi pieces,golden-brown
04bc6b3e8a8aea0,What type of fish is used in the fajitas,Mahi Mahi
04bc6b3e8a8aea0,What color are the sliced red bell peppers,red
04bc6b3e8a8aea0,Where are the Mahi Mahi pieces placed,throughout the center
04bc6b3e8a8aea0,What color are the sliced onions,white
c85139f9d51d512,What color is the plate,white
c85139f9d51d512,What type of meat is used in the fajitas,steak
c85139f9d51d512,What color is the cilantro,green
c85139f9d51d512,Where are the steak fajitas located,on a plate
c85139f9d51d512,What type of beans are on the plate,refried
3fd59bae30c5c14,What color is the rice in the skillet,yellowish-tan
3fd59bae30c5c14,What is the base of the dish made of,rice
3fd59bae30c5c14,What color are the bell pepper slices scattered throughout the rice,red
3fd59bae30c5c14,Where are the red bell pepper slices scattered,scattered
3fd59bae30c5c14,Where are the green bell pepper slices located,on top of
345dea49d8d9dbe,What type of meat is included in the pasta,chicken
345dea49d8d9dbe,How are the red and green bell peppers arranged in the dish,mixed
345dea49d8d9dbe,What color are the bell pepper strips scattered throughout the dish,red
345dea49d8d9dbe,What color are the bell pepper pieces mixed into the dish,green
345dea49d8d9dbe,Where are the chicken pieces located in the bowl,throughout the bowl
706203205f79559,What color are the green bell pepper slices,green
706203205f79559,What is the main protein in the fajitas,steak
706203205f79559,What color is the sliced steak,brownish-red
706203205f79559,Where are the fajitas placed,on the plate
706203205f79559,What color are the red bell pepper slices,vibrant
24883eb3ae422e6,Does the dish look appetizing,appetizing
24883eb3ae422e6,What type of meat is used in the dish,chicken
24883eb3ae422e6,What color are the bell pepper slices that are red,red
24883eb3ae422e6,What color are the bell pepper slices that are green,green
7a5e7b012af9da0,What is the texture of the steak,shredded
7a5e7b012af9da0,What type of meat is in the fajita,steak
7a5e7b012af9da0,What color are the onions,white
7a5e7b012af9da0,Where are the peppers located in the fajita,mixed among
7a5e7b012af9da0,What color are the peppers,green
56ad671c222bff5,Are the fajitas vegan,vegan
56ad671c222bff5,What type of food is shown in the image,fajitas
56ad671c222bff5,What color are the corn kernels in the left fajita,yellow
56ad671c222bff5,What color is the sauce drizzled on the fajitas,red
56ad671c222bff5,What is on top of the fajitas,on top
0fd4b82e0e33a45,What color are the bell peppers in the fajitas,red
0fd4b82e0e33a45,What type of vegetables are mixed with the red peppers,mushrooms
0fd4b82e0e33a45,What color is the tortilla used for the fajitas,beige
0fd4b82e0e33a45,What is sprinkled over the vegetables in the fajitas,sprinkled
0fd4b82e0e33a45,Where are some of the red bell pepper slices located,on the right
6cc86b2a2082e1f,What color is the fajita seasoning,brownish
6cc86b2a2082e1f,What is the fajita seasoning placed in,bowl
6cc86b2a2082e1f,What color is the bowl,dark brown
6cc86b2a2082e1f,What is the brownish powder used for,seasoning
6cc86b2a2082e1f,Where is the bowl located in the image,in the image
de0cb3e746ca441,What color are the peppers mixed with the seitan,red
de0cb3e746ca441,What color are the peppers that contrast with the other ingredients,green
de0cb3e746ca441,What is being done to the tortillas with the fajita mixture,adding
de0cb3e746ca441,What is the base used to hold the fajita mixture,tortillas
de0cb3e746ca441,Where is the fajita mixture placed in relation to the tortillas,on top of
08d7cce0f17e9a3,What color are the tempeh cubes,red
08d7cce0f17e9a3,What is the main protein in the fajitas,tempeh
08d7cce0f17e9a3,What color are the bell peppers in the fajitas,green
08d7cce0f17e9a3,What color is the rim of the plate,with a red rim
08d7cce0f17e9a3,What color are the tortillas,pale
1469eee2e776c2f,What color is the cast iron skillet,black
1469eee2e776c2f,How are the peppers prepared,sliced
1469eee2e776c2f,What type of vegetables are used in the stir-fry,peppers
1469eee2e776c2f,What color are the onions,white
1469eee2e776c2f,Where is the stir-fry placed,on a dark wooden surface
c0a48a4d2de3989,What color is the falafel,golden-brown
c0a48a4d2de3989,What is the main ingredient of the dish,falafel
c0a48a4d2de3989,Where does the falafel rest,rests
c0a48a4d2de3989,What color is the lettuce,green
c0a48a4d2de3989,Where is the falafel placed,on a bed
e2f32ab0debb4e6,What color is the falafel,brownish-green
e2f32ab0debb4e6,What part of the food item does the falafel form,base
e2f32ab0debb4e6,What is the falafel doing in the image,taking
e2f32ab0debb4e6,What color is the cucumber sauce,white
e2f32ab0debb4e6,Where is the cucumber sauce located,on top of
f5ff253861802a9,What color are the falafel mostly,golden-brown
f5ff253861802a9,What type of food is shown in the image,falafel
f5ff253861802a9,What tint do some falafel have,greenish
f5ff253861802a9,Where are the falafel placed,on a gray-blue plate
f5ff253861802a9,What color is the folded cloth,beige
7f4949b73da37d9,What color are the baked falafel,golden-brown
7f4949b73da37d9,What type of food is shown in the image,falafel
7f4949b73da37d9,What color is the lettuce under the falafel,green
7f4949b73da37d9,Where are the falafel placed in the pita,on top
7f4949b73da37d9,What color is the sauce on top of the falafel,red sauce
a1db7c4c3f6057d,What color are the falafels,golden-brown
a1db7c4c3f6057d,What type of food is shown in the image,falafels
a1db7c4c3f6057d,What color is the plate,black
a1db7c4c3f6057d,What is the yogurt-dill sauce served with,with
a1db7c4c3f6057d,What color is the lemon,yellow
45593bdf34d769c,What color are the falafel,golden-brown
45593bdf34d769c,What type of food is shown in the image,falafel
45593bdf34d769c,How are the falafel placed on the plate,arranged
45593bdf34d769c,What color is the plate,on a white plate
45593bdf34d769c,What color are the specks on the falafel,green
0d3b7a1ec9a3afb,Where are the falafel located,located
0d3b7a1ec9a3afb,What type of bread are the falafel in,pita bread
0d3b7a1ec9a3afb,What color is the sauce on top of the falafel,white
0d3b7a1ec9a3afb,What color are the diced tomatoes on top of the falafel,red
0d3b7a1ec9a3afb,Where is one falafel located in the image,in the bottom left corner
64f99a98769fc5b,What color are the falafel pieces,golden-brown
64f99a98769fc5b,What type of food is shown in the image,falafel
64f99a98769fc5b,What color are the herbs scattered on the falafel,green
64f99a98769fc5b,Where are the falafel pieces placed,on a colorful plate
64f99a98769fc5b,How are the falafel pieces positioned on the plate,arranged
10882ec4e8be056,What are the spherical items in the image,are
10882ec4e8be056,What is the name of the food in the image,ta'ameya
10882ec4e8be056,What color are the sesame seeds on the ta'ameya,white
10882ec4e8be056,Where are the ta'ameya located in the image,in the center
10882ec4e8be056,What are the white toppings on the ta'ameya,seeds
9308055b48a5888,Is the salad served warm,Warm
9308055b48a5888,Are the farro grains scattered in the plate,scattered
9308055b48a5888,Are there spinach leaves in the salad,spinach
9308055b48a5888,Is the plate white,white
9308055b48a5888,Is the salad presented in the plate,in the plate
a1b92188972141f,What color are the farro grains,brown
a1b92188972141f,What type of grains are used in the dish,grains
a1b92188972141f,What type of ingredient is dark brown and interspersed with the farro,mushrooms
a1b92188972141f,What color is the cilantro sprig,green
a1b92188972141f,Where is the cilantro sprig positioned,on top of
243862e88ceaf08,What color is the farro in the salad,light
243862e88ceaf08,What type of dish is being described,salad
243862e88ceaf08,What color are the pecans in the salad,brown
243862e88ceaf08,Where are the green scallions placed in the salad,on top of
243862e88ceaf08,What color are the lemon wedges,yellow
c36e09e11ae3cbc,What color are the tomatoes in the salad,red
c36e09e11ae3cbc,What type of dish is the farro and tomato mixture,salad
c36e09e11ae3cbc,Where is the farro and tomato salad located on the closest plate,located
c36e09e11ae3cbc,Where is the farro and tomato salad located on the other plate,on the right side
c36e09e11ae3cbc,What color are the herbs scattered on the plates,green
0c6f64b053fb312,What color are the lentils,brown
0c6f64b053fb312,What type of lentils are used,lentils
0c6f64b053fb312,What hue does the farro have,tan
0c6f64b053fb312,What is coating the lentils and farro,coating
0c6f64b053fb312,Where is the sliced tomato located,at the top
d0f8a99831308a8,What color is the farro,tan
d0f8a99831308a8,What is the farro served in,bowl
d0f8a99831308a8,What type of grain is in the bowl,farro
d0f8a99831308a8,What color is the bowl,white
d0f8a99831308a8,Where is the bowl positioned in the image,in the upper right
649f26370757a85,Is the dish suitable for vegetarians,vegetarian
649f26370757a85,What is the main grain used in the skillet,farro
649f26370757a85,What color is the bowl used to serve the dish,orange
649f26370757a85,Where are the black beans located in the dish,throughout
649f26370757a85,What vegetable with green skin is mixed within the farro,zucchini
b4c7c5adfde3f3b,What is the soup served in,soup
b4c7c5adfde3f3b,What is the consistency of the soup in the bowl,filling
b4c7c5adfde3f3b,What color is the bowl,black
b4c7c5adfde3f3b,What ingredient is scattered throughout the soup,fennel
b4c7c5adfde3f3b,Where is the small bright green sprig of fennel fronds located,at the center-right
a2b07e7440f60c5,What color is the grilled fennel primarily,creamy
a2b07e7440f60c5,What vegetable is featured in the image,fennel
a2b07e7440f60c5,What is the dominant color of the grilled fennel,white
a2b07e7440f60c5,What does the largest piece of fennel do in the image,appears
a2b07e7440f60c5,Where is the largest piece of fennel located,at the center-left
111c00364311a43,What color is the crust of the bread,golden-brown
111c00364311a43,What type of food is shown in the image,bread
111c00364311a43,What color is the interior crumb of the bread,yellow
111c00364311a43,What color are the specks in the bread,green
111c00364311a43,Where is the bread placed,on a wooden surface
f2c8d16a300a056,What color is the fennel in the image,green
f2c8d16a300a056,What vegetable is featured in the dish,fennel
f2c8d16a300a056,What color is the plate in the image,brown
f2c8d16a300a056,What type of cheese is used as a topping,gorgonzola
f2c8d16a300a056,Where is the fennel located in the image,in the center
cd90188f2c1a239,What color is the Gramma Good's Fennel Bread,brown
cd90188f2c1a239,What type of food is Gramma Good's Fennel Bread,bread
cd90188f2c1a239,What is the state of the bread in the image,sliced
cd90188f2c1a239,What color is the cloth on the left side,red
cd90188f2c1a239,Where are the three slices of bread placed,on the left side
8ac38bd3bb2e677,What color are the fennel slices,yellow
8ac38bd3bb2e677,What vegetable is used in the dish,fennel
8ac38bd3bb2e677,What is the state of the parmesan cheese on the fennel,melted
8ac38bd3bb2e677,What type of cheese is used in the dish,parmesan
8ac38bd3bb2e677,Where is the baked fennel and parmesan arranged,in a baking dish
db4f30be192465d,What color is the bowl,white
db4f30be192465d,What vegetable is being served,fennel
db4f30be192465d,What color are the fennel garnishes,green
db4f30be192465d,What process is visible on some parts of the fennel slices,caramelization
db4f30be192465d,Where is the bowl placed,on the plate
1182fb165965c24,What material are the jars made of,glass
1182fb165965c24,What color is the fennel,yellow
1182fb165965c24,Where is the fennel contained,contained within
1182fb165965c24,How are the jars sealed,sealed
1182fb165965c24,What color is the cloth on the jars,red
80591e736df0736,What color is the bowl containing the salad,white
80591e736df0736,What type of dish is the fennel prepared as,salad
80591e736df0736,What color are the sliced fennel strips,pink
80591e736df0736,How are the dark red beet pieces distributed in the salad,scattered
80591e736df0736,"Where are the fresh, bright green herbs placed",on top
4dc0d37926b71f2,What color is the fennel primarily,white
4dc0d37926b71f2,What vegetable is shown in the image,fennel
4dc0d37926b71f2,How are the fennel pieces placed on the baking sheet,arranged
4dc0d37926b71f2,What describes the edges of some fennel pieces,caramelized
4dc0d37926b71f2,Where are the fennel pieces located,on a baking sheet
bffeb1a8133f687,What color is the whipped feta,creamy
bffeb1a8133f687,What type of cheese is used,feta
bffeb1a8133f687,What color is the whipped feta,off-white
bffeb1a8133f687,What is the hot honey doing to the whipped feta,drizzled
bffeb1a8133f687,Where is the whipped feta located in the image,in the center
23a840b81b00daf,What type of meat is shown in the image,chicken
23a840b81b00daf,What does the chicken have on top,has
23a840b81b00daf,What color is the feta cheese inside the chicken,creamy
23a840b81b00daf,What color is the feta cheese in the center of the chicken,white
23a840b81b00daf,Where is the chicken located in the image,in the center-left
598351f13a1baa2,What color is the pasta,tan
598351f13a1baa2,What type of dish is shown in the image,pasta
598351f13a1baa2,What color are the tomatoes in the dish,red
598351f13a1baa2,Where are the green basil leaves located,with
598351f13a1baa2,What color are the basil leaves,green
f56f6c1e6801e4c,Where is the dip located in the image,located
f56f6c1e6801e4c,What type of cheese is in the dip,feta
f56f6c1e6801e4c,What color is the bowl containing the dip,orange
f56f6c1e6801e4c,What is the dip contained in,bowl
f56f6c1e6801e4c,Where is the dip positioned in the bowl,in the center
a2b4ba759ea82ea,What type of food is the pale yellow base of the dish,pasta
a2b4ba759ea82ea,How is the pasta arranged in the dish,interwoven
a2b4ba759ea82ea,What color are the irregular cubes of feta cheese,white
a2b4ba759ea82ea,Where are the feta cheese cubes positioned,among the pasta
a2b4ba759ea82ea,What is scattered among the pasta,tomatoes
acd854aa86d145c,What is the primary color of the feta dip,white
acd854aa86d145c,What type of cheese is used in the dip,feta
acd854aa86d145c,How is the olive oil applied to the dip,drizzled
acd854aa86d145c,What color are the specks in the dip,green
acd854aa86d145c,Where is the dip located in the image,in the center of
1532dbb48fceeb3,What color is the dip primarily,green
1532dbb48fceeb3,What type of food is the creamy green mixture,dip
1532dbb48fceeb3,What texture does the dip have,creamy
1532dbb48fceeb3,Where is the parsley positioned,sits on top
1532dbb48fceeb3,What is the dip contained in,bowl
dc82292cc9b95bb,What are the rectangular golden brown items on the plate,feta fingers
dc82292cc9b95bb,How are the feta fingers placed on the plate,arranged
dc82292cc9b95bb,What color are the feta fingers,golden
dc82292cc9b95bb,What color is the dotted pattern on the plate,blue
dc82292cc9b95bb,Where is the first feta finger located,at the top left
3b9d693e75300a9,What color is the feta,creamy
3b9d693e75300a9,What type of cheese is in the bowl,feta
3b9d693e75300a9,What color is the feta in the bowl,white
3b9d693e75300a9,Where is the pita bread positioned,leaning against
3b9d693e75300a9,What color are the sun-dried tomatoes,brown
c17746b4e7022ce,What color is the feta cheese in the image,white
c17746b4e7022ce,What type of cheese is shown in the image,cheese
c17746b4e7022ce,Where are the tomatoes located in relation to the feta cheese,surround
c17746b4e7022ce,What color are most of the tomatoes in the image,red
c17746b4e7022ce,Where is the silver spoon located in the image,near the top
fc36afefc433f4b,What type of flavor does the stir-fry have,spicy
fc36afefc433f4b,What is the Spicy Feta Stir-Fry served in,bowl
fc36afefc433f4b,What color are the snow peas in the bowl,green
fc36afefc433f4b,What type of cheese is visible in the bowl,feta
fc36afefc433f4b,Where is the orange spicy sauce dotted,on some of
91d684595f68f4a,What color is the chicken,creamy
91d684595f68f4a,What type of meat is shown in the image,chicken
91d684595f68f4a,What color are the lemon slices,yellow
91d684595f68f4a,What is on top of each chicken breast,with a slice
91d684595f68f4a,What part of the chicken is shown in the image,breasts
bd88f9c3acc7f82,What color is the bowl that contains the Crazy Feta Dip,beige
bd88f9c3acc7f82,What is the Crazy Feta Dip served in,bowl
bd88f9c3acc7f82,What color are the carrot sticks,orange
bd88f9c3acc7f82,Where is the olive oil located,on top
bd88f9c3acc7f82,What color are the celery stalks,green
e62e99a5c269774,What color is the plate,white
e62e99a5c269774,What type of cheese is in the center of the plate,cheese
e62e99a5c269774,What color are the specks on the feta cheese ball,green
e62e99a5c269774,What shape is the feta cheese ball,spherical
e62e99a5c269774,What is in the center of the plate,in the center
f060f83a63db80e,What color is the plate,white
f060f83a63db80e,How are the foldovers arranged on the plate,stacked
f060f83a63db80e,What color are the edges of the foldovers,golden-brown
f060f83a63db80e,What type of cheese is visible in the filling,cheese
f060f83a63db80e,Where are the foldovers placed,on a white plate
438e7925ef9d56c,Is the glass jar clear,clear
438e7925ef9d56c,What type of cheese is in the jar,feta
438e7925ef9d56c,What color is the feta,yellowish
438e7925ef9d56c,Where is the feta positioned in the image,in the center
438e7925ef9d56c,What does the jar contain,contains
c21c69d14faa792,What type of dish is shown in the image,salad
c21c69d14faa792,What color is the bowl holding the salad,yellow
c21c69d14faa792,What color are the chicken pieces in the salad,white
c21c69d14faa792,What color are the red pieces in the salad,red
c21c69d14faa792,What is the relationship between the green lettuce leaves and the creamy salad,contrasting
e1343a6401dd1ea,Where is the pie located in the image,located
e1343a6401dd1ea,What type of cheese is used in the pie,feta
e1343a6401dd1ea,What color is the top of the pie,pale yellow
e1343a6401dd1ea,What type of dish is shown in the image,pie
e1343a6401dd1ea,What describes the crust's appearance in terms of color,of color
c747b145be1701e,What color is the Greek Feta and Olive Spread,orange
c747b145be1701e,What is the spread served in,bowl
c747b145be1701e,What is the color of the olive,olive
c747b145be1701e,What color is the olive on the spread,purple
c747b145be1701e,Where is the olive placed,atop the mound
36a4d6d7200f27a,What color is the vodka fettuccine,yellow
36a4d6d7200f27a,What type of pasta is used in the dish,fettuccine
36a4d6d7200f27a,How are the tomato pieces incorporated into the dish,mixed
36a4d6d7200f27a,What color are the tomato pieces,red
36a4d6d7200f27a,Where is the caviar placed,on top of
b2f494b68b68672,What is the texture of the fettuccine described as,creamy
b2f494b68b68672,What type of pasta is shown in the image,fettuccine
b2f494b68b68672,What color are the sun-dried tomatoes,red
b2f494b68b68672,Where are the dark green spinach leaves located,in
b2f494b68b68672,What color are the spinach leaves,green
5b86da59c514f4a,What color are the chicken pieces in the dish,yellowish-brown
5b86da59c514f4a,What color are the leeks in the dish,chicken
5b86da59c514f4a,What is the color of the parsley garnish on top of the dish,pinkish-white
5b86da59c514f4a,Where are the leeks located in the dish,with leeks
5b86da59c514f4a,What color are the green portions of the leeks,green
58cb6cc935a8656,What type of meat is in the bowl,chicken
58cb6cc935a8656,What is the Parmesan cheese on top of the dish,grated
58cb6cc935a8656,What are the green specks on top of the pasta and chicken,herbs
58cb6cc935a8656,What is the primary color of the dish,is
58cb6cc935a8656,Where is the food presented,in the bowl
a370037c3e8b9ea,What is the texture of the sauce on the pasta,creamy
a370037c3e8b9ea,What type of food is the main dish,pasta
a370037c3e8b9ea,What color are the sweet peppers,red
a370037c3e8b9ea,Where are the parsley flakes mainly concentrated,on top
a370037c3e8b9ea,Where are the green parsley flakes scattered,scattered
f257557c30b0a6c,What color is the bowl,white
f257557c30b0a6c,What type of pasta is in the dish,fettuccine
f257557c30b0a6c,What color are the shrimp pieces,pink
f257557c30b0a6c,Where are the scallops placed,on the left
f257557c30b0a6c,What color are the small herbs,green
bf0eef431251754,What color is the fettuccine pasta in the image,yellow
bf0eef431251754,What type of pasta is shown in the image,pasta
bf0eef431251754,What are the small pieces of meat scattered throughout the pasta called,pancetta
bf0eef431251754,What color are the pancetta pieces in the image,reddish-brown
bf0eef431251754,Where are the pancetta pieces distributed in the dish,throughout the pasta
b2da25661f093b2,What color are the fettuccine noodles,yellow
b2da25661f093b2,What type of pasta is shown in the image,fettuccine
b2da25661f093b2,What is the texture of the sauce on the fettuccine,creamy
b2da25661f093b2,What color is the parsley on top of the noodles,green
b2da25661f093b2,Where is the parsley placed on the noodles,on top of
c0975f297eda584,What does the fettuccine do in the frame,fills
c0975f297eda584,What type of pasta is shown,fettuccine
c0975f297eda584,What is the texture of the sauce,creamy
c0975f297eda584,What is scattered on top of the pasta,cheese
c0975f297eda584,Where are the thin strands of cheese located,on top of
ca23e2263faef48,What type of meat is included in the dish,ham
