Answer,Predict
on a plate,on a wooden surface
beige,is
cookies,muffins
stacked,stacked
on top of,on top
white,white
yellow,white
bacon,bacon
on top,on top
gnocchi,spaghetti
shrimp,shrimp
green,green
brownish-red,brown
gnocchi,pierogi
green,green
on a plate,on the plate
yellow,yellow
pasta,meat
red,red
on top of,on top
green,green
orange-brown,yellow
macaroni,macaroni
scattered,scattered
red,red
at the top,on top
scattered,distributed
beef,chicken
yellow,yellow
orange,orange
yellow,yellow
lemon,watermelon
glass,glass
watermelon,watermelon
mint,on top
brown,brown
granola,chips
red,red
brown,brown
granola,vegetables
red,red
scattered,scattered
in the mixture,scattered
yellow,creamy
potatoes,tofu
yellow,yellow
in a baking dish,on a plate
yellow,white
dish,bowl
white,green
yellow,reddish-brown
in the lower center,in the center
diced,large
shrimp,shrimp
orange,orange
broth,milk
on the left,on a plate
bowl,dish
lemon,yellow
yellow,yellow
on the left side,on the rim
scattered,scattered
brown,red
chicken,bacon
sausage,bacon
beige,yellow
gyros,chips
brown,brown
on the left side,in the center
green,green
crispy,flaky
halibut,walleye
white,white
green,green
on top,located
beige,golden-brown
halibut,halibut
green,green
on the right,plate
golden-brown,golden-brown
halloumi,feta
gray,white
on the left,on the rim
yellow,yellow
apricot,cranberries
reddish-brown,brown
bowl,potatoes
in the upper right,in the center
pink,pink
ham,chicken
pink,pink
sandwich,toast
green,green
on a plate,on a plate
green,browned
pink,pink
ham,chicken
caramelized,browned
layered on,on top of
lettuce,on top of
potato,tomato
orange,orange
throughout,on top
yellow,yellow
brownish,yellow
plate,plate
yellow,yellow
sprinkled on top,on top
white,white
orange,orange
potato,mushrooms
fried,scrambled
on top of,on a plate
bacon,sauce
hash browns,pancakes
golden-brown,yellow
yes,overlapping
on a plate,on a plate
golden-brown,golden-brown
plate,plate
orange,blue
chives,sprinkled
brown,golden-brown
chicken,chicken
yellow,brown
in the upper right,in the center
golden-brown,golden-brown
hen,pheasant
brown,brown
at the top left,in the center
salad,soup
green-white,multicolored
over the salad leaves,on top of
tomatoes,zucchini
edamame,beans
hummus,rice
black,white
on top of,on top of
yellow,light
hummus,hummus
submerged,on top of
crackers,mushrooms
on the right,in the center
bowl,bowl
brownish-green,beige
towards the top left,in the center
beige,beige
hummus,hummus
yellow,yellow
tomatoes,salad
spices,dusted
yellow-beige,beige
bowl,bowl
orange,orange
carrots,with
on the plate,on a plate
reddish-brown,red
jars,jars
in the center,in the center
orange,red
jars,jars
glass,glass
in the center,in the center
pinkish-white,white
in the center,in the center
bottom half,of the image
orange,red
vibrant,vibrant
glass,jars
papaya,apple
fresh,fresh
on a white cloth,on a wooden surface
dark brown,brown
cubes,square
beige,orange
scattered,scattered
black,reddish-brown
dark,reddish-brown
stacked,distributed
dish,bowl
in the center,in the center
brown,brown
beef jerky,chips
scattered,scattered
reddish-brown,brown
around the edges,on top
brown,brown
beef jerky,chips
overlapping,stacked
dark brown,brown
located inside,on the plate
jar,jar
sitting,sitting
wooden,wooden
yellow-tan,yellow
plate,on a plate
white,white
glazed,textured
sloppy joe,sandwich
reddish-brown,brown
yellow,yellow
on the bottom,located
golden-brown,yellow
chicken,sausage
orange,brown
on top,on top of
chips,mushrooms
golden-brown,yellow
bun,covering
gray,white
on a plate,spilling onto
tan,yellow
bun,plate
red,red
on top,on top
diced,diced
beige,yellow
juice,margarita
on the table,on top
glass,bowl
in a glass,located in
vibrant,vibrant
glass,glass
yellow,yellow
watermelon,watermelon
pink,red
blueberries,rhubarb
green surface,white
4th of july,halloween
golden-brown,reddish-brown
dispersed,scattered
kale,kale
bowl,soup
green,green
chips,chips
bowl,plate
on a wooden surface,on a wooden surface
brownish,browned
dark green,green
kale,kale
red,red
on top of,submerged
colorful,rich
kebabs,salad
red,brown
on a plate,on a plate
pineapple,cranberries
white,white
kohlrabi,zucchini
arranged,arranged
brown,brown
on a plate,on a plate
yellow,white
noodles,fruit
yellow,yellow
on the top,on top
golden-yellow,yellow
baking,baking
sprinkling,sprinkled
noodles,garlic
brown,brown
brown,brown
lamb,chicken
in the center,on top of
reddish-brown,reddish-brown
stew,baking
fills,fills
white,bowl
throughout the stew,scattered throughout
white,white
lamb,chicken
brown,brown
scattered around,scattered throughout
lamb,chicken
gradient,homemade
brown,red
onions,vegetables
cooked,sliced
orange,white
lasagna,salad
creamy,creamy
white,red
on the surface,on top
golden-brown,yellow
lasagna,salad
black,black
on a black stovetop,on a plate
green,yellow
green,green
lasagna,salad
red,red
yellow,orange
on top of,resting on
banana,watermelon
yellow,red
on the left,in the glass
green,green
clear,clear
yellow,yellow
into the lassi,into the milkshake
green,green
transparent,clear
white,white
tan,yellow
on a plate,on a wooden surface
white,white
tan,brown
on top of,on top
strawberry,bananas
white,white
latte,smoothie
shaved chocolate,has
brown,brown
on top of,on top
yellow,yellow
in the center,sits on
pie,cake
triangular,square
on the top,on top
lemon,peaches
yellow,yellow
spoon,spoon
yellow,yellow
jars,jars
lemon curd,relish
on the tray,spoon
tan,brown
cookies,chips
on a sheet,on a plate
pink,red
strawberry,watermelon
yellow,yellow
on the rim,on the rim
lemonade,lemonade
lemonade,filled
yellow,yellow
brown,brown
brown,brown
lentils,mushrooms
visible,visible
light brown,translucent
dispersed,in the center
yellowish-orange,brown
lentils,rice
dispersed,scattered
green,green
dispersed,in the center
red,red
green,green
orange-brown,green
on the left,on top
to the right,to the left
grain,filling
translucent,green
glass,glass
whitish-yellow,green
on the rim,on the rim
lime,lemon
yellow,yellow
linguine,ravioli
green,green
scattered,scattered
beige,yellow
pasta,pasta
brown,brown
green,green
on top of,on top
white,white
golden-brown,brown
on a plate,on a plate
blueberries,rhubarb
wooden,wooden
cheese,vegetables
yellow,white
on the left,to the left
yes,vegan
white,white
in the center,in the center
golden,golden-brown
overlapping,overlapping
reddish-brown,yellow
reddish-brown,red
on the right side,located
bowl,bowl
yellow,yellow
covering,covering
vibrant,colorful
skillet,skillet
browned,reddish-brown
yellow,yellow
on top of,on top
green,green
in the center,on the plate
macaroni,macaroni
yellow,yellow
on the top,on top
yellow,yellow
macaroni,ravioli
clustered,mixed
on the left side,on the right side
ginger,spicy
mahi mahi,walleye
brown,orange
in the bottom center,in the center
golden-brown,yellow
mahi mahi,walleye
yellow,yellow
beans,zucchini
white,golden-brown
reddish-brown,brown
green,green
orange,white
spinach,zucchini
melted,melted
sticky,creamy
yellow,yellow
arranged,scattered
on top of,on top
pink,yellow
cadillac,punch
white,white
on the surface,on the rim
green,green
yellowish-green,yellow
margaritas,smoothie
silver,white
yellow-green,yellow
white,white
yellow,yellow
white,white
from the top,on top of
margaritas,margarita
blue,white
on the plate,on a plate
green,green
red,yellow
blackberries,lemon
on the wooden surface,on top
green,green
marinade,surrounds
surrounding,in the center
chicken,chicken
glossy,glossy
in the background,next to
viscous,thick
marinade,dipping
in the bowl,is contained
in the center,in the center
lemon,bananas
reddish-brown,reddish-brown
coats,covers
skewers,are
white,white
reddish-brown,brown
chicken,chicken
on the upper chicken,in the center
amber,vibrant
marmalade,margarita
amber,red
glass,glass jar
orange,red
amber,red
marmalade,relish
striped,checkered
to its left,to the left of
brown,white
coated,chocolate
three,scoops
on the left,located
coconut,sugar
marshmallows,toffee
light pink,white
on a small plate,on top
bottom,on the left
vibrant,vibrant
watermelon,lime
pink,red
on the top,on the rim
green,green
red,yellow
stemmed,glasses
brown,white
on top of,on the rim
reddish-purple,yellow
martini,smoothie
red,red
with two bright red cherries,sliced
agave,clear
pistachio,almond
green,green
cylindrical,rectangular
rectangular bar,rectangular
on the left side,on the left side
white,white
orange,orange
carrots,zucchini
in a bowl,in a brown bowl
crispy,crispy
chicken,chicken
white,white
yellow,yellow
on a plate,on a plate
mayo,chutney
smooth,creamy
gray,black
in the upper left corner,on top of
bowl,bowl
orange,red
basil,cilantro
on a light-colored surface,on a wooden surface
light green,yellow
fills,fills
bowl,container
leaves,salad
to the right of,to the left
yellow,yellow
meatballs,chicken
on top,on top of
green,green
orange-brown,brown
tomato sauce,pesto
covers,coats
green,green
sweet,spicy
meatballs,soup
brownish-red,brown
in the center,on a plate
bowl,bowl
creamy,creamy
meatballs,chicken
orange,red
underneath,behind
green,green
brown,brown
salad,mushrooms
sliced,sliced
is in,in the center
golden,golden-brown
meatloaf,salad
light-brown,brown
reddish-brown,red
towards the right side,on top of
dark,brown
meatloaf,meatloaf
white,white
with sprigs,bacon
bright,green
broccoli,zucchini
red,pink
browned,browned
across the image,throughout the bowl
yellow,orange
smoothie,smoothie
glass,glass
white,orange
near to,on top of
clear,clear
pitcher,glass jar
beige,is
in the center-left,sitting
pink,white
milkshakes,margarita
topped,on top
red,red
on each milkshake,on top of
chocolate,chocolate
brown,yellow
on top,on top
clear,clear
pitcher,jar
yellow,yellow
on a wooden board,on a wooden surface
yellowish,reddish-brown
tofu,bacon
scattered across,scattered
blue,blue
reddish-brown,brown
jar,container
viscous,creamy
on the top,on top of
tomatoes,lettuce
bowl,bowl
mixed,mixed
brown,brown
orange,golden-brown
in a clear glass bowl,on a plate
brown,brown
bowl,bowl
candies,candies
golden-brown,brown
blue,red
wooden,wooden
pretzels,mushrooms
orange,white
on the left,on the left
beige,yellow
brown,golden-brown
towards the bottom,in the center
brown,brown
jar,bowl
filled,filled
white,brown
to the left of,in the center
brown,brown
foamy,creamy
with whipped cream,sprinkled
scattered,on top
yellow-green,green
mojito,margarita
green,green
by the pitcher,served
fresh,colorful
green,red
mojito,margarita
yellow,green
strawberry,rhubarb
transparent,clear
mousse,cake
brown,brown
creamy,creamy
on a silver tray,on a plate
golden-yellow,brown
muffins,muffins
obscuring,covering
blue,white
beverage,margarita
fill,float
white,white
on top of,on top of
copper,copper
mug,mug
green,green
yellow,yellow
on the wooden surface,on the rim
brown,brown
mushrooms,chips
glossy,creamy
green,green
in a pile,stacked
yellow,yellow
eggs,mushrooms
mushroom,mushrooms
brown,brown
chicken,chicken
brown,white
on the right,in the center
herbs,herbs
creamy,charred
mushrooms,fish
black,silver
from the pan,in a pan
brown,brown
yellow,brown
enoki mushrooms,mushrooms
tangled,appear
strands,sliced
immersed,submerged
mussels,mussels
orange-red,reddish-brown
brownish-red,reddish-brown
on the left,in the center
yellow-orange,yellow
pouring,spilling
jar,jar
wooden,wooden
above the jar,on a spoon
glass,glass
wooden,wooden surface
mustard,mustard
to the right,to the left
dijon,jalapenos
tan,yellow
lined up,arranged
jars,jars
creamy,creamy
nachos,pancakes
light-orange,yellow
on top of,on top
bowl,bowl
potato,rice
white,white
golden-brown,golden-brown
cheese,cheese
on a plate,on a plate
chocolate,drizzled
nachos,rice
brown,yellow
white,white
on top of,in the center
smooth,creamy
glass,mug
pink,pink
refresher,smoothie
soup,salad
green,green
chicken,chicken
on the lower-right,on the rim
light blue,white
bowl,dish
fill,fill
yellow,yellow
in the center,in the center
crunchy,crispy
nuggets,burrito
white,white
on the right side,in the center
red,red
corn nuts,pecans
brown,brown
on the napkin,in the center
golden-brown,golden-brown
oatmeal,pie
filling,filling
white,white
on a white surface,on a plate
beige,brown
fill,fill
blueberries,blueberries
red,red
on top,on top of
black,blue
rice,tofu
green,green
okra,zucchini
in a black cooking pot,skillet
beige,white
chicken,chicken
green,green
on top,on top
tomatoes,cranberries
golden,green
olives,chips
cut,cut
on the bottom,on top
green,green
wooden,wooden
bread,pita bread
black,green
golden-brown,brown
on a wooden cutting board,on a plate
visible,visible
olives,pickles
glass,glass
white,white
yellow,yellow
spilling out of,covering
bacon,sausage
mixed,roasted
located on the left side,on top
omelette,polenta
scattered,scattered
red,red
caramelized,brown
melted,melted
onions,mushrooms
brown,white
cheese,cheese
towards the bottom,on the left
reddish-brown,red
nestled,folded
orange,white
to the left of,behind
orange,orange
plate,plate
vibrant,bright
thick,creamy
drink,drink
garnished,garnish
green,green
at the bottom,on the left
pink,purple
oreo,contains
sprinkled,sprinkled
on top surface,scattered across
circular,round
crust,pie crust
star-shaped,white
oysters,mussels
green,green
on a star-shaped plate,on a plate
white,white
oysters,mussels
yellow,yellow
reddish-brown,reddish-brown
white,white
yellow,white
scattered,scattered
shrimp,shrimp
in a bowl,in the center
chicken,sausage
scattered,scattered
orange-brown,brown
shrimp,shrimp
green,green
pancake,chips
white,white
golden brown,brown
on the left side,on the left
salty,sweet
pancakes,chips
cooking,frying
yellow,brown
golden yellow,yellow
paneer,tofu
reddish-brown,brown
on top,on top
vibrant,vibrant
green,yellow
bowl,bowl
blue,white
scattered,scattered
on top,on top
cranberry,rhubarb
glass,bowl
red,yellow
on a table,on a wooden surface
white,white
parfaits,cake
red,red
on top,on top
orange,rhubarb
yellow,yellow
fills,fills
vegetable,soup
white,pink
in the center,in the center
round,rectangular
parsnips,zucchini
beige,yellow
smooth,creamy
chicken,chicken
reddish-orange,red
pasta,macaroni
scattered amidst,in the center
diced,diced
orange,yellow
pasta,pasta
melted,melted
brownish-tan,yellow
beige,yellow
pasta,ravioli
shrimp,shrimp
green,green
over the shrimp,in the center
scattered,scattered
pasta,rice
yellow,yellow
on top,on top
dish,polenta
red,red
scattered,distributed
eggplant,zucchini
golden-yellow,golden-brown
bowls,on top of
with a brown wooden handle,silver
white,white
yellow,yellow
blueberries,rhubarb
nestled among,on top of
pavlova,ice cream
greenish-yellow,yellow
soup,salad
white,bowl
submerged,submerged
peas,soup
bowl,are
italian,italian
on the right side,in the center
vibrant,vibrant
holding,held
white,black
in the center,in the center
yellow-orange,yellow
glasses,bowl
wooden,wooden
on the rim,on the rim
reddish-yellow,red
margaritas,margarita
served,served
bright,vibrant
glasses,glasses
in the center,in the center
tea,drink
drinking,drinking
peach,chocolate
yellow,red
to the right,on the left
peachy-orange,orange
pitcher,bowl
red,red
on the left,on a wooden surface
dark,brown
peanut butter,garlic
golden brown,brown
on the lower right,on the left
cookie,cake
light brown,brown
ice cream,fruit
smooth,thick
near the top,at the bottom
yellow,white
muffins,chips
perfect,amazing
white,white
on the plate,on top of
red,yellow
in the left side,in the center
brown,brown
pecan,pecans
white,white
on top,on top of
reddish-brown,brown
tan,brown
overlapping,angled
brown,green
on the cracker,located in
appetizer,salad
penne,ravioli
distributed,distributed
red,yellow
cilantro,parsley
on top of,on top
penne,ravioli
red-orange,red
sauteed,diced
peppers,mushrooms
green,red
peppers,tomatoes
scattered across,scattered across
glistening,glistening
white,white
pesto,barbeque
container,jar
vibrant,vibrant
textured,creamy
pesto,pesto
fills,fills
white,white
on top of,on top
chicken,chicken
falling onto,spilled
green,green
scattered,scattered
pickles,oats
glass,glass
full,filled
yellow,green
sliced,cut
yellowish-green,green
pickles,pickles
on the left side,on the left
white,white
clear,clear
pickles,pickles
green,green
in a jar,jars
melted,melted
pie,potatoes
tan,golden-brown
silver,silver
apricot,blueberry
golden-brown,golden-brown
pies,cake
uneven,creamy
pie,cake
white,white
green plate,white
yellow,golden-brown
pierogi,chips
on the plate,on a plate
center,in the center
white,white
pinkish-red,red
on a plate,on a plate
rice,rhubarb
inside the bowl,on a plate
yellow,white
scattered,scattered
rice,oatmeal
red,red
on the left,in the center
large,large
to the lower left,located
chocolate,chocolate
brown,brown
on the left,located
hot,warm
brown,white
on top,on top
bread,pita bread
brown,beige
on the plate,on the left side
crumbs,scattered
white,white
bread,pita bread
red,white
tan,yellow
on a white plate,on top of
arranged,scattered
pear,rhubarb
on top of,on top
silver,silver
pizza,chips
red,red
beige,brown
on a round,pan
golden-brown,golden-brown
on the left,located
plum bread,pita bread
white,white
tan,golden-brown
cracked,toasted
on a plate,on a white plate
pink,red
plate,plate
red,red
parsley,cilantro
polenta,salad
yellow,yellow
green,green
polenta,meatloaf
in the lower center,in the center
roasted,shredded
beige,golden-brown
chicken,chicken
yellow,white
cream,red
yellow,brown
rice,rice
brown,brown
in light yellow,red
interspersed,scattered
rice,potato
red,red
green,green
above the rice,next to
pink,white
cake,cake
colorful,sprinkled
on a light brown surface,on a plate
brown,brown
ice pops,chips
white,white
on a white plate,on a plate
blurred,melted
brown,brown
cookies,muffins
on a metal baking sheet,on a plate
shiny,textured
rice,white
brown,golden-brown
stacked on,stacked
pink,white
bowl,plate
brown,brown
almonds,pecans
jar,bowl
on the same surface,on top
orange,brown
on the bottom center,wooden surface
green,white
vibrant,orange
sweet potatoes,tomato
orange,orange
within the bowl,on top of
brown,brown
apples,bananas
white,white
yellow,red
in a bowl,on a plate
applesauce,pot
blue,white
red,red
on a surface,on a wooden surface
applesauce,golden-brown
golden-brown,yellow
scooped,adding
white,white
in the bowl,located
golden-amber,yellow
jar,bowl
yellow,red
on the table,on a wooden surface
white,white
meat,chicken
carrots,onions
fried,seasoned
on the plate,in the center
adjacent,on top of
green,green
artichoke,tomatoes
white,white
to the right,on top of
green,green
asparagus,carrots
arranged,arranged
green,green
asparagus,zucchini
upwards,pointing
on top of,stacked
green,green
avocado,peaches
white,yellow
on its outer skin,crispy
scattered,on top of
green,yellow
pie,cake
white,white
on top,on top
golden-brown,golden-brown
avocado,polenta
green,green
on a white square plate,on a plate
vary,vary
raspberries,raspberries
scattered,scattered
red,red
on the white cloth,on a plate
glistening,glossy
bacon,chicken
dark brown,brown
separated by,on top of
bacon,chicken
oven,baking
on a wire rack,slow
golden-brown,golden-brown
bagel bites,chips
blue,in the image
in the bottom half,fresh
broken,white
golden-brown,golden-brown
bagels,chips
spice,glaze
on a wire rack,on a plate
pumpernickel,pita bread
brown,golden-brown
bagels,pancakes
on a black wire rack,on a plate
white,white
golden-brown,brown
melted,melted
plate,plate
sesame,sesame
on the left,on top
white,white
cheese,cheese
sausage,raisins
brown,brown
within the cheese,scattered across
beige,green
bananas,watermelon
yellow,red
to the left of,to the left
brown,brown
chocolate,pita chips
loaves,square
golden-brown,golden-brown
towards the center,on the left side
fries,fries
brown,golden-brown
white,white
on a plate,plate
bananas,peaches
golden-yellow,yellow
in coconut milk,broth
bowl,dish
golden-brown,golden-brown
banana,watermelon
together,stacked
tempura,salad
irregular,loaf
yellow,yellow
banana,cranberries
white,white
on top of,on top
dark blue,blue
golden,brown
bars,pinwheels
white,white
reddish-brown,golden-brown
chicken,chicken
white,white
on top of,above the rim
green,green
mix,mixture
white,white
dispersed,scattered
orange,orange
of beef,sausage
white,white
chicken,bacon
brown,white
green,green
at the bottom,located in
overlapping,scattered
sea bass,halibut
white,white
on the left side,in the center
green,green
yellowish,orange
scattered,scattered
sea bass,walleye
on the rack,on a plate
green,green
smooth,creamy
batter,mixed
brown,dark
on top,topped
yes,scattered
tangy,spicy
beef,bacon
tan,golden-brown
orange,white
shredded,shredded
meat,meat
coating,glossy
yellowish,brown
chicken,chicken
reddish-brown,reddish-brown
ribs,chicken
grill,grill
unevenly,scattered
on the top,located
tasty,glistening
pan,skillet
green,green
green beans,beans
in the center,in the center
reddish-brown,brown
orange,orange
with other ingredients,with
plate,plate
green,green
beans,tomatoes
tangled,scattered
yes,fill
in the bottom center,in the center
glossy,textured
beans,tomatoes
peppered,garlic
overlapping,scattered
throughout the entire image frame,in the center
tan,green
bowl,dish
fill,fill
brown,red
in the broth,submerged
sliced,diced
beef,chicken
brown,brown
with peppers,mushrooms
slow,frying
reddish-brown,brown
meat,chips
in the upper-right portion,in the center
brown,red
white,white
at the top,on top of
glasses,glasses
amber,red
surface,on the rim
red,red
beets,oatmeal
green,green
yellow,yellow
cake,cake
on a clear glass,on a white plate
yellow,brown
biscuits,muffins
clustered,arranged
baked,baked
golden-brown,yellow
pale,yellow
cream,golden-brown
on a wire rack,located in
beige,golden-brown
biscuits,chips
orange,green
across the image,in the center
flaky,crispy
light-colored,white
blondies,cake
brown,golden-brown
on top,on top
drizzle,chocolate
purple,blue
blueberries,grapes
pink,yellow
bowl,bowl
under the bowl,on a plate
golden-brown,brown
reddish-brown,yellow
covering,coated
plate,plate
yellow,yellow
in the center,in the center
green,green
spinach,avocado
avocado,green
closer to,on top of
tan,white
rice,rice
on the left side,in the center
green,green
reddish-brown,brown
brats,brats
green,green
draped over,on top
liquid,lettuce
walnuts,garlic
speckled,amazing
on top,on top
white,yellow
loaf,sliced
tan,brown
overlapping,scattered
on the board,resting on
white,yellow
golden-brown,brown
stacked,stacked
beige,brown
bread,chips
creamy,yellow
on a wire rack,on a plate
bright,golden-brown
orange,yellow
around the eggs,scattered across
brown,brown
beef brisket,chicken
green,green
gravy,coating
on the plate,located
golden-brown,brown
within,in the center
brown,brown
beef,chicken
green,green
on a plate,on the plate
rice,rice
broccoli,zucchini
green,green
red,white
cooked,baked
on a plate,on the plate
broth,milk
green,green
within the broth,on top of
square,square
brown,brown
on top,on top
green,green
brown,white
shiny,textured
pecans,pecans
brown,brown
brownies,flan
cracked,creamy
walnuts,bacon
on top of,on a plate
dark-brown,brown
arranged,arranged
brownies,cake
within the chocolate,on top of
white,white
bruschetta,kugel
red,red
on the center,on the plate
toasted,bread
melted,melted
black,on a white plate
red,red
on top,on top
reddish-brown,brown
beef,chicken
glistening,browned
on top of,in the center
orange,orange
one-third,fill
burgers,pasta
brownish-tan,red
of the burgers,plate
green,green
white,white
melted,melted
orange,white
in the dish,on the plate
layers,arranged
vegan,vegan
burritos,chips
tan,golden-brown
on top,on top of
sweet,spicy
burritos,chips
black,white
on a black plate,on a plate
orange,orange
white,white
cupcake,flan
light blue,green
on top of,on top
rectangular,cake
cake,cake
blue,white
caramel,spicy
around the perimeter,on top
shredded,shredded
cabbage,tomatoes
on the top-right,in the center
white,bowl
pinkish-red,cabbage
white,white
bowl,bowl
breadcrumbs,filling
golden,brown
shredded,shredded
green-cabbage,cabbage
white,green
orange,orange
within the salad,scattered throughout
reddish-orange,white
cabbage,cabbage
yellowish-green,red
beans,beans
in the center,in the center
cabbage,cabbage
brown,white
on top of the plate,on a plate
orange,orange
evenly-distributed ,scattered
floating in,in the center
red,red
orange,orange
light-brown,golden-brown
chicken,chicken
red,red
on the right side,in the center
spaghetti,noodles
reddish-brown,red
chicken,chicken
light-yellow,yellow
in the center,in the center
light,yellow
chicken,chicken
red,red
cheese,sprinkled
golden,golden-brown
calamari,mussels
arranging,arranged
white,white
on the plate,on top
yellow,white
bowl,soup
brown,reddish-brown
on top of,on top of
yellow,yellow
plate,plate
beef,chicken
brown,brown
in broth,submerged
yellow,red
chocolate,meat
candy,chips
brown,brown
right of orange ribbon,to the left
brown,brown
sugar,polenta
white,white
to the left,on top
brownish-red,brown
meat,burger
dark brown,brown
charred,charred
vegetables,in the center
hard,creamy
candy,chips
orange,brown
coated,with
throughout,in the center
green,white
candy,chips
reddish-brown,red
center,in the center
on the plate,on a plate
red,yellow
poured,drizzled
candy,chips
translucent,translucent
on a piece,on top
yellow,yellow
center of the image,in the image
fluffy and toasted,creamy
meringue,pie
silver,golden-brown
light-green,yellow
pasta,salad
black,red
in a creamy sauce,coated
silver,silver
brown,brown
meat,fish
bubbling,spilling
yellow-brown,red
orange,orange
carrots,zucchini
white,white
orange,orange
carrots,zucchini
glistening,glistening
in the center,in the center
green,green
yellowish,white
rice,tofu
orange,green
green,green
cashews,pecans
tan,brown
piled randomly,scattered
on a purple surface,on a wooden surface
triangular,sliced
casserole,dish
green,green
with cheese,mushrooms
egg,potatoes
beige,golden-brown
catfish,halibut
reddish-orange,red
in the upper-center,situated
fried,baked
golden-brown,golden-brown
catfish,walleye
center,in the center
green,green
on the foreground,in the center
fills,fills
cauliflower,zucchini
blue,white
yellow,white
creamy,creamy
mac-n-cheese,salad
white,white
orange-yellow,orange
off-white,white
cauliflower,cabbage
green,green
broccoli,cabbage
broccoli,zucchini
glass jars,jars
white,white
orange,orange
on the countertop,on a wooden surface
golden-brown,brown
bread,chips
on the cutting board,on top of
yellow,red
dark green,green
chard,kale
garlic,bacon
white,white
in a bowl,on top
rainbow,multicolored
chard,pesto
green,green
in a bowl,in the center
vegetables,bacon
cheeseburger,cheeseburger
yellow,yellow
golden-brown,yellow
pickle,avocado
on a white plate,on a plate
tan,tan
burger,burrito
orange,orange
located to the left,behind
beige,yellow
filling,cooling
right side of the image,in the image
silver,silver
golden-brown,brown
cheesecake,cake
white,white
sprinkled,sprinkled
white,golden-brown
cheesecake,cake
blue,blue
on the plate,on a plate
syrup,drizzled
red,red
jar,dish
on top of,on a plate
dark-brown,yellow
cheesecake,cake
glaze,creamy
strawberries,blueberries
