Image,Food Name,Summary,Ingredients,Calories
37884ca550e995d,Maple Chess Pie,"I was in the middle of making a Chess pie and realized I was out of vanilla extract. I substituted some maple extract I had on hand, added some pecans and the result was delicious. This pie is decadent and rich, so fortunately a small slice will do. I think this would be a great pie for Thanksgiving. Top with sweetened whipped cream or whipped topping if desired.","['unbaked pie crust', 'butter or margarine, softened', 'white sugar', 'eggs', 'yellow cornmeal', 'white vinegar', 'maple extract', 'chopped pecans']",457.0
b472d19994b4719,Singaporean Tender Pork Spare Ribs,"This is one of my mother's excellent Asian recipes. These spare ribs are marinated in light and dark soy sauce, orange juice, garlic, and peppercorn, then fried briefly. After simmering the ribs, marinade, and spices such as star anise and cinnamon for an hour, they are ready to serve with white rice. Very flavorful and tender!","['light soy sauce', 'dark soy sauce', 'crushed black peppercorns', 'garlic, peeled and crushed', 'orange juice, divided', 'pork spareribs', 'orange juice', 'water', 'sticks cinnamon', 'star anise', 'white sugar to taste', 'peanut or corn oil for frying', 'hard-cooked eggs, peeled (Optional)']",693.0
9cd30d33e698117,Molasses Spice Muffins,These muffins are very moist and full of spice. Whole wheat flour adds fiber without taking away any flavor. Try these for breakfast or a wholesome snack.,"['butter, softened', 'white sugar', 'eggs', 'molasses', 'whole wheat flour', 'all-purpose flour', 'ground cinnamon', 'ground ginger', 'baking soda', 'powdered buttermilk', 'water', 'raisins']",249.0
38c906f22ec4118,Apple Ugly Cake,"Don't let the name of this recipe fool you. It may not be the prettiest cake you've ever seen, but it sure is the delicious! I've made this for a tea party, office luncheon, brunch and dessert. It's always a hit. Delicious served with vanilla ice cream.","['white sugar', 'all-purpose flour', 'baking soda', 'salt', 'ground cinnamon', 'vegetable oil', 'eggs', 'vanilla extract', 'raisins', 'chopped, peeled apple']",514.0
85a8b4477f9dc01,Authentic Thai Cashew Chicken,I adapted this recipe from a cooking class I took while I stayed in Bangkok. You can adjust the veggies and spiciness to your personal preference and you can substitute firm tofu for chicken. Serve over jasmine rice. Adjust the amount of chili garlic paste for spiciness.,"['canola oil', 'yellow onion, chopped', 'yellow bell pepper, chopped', 'ketchup', 'oyster sauce', 'soy sauce', 'chicken broth', 'white sugar', 'Thai garlic chile paste', 'skinless, boneless chicken breast halves - cut into bite-size pieces', 'zucchini, chopped', 'yellow squash, chopped', 'broccoli, chopped', 'fresh mushrooms, quartered', 'unsalted cashew nuts']",369.0
5def107a36b8df6,Okra Salad,"This is a fried okra salad with bacon, onion, and tomato in a tangy vinegar dressing.","['bacon', 'frozen cut okra', 'onion, chopped', 'green bell pepper, seeded and diced', 'tomato, diced', 'white sugar', 'corn oil', 'white vinegar']",226.0
f8cf468a36ef3cf,Empanadas de Pina (Pineapple Pastry Cookies),"My mother-in-law gave me this recipe. It may sound hard, but once you get your system going, it's really fun! Enjoy!","['white sugar', 'all-purpose flour', 'butter, softened and cut into pieces', 'cream cheese, softened and cut into pieces', 'pineapple preserves']",292.0
3e5dedcd1c39130,Sour Cream Pear Cake,"Fresh pears are abounding, especially on my trees! Why not use some in a very moist fresh pear cake that everyone will love! I took this to a party last night and everyone was asking for the recipe as it was disappearing fast from the plate. Perfect as a coffee cake too!","['butter', 'cinnamon sugar', 'cake flour', 'baking powder', 'baking soda', 'salt', 'butter, softened', 'white sugar', 'eggs', 'vanilla extract', 'sour cream', 'pears, cored and finely chopped', 'packed light brown sugar', 'ground cinnamon', 'ground ginger', 'chopped pecans', 'caramel ice cream topping']",612.0
2810b81302f5179,Pareve Corn Kugel,"This slightly sweet side dish contains no dairy, and is a perfect accompaniment for all your main dishes! Cranberries add an unusual and delicious flavor.","['white corn, drained', 'cream-style corn', 'eggs', 'all-purpose flour', 'salt', 'sugar', 'liquid non-dairy creamer', 'vegetable oil', 'dried cranberries']",143.0
ab31b3ab47a6de9,Crispy Cornmeal Drop Doughnuts,"These are my rendition of a sweet hush puppy. They are quick and easy to make and are great for breakfast or with coffee. I like them plain, but they are yummy rolled in cinnamon and sugar, too.","['peanut or corn oil for frying', 'self-rising flour', 'self-rising cornmeal mix', 'sugar', 'ground cinnamon', 'freshly grated nutmeg', 'egg', 'buttermilk', 'cinnamon', 'sugar']",719.0
8151dbc62f6623e,Gazpacho Slaw,"All the wonderful flavors of the famous soup served as a slaw. I like to serve it over a bed of baby greens, but you can also just serve it as a side salad.","['shredded green cabbage', 'chopped cucumber', 'chopped tomato', 'chopped yellow bell pepper', 'chopped green onions', 'chopped celery', 'tomato-vegetable juice cocktail', 'red wine vinegar', 'white sugar', 'olive oil', 'salsa', 'lemon, juiced', 'salt and pepper to taste']",63.0
a09ea5a048ac60d,Hallelujah Noodles,This is a recipe that has been passed down through my church. Great and easy to cook for large gatherings. Everyone I've cooked it for loves it.,"['uncooked linguini pasta', 'soy sauce', 'extra virgin olive oil', 'white sugar', 'distilled white vinegar', 'sesame seeds', 'mixed baby salad greens', 'imitation crabmeat, flaked', 'chopped cilantro', 'avocado - peeled, pitted and diced']",469.0
a14cdb6a4cf6133,Monica's Baptist Sangria,"This fresh, sweet nonalcoholic drink is beautiful in a punch bowl and will have your guests coming back for more and more!","['lemon-lime flavored carbonated beverage', 'lemon iced tea mix', 'oranges, sliced into rounds', 'lemon, sliced into rounds', 'ice']",89.0
389346407dfe33a,Lemon Peach Parfaits,"These parfaits not only look amazing, but they are wonderfully cool, sweet and tangy. Sliced peaches are layered with pound cake and a light lemon sauce before being chilled and topped with a dollop of sweetened whipped cream. They will make you want to have dessert first!","['frozen sliced peaches, thawed', 'brown sugar', 'white sugar', 'all-purpose flour', 'grated lemon zest', 'salt', 'lemon juice', 'boiling water', 'egg yolks', 'butter', 'prepared pound cake, cubed', 'sweetened whipped cream']",423.0
81805bd8c14d753,Pani Popo (Hawaiian Coconut Bread),Delicious Hawaiian bread that anyone will love--even those who don't like coconut! Eat it for dessert or with any meat hot off the grill. Tastes great warm or cool.,"['frozen dinner rolls, thawed', 'coconut milk', 'sweetened condensed milk', 'white sugar, or to taste']",194.0
51c4006bfe2ffa2,Sweet Potato Cookies II,Great tasting cookies that are easy and fun to make - plus they differ from the cliche chocolate chip cookies. You will be surprised at how delicious and moist these are.,"['all-purpose flour', 'baking powder', 'baking soda', 'salt', 'butter', 'white sugar', 'grated lemon zest', 'ground nutmeg', 'honey', 'egg', 'grated raw sweet potato']",72.0
beb8d6a4266f274,Pineapple Jupiter,"A summery drink that can be made year-round to brighten the mood! Vanilla, honey, bananas, pineapple, and cinnamon on top!","['cold milk', 'cold water', 'frozen pineapple juice concentrate', 'white sugar', 'vanilla extract', 'banana, peeled and chopped', 'ice cubes', 'ground cinnamon to taste']",315.0
0487ba199eb7c80,Bob's Bean Salad,This is a tasty bean salad that is actually good for you!,"['red bell pepper, chopped', 'medium onion, chopped', 'marinated artichoke hearts, drained and chopped', 'kidney beans, drained and rinsed', 'pinto beans, drained and rinsed', 'garbanzo beans, drained and rinsed', 'crumbled feta cheese', 'olive oil', 'white vinegar or white wine vinegar', 'balsamic vinegar', 'salt', 'sugar']",229.0
e8e409d1f76c324,Coconut Kugel,Noodles are paired with sweet ingredients to make this truly delectable dessert!,"['fine egg noodles', 'eggs', 'milk', 'white sugar', 'vanilla extract', 'butter', 'shredded coconut']",743.0
ae21074b6ae6bfe,Apricot Ginger Game Hens,"These are wonderful to serve at a party. They look beautiful and taste even better. These should be marinated overnight; just place them into the oven before guests arrive and the work is done. Have the butcher cut the birds in half lengthwise for you, down the breast bone.","['soy sauce', 'apricot preserves', 'grated fresh ginger root', 'crushed garlic', 'white wine', 'white sugar', 'Cornish game hens, halved lengthwise']",348.0
24cf1d329b8d515,Christmas Strawberry Bread,"This beautifully pink, moist bread is a favorite at our house. Neighbors and friends look forward to receiving it for Christmas every year. Most people ask for the recipe.","['all-purpose flour', 'baking soda', 'salt', 'ground cinnamon', 'frozen sweetened strawberries, thawed', 'strawberry extract', 'eggs, beaten', 'sugar', 'canola oil', 'frozen sweetened strawberries, thawed, with syrup', 'sugar', 'water', 'strawberry extract']",296.0
a483803f5a7b26f,Sweet Almond Flaky Pie Crust,"This pie crust is amazing! It makes the pie, with this crust you wont even need ice cream to eat with the pie!","['cake flour', 'all-purpose flour', 'baking powder', 'salt', 'white sugar', 'brown sugar', 'shortening', 'egg', 'cold water', 'vanilla extract', 'almond extract']",225.0
0fd3c4c6dff2213,Delicate Tofu in Apricot-Honey Sauce,"Slices of soft silken tofu are topped with a delicate caramel, orange, and honey sauce in this sophisticated chilled dessert.","['unsalted butter', 'white sugar', 'fresh apricots, peeled, pitted, and pureed', 'vanilla extract', 'orange blossom honey', 'silken tofu - drained, patted dry, and cut into 1/4 inch slices', 'fresh apricots, pitted and sliced']",166.0
4cb56b7d60010da,PDQ Hot Beef Sandwiches,An original recipe from my good friend Vicki! She isn't very computer literate so asked me to post this. I made this for Christmas and it was a hit! Can be prepared the day before which makes it very handy for busy holidays!,"['vegetable oil', 'beef chuck roast', 'chili sauce', 'water', 'white vinegar', 'chili powder', 'salt and pepper to taste', 'garlic powder, or to taste', 'white sugar']",424.0
a4b184a82ba232b,Rhubarb Dumplings,This is a easy recipe and a nice change from the standard apple dumplings. I serve mine with a scoop of cinnamon ice cream.,"['refrigerated buttermilk biscuit dough', 'chopped fresh rhubarb', 'white sugar', 'water', 'butter, melted', 'vanilla extract', 'ground cinnamon, or to taste']",275.0
d02d6c6342d0e6c,Bean and Bacon Salad,"My father used to enjoy making this when we were kids. Now I make it for potlucks, and it's a huge crowd pleaser!","['bacon', 'vinegar', 'mayonnaise', 'white sugar', 'kidney beans, drained and rinsed', 'shredded cabbage', 'diced celery', 'chopped fresh parsley', 'finely chopped onion', 'salt', 'ground black pepper']",301.0
58f18618dbd36fa,High-Altitude Angel Food Cake,"This is my grandmother's recipe that I have adapted for high-altitude baking. It is easy, light and delicious -- the BEST angel food cake ever!!","['sifted cake flour', 'white sugar', 'egg whites', 'cream of tartar', 'salt', 'vanilla extract', 'lemon extract']",221.0
359747a8a1190e8,Mexican Martinis,These are a bit labor intensive but worth it. Fresh limes and a good lime squeezer are a must.,"['limes, juiced', 'coarse salt', 'jalapeno-stuffed green olives', 'premium tequila', 'orange liqueur', 'sweetened lime juice', 'superfine sugar', 'crushed ice']",
c0bf24c7a93c201,Fabulous Frosted French Toast,Warm French toast topped with a cream cheese frosting. This is a reduced-fat version of what my sister serves for breakfast whenever they have company. It is incredible!,"['eggs', 'skim milk', 'white sugar', 'ground cinnamon', 'French bread, cut into 3/4 inch slices', 'butter', 'fat-free cream cheese, softened', 'white sugar', 'fat-free sour cream', 'frozen whipped topping, thawed']",454.0
eb58e5e580044ac,Three Milks Coconut Custard,I needed to use up some milk and eggs one day and came up with this custard. I tried replacing the almond extract with amaretto liquor and it was mighty good too. You can adjust the flavorings to suit your taste but don't go over board on the almond - it is a pretty strong flavoring. And don't skip the water bath!,"['buttermilk', 'coconut milk', 'milk', 'water', 'eggs', 'white sugar', 'brown sugar', 'salt', 'vanilla extract', 'almond extract', 'coconut extract', 'ground nutmeg']",131.0
4a743cc311a2d69,Bum's Lunch,"Cube steak, potatoes and onion all wrapped up in a neat little package. This was a quick fast fix my mom always made for us. Now I make it for my family. It's easy and a meal all in one packet.","['cube steaks', 'potatoes, thinly sliced', 'onion, thinly sliced', 'margarine', 'salt and pepper to taste']",326.0
b6519fe263bde0f,Strawberry Balsamic Chicken,"Savory, sweet and simply divine. This stunning dish marries two amazing flavors in an amazing way, for easy but high-class food. Best when marinated for up to 24 hours in the fridge, but this recipe is designed for only an hour.","['strawberry yogurt', 'balsamic vinegar (Optional)', 'white sugar', 'ground black pepper', 'ground cinnamon', 'kosher salt', 'skinless, boneless chicken breast halves', 'olive oil', 'lemon juice', 'strawberries', 'minced fresh parsley', 'minced fresh mint leaves', 'balsamic vinegar (Optional)']",454.0
da6e574e6d4ab40,Peanut Butter Ice Cream,Creamy peanut butter ice cream. Great with chocolate syrup or chocolate cake. The ultimate peanut butter lover's indulgence.,"['half-and-half cream', 'non-fat dry milk', 'milk', 'sugar', 'peanut butter', 'vanilla extract']",535.0
0a275dd30906242,Orange Dream,"Ahhh, this tastes just like those orange push ups you used to get at the store. Very easy recipe that everyone will love, especially on that hot summer day.","['orange soda', 'sweetened condensed milk', 'frozen whipped topping (such as Cool Whip®), thawed', 'sugar']",265.0
af453a9a885b763,Gingersnap Strips,"I have been making these spicy cookies for about 30 years, and they are always a hit! I have tweaked the recipe over the years, and they are truly addictive!","['shortening', 'white sugar', 'egg', 'molasses', 'all-purpose flour', 'baking soda', 'salt', 'ground cinnamon', 'ground ginger', 'ground cloves']",56.0
f28847ebef48ed3,Papaya Surprise Smoothie,"Papaya's sunny flavor is a great addition to banana and strawberry, the traditional smoothie favorites.","['papaya - peeled, seeded and diced', 'banana, peeled and sliced', 'sliced fresh strawberries', 'milk', 'sugar', 'ice cubes']",228.0
9b38e6145e0e759,Jelly Roll,This is a homemade sponge cake filled with your favorite jelly or jam that even a novice baker can make.,"['sifted cake flour', 'baking powder', 'salt', 'eggs', 'white sugar', 'vanilla extract', '2% milk', ""confectioners' sugar for dusting"", 'strawberry jam']",236.0
00034d9b2467105,Poor Man's Beer Batter Fish,"This is a SUPER EASY AND FAST not to mention CHEAP and NO MESS way to make a beer batter for your fresh fish while camping. Using only beer, your freshly caught fish, some oil for your skillet, and shake and pour buttermilk pancake mix containers found in your local supermarket. Great for camping!","['beer, or as needed', 'shake and pour buttermilk pancake mix', 'trout fillets', 'oil for frying']",286.0
c2efa662434bf37,Highway Cafe Chess Pie,"I obtained this recipe 40-years ago from the cook at the Highway Cafe in Scappoose, Oregon. I have never found its equal. Whenever I serve it, I am always asked for the recipe.","['raisins', 'white sugar', 'butter', 'eggs', 'vanilla extract', 'sour cream', 'chopped walnuts', 'pie crust, baked and cooled']",498.0
19c07366b812003,Spicy Asian Cellophane Noodle Salad,"Asian style salad with cellophane noodles, hard boiled eggs, fried tofu, and sauteed zucchini and onion, tossed with a tasty, spicy Thai chile sauce.","['eggs', 'vegetable oil', 'onion, sliced', 'zucchini, julienned', 'tofu, drained and cubed', 'garlic', 'Thai chiles, chopped', 'fish sauce', 'lime juice', 'sugar', 'salt', 'water', 'cellophane noodles', 'lettuce, chopped']",449.0
1228eaacf780709,Raspberry Lemonade Biscotti,"I bake biscotti all of the time, and I'm always trying to come up with new flavors. This is one I came up with to try and use raspberries before they went bad. My husband loves these!","['fresh raspberries', 'white sugar', 'butter, softened', 'white sugar', 'eggs', 'grated lemon zest', 'all-purpose flour', 'baking powder', 'salt']",118.0
53970fde6bc791c,Nutty Pina Colada Biscotti,A refreshing biscotti reminiscent of the tropical drink. Great with tea or coffee! I never really measure the ingredients after rum but I've tried to approximate for you... My friends LOVE this recipe!,"['all-purpose flour', 'baking powder', 'salt', 'butter, softened', 'white sugar', 'eggs', 'rum', 'pineapple juice', 'coconut extract', 'shelled pistachio nuts', 'chopped dried pineapple', 'sweetened flaked coconut']",145.0
47e90b240895af1,Olive Oil Cranberry Bundt Cake,"My favorite Bundt cake. Light and moist, absolutely delicious! Also good with blueberries. If using blueberries, omit cinnamon and cloves.","['egg whites', 'white sugar', 'olive oil', 'all-purpose flour', 'baking soda', 'salt', 'ground cinnamon', 'ground cloves', 'buttermilk', 'chopped cranberries']",385.0
50f3df1b4637b78,Chicken and Vegetables Soup,"Easy to make, delicious chicken soup with variety of vegetables.","['whole onion, peeled', 'chicken drumsticks', 'salt', 'cauliflower, chopped', 'Brussels sprouts, trimmed and chopped', 'baby carrots, chopped', 'fresh asparagus spears, trimmed and chopped', 'fat-free chicken broth', 'garlic powder', 'salt-free seasoning blend', 'uncooked long grain white rice', 'fresh dill weed']",201.0
4ed2e67dd1e6fdf,Sara Jane's Oatmeal Cake,"This is the BEST CAKE I have ever eaten! A moist cake made with oats, and lightly spiced with nutmeg is topped with a broiled coconut icing. Not too sweet, not too dry, just amazing.","['rolled oats', 'boiling water', 'white sugar', 'packed brown sugar', 'shortening', 'all-purpose flour', 'baking soda', 'salt', 'ground nutmeg', 'eggs', 'melted butter', 'packed brown sugar', 'heavy cream', 'flaked coconut', 'vanilla extract']",434.0
93898d5b388dd62,Drink Mix Jelly,Strawberry jelly made with powdered drink mix. An inexpensive and delicious spread. Try using different flavors of fruit and drink mix too.,"['mashed fresh strawberries', 'water', 'unsweetened, fruit-flavored soft drink mix', 'dry pectin', 'white sugar']",83.0
d77bb89c822ddd7,Chunky Chili Cornbread,"This is a tasty cornbread with texture and a good flavour! The recipe makes a larger than expected loaf. I use the dough setting on the bread maker and then bake it in a large loaf pan, but you could bake it in the bread machine also.","['water', 'egg', 'nonfat dry milk powder', 'salt', 'white sugar', 'shortening', 'bread flour or all-purpose flour', 'cornmeal', 'frozen corn kernels, thawed and drained', 'red pepper flakes', 'bread machine yeast']",66.0
80fb989647a5c4e,Siopao (Filipino Steamed Dumplings),"Warning - this recipe is not easy, but well worth the effort. This is a Filipino dish with Chinese roots. A steamed, almost sweet, yeasty bun filled with delicious chicken filling can also be made with shredded pork. You will need a bamboo steamer.","['active dry yeast', 'lukewarm water', 'white sugar', 'rice flour, divided', 'solid vegetable shortening, divided', 'vegetable oil', 'onion, diced', 'garlic, chopped, or to taste', 'shredded cooked chicken meat', 'soy sauce', 'white sugar', 'diced green onion', 'salt and black pepper to taste', 'cornstarch, if needed (Optional)']",346.0
72a884f4df38d07,Tapioca Rice Pudding,This is a recipe I found in my grandmother's secret book it is so good I have to share it with the world - it might make it a better place! Serve with whipped cream.,"['small pearl tapioca', 'milk', 'cooked white rice', 'eggs, beaten', 'white sugar', 'salt', 'ground nutmeg', 'ground cinnamon', 'golden raisins', 'vanilla extract']",180.0
cd4e61455130e4e,Southwest Steak Bites,"Tired of the same old chicken nuggets? Give these a try! Feel free to 'play' with the seasonings, but this is how my family likes them. Serve hot with barbeque sauce or salsa for dipping.","['oil for frying', 'egg', 'milk', 'all-purpose flour', 'dry mesquite flavored seasoning mix', 'salt', 'ground black pepper', 'garlic powder', 'ground cayenne pepper', 'cube steak, cut into bite-sized pieces']",337.0
9953eac66ac5919,Hot Orange Coffee Cake,"Best served warm from the oven, this moist cake is a delicious combination of orange and cinnamon flavors.","['brown sugar', 'ground cinnamon', 'all-purpose flour', 'melted butter', 'all-purpose flour', 'white sugar', 'baking powder', 'baking soda', 'salt', 'melted butter', 'orange juice', 'orange, zested', 'eggs, lightly beaten']",168.0
6d5077a20c6e5f4,Chinese Steamed Buns with Barbecued Pork Filling,"My sister-in law is Chinese and this is one of her most delicious Dim Sum recipes. It's Chinese name is Char Siu Bao, takes a little effort but is extremely worth it. Barbequed pork can be found in Asian markets, or often in the supermarket deli section.","['active dry yeast', 'lukewarm water', 'all-purpose flour', 'white sugar', 'shortening or vegetable oil', 'boiling water', 'sesame oil', 'vegetable oil', 'green onion, thinly sliced', 'garlic, minced', 'Asian barbequed pork, cubed', 'light soy sauce', 'oyster sauce', 'white sugar', 'cornstarch', 'water']",142.0
9e2a3923ef19a1a,Gunline Coffee,My Husband is in the artillery and every time he goes out to the field this is what he and the guys on his gun request. They were the ones that came up with the name for this wonderful drink. I love to bring it with us when we camp as well. We love it!,"['powdered non-dairy coffee creamer', 'instant hot chocolate mix', 'instant coffee granules', 'white sugar', 'ground cinnamon', 'ground nutmeg']",39.0
97b8d518155c0b8,Nany's White Cake,This is a cake recipe by my beloved Great Grandmother! She was a master in her time. She grew up during the depression and made up lots of recipes cooking for her large family. This cake is wonderful! I serve it with frosting or whip cream and berries. Enjoy!,"['white sugar', 'butter, softened', 'eggs', 'all-purpose flour', 'baking powder', 'salt', 'milk', 'vanilla extract']",190.0
4af690eb2701f77,Saucy Beef and Vegetable Casserole,"Ground beef (or ground turkey), shredded zucchini, spices, salsa, tomato soup, and corn are cooked with a garlic, sour cream, and Cheddar cheese biscuit topping. Even my toddler loves this recipe!","['ground beef', 'shredded zucchini', 'onion, chopped', 'garlic, minced', 'dried marjoram', 'salsa', 'condensed tomato soup', 'whole kernel corn, drained', 'salt', 'all-purpose flour', 'baking powder', 'white sugar', 'cream of tartar', 'salt', 'garlic powder', 'butter', 'shredded Cheddar cheese', 'sour cream', 'milk']",501.0
db70f099081739f,Ben Lippen School Coffee Cake (Mrs. Hathaway's recipe),This is a delicious breakfast coffee cake that sustained thousands of boarding school students for nearly 40 years!,"['butter', 'white sugar', 'egg', 'vanilla extract', 'all-purpose flour', 'salt', 'baking powder', 'milk', 'all-purpose flour', 'butter', 'white sugar', 'ground cinnamon']",224.0
7601fd5fecf25cc,Breakfast Upside Down Cake,"A mixture of all things good about breakfast. Potatoes, bacon, cheese and eggs are baked into one easy to make dish. It presents beautifully and is excellent for company.","['olive oil', 'baking potatoes, peeled and diced', 'chopped red bell pepper', 'garlic, chopped', 'chopped onion', 'salt and pepper to taste', 'bacon', 'eggs', 'milk', 'shredded Cheddar cheese']",552.0
0d387eb32d311c2,Swedish Sweet Soup,"This recipe has been passed down in my family for generations. Raisins, prunes, cinnamon, sugar, and tapioca are cooked on the stove, then lemon juice and a dash of salt are added. This is a Christmas tradition in my home. Tastes best after standing several hours.","['pearl tapioca', 'water', 'pitted prunes', 'raisins', 'sugar', 'cinnamon', 'lemon juice', 'salt']",260.0
62846a60fab44cb,Liz's Pickled Shrimp,Wonderfully marinated shrimp perfect for a dinner party appetizer! This makes tons of marinade so feel free to half the ingredients if you don't have three pounds of shrimp on hand.,"['large shrimp - peeled and deveined', 'onion, thinly sliced', 'green bell pepper, cut into thin strips', 'vegetable oil', 'ketchup', 'apple cider vinegar', 'white sugar', 'prepared yellow mustard', 'capers', 'garlic powder', 'Worcestershire sauce', 'salt', 'ground black pepper', 'hot pepper sauce (e.g. Tabasco™), or to taste']",335.0
5b84863079fa775,Italian Sausage Bread,"This sweet, rich bread is served mostly at Thanksgiving, Christmas, or Easter.","['raisins', 'raw, bulk Italian sausage', 'brown sugar', 'white sugar', 'eggs, lightly beaten', 'chopped pecans', 'all-purpose flour', 'baking powder', 'ginger', 'pumpkin pie spice', 'cold coffee', 'baking soda']",492.0
81b4f98ac62a0c0,Seabreeze,A fruity cocktail!,"['ice cubes', 'vodka', 'cranberry juice', 'grapefruit juice']",
cb213237c4fc505,Bar Harbor Cranberry Pie,"A wonderful pie! The tartness of the cranberries evens out with the sweetness of the sugar! This also makes a beautiful presentation! Good for Thanksgiving and Christmas, along with any other time of the year because it is so simple to make!","['cranberries', 'white sugar, divided', 'chopped pecans', 'eggs, beaten', 'all-purpose flour', 'margarine, melted', 'shortening, melted']",441.0
1aa95474321f9a7,Cranberry Glop,My family fights over this great Thanksgiving side dish that was first brought to our table by my Aunt Joan more than ten years ago. It's the only thing I've found that will convert even the most die-hard canned cranberry eater to a fresh berry advocate.,"['fresh cranberries', 'coarsely chopped, peeled apples', 'white sugar', 'rolled oats', 'all-purpose flour', 'chopped pecans', 'dark brown sugar', 'butter']",236.0
c02ff336ea45f35,Holiday Left-Over Sweet Potato Cake,"This recipe lets you use up left-over sweet potato. The cake is very moist, so you don't really need icing. Better yet, if you have left-over sweet potatoes from Thanksgiving, freeze them, and make this cake for Christmas. The whipped sweet potatoes I use already have some butter and sugar, so I only use 1 3/4 cups of sugar in the batter, but adjust the sugar amount to your liking.","['white sugar', 'vegetable oil', 'eggs', 'vanilla extract', 'cooked, mashed sweet potatoes', 'all-purpose flour', 'baking powder', 'baking soda', 'salt', 'ground cinnamon', 'beer']",302.0
08b0e3f1fffb7bf,Chocolate Float,"This is a much asked for family favorite. Chocolate cake 'floating' on a sea of pudding! Sure to be a favorite of yours, too!","['white sugar', 'water', 'shortening', 'white sugar', 'all-purpose flour', 'unsweetened cocoa powder', 'baking powder', 'salt', 'milk', 'vanilla extract']",328.0
5c6294519e92eb0,Grammy Faith's Mustard Sauce,"A creamy mustard sauce with a rich texture that is perfect with pork. We have always used this on ham with our Christmas dinners... a family favorite, and one of the only 'family recipes' we have.","['mustard powder', 'white sugar', 'all-purpose flour', 'cream', 'vinegar', 'egg yolk']",322.0
eb6cc7ab5e245ac,Yummy Cube Steaks,"A simple-to-make recipe that's also inexpensive! Makes the house smell wonderful as it cooks, and tastes great on those chilly fall nights. We typically serve this over cooked egg noodles with a tossed green salad, but it would be nice over rice, as well. Enjoy!","['beef cube steak', 'all-purpose flour', 'salt', 'pepper', 'olive oil', 'canned diced tomatoes', 'canned tomato sauce', 'onion, thinly sliced', 'Italian seasoning', 'zucchini, cut into 1/2 inch slices']",263.0
