,Image,Food Name,Summary,Ingredients,Calories,Width,Height,Questions_1,Answer_1,Question_2,Answer_2
12,51723835bb92e3b,Lemon Aioli,Serve this lemon aioli with any seafood. It's a fantastic dipping sauce.,"['sour cream', 'mayonnaise', 'lemon, zested and juiced, or to taste', 'olive oil', 'finely chopped parsley', 'finely chopped chives', 'garlic, minced', 'dry mustard', 'salt and ground black pepper to taste']",149.0,960.0,960.0,What is the main food in the picture?,aioli,Is this dish vegetarian or non-vegetarian?,non-vegan
13,b62e3ea443558c1,Easy Garlic-Dill Aioli,"No need to whip up your own mayo—just use jarred mayo and mix in fresh garlic, tangy dill, and a squeeze of lemon for a creamy, flavorful aioli in minutes.","['mayonnaise', 'garlic, minced', 'olive oil', 'chopped fresh dill', 'lemon juice', 'ground black pepper']",219.0,1364.0,1739.0,What is the main food in the picture?,aioli,Is this dish vegetarian or non-vegetarian?,non-vegan
14,da22719a7788bd7,Garlic Aioli,This homemade aioli tastes great! We make it as a dipping sauce for crab cakes and French fries. It's also delicious as a spread on sandwiches.,"['mayonnaise', 'garlic, minced', 'lemon juice', 'salt', 'ground black pepper']",151.0,683.0,512.0,What is the main food in the picture?,aioli,Is this dish vegetarian or non-vegetarian?,non-vegan
15,d27cb5cd15718b8,Quick Lemon-Herb Aioli,This quick lemon-herb aioli aioli calls for familiar ingredients most cooks will have on hand. This pairs fabulously well with beef.,"['garlic clove, peeled', 'mayonnaise', 'lemon juice, or to taste', 'fresh dill, or to taste', 'fresh parsley', 'salt and freshly ground black pepper to taste']",95.0,683.0,512.0,What is the main food in the picture?,aioli,Is this dish vegetarian or non-vegetarian?,non-vegan
16,7b522977d201e40,Wasabi Aioli,"This wasabi aioli is a creamy and spicy sauce that adds a burst of flavor to any dish. It pairs perfectly with seared ahi tuna, sushi, sandwiches, or wherever you want that extra kick.","['mayonnaise', 'wasabi paste', 'rice wine vinegar', 'garlic', 'salt to taste']",109.0,683.0,512.0,What is the main food in the picture?,aioli,Is this dish vegetarian or non-vegetarian?,non-vegan
17,c7ccbd5e0962c7a,Quick Horseradish Aioli,"This quick aioli is made with mayonnaise but tastes like it was made completely from scratch. It's fantastic served on a roast beef sandwich, on a burger, alongside prime rib, or with salmon cakes. This recipe can easily be doubled. Use a good quality mayo for best results.","['mayonnaise', 'prepared horseradish', 'white wine vinegar', 'salt', 'garlic powder']",202.0,3888.0,2592.0,What is the main food in the picture?,aioli,Is this dish vegetarian or non-vegetarian?,non-vegan
18,263897b2eac2ab2,Roasted Red Pepper Aioli,"This tasty red pepper aioli with basil and lemon is zesty and creamy. Delicious with fish, chicken, and burgers.","['whole roasted red peppers', 'fresh basil leaves', 'lemon juice', 'garlic, peeled and halved, or more to taste', 'light mayonnaise', 'white sugar', 'salt, or to taste', 'ground black pepper, or to taste']",64.0,960.0,960.0,What is the main food in the picture?,aioli,Is this dish vegetarian or non-vegetarian?,non-vegan
19,c1d19831b5e9b79,Avocado Aioli,"This creamy avocado aioli is easy and versatile. Use as a salad dressing, drizzle, or dipping sauce.","['very ripe Avocado from Mexico', 'plain, fat-free Greek-style yogurt', 'chopped basil', 'minced garlic', 'fresh lemon juice', 'salt', 'ground black pepper']",47.0,960.0,960.0,What is the main food in the picture?,aioli,Is this dish vegetarian or non-vegetarian?,non-vegan
20,ff190cbc2d54e7e,Basil Aioli,"This recipe is absolutely delish and much easier than making homemade aioli with egg yolks and olive oil. We use it on chicken sandwiches, fish, with sweet potato fries and much more. Make sure to use fresh ingredients, it makes all the difference! Store in the refrigerator for up to 7 days.","['mayonnaise', 'chopped fresh basil', 'chopped fresh garlic', 'lemon juice', 'lemon zest']",150.0,960.0,960.0,What is the main food in the picture?,aioli,Is this dish vegetarian or non-vegetarian?,non-vegan
21,8f2a1f299766e1b,Chipotle Aioli (Spicy),"This chipotle aioli is super easy to make with mayonnaise, lime juice, spicy chipotle peppers, and garlic. Great on burgers or as a dip for fries or veggies.","['mayonnaise', 'lime juice', 'chipotle peppers in adobo sauce, minced', 'garlic, minced', 'salt']",137.0,1280.0,960.0,What is the main food in the picture?,aioli,Is this dish vegetarian or non-vegetarian?,non-vegan
22,14b43dd9aaa5da7,Creamy Horseradish Aioli,"Creamy horseradish aioli that is good for dipping onion rings in, slathered on a bun for burgers, in a wrap, and you name it. The possibilities are endless.","['mayonnaise', 'sour cream', 'prepared horseradish', 'lemon juice', 'Dijon mustard', 'garlic, grated', 'salt', 'dried parsley flakes', 'freshly ground black pepper']",158.0,1500.0,1125.0,What is the main food in the picture?,aioli,Is this dish vegetarian or non-vegetarian?,non-vegan
23,8dc238de00e476e,Chef John's Tarragon Aioli,"The beauty of aioli made in the traditional method with a mortar and pestle is that a small amount of garlic can flavor a large amount of mayo. Also, this real aioli is so strong and powerful that you don't need half a cup of mayo on your grilled fish. Just a teaspoon of my version is so intense it will fully flavor a whole piece of meat or pile of veggies.","['garlic, sliced', 'kosher salt', 'chopped fresh tarragon', 'mayonnaise', 'fresh lemon juice', 'cayenne pepper, or to taste']",101.0,960.0,960.0,What is the main food in the picture?,aioli,Is this dish vegetarian or non-vegetarian?,non-vegan
24,2d6b6e50ea9afdd,Lick-the-Spoon Cilantro Jalapeño Aioli,"This spicy cilantro aioli is a versatile topping for just about anything! The flavors are bright and tangy. I have used this recipe as a coleslaw dressing, a topping for turkey burgers and fish tacos, and even as a dip for other Mexican-inspired dishes.","['olive oil mayonnaise', 'firmly packed fresh cilantro leaves', 'jalapeño pepper, seeds removed, diced', 'garlic cloves, halved', 'lime, juiced', 'ground cumin', 'salt, or to taste']",66.0,960.0,960.0,What is the main food in the picture?,aioli,Is this dish vegetarian or non-vegetarian?,vegan
25,5eae7f928099d3c,Real Aioli,"Making aioli is easy, and is arguably the greatest cold sauce of all time. It's nothing more than olive oil emulsified into freshly crushed garlic, seasoned simply with salt and lemon. This is pure, fiery, intense garlic flavor like you may have never tasted.","['fresh garlic, peeled and sliced', 'kosher salt, or other course-grain salt', 'lemon juice, or more to taste', 'light, extra-virgin olive oil', 'water to adjust texture, or more as needed']",173.0,770.0,770.0,What is the main food in the picture?,aioli,Is this dish vegetarian or non-vegetarian?,vegan
26,0c2da50c7ca3516,Garlicky Vodka Alfredo,Garlic with a hint of vodka. What's not to love?,"['penne rigate', 'extra-virgin olive oil', 'roasted garlic', 'butter', 'heavy cream', 'chicken stock', 'vodka', 'grated Parmesan cheese', 'grated Asiago cheese', 'kosher salt to taste', 'ground white pepper to taste', 'fresh basil, torn or shredded']",1284.0,960.0,960.0,What is the main food in the picture?,alfredo,Is this dish vegetarian or non-vegetarian?,non-vegan
27,8f75634c7f3b6cf,Smoked Chicken Alfredo,"I was playing around with ideas of smoking and tried this chicken Alfredo, which worked out amazingly. Garnish with fresh parsley.","['applewood wood chips', 'skinless, boneless chicken breasts', 'bacon', 'dry fettuccine pasta', 'salted butter', 'garlic, minced', 'chopped shiitake mushrooms', 'dry white wine', 'salted butter', 'whipping cream', 'grated Parmesan cheese', 'shredded mozzarella cheese', 'salt and ground black pepper to taste']",678.0,1500.0,1125.0,What is the main food in the picture?,alfredo,Is this dish vegetarian or non-vegetarian?,non-vegan
28,ba3d85d023678e4,Summer Squash Chicken Alfredo Recipe,This summer squash chicken alfredo is a recipe I came up with that uses all of my favorite ingredients and is very beautiful served on a platter.,"['skinless, boneless chicken breast halves', 'garlic, minced', 'uncooked rigatoni pasta', 'bacon', 'vegetable oil', 'zucchini, sliced', 'yellow squash, sliced', 'Alfredo sauce', 'milk', 'sun-dried tomatoes, softened and chopped', 'Parmesan cheese', 'sliced almonds']",436.0,960.0,960.0,What is the main food in the picture?,alfredo,Is this dish vegetarian or non-vegetarian?,non-vegan
29,e8dbda812241801,Chicken and Spaghetti Squash Alfredo,Decadent Alfredo sauce mixed in with spaghetti squash and chicken. I am not a girl who likes to eat veggies and I found this to be delicious!,"['olive oil, divided', 'spaghetti squash, halved and seeded', 'butter', 'garlic, minced', 'cream cheese, cut into cubes', 'heavy cream', 'grated Parmesan cheese', 'salt and ground black pepper to taste', 'cooked chicken breast strips, cut into bite-sized pieces', 'butter']",707.0,1536.0,2048.0,What is the main food in the picture?,alfredo,Is this dish vegetarian or non-vegetarian?,non-vegan
30,0233b6efc9a50c4,Alfredo for a Crowd,An easy Alfredo sauce you can scale to a large crowd. This will not separate like some Alfredo sauces and is stable enough to make for a group event. The sauce will be stable if you keep it covered. It may be easiest to dip the fettuccine into the sauce with tongs.,"['butter', 'powdered lemon peel (such as Penzeys)', 'garlic, minced', 'ground white pepper', 'cream cheese, softened', 'half-and-half', 'shredded Parmesan cheese']",481.0,683.0,512.0,What is the main food in the picture?,alfredo,Is this dish vegetarian or non-vegetarian?,non-vegan
31,911ac9935371e2c,Alfredo Light,"This Alfredo dish is a light version of a creamy classic Italian-style dish! Add sautéed onions, garlic, and lightly cooked broccoli, and you have created a terrific dish! I sometimes substitute peas for broccoli.","['onion, chopped', 'garlic, minced', 'vegetable oil', 'skim milk', 'chicken broth', 'all-purpose flour', 'salt', 'ground black pepper', 'grated Parmesan cheese', 'dry fettuccine pasta', 'frozen broccoli florets']",292.0,960.0,960.0,What is the main food in the picture?,alfredo,Is this dish vegetarian or non-vegetarian?,non-vegan
32,a2f9265a22f34aa,Baked Chicken Alfredo,This recipe is quick and easy and any novice cook can do it. It was made for the little ones who always wanted to order out at Pizza Hut or Olive Garden. Serve with additional Parmesan cheese if desired. This recipe can also be eaten without being baked but the kids love that it resembles baked casseroles found in restaurants.,"['penne pasta', 'butter', 'minced garlic', 'cream cheese, softened', 'milk', 'grated Parmesan cheese, divided', 'dried parsley', 'Italian seasoning', 'salt, divided', 'ground black pepper', 'olive oil', 'chicken breasts, patted dry', 'garlic powder']",449.0,2000.0,1500.0,What is the main food in the picture?,alfredo,Is this dish vegetarian or non-vegetarian?,non-vegan
33,7990c118261b48e,Easy Seafood Alfredo,"An easy version of seafood alfredo. I like to serve this with black (squid ink) pasta for a dramatic presentation, but it can be made with normal pasta as well.","['uncooked black squid ink pasta', 'butter', 'garlic, minced', 'chicken broth', 'fat-free half-and-half', 'grated Parmesan cheese', 'fat-free American cheese, torn into pieces', 'dried basil', 'dried parsley', 'ground black pepper to taste', 'imitation crabmeat, flaked']",314.0,960.0,960.0,What is the main food in the picture?,alfredo,Is this dish vegetarian or non-vegetarian?,non-vegan
34,b5d18f06610f426,Chicken-Pumpkin Alfredo,"This is a unique twist on an old favorite. It's easy to put together and is done in less than 30 minutes. Garnish with more basil, Parmesan, and red pepper flakes. Enjoy!","['dry fettuccine pasta', 'unsalted butter, divided', 'garlic, minced', 'half-and-half', 'pumpkin puree', 'freshly grated Parmesan cheese', 'salt, divided', 'ground black pepper, divided', 'chicken tenderloin strips', 'dried sage', 'granulated garlic', 'chopped fresh basil']",631.0,1774.0,1330.0,What is the main food in the picture?,alfredo,Is this dish vegetarian or non-vegetarian?,non-vegan
35,c41a7917079e67c,Vegan Alfredo with Veggies,"Just a few ingredient swaps can make creamy Alfredo pasta dishes heart healthy. This made-over version cuts sodium and saturated fat, and boosts fiber to give your heart a little more love.","['unsalted raw cashews', 'olive oil, divided', 'sliced button mushrooms', 'whole grain spaghetti', 'frozen peas and carrots', 'fresh spinach', 'water', 'all-purpose flour', 'lemon juice', 'garlic', 'kosher salt', 'ground black pepper, or more to taste', 'lemon zest, or to taste']",376.0,1500.0,1500.0,What is the main food in the picture?,alfredo,Is this dish vegetarian or non-vegetarian?,vegan
36,a044cf6736abf87,Almond Paste with Whole Almonds,This type of almond paste made from whole nuts is best for rustic sweet bread and whole-grain pastries.,"['whole unskinned almonds, lightly toasted', ""confectioners' sugar"", 'fresh egg white, at room temperature, lightly beaten, or more as needed', 'almond extract']",163.0,2115.0,1313.0,What is the main food in the picture?,almond,Is this dish vegetarian or non-vegetarian?,non-vegan
37,cd6cb0765715b9e,Homemade Almond Paste,"This recipe for almond paste is easy to make for a soft, spreadable, sweet and nutting filling that's perfect for pastries, pies, and tarts.","['blanched almonds', ""confectioners' sugar"", 'egg whites', 'almond extract']",369.0,3024.0,4032.0,What is the main food in the picture?,almond,Is this dish vegetarian or non-vegetarian?,non-vegan
38,ecd00accd52dfe1,Almond Bear Claws,"These flaky Danish pastries are a time-consuming project, but they're a perfect way to show people how much you love them! I like serving them at special brunches. The puff pastry dough and almond filling can be made ahead of time, and the pastries can be frozen before baking.","['almond paste', 'ground almonds', 'white sugar', 'salt', 'butter', 'egg whites', 'almond extract', 'amaretto liqueur', 'puff pastry', 'egg', 'water', 'sliced almonds, for garnish', ""confectioners' sugar for dusting""]",419.0,1500.0,1500.0,What is the main food in the picture?,almond,Is this dish vegetarian or non-vegetarian?,non-vegan
39,8cbc00a377cdc1c,Honey-Roasted Almonds,"Learn how to roast almonds, then coat them in a sweet and salty honey glaze for a great snack.","['whole almonds', 'white sugar', 'kosher salt', 'honey', 'water', 'almond oil']",268.0,683.0,512.0,What is the main food in the picture?,almond,Is this dish vegetarian or non-vegetarian?,non-vegan
40,4e7a1ed27e15081,Cinnamon-Roasted Almonds,Roasted almonds are an easy snack idea to serve at any holiday party.,"['egg white', 'cold water', 'whole almonds', 'white sugar', 'ground cinnamon', 'salt']",231.0,2000.0,1500.0,What is the main food in the picture?,almond,Is this dish vegetarian or non-vegetarian?,non-vegan
41,168baa8cb8878f7,Cinnamon Roasted Almonds,"These cinnamon roasted almonds are delicious, quick, and easy. These make the perfect Christmas gift when placed in a treat bag and tied up with ribbon.","['egg whites', 'vanilla extract', 'brown sugar', 'white sugar', 'salt', 'whole almonds', 'ground cinnamon']",289.0,3024.0,3025.0,What is the main food in the picture?,almond,Is this dish vegetarian or non-vegetarian?,non-vegan
42,5047313ce41930d,Almond Jell-O with Lychee,Light and refreshing! Also very pretty.,"['water', 'unflavored gelatin powder', 'boiling water', 'milk', 'white sugar', 'almond extract', 'lychees, or to taste']",239.0,960.0,960.0,What is the main food in the picture?,almond,Is this dish vegetarian or non-vegetarian?,non-vegan
43,aa2600005814af7,Almond Thins,"Thin and delicate, these are perfect for everything from formal parties to your morning coffee.","['unsalted butter', 'egg', 'white sugar', 'all-purpose flour', 'vanilla extract', 'salt', 'sliced almonds']",61.0,960.0,720.0,What is the main food in the picture?,almond,Is this dish vegetarian or non-vegetarian?,non-vegan
44,123e3b1fd88819f,Sweet and Spicy Almonds,An addictive snack that's great for parties or just having around the house--you'll be amazed how quickly they disappear!,"['white sugar', 'kosher salt', 'cayenne pepper', 'whole almonds', 'water', 'honey', 'olive oil']",236.0,1500.0,1125.0,What is the main food in the picture?,almond,Is this dish vegetarian or non-vegetarian?,non-vegan
45,745f5567955e87c,Almond Squares I,"If you really like a strong almond taste, substitute almond extract for vanilla extract in this recipe.","['egg', 'vanilla extract', 'shortening', 'all-purpose flour', 'white sugar', 'packed brown sugar', 'unsweetened chocolate', 'chopped almonds']",429.0,960.0,960.0,What is the main food in the picture?,almond,Is this dish vegetarian or non-vegetarian?,non-vegan
46,71be6af8d68ed13,Almond Squares II,A cookie for almond lovers!,"['butter', 'white sugar', 'egg', 'almond paste', 'almond extract', 'all-purpose flour', 'sliced almonds']",345.0,960.0,960.0,What is the main food in the picture?,almond,Is this dish vegetarian or non-vegetarian?,non-vegan
47,975622217a498ef,Almond Ice,This refreshing fruit salad recipe with a wonderful twist comes from Hawaii. It's a conversation piece as well...great for parties and potlucks. The Almond Ice will have everyone guessing why these 'ice cubes' don't melt!! Hint: Avoid citrus fruits so the gelatin remains firm.,"['unflavored gelatin', 'boiling water', 'almond extract', 'cold water', 'white sugar', 'fresh strawberries, halved', 'seedless grapes', 'cubed cantaloupe']",71.0,250.0,250.0,What is the main food in the picture?,almond,Is this dish vegetarian or non-vegetarian?,non-vegan
48,6607a42d0216e99,Almond Jelly,"This is one of my favorite desserts that I get when I go to a Chinese restaurant. With this recipe, it is easy to make it in the comfort of your own home! Serve with some canned fruit cocktail with syrup or just some fresh fruit! It's such a refreshing dessert to enjoy and a very good change from plain gelatin.","['water', 'unflavored gelatin powder', 'water', 'milk', 'sugar', 'almond extract']",148.0,250.0,250.0,What is the main food in the picture?,almond,Is this dish vegetarian or non-vegetarian?,non-vegan
49,c148381e37973cf,Simple Chocolate-Covered Almonds,Almonds are a wholesome snack and adding chocolate can also satisfy a chocolate craving.,"['chocolate chips', 'coconut oil', 'honey-roasted almonds']",249.0,2160.0,3840.0,What is the main food in the picture?,almond,Is this dish vegetarian or non-vegetarian?,non-vegan
50,dc17185171f5566,Vegan Almond Paste,"This almond paste is egg-free, making it both vegan and allergy-friendly. A boiled syrup acts as a binder, replicating the role of eggs in traditional versions for a smooth, versatile result.","['blanched whole almonds', 'white sugar', 'water', 'almond extract']",160.0,2693.0,1983.0,What is the main food in the picture?,almond,Is this dish vegetarian or non-vegetarian?,vegan
51,06f97052398cfd2,Homemade Almond Milk,"Almond milk is a delicious and healthier alternative to soy and cow milk. It's easy to make and very delicious. The longer you soak the almonds, the creamier the milk turns out.","['raw almonds', 'water to cover', 'water', 'agave nectar, or more to taste', 'sea salt']",440.0,960.0,960.0,What is the main food in the picture?,almond,Is this dish vegetarian or non-vegetarian?,vegan
52,592b307fb36b8b4,Air Fryer Roasted Almonds,Roasted and salted almonds in the air fryer. Store in an airtight container to preserve freshness.,"['very hot water', 'Himalayan pink salt, or to taste', 'raw almonds', 'olive oil', 'salt to taste']",220.0,960.0,960.0,What is the main food in the picture?,almond,Is this dish vegetarian or non-vegetarian?,vegan
53,efa79f62e1212b8,Candied Almonds,These candied almonds are my father's favorite treat. They taste so good when warm! Substitute any nuts you prefer.,"['white sugar', 'water', 'ground cinnamon', 'whole almonds']",304.0,683.0,512.0,What is the main food in the picture?,almond,Is this dish vegetarian or non-vegetarian?,vegan
54,a9de64865353ad1,Salt and Vinegar Almonds,Try these roasted almonds with the classic taste of salt and vinegar for a delicious and nutritious snack.,"['whole almonds', 'balsamic vinegar', 'brown sugar', 'salt']",259.0,2000.0,1500.0,What is the main food in the picture?,almond,Is this dish vegetarian or non-vegetarian?,vegan
55,9a2122c94391ed2,Almond Tea,This crowd-pleasing almond tea is a refreshing treat on a warm summer day. Great for parties or anytime you need a cold beverage.,"['white sugar', 'instant iced tea powder', 'boiling water', 'frozen lemonade concentrate', 'vanilla extract', 'almond extract', 'cold water, or as needed']",103.0,960.0,960.0,What is the main food in the picture?,almond,Is this dish vegetarian or non-vegetarian?,vegan
56,66ea96887a274ed,Sugared Toasted Almond Salad Topping,"This simple topping turns an average salad into something above and beyond! I pair these with my sweet sour salad dressing and they make an amazing salad!n I like to make up a big batch of these and keep them on-hand in an airtight container to use as a salad topper. I like to toast my almonds to a nice medium-brown, they take on a bolder flavor and really mix well in any salad.","['sliced almonds', 'white sugar']",60.0,1536.0,1536.0,What is the main food in the picture?,almond,Is this dish vegetarian or non-vegetarian?,vegan
57,d3fc0eb6e6f09bc,Tasty Toothpick Appetizers,"When I introduced them to the family 11 yrs ago, they flipped over these tasty little treats. The key is to eat all the ingredients at once to experience the most amazing flavor you ever tasted!","['toothpicks', 'fully cooked kielbasa or Polish sausage, cut into 1/2-inch pieces', 'red or green maraschino cherries, drained', 'small green olives', 'processed cheese food, cubed']",96.0,5184.0,3456.0,What is the main food in the picture?,appetizer,Is this dish vegetarian or non-vegetarian?,non-vegan
58,78484188036ddd0,Asparagus Appetizers,"These make-ahead asparagus appetizers are wonderful to have on hand when needed. Just make, freeze, and bake whenever!","['sandwich bread, crusts removed', 'butter, melted', 'cream cheese, at room temperature', 'blue cheese, at room temperature', 'egg, beaten', 'fresh asparagus spears, trimmed']",114.0,2305.0,2305.0,What is the main food in the picture?,appetizer,Is this dish vegetarian or non-vegetarian?,non-vegan
59,38f2153f9489a79,Best Ever Party Appetizer,Marinated goat's cheese with sun-dried tomatoes. Serve with sliced French bread.,"['goat cheese', 'olive oil', 'oil-packed sun-dried tomatoes, drained and diced', 'black olives, chopped', 'chopped fresh basil', 'chopped fresh rosemary', 'garlic, halved']",202.0,960.0,960.0,What is the main food in the picture?,appetizer,Is this dish vegetarian or non-vegetarian?,non-vegan
60,fdcedbf9c2de48f,Great Easter Appetizer,Delicious! No egg yolks. Great idea for leftover eggs and ham!,"['eggs', 'cream cheese', 'chopped onion', 'diced cooked ham', 'seasoned bread crumbs']",138.0,960.0,960.0,What is the main food in the picture?,appetizer,Is this dish vegetarian or non-vegetarian?,non-vegan
61,fe2ad5ffb6acd72,Eggplant Appetizer,This traditional Russian eggplant appetizer is delicious! It's great with crackers or bread. Put leftovers in jars so you can enjoy it the whole winter!,"['eggplants, peeled and cubed', 'green bell peppers, seeded and chopped', 'tomatoes, chopped', 'onions, chopped', 'white sugar', 'salt', 'vegetable oil', 'red wine vinegar', 'water']",43.0,3024.0,3025.0,What is the main food in the picture?,appetizer,Is this dish vegetarian or non-vegetarian?,vegan
62,f228c35e3cce912,Apple Cheesecake,"This is a rich apple cheesecake topped with sliced apples, cinnamon, and pecans. I love making this dessert in fall when apples are at their best.","['graham cracker crumbs', 'finely chopped pecans', 'unsalted butter, melted', 'white sugar', 'ground cinnamon', 'cream cheese, softened', 'white sugar', 'eggs', 'vanilla extract', 'apples - peeled, cored and thinly sliced', 'white sugar', 'ground cinnamon', 'chopped pecans']",341.0,683.0,512.0,What is the main food in the picture?,apple,Is this dish vegetarian or non-vegetarian?,non-vegan
63,ab155d6899c244f,Bourbon Fried Apples,"These bourbon fried apples are a slightly healthier spin on traditional fried apples. The skin is left on, and the reduced butter and sugar are offset with flavor-boosting bourbon, raisins, cinnamon, and lemon juice. I use Cameo apples for this recipe, as they are naturally sweet and hold their shape well, but if you're using a tarter variety, you may wish to increase the brown sugar and omit the lemon juice. Golden rum can substitute for bourbon.","['water', 'unsalted butter', 'Bourbon whiskey', 'apples, cored and chopped', 'raisins', 'packed brown sugar', 'ground cinnamon', 'lemon juice']",111.0,960.0,960.0,What is the main food in the picture?,apple,Is this dish vegetarian or non-vegetarian?,non-vegan
