Image,Question_2,Answer_2,Question_3,Answer_3,Question_4,Answer_4,Question_5,Answer_5,Question_6,Answer_6
598351f13a1baa2,What color is the pasta?,tan,What type of dish is shown in the image?,pasta,What color are the tomatoes in the dish?,red,Where are the green basil leaves located?,with,What color are the basil leaves??,green
f56f6c1e6801e4c,Where is the dip located in the image?,located,What type of cheese is in the dip?,feta,What color is the bowl containing the dip?,orange,What is the dip contained in?,bowl,Where is the dip positioned in the bowl??,in the center
a2b4ba759ea82ea,What type of food is the pale yellow base of the dish?,pasta,How is the pasta arranged in the dish?,interwoven,What color are the irregular cubes of feta cheese?,white,Where are the feta cheese cubes positioned?,among the pasta,What is scattered among the pasta??,tomatoes
acd854aa86d145c,What is the primary color of the feta dip?,white,What type of cheese is used in the dip?,feta,How is the olive oil applied to the dip?,drizzled,What color are the specks in the dip?,green,Where is the dip located in the image??,in the center of
1532dbb48fceeb3,What color is the dip primarily?,green,What type of food is the creamy green mixture?,dip,What texture does the dip have?,creamy,Where is the parsley positioned?,sits on top,What is the dip contained in??,bowl
dc82292cc9b95bb,What are the rectangular golden brown items on the plate?,feta fingers,How are the feta fingers placed on the plate?,arranged,What color are the feta fingers?,golden,What color is the dotted pattern on the plate?,blue,Where is the first feta finger located??,at the top left
3b9d693e75300a9,What color is the feta?,creamy,What type of cheese is in the bowl?,feta,What color is the feta in the bowl?,white,Where is the pita bread positioned?,leaning against,What color are the sun-dried tomatoes??,brown
c17746b4e7022ce,What color is the feta cheese in the image?,white,What type of cheese is shown in the image?,cheese,Where are the tomatoes located in relation to the feta cheese?,surround,What color are most of the tomatoes in the image?,red,Where is the silver spoon located in the image??,near the top
fc36afefc433f4b,What type of flavor does the stir-fry have?,spicy,What is the Spicy Feta Stir-Fry served in?,bowl,What color are the snow peas in the bowl?,green,What type of cheese is visible in the bowl?,feta,Where is the orange spicy sauce dotted??,on some of
91d684595f68f4a,What color is the chicken?,creamy,What type of meat is shown in the image?,chicken,What color are the lemon slices?,yellow,What is on top of each chicken breast?,with a slice,What part of the chicken is shown in the image??,breasts
bd88f9c3acc7f82,What color is the bowl that contains the Crazy Feta Dip?,beige,What is the Crazy Feta Dip served in?,bowl,What color are the carrot sticks?,orange,Where is the olive oil located?,on top,What color are the celery stalks??,green
e62e99a5c269774,What color is the plate?,white,What type of cheese is in the center of the plate?,cheese,What color are the specks on the feta cheese ball?,green,What shape is the feta cheese ball?,spherical,What is in the center of the plate??,in the center
f060f83a63db80e,What color is the plate?,white,How are the foldovers arranged on the plate?,stacked,What color are the edges of the foldovers?,golden-brown,What type of cheese is visible in the filling?,cheese,Where are the foldovers placed??,on a white plate
438e7925ef9d56c,Is the glass jar clear?,clear,What type of cheese is in the jar?,feta,What color is the feta?,yellowish,Where is the feta positioned in the image?,in the center,What does the jar contain??,contains
c21c69d14faa792,What type of dish is shown in the image?,salad,What color is the bowl holding the salad?,yellow,What color are the chicken pieces in the salad?,white,What color are the red pieces in the salad?,red,What is the relationship between the green lettuce leaves and the creamy salad??,contrasting
e1343a6401dd1ea,Where is the pie located in the image?,located,What type of cheese is used in the pie?,feta,What color is the top of the pie?,pale yellow,What type of dish is shown in the image?,pie,What describes the crust's appearance in terms of color??,of color
c747b145be1701e,What color is the Greek Feta and Olive Spread?,orange,What is the spread served in?,bowl,What is the color of the olive?,olive,What color is the olive on the spread?,purple,Where is the olive placed??,atop the mound
36a4d6d7200f27a,What color is the vodka fettuccine?,yellow,What type of pasta is used in the dish?,fettuccine,How are the tomato pieces incorporated into the dish?,mixed,What color are the tomato pieces?,red,Where is the caviar placed??,on top of
b2f494b68b68672,What is the texture of the fettuccine described as?,creamy,What type of pasta is shown in the image?,fettuccine,What color are the sun-dried tomatoes?,red,Where are the dark green spinach leaves located?,in,What color are the spinach leaves??,green
5b86da59c514f4a,What color are the chicken pieces in the dish?,yellowish-brown,What color are the leeks in the dish?,chicken,What is the color of the parsley garnish on top of the dish?,pinkish-white,Where are the leeks located in the dish?,with leeks,What color are the green portions of the leeks??,green
58cb6cc935a8656,What type of meat is in the bowl?,chicken,What is the Parmesan cheese on top of the dish?,grated,What are the green specks on top of the pasta and chicken?,herbs,What is the primary color of the dish?,is,Where is the food presented??,in the bowl
a370037c3e8b9ea,What is the texture of the sauce on the pasta?,creamy,What type of food is the main dish?,pasta,What color are the sweet peppers?,red,Where are the parsley flakes mainly concentrated?,on top,Where are the green parsley flakes scattered??,scattered
f257557c30b0a6c,What color is the bowl?,white,What type of pasta is in the dish?,fettuccine,What color are the shrimp pieces?,pink,Where are the scallops placed?,on the left,What color are the small herbs??,green
bf0eef431251754,What color is the fettuccine pasta in the image?,yellow,What type of pasta is shown in the image?,pasta,What are the small pieces of meat scattered throughout the pasta called?,pancetta,What color are the pancetta pieces in the image?,reddish-brown,Where are the pancetta pieces distributed in the dish??,throughout the pasta
b2da25661f093b2,What color are the fettuccine noodles?,yellow,What type of pasta is shown in the image?,fettuccine,What is the texture of the sauce on the fettuccine?,creamy,What color is the parsley on top of the noodles?,green,Where is the parsley placed on the noodles??,on top of
c0975f297eda584,What does the fettuccine do in the frame?,fills,What type of pasta is shown?,fettuccine,What is the texture of the sauce?,creamy,What is scattered on top of the pasta?,cheese,Where are the thin strands of cheese located??,on top of
ca23e2263faef48,What type of meat is included in the dish?,ham,What does the dish consist of?,consists,What color are the fettuccine noodles?,yellow,What color are the asparagus spears?,green,Where are the asparagus spears placed??,on top of
4a760002afb43b8,What is the color of the base of the dish?,white,Where is the fettuccine located in the dish?,located throughout,What type of meat is scattered on top of the pasta?,chicken,What color are the slightly browned areas on the chicken?,asparagus,What vegetable is distributed across the dish??,browned
a23799c6517a1d8,What color are the fettuccine noodles?,yellow,What type of meat is in the dish?,chicken,What does the dish feature?,features,What color is the sauce?,beige,Where is the finely grated cheese distributed??,across the top
5246d452ee6dfcd,What is the color of the salmon?,light,Where are the salmon pieces situated?,situated,What vegetable is dark green and intermingled with the salmon?,spinach,What color is the spinach?,green,Where is the spinach located??,at the top
28e11171d5ffa68,What color are the mushrooms?,dark,What color is the spinach?,spinach,What color are the mushrooms?,brownish-purple,Where is the spinach located?,on top,What type of pasta is used in the dish??,pasta
aa57db45b971ec7,What color is the chocolate fettuccine?,chocolate,What color is the whipped chocolate topping?,brown,What shape is the chocolate fettuccine arranged in?,nest-like,What color is the ice cream?,white,Where is the nest of fettuccine positioned??,at the bottom
6984b25e292a0a3,What color is the Chicken Piccata?,yellow,What color are the capers?,green,What type of meat is the main dish made of?,Chicken,How are the capers arranged on the plate?,scattered,How are the lemon slices positioned relative to each other??,overlapping
59cd9050332697a,What is the color of the sauce on the fettuccine?,creamy,What type of pasta is used in the dish?,noodles,What color are the chicken chunks in the dish?,brown,What color are the broccoli florets in the dish?,green,Where is the fork placed in relation to the fettuccine??,on the right
c8c28925405c3d3,What is the texture of the sauce?,creamy,What type of pasta is in the dish?,pasta,What color is the fettuccini pasta?,yellowish-white,Where are the shrimp scattered across?,scattered across,What type of protein is included in the dish??,seafood
1f80ff02feebd5c,What color is the plate?,red,What type of noodles are in the dish?,noodles,What color are the fettuccini noodles?,yellow,What is the texture of the sauce covering the noodles?,creamy,What is the color of the plate the dish is served on??,on a red plate
91bb72e92eed8a7,What color are the broccoli florets?,green,What type of pasta is used in the dish?,spinach,What color is the spinach fettuccini?,pale,What type of meat is included in the dish?,ham,How are the broccoli florets distributed across the top??,scattered
8a0c8d9c54b0a54,What is the color of the zucchini slices?,white,What type of pasta is shown in the image?,fettuccini,How are the zucchini slices arranged in the pasta?,scattered,What color are the zucchini slices?,green,Where are the zucchini slices located in relation to the pasta??,among the pasta
1bf5647a7e6331a,What is the color of the Moroccan Fig Pork Roast?,golden-brown,Where is the Moroccan Fig Pork Roast in relation to the sauce?,submerged,What color are the diced tomatoes?,tomatoes,What color are the diced tomatoes?,red,Where are some of the diced tomatoes located??,on the top
c65fca370548065,What color is the fig resting atop the green lettuce?,black,What type of fruit is featured in the salad?,figs,Where is the almost black fig located in the salad?,resting atop,What color is the lettuce in the salad?,green,What color are the exteriors of some figs in the upper center of the bowl??,purple
29d239450bb6aec,What type of fruit is shown in the dish?,figs,How do the colors of the figs differ?,vary,What is the color of the deeper-toned figs?,reddish-brown,What is the chicken served with?,with the chicken,What color is the rosemary??,green
76dc183aa46b064,What type of dessert is shown in the image?,cake,What is the primary color of the cake?,brown,Where does the cake sit?,sits on,What is the shape of the cake?,circular,What fruit is embedded in the cake??,fig
3776b3dee09c716,What color is the smoothie?,pink,How is the smoothie decorated?,garnished,What fruit slice is placed alongside the fig?,orange,What fruit is used to garnish the smoothie?,fig,Which glass has a golden straw??,on the left
19e96395c0e26fd,What is the primary color of the fig ice cream?,white,What fruit is embedded in the ice cream?,fig,What type of dessert is being described?,ice cream,How are the fig pieces distributed in the ice cream?,distributed unevenly,Do the colors of the fig pieces vary??,vary
614c5dee532b78e,What color are the figs?,purple,What type of fruit is shown in the image?,figs,Where is the goat cheese placed?,on top of,What is the texture of the goat cheese?,creamy,How is the goat cheese distributed??,scattered
cbaed45527de406,Are the fig newtons store-bought or homemade?,homemade,What type of cookies are shown in the image?,fig newtons,What color are the fig newtons?,light brown,What is visible between the light brown cookie layers?,filling,Where is one fig newton placed in relation to the others??,on top
daf34f3c0e2304e,What color is the plate?,yellow,What type of fruit is on the plate?,figs,What color is the exterior of the figs?,golden-brown,What is the color of the dollops on the figs?,cream,Where are the figs placed??,on a plate
b3a1fe5b2434339,What is the state of the figs in the compote?,fresh,What type of fruit is used in the compote?,fig,What color are some of the figs?,purple,Where is the fig compote placed?,over cream cheese,What color is the plate beneath the food items??,red
0f4b1f3711ed6aa,Where does the fig compote sit?,sits,What is the base of the appetizer?,cracker,What color is the fig compote?,dark,What color is the cheese or topping?,yellow,Where is the cheese or topping positioned??,on top of
2e598f810f9d06d,What is the color of the cake's base?,light,What type of food is shown in the image?,cake,What color are the figs on top of the cake?,reddish-purple,Where is the whipped cream located?,on top,What is the color of the whipped cream on the cake??,cream
4339a851cb77dd5,What color is the fig jam?,reddish-brown,Where is the fig jam located?,located on top,What is the fig jam on top of?,toast,How is the fig jam spread on the toast?,spread,How is the fig jam distributed on the toast??,evenly
cb7d2715089d107,What color are the figs in the image?,brown,What type of fruit is featured in the preserves?,figs,What color are the lemon slices in the image?,yellow,What are the figs and lemon slices immersed in?,with lemon slices,How do the whole figs appear in the image??,plump
9ac99a11f201d7e,What color is the interior of the figs?,dark,What type of fruit is shown in the image?,figs,What color are the raspberries?,red,What are the figs filled with?,with almonds,What is revealed when the figs are cut in half??,revealing
dd3b5e82f9d9936,What type of alcohol is mentioned in the description?,bourbon,What color is the Bourbon Fig Compote primarily?,purple-black,Where is the Bourbon Fig Compote placed in relation to the brie?,piled on top,What type of cheese is mentioned in the description?,brie,How is the brie prepared??,baked
02fe95aa6346349,How is the pastry presented in the image?,sliced,What color is the filling inside the pastry?,brown,What type of food is shown in the image?,pastry,Where is the fig filling located?,inside the pastry crust,What color is the fig filling??,dark
c3f9c24995ba4ec,What color is the filet mignon?,brown,What type of meat is in the center of the image?,filet mignon,Where is the filet mignon located?,located in,What color are the onions on top of the filet mignon?,white,How are the onions arranged around the filet mignon??,scattered
5af605e71b6dc10,What color are the Filet Mignon pieces?,reddish-brown,What type of meat is shown in the image?,Filet Mignon,What color is the plate?,white,What is sprinkled on top of the creamy sauce?,sprinkled,Where are the Filet Mignon pieces placed??,on the plate
a31ea68b260d0c2,What color is the interior of the cut filet?,pinkish-red,What type of meat is shown in the image?,filet,What color is the seared exterior of the filets?,brown,Where are the filets placed?,on a white plate,How is the exterior of the filets described??,seared
334173112185382,What color is the Filet Mignon?,brown,What is partially covering the steak?,coating,What color is the Bacon Cream Sauce?,white,Where are the diced bacon pieces located?,scattered atop,What is scattered atop the steak??,diced
22de7ebf1595111,What is the color of the filet mignon?,rich,What type of meat is shown in the image?,filet mignon,What color is the filet mignon?,brown,Where is the filet mignon positioned on the plate?,in the lower right,What is the filet mignon served on??,plate
83d26cde246750e,What color is the filet mignon?,reddish-brown,What type of meat is featured on the plate?,filet mignon,What color are the green beans?,green,Where is the couscous positioned relative to the filet mignon?,alongside,What is the garlic cream sauce doing to the meat and shrimp??,coating
4625bbbfbb8de74,What cooking method is used for the filet?,grilling,What type of meat is shown in the image?,filet,What color is the Merlot sauce?,dark red,What color is the outside of the filet after grilling?,brown,What herb is placed on top of the filet??,rosemary
3e919d5c8a76fb2,What color is the interior of the sliced filet mignon?,pinkish-red,What type of food is the main subject of the image?,meat,What color is the pepper cream sauce?,beige,Where are the individual peppercorns located?,scattered around,What is scattered around the meat pieces??,pepper
