,Image,Question,Answer
195,7a5e7b012af9da0,What is the texture of the steak,shredded
196,7a5e7b012af9da0,What type of meat is in the fajita,steak
197,7a5e7b012af9da0,What color are the onions,white
198,7a5e7b012af9da0,Where are the peppers located in the fajita,mixed among
199,7a5e7b012af9da0,What color are the peppers,green
200,56ad671c222bff5,Are the fajitas vegan,vegan
201,56ad671c222bff5,What type of food is shown in the image,fajitas
202,56ad671c222bff5,What color are the corn kernels in the left fajita,yellow
203,56ad671c222bff5,What color is the sauce drizzled on the fajitas,red
204,56ad671c222bff5,What is on top of the fajitas,on top
210,6cc86b2a2082e1f,What color is the fajita seasoning,brownish
211,6cc86b2a2082e1f,What is the fajita seasoning placed in,bowl
212,6cc86b2a2082e1f,What color is the bowl,dark brown
213,6cc86b2a2082e1f,What is the brownish powder used for,seasoning
214,6cc86b2a2082e1f,Where is the bowl located in the image,in the image
215,de0cb3e746ca441,What color are the peppers mixed with the seitan,red
216,de0cb3e746ca441,What color are the peppers that contrast with the other ingredients,green
217,de0cb3e746ca441,What is being done to the tortillas with the fajita mixture,adding
218,de0cb3e746ca441,What is the base used to hold the fajita mixture,tortillas
219,de0cb3e746ca441,Where is the fajita mixture placed in relation to the tortillas,on top of
220,08d7cce0f17e9a3,What color are the tempeh cubes,red
221,08d7cce0f17e9a3,What is the main protein in the fajitas,tempeh
222,08d7cce0f17e9a3,What color are the bell peppers in the fajitas,green
223,08d7cce0f17e9a3,What color is the rim of the plate,with a red rim
224,08d7cce0f17e9a3,What color are the tortillas,pale
225,1469eee2e776c2f,What color is the cast iron skillet,black
226,1469eee2e776c2f,How are the peppers prepared,sliced
227,1469eee2e776c2f,What type of vegetables are used in the stir-fry,peppers
228,1469eee2e776c2f,What color are the onions,white
229,1469eee2e776c2f,Where is the stir-fry placed,on a dark wooden surface
230,c0a48a4d2de3989,What color is the falafel,golden-brown
231,c0a48a4d2de3989,What is the main ingredient of the dish,falafel
232,c0a48a4d2de3989,Where does the falafel rest,rests
233,c0a48a4d2de3989,What color is the lettuce,green
234,c0a48a4d2de3989,Where is the falafel placed,on a bed
235,e2f32ab0debb4e6,What color is the falafel,brownish-green
236,e2f32ab0debb4e6,What part of the food item does the falafel form,base
237,e2f32ab0debb4e6,What is the falafel doing in the image,taking
238,e2f32ab0debb4e6,What color is the cucumber sauce,white
239,e2f32ab0debb4e6,Where is the cucumber sauce located,on top of
245,7f4949b73da37d9,What color are the baked falafel,golden-brown
246,7f4949b73da37d9,What type of food is shown in the image,falafel
247,7f4949b73da37d9,What color is the lettuce under the falafel,green
248,7f4949b73da37d9,Where are the falafel placed in the pita,on top
249,7f4949b73da37d9,What color is the sauce on top of the falafel,red sauce
255,45593bdf34d769c,What color are the falafel,golden-brown
256,45593bdf34d769c,What type of food is shown in the image,falafel
257,45593bdf34d769c,How are the falafel placed on the plate,arranged
258,45593bdf34d769c,What color is the plate,on a white plate
259,45593bdf34d769c,What color are the specks on the falafel,green
260,0d3b7a1ec9a3afb,Where are the falafel located,located
261,0d3b7a1ec9a3afb,What type of bread are the falafel in,pita bread
262,0d3b7a1ec9a3afb,What color is the sauce on top of the falafel,white
263,0d3b7a1ec9a3afb,What color are the diced tomatoes on top of the falafel,red
264,0d3b7a1ec9a3afb,Where is one falafel located in the image,in the bottom left corner
265,64f99a98769fc5b,What color are the falafel pieces,golden-brown
266,64f99a98769fc5b,What type of food is shown in the image,falafel
267,64f99a98769fc5b,What color are the herbs scattered on the falafel,green
268,64f99a98769fc5b,Where are the falafel pieces placed,on a colorful plate
269,64f99a98769fc5b,How are the falafel pieces positioned on the plate,arranged
270,10882ec4e8be056,What are the spherical items in the image,are
271,10882ec4e8be056,What is the name of the food in the image,ta'ameya
272,10882ec4e8be056,What color are the sesame seeds on the ta'ameya,white
273,10882ec4e8be056,Where are the ta'ameya located in the image,in the center
274,10882ec4e8be056,What are the white toppings on the ta'ameya,seeds
275,9308055b48a5888,Is the salad served warm,Warm
276,9308055b48a5888,Are the farro grains scattered in the plate,scattered
277,9308055b48a5888,Are there spinach leaves in the salad,spinach
278,9308055b48a5888,Is the plate white,white
279,9308055b48a5888,Is the salad presented in the plate,in the plate
285,243862e88ceaf08,What color is the farro in the salad,light
286,243862e88ceaf08,What type of dish is being described,salad
287,243862e88ceaf08,What color are the pecans in the salad,brown
288,243862e88ceaf08,Where are the green scallions placed in the salad,on top of
289,243862e88ceaf08,What color are the lemon wedges,yellow
290,c36e09e11ae3cbc,What color are the tomatoes in the salad,red
291,c36e09e11ae3cbc,What type of dish is the farro and tomato mixture,salad
292,c36e09e11ae3cbc,Where is the farro and tomato salad located on the closest plate,located
293,c36e09e11ae3cbc,Where is the farro and tomato salad located on the other plate,on the right side
294,c36e09e11ae3cbc,What color are the herbs scattered on the plates,green
295,0c6f64b053fb312,What color are the lentils,brown
296,0c6f64b053fb312,What type of lentils are used,lentils
297,0c6f64b053fb312,What hue does the farro have,tan
298,0c6f64b053fb312,What is coating the lentils and farro,coating
299,0c6f64b053fb312,Where is the sliced tomato located,at the top
300,d0f8a99831308a8,What color is the farro,tan
301,d0f8a99831308a8,What is the farro served in,bowl
302,d0f8a99831308a8,What type of grain is in the bowl,farro
303,d0f8a99831308a8,What color is the bowl,white
304,d0f8a99831308a8,Where is the bowl positioned in the image,in the upper right
310,b4c7c5adfde3f3b,What is the soup served in,soup
311,b4c7c5adfde3f3b,What is the consistency of the soup in the bowl,filling
312,b4c7c5adfde3f3b,What color is the bowl,black
313,b4c7c5adfde3f3b,What ingredient is scattered throughout the soup,fennel
314,b4c7c5adfde3f3b,Where is the small bright green sprig of fennel fronds located,at the center-right
315,a2b07e7440f60c5,What color is the grilled fennel primarily,creamy
316,a2b07e7440f60c5,What vegetable is featured in the image,fennel
317,a2b07e7440f60c5,What is the dominant color of the grilled fennel,white
318,a2b07e7440f60c5,What does the largest piece of fennel do in the image,appears
319,a2b07e7440f60c5,Where is the largest piece of fennel located,at the center-left
320,111c00364311a43,What color is the crust of the bread,golden-brown
321,111c00364311a43,What type of food is shown in the image,bread
322,111c00364311a43,What color is the interior crumb of the bread,yellow
323,111c00364311a43,What color are the specks in the bread,green
324,111c00364311a43,Where is the bread placed,on a wooden surface
330,cd90188f2c1a239,What color is the Gramma Good's Fennel Bread,brown
331,cd90188f2c1a239,What type of food is Gramma Good's Fennel Bread,bread
332,cd90188f2c1a239,What is the state of the bread in the image,sliced
333,cd90188f2c1a239,What color is the cloth on the left side,red
334,cd90188f2c1a239,Where are the three slices of bread placed,on the left side
335,8ac38bd3bb2e677,What color are the fennel slices,yellow
336,8ac38bd3bb2e677,What vegetable is used in the dish,fennel
337,8ac38bd3bb2e677,What is the state of the parmesan cheese on the fennel,melted
338,8ac38bd3bb2e677,What type of cheese is used in the dish,parmesan
339,8ac38bd3bb2e677,Where is the baked fennel and parmesan arranged,in a baking dish
350,80591e736df0736,What color is the bowl containing the salad,white
351,80591e736df0736,What type of dish is the fennel prepared as,salad
352,80591e736df0736,What color are the sliced fennel strips,pink
353,80591e736df0736,How are the dark red beet pieces distributed in the salad,scattered
354,80591e736df0736,"Where are the fresh, bright green herbs placed",on top
355,4dc0d37926b71f2,What color is the fennel primarily,white
356,4dc0d37926b71f2,What vegetable is shown in the image,fennel
357,4dc0d37926b71f2,How are the fennel pieces placed on the baking sheet,arranged
358,4dc0d37926b71f2,What describes the edges of some fennel pieces,caramelized
359,4dc0d37926b71f2,Where are the fennel pieces located,on a baking sheet
360,bffeb1a8133f687,What color is the whipped feta,creamy
361,bffeb1a8133f687,What type of cheese is used,feta
362,bffeb1a8133f687,What color is the whipped feta,off-white
363,bffeb1a8133f687,What is the hot honey doing to the whipped feta,drizzled
364,bffeb1a8133f687,Where is the whipped feta located in the image,in the center
370,598351f13a1baa2,What color is the pasta,tan
371,598351f13a1baa2,What type of dish is shown in the image,pasta
372,598351f13a1baa2,What color are the tomatoes in the dish,red
373,598351f13a1baa2,Where are the green basil leaves located,with
374,598351f13a1baa2,What color are the basil leaves,green
375,f56f6c1e6801e4c,Where is the dip located in the image,located
376,f56f6c1e6801e4c,What type of cheese is in the dip,feta
377,f56f6c1e6801e4c,What color is the bowl containing the dip,orange
378,f56f6c1e6801e4c,What is the dip contained in,bowl
379,f56f6c1e6801e4c,Where is the dip positioned in the bowl,in the center
380,a2b4ba759ea82ea,What type of food is the pale yellow base of the dish,pasta
381,a2b4ba759ea82ea,How is the pasta arranged in the dish,interwoven
382,a2b4ba759ea82ea,What color are the irregular cubes of feta cheese,white
383,a2b4ba759ea82ea,Where are the feta cheese cubes positioned,among the pasta
384,a2b4ba759ea82ea,What is scattered among the pasta,tomatoes
385,acd854aa86d145c,What is the primary color of the feta dip,white
386,acd854aa86d145c,What type of cheese is used in the dip,feta
387,acd854aa86d145c,How is the olive oil applied to the dip,drizzled
388,acd854aa86d145c,What color are the specks in the dip,green
389,acd854aa86d145c,Where is the dip located in the image,in the center of
390,1532dbb48fceeb3,What color is the dip primarily,green
391,1532dbb48fceeb3,What type of food is the creamy green mixture,dip
392,1532dbb48fceeb3,What texture does the dip have,creamy
393,1532dbb48fceeb3,Where is the parsley positioned,sits on top
394,1532dbb48fceeb3,What is the dip contained in,bowl
405,c17746b4e7022ce,What color is the feta cheese in the image,white
406,c17746b4e7022ce,What type of cheese is shown in the image,cheese
407,c17746b4e7022ce,Where are the tomatoes located in relation to the feta cheese,surround
408,c17746b4e7022ce,What color are most of the tomatoes in the image,red
409,c17746b4e7022ce,Where is the silver spoon located in the image,near the top
410,fc36afefc433f4b,What type of flavor does the stir-fry have,spicy
411,fc36afefc433f4b,What is the Spicy Feta Stir-Fry served in,bowl
412,fc36afefc433f4b,What color are the snow peas in the bowl,green
413,fc36afefc433f4b,What type of cheese is visible in the bowl,feta
414,fc36afefc433f4b,Where is the orange spicy sauce dotted,on some of
415,91d684595f68f4a,What color is the chicken,creamy
416,91d684595f68f4a,What type of meat is shown in the image,chicken
417,91d684595f68f4a,What color are the lemon slices,yellow
418,91d684595f68f4a,What is on top of each chicken breast,with a slice
419,91d684595f68f4a,What part of the chicken is shown in the image,breasts
420,bd88f9c3acc7f82,What color is the bowl that contains the Crazy Feta Dip,beige
421,bd88f9c3acc7f82,What is the Crazy Feta Dip served in,bowl
422,bd88f9c3acc7f82,What color are the carrot sticks,orange
423,bd88f9c3acc7f82,Where is the olive oil located,on top
424,bd88f9c3acc7f82,What color are the celery stalks,green
425,e62e99a5c269774,What color is the plate,white
426,e62e99a5c269774,What type of cheese is in the center of the plate,cheese
427,e62e99a5c269774,What color are the specks on the feta cheese ball,green
428,e62e99a5c269774,What shape is the feta cheese ball,spherical
429,e62e99a5c269774,What is in the center of the plate,in the center
430,f060f83a63db80e,What color is the plate,white
431,f060f83a63db80e,How are the foldovers arranged on the plate,stacked
432,f060f83a63db80e,What color are the edges of the foldovers,golden-brown
433,f060f83a63db80e,What type of cheese is visible in the filling,cheese
434,f060f83a63db80e,Where are the foldovers placed,on a white plate
445,e1343a6401dd1ea,Where is the pie located in the image,located
446,e1343a6401dd1ea,What type of cheese is used in the pie,feta
447,e1343a6401dd1ea,What color is the top of the pie,pale yellow
448,e1343a6401dd1ea,What type of dish is shown in the image,pie
449,e1343a6401dd1ea,What describes the crust's appearance in terms of color,of color
450,c747b145be1701e,What color is the Greek Feta and Olive Spread,orange
451,c747b145be1701e,What is the spread served in,bowl
452,c747b145be1701e,What is the color of the olive,olive
453,c747b145be1701e,What color is the olive on the spread,purple
454,c747b145be1701e,Where is the olive placed,atop the mound
460,b2f494b68b68672,What is the texture of the fettuccine described as,creamy
461,b2f494b68b68672,What type of pasta is shown in the image,fettuccine
462,b2f494b68b68672,What color are the sun-dried tomatoes,red
463,b2f494b68b68672,Where are the dark green spinach leaves located,in
464,b2f494b68b68672,What color are the spinach leaves,green
470,58cb6cc935a8656,What type of meat is in the bowl,chicken
471,58cb6cc935a8656,What is the Parmesan cheese on top of the dish,grated
472,58cb6cc935a8656,What are the green specks on top of the pasta and chicken,herbs
473,58cb6cc935a8656,What is the primary color of the dish,is
474,58cb6cc935a8656,Where is the food presented,in the bowl
480,f257557c30b0a6c,What color is the bowl,white
481,f257557c30b0a6c,What type of pasta is in the dish,fettuccine
482,f257557c30b0a6c,What color are the shrimp pieces,pink
483,f257557c30b0a6c,Where are the scallops placed,on the left
484,f257557c30b0a6c,What color are the small herbs,green
485,bf0eef431251754,What color is the fettuccine pasta in the image,yellow
486,bf0eef431251754,What type of pasta is shown in the image,pasta
487,bf0eef431251754,What are the small pieces of meat scattered throughout the pasta called,pancetta
488,bf0eef431251754,What color are the pancetta pieces in the image,reddish-brown
489,bf0eef431251754,Where are the pancetta pieces distributed in the dish,throughout the pasta
490,b2da25661f093b2,What color are the fettuccine noodles,yellow
491,b2da25661f093b2,What type of pasta is shown in the image,fettuccine
492,b2da25661f093b2,What is the texture of the sauce on the fettuccine,creamy
493,b2da25661f093b2,What color is the parsley on top of the noodles,green
494,b2da25661f093b2,Where is the parsley placed on the noodles,on top of
510,a23799c6517a1d8,What color are the fettuccine noodles,yellow
511,a23799c6517a1d8,What type of meat is in the dish,chicken
512,a23799c6517a1d8,What does the dish feature,features
513,a23799c6517a1d8,What color is the sauce,beige
514,a23799c6517a1d8,Where is the finely grated cheese distributed,across the top
515,5246d452ee6dfcd,What is the color of the salmon,light
516,5246d452ee6dfcd,Where are the salmon pieces situated,situated
517,5246d452ee6dfcd,What vegetable is dark green and intermingled with the salmon,spinach
518,5246d452ee6dfcd,What color is the spinach,green
519,5246d452ee6dfcd,Where is the spinach located,at the top
520,28e11171d5ffa68,What color are the mushrooms,dark
521,28e11171d5ffa68,What color is the spinach,spinach
522,28e11171d5ffa68,What color are the mushrooms,brownish-purple
523,28e11171d5ffa68,Where is the spinach located,on top
524,28e11171d5ffa68,What type of pasta is used in the dish,pasta
525,aa57db45b971ec7,What color is the chocolate fettuccine,chocolate
526,aa57db45b971ec7,What color is the whipped chocolate topping,brown
527,aa57db45b971ec7,What shape is the chocolate fettuccine arranged in,nest-like
528,aa57db45b971ec7,What color is the ice cream,white
529,aa57db45b971ec7,Where is the nest of fettuccine positioned,at the bottom
535,59cd9050332697a,What is the color of the sauce on the fettuccine,creamy
536,59cd9050332697a,What type of pasta is used in the dish,noodles
537,59cd9050332697a,What color are the chicken chunks in the dish,brown
538,59cd9050332697a,What color are the broccoli florets in the dish,green
539,59cd9050332697a,Where is the fork placed in relation to the fettuccine,on the right
540,c8c28925405c3d3,What is the texture of the sauce,creamy
541,c8c28925405c3d3,What type of pasta is in the dish,pasta
542,c8c28925405c3d3,What color is the fettuccini pasta,yellowish-white
543,c8c28925405c3d3,Where are the shrimp scattered across,scattered across
544,c8c28925405c3d3,What type of protein is included in the dish,seafood
545,1f80ff02feebd5c,What color is the plate,red
546,1f80ff02feebd5c,What type of noodles are in the dish,noodles
547,1f80ff02feebd5c,What color are the fettuccini noodles,yellow
548,1f80ff02feebd5c,What is the texture of the sauce covering the noodles,creamy
549,1f80ff02feebd5c,What is the color of the plate the dish is served on,on a red plate
550,91bb72e92eed8a7,What color are the broccoli florets,green
551,91bb72e92eed8a7,What type of pasta is used in the dish,spinach
552,91bb72e92eed8a7,What color is the spinach fettuccini,pale
553,91bb72e92eed8a7,What type of meat is included in the dish,ham
554,91bb72e92eed8a7,How are the broccoli florets distributed across the top,scattered
555,8a0c8d9c54b0a54,What is the color of the zucchini slices,white
556,8a0c8d9c54b0a54,What type of pasta is shown in the image,fettuccini
557,8a0c8d9c54b0a54,How are the zucchini slices arranged in the pasta,scattered
558,8a0c8d9c54b0a54,What color are the zucchini slices,green
559,8a0c8d9c54b0a54,Where are the zucchini slices located in relation to the pasta,among the pasta
560,1bf5647a7e6331a,What is the color of the Moroccan Fig Pork Roast,golden-brown
561,1bf5647a7e6331a,Where is the Moroccan Fig Pork Roast in relation to the sauce,submerged
562,1bf5647a7e6331a,What color are the diced tomatoes,tomatoes
563,1bf5647a7e6331a,What color are the diced tomatoes,red
564,1bf5647a7e6331a,Where are some of the diced tomatoes located,on the top
565,c65fca370548065,What color is the fig resting atop the green lettuce,black
566,c65fca370548065,What type of fruit is featured in the salad,figs
567,c65fca370548065,Where is the almost black fig located in the salad,resting atop
568,c65fca370548065,What color is the lettuce in the salad,green
569,c65fca370548065,What color are the exteriors of some figs in the upper center of the bowl,purple
570,29d239450bb6aec,What type of fruit is shown in the dish,figs
571,29d239450bb6aec,How do the colors of the figs differ,vary
572,29d239450bb6aec,What is the color of the deeper-toned figs,reddish-brown
573,29d239450bb6aec,What is the chicken served with,with the chicken
574,29d239450bb6aec,What color is the rosemary,green
575,76dc183aa46b064,What type of dessert is shown in the image,cake
576,76dc183aa46b064,What is the primary color of the cake,brown
577,76dc183aa46b064,Where does the cake sit,sits on
578,76dc183aa46b064,What is the shape of the cake,circular
579,76dc183aa46b064,What fruit is embedded in the cake,fig
580,3776b3dee09c716,What color is the smoothie,pink
581,3776b3dee09c716,How is the smoothie decorated,garnished
582,3776b3dee09c716,What fruit slice is placed alongside the fig,orange
583,3776b3dee09c716,What fruit is used to garnish the smoothie,fig
584,3776b3dee09c716,Which glass has a golden straw,on the left
585,19e96395c0e26fd,What is the primary color of the fig ice cream,white
586,19e96395c0e26fd,What fruit is embedded in the ice cream,fig
587,19e96395c0e26fd,What type of dessert is being described,ice cream
588,19e96395c0e26fd,How are the fig pieces distributed in the ice cream,distributed unevenly
589,19e96395c0e26fd,Do the colors of the fig pieces vary,vary
600,daf34f3c0e2304e,What color is the plate,yellow
601,daf34f3c0e2304e,What type of fruit is on the plate,figs
602,daf34f3c0e2304e,What color is the exterior of the figs,golden-brown
603,daf34f3c0e2304e,What is the color of the dollops on the figs,cream
604,daf34f3c0e2304e,Where are the figs placed,on a plate
605,b3a1fe5b2434339,What is the state of the figs in the compote,fresh
606,b3a1fe5b2434339,What type of fruit is used in the compote,fig
607,b3a1fe5b2434339,What color are some of the figs,purple
608,b3a1fe5b2434339,Where is the fig compote placed,over cream cheese
609,b3a1fe5b2434339,What color is the plate beneath the food items,red
610,0f4b1f3711ed6aa,Where does the fig compote sit,sits
611,0f4b1f3711ed6aa,What is the base of the appetizer,cracker
612,0f4b1f3711ed6aa,What color is the fig compote,dark
613,0f4b1f3711ed6aa,What color is the cheese or topping,yellow
614,0f4b1f3711ed6aa,Where is the cheese or topping positioned,on top of
615,2e598f810f9d06d,What is the color of the cake's base,light
616,2e598f810f9d06d,What type of food is shown in the image,cake
617,2e598f810f9d06d,What color are the figs on top of the cake,reddish-purple
618,2e598f810f9d06d,Where is the whipped cream located,on top
619,2e598f810f9d06d,What is the color of the whipped cream on the cake,cream
620,4339a851cb77dd5,What color is the fig jam,reddish-brown
621,4339a851cb77dd5,Where is the fig jam located,located on top
622,4339a851cb77dd5,What is the fig jam on top of,toast
623,4339a851cb77dd5,How is the fig jam spread on the toast,spread
624,4339a851cb77dd5,How is the fig jam distributed on the toast,evenly
625,cb7d2715089d107,What color are the figs in the image,brown
