Image,Image description,Keywords,Questions
70522f25a62f2c6,"The image displays four marshmallow popcorn balls. The popcorn balls are a creamy white color, due to the marshmallows, and have popped kernels throughout. On the popcorn ball that is on the lower left side of the image, there are gummy candies in shades of red, green, and brown. On the popcorn ball near the middle of the image, there are gummy candies in shades of yellow, red, and orange. An orange gummy candy is visible on the popcorn ball in the upper right portion of the image. There are some gummy candies on the back right popcorn ball too.","displays, white, popcorn, gummy, orange, on the lower left side","What does the image display?, What color are the popcorn balls?, What type of candies are on the popcorn ball on the lower left side?, What color are the gummy candies on the middle popcorn ball?, Where is the popcorn ball with orange gummy candies located?, Where is the popcorn ball with gummy candies located?"
8f5b9b614261152,"The Movie Star Popcorn is located in the center of the image, filling a blue-grey bowl. The popcorn itself is primarily off-white in color, with visible kernels that have a slight golden-brown tint. The popcorn pieces are clustered together, mounded within the bowl, and appear light and airy in texture.","located, blue-grey, popcorn, off-white, golden-brown, in the center","Where is the Movie Star Popcorn located?, What color is the bowl that holds the popcorn?, What food item is in the bowl?, What is the primary color of the popcorn?, What tint do some of the popcorn kernels have?, Where is the popcorn positioned in the image?"
6f5bf99a67539bb,"The image features Peppermint Popcorn in a clear glass bowl. The popcorn pieces are coated in a mix of red and green colors, suggesting peppermint flavoring. The red popcorn is scattered throughout, with a vibrant and saturated tone. The green popcorn is also distributed randomly, creating a festive holiday appearance. The popcorn fills the bowl entirely, forming a dense pile with the different colored pieces interspersed, and is centrally located in the image.","coated, red, popcorn, peppermint, glass, in a bowl","What is the popcorn coated in?, What color is some of the popcorn?, What type of food is shown in the image?, What flavor does the popcorn suggest?, What is the bowl made of?, Where is the popcorn located?"
cf8527ed122c87d,"The Sweet and Crunchy Popcorn Snack Mix is primarily located in the center of the image, filling a white bowl. The mix consists of square, light brown cereal pieces spread throughout the bowl. Interspersed among the cereal are peanuts, which are tan, and spherical cereal pieces, which are also brown but darker than the square pieces.  Red and yellow candy-coated chocolate pieces are distributed unevenly, appearing as pops of color. Some chocolate pieces have a dark brown coating. A light tan coating covers most components.","Crunchy, located in, bowl, brown, interspersed, candy-coated","What is the texture of the popcorn snack mix?, Where is the popcorn snack mix primarily located?, What is the color of the bowl containing the snack mix?, What is the color of the square cereal pieces?, How are the peanuts and spherical cereal pieces arranged in the bowl?, What are the red and yellow pieces in the snack mix?"
7796eb839d8da61,"There are multiple popcorn balls, arranged in a grid-like pattern. Each ball is golden-brown in color, coated with a shiny glaze, and encased in clear plastic wrap. Each popcorn ball sits in a white paper cupcake liner, with some liners having red patterns. They are scattered across the frame, with some near the top and others near the bottom, and some on the left, right and center.","arranged, golden-brown, popcorn balls, white, in clear plastic wrap, scattered across the frame","How are the popcorn balls organized?, What color are the popcorn balls?, What food item is shown in the image?, What color are the cupcake liners?, What material is used to wrap the popcorn balls?, How are the popcorn balls positioned in the frame?"
9c7afe405aad80d,"The cinnamon-sugar popcorn is present both in a circular, shallow bowl, and scattered loosely around the bowl on a white surface. The popcorn pieces are primarily off-white or light beige in color. Many pieces are dusted with a light brown, cinnamon-sugar mixture. The bulk of the popcorn is concentrated within the bowl, forming a piled-up mound in the center. Outside the bowl, individual pieces are scattered on the surface, primarily near the top-left and lower-right of the bowl, and near the glass. The color of the popcorn outside the bowl is the same as inside the bowl.","present, cinnamon-sugar, popcorn, white, scattered around, beige","Is the cinnamon-sugar popcorn present in the image?, What is the flavor of the popcorn?, What type of food is shown in the image?, What color is the surface where the popcorn is placed?, Where are the popcorn pieces scattered around?, What color are the popcorn pieces primarily?"
02388088c8c2781,"The image shows caramel popcorn piled high inside a white bowl. The popcorn pieces vary in color, with some being a golden brown hue and others a lighter, almost white color, suggesting a mix of caramel-coated and plain kernels. The majority of the popcorn is coated in a caramel that appears a rich amber color. The popcorn fills the bowl completely, rising towards the top edges, and is concentrated in the center. A pair of tongs with wooden grips rests on top of the popcorn, suggesting that it is ready to be served.","piled, caramel, popcorn, white, amber, on top of","How is the caramel popcorn arranged in the bowl?, What is the color of the coating on most of the popcorn?, What type of snack is shown in the image?, What is the color of the bowl?, What is the color of the caramel coating on the popcorn?, Where are the tongs placed?"
ab8596da6f6dbdb,"The image features a close-up view of sticky popcorn, clustered densely together. Each piece consists of a white popped kernel, coated generously with a glossy caramel. The caramel is light brown, giving the popcorn a rich, golden hue. The popcorn pieces are distributed throughout the image, with no specific area dominating; they are tightly packed and touching. The coating makes the popcorn appear shiny and sticky.","sticky, coated, popcorn, brown, together, white","What is the texture of the popcorn?, What is the popcorn coated with?, What type of food is shown in the image?, What color is the caramel coating?, How are the popcorn pieces arranged?, What color are the popped kernels?"
deeb54ffce518b7,"The Italian Popcorn with Parmesan is predominantly white, with some pieces exhibiting a light yellow hue. Small specks of dark green and black seasoning are scattered throughout the popcorn. The majority of the popcorn is piled high inside a blue bowl in the center of the image. Several pieces of popcorn are scattered around the base of the bowl on the wooden surface. These stray pieces share the same color and seasoning characteristics as the popcorn in the bowl.","white, yellow, piled, popcorn, blue bowl, on the wooden surface","What color is the majority of the popcorn?, What hue do some pieces of popcorn exhibit?, How is the majority of the popcorn arranged in the bowl?, What type of food is shown in the image?, What color is the bowl containing the popcorn?, Where are the stray pieces of popcorn located?"
7062b886f0c8d05,"The image shows Kool-Aid popcorn. The popcorn pieces are coated in a pink substance, likely the Kool-Aid mixture. The pink color varies in shade, with some pieces appearing a lighter, pastel pink and others a more vibrant, saturated pink.  Interspersed among the pink popcorn are pieces that retain their original white or slightly yellowish color, which are less coated. The popcorn is densely packed, filling the frame from the bottom up and partially obscuring the background at the top.","shows, pink, popcorn, coated, white, from bottom","What does the image show?, What color is the Kool-Aid coating on the popcorn?, What type of food is shown in the image?, What is the popcorn coated with?, What color are the less coated popcorn pieces?, Where is the popcorn densely packed from?"
ba08153bc8d8d19,"The peanut butter popcorn appears as a collection of irregularly shaped clusters, centrally located in the image. The popcorn itself is mostly white, but is coated in a translucent peanut butter mixture. The peanut butter coating is a light brown color, and covers the majority of the popcorn. The popcorn is piled irregularly, with some pieces appearing on the bottom and others reaching toward the top of the image. There are stringy bits connecting the popcorn pieces, and the entire collection sits against a blurred background.","appears, irregular, popcorn, white, brown, on the bottom","How does the peanut butter popcorn appear in the image?, What is the shape of the popcorn clusters?, What type of food is shown in the image?, What color is the popcorn itself?, What color is the peanut butter coating?, Where are some of the popcorn pieces located?"
7a88a217fb1959c,"The image displays Grandpa's Popcorn Balls. The popcorn balls are mostly off-white, with a glossy sheen, appearing in the center and partially on the left and right. The gloss comes from a translucent, slightly golden-yellow coating binding the popcorn together. The popcorn balls are positioned on a light gray surface.","displays, off-white, popcorn, golden-yellow, on a light gray surface, binding","What does the image display?, What color are the popcorn balls mostly?, What type of food is shown in the image?, What color is the coating on the popcorn balls?, Where are the popcorn balls positioned?, What is the purpose of the golden-yellow coating?"
dc230621ca9da56,"The Candied Almond Bark Popcorn is primarily light yellow and white. These occupy the majority of the image, densely packed together in what appears to be a glass bowl. The popcorn pieces are coated in a creamy white candy, with some areas showing a more vibrant yellow color. They are arranged in a heap, filling the bowl completely.","coated, yellow, popcorn, white, bowl, in a heap","What is the popcorn coated in?, What color is the popcorn primarily?, What type of food is shown in the image?, What color is the candy coating on the popcorn?, What is the popcorn served in?, How is the popcorn arranged in the bowl?"
2246c477cc2621b,"The Sesame Parmesan Popcorn is piled high, filling the majority of the frame. The popcorn pieces are predominantly white, with some having a slightly yellowish or golden hue. These golden tints appear to be concentrated in the crevices and folds of the popcorn, suggesting the presence of butter or oil. The popcorn is densely packed throughout the image, with some pieces overlapping. The popcorn pieces are randomly distributed across the frame.","piled, white, popcorn, golden, overlapping, across the frame","How is the popcorn arranged in the image?, What is the predominant color of the popcorn?, What food item is shown in the image?, What color are the tints in the crevices of the popcorn?, How are the popcorn pieces positioned relative to each other?, Where are the popcorn pieces distributed in the image?"
d845e24ed44c70c,"The Coconut Oil Popcorn is primarily white with some golden-brown parts. It is piled high, filling the majority of the frame. The popcorn is clustered together, with some pieces at the bottom and others rising towards the top.","white, golden-brown, piled, popcorn, clustered, at the bottom","What color is the majority of the Coconut Oil Popcorn?, What color are some parts of the Coconut Oil Popcorn?, How is the Coconut Oil Popcorn arranged in the image?, What type of food is shown in the image?, How are the popcorn pieces grouped together?, Where are some of the popcorn pieces located?"
e507912659cedfe,"The image features a bowl of popcorn. The popcorn is primarily white with light yellow and brown highlights, indicating some toasted or caramelized portions. It is centrally located within a clear glass bowl, forming a piled heap that fills a significant portion of the bowl's interior. The bowl is positioned on a dark surface, creating a contrast that emphasizes the popcorn's color and texture.","toasted, white, popcorn, bowl, fills, on a dark surface","Is the popcorn toasted?, What is the primary color of the popcorn?, What food is in the bowl?, What does the popcorn fill?, Where is the bowl placed?"
4c4f66d985a6245,"The image showcases cauliflower popcorn. Some of the cauliflower popcorn is contained within two red and white striped popcorn boxes, one standing upright in the upper left and the other lying on its side in the center of the image. The cauliflower popcorn has a cream to light tan color with some browning and appears to be spilling out of the tilted box, scattered on the wooden surface in the foreground. Beside the box on its side is a clear glass shaker filled with a granular, light yellow substance, possibly seasoning.","cauliflower, red, spilling out of, popcorn, wooden, filled","What vegetable is used to make the popcorn?, What color are the striped popcorn boxes?, Where is the cauliflower popcorn spilling out of?, What is the cauliflower prepared to resemble?, What material is the surface the popcorn is scattered on?, What is the glass shaker filled with?"
50883ef851bacbc,"The popcorn is predominantly white with some kernels displaying a brownish hue. They are clustered together filling the majority of the bowl's inner space. A sprinkling of dark brown specks appears throughout the popcorn. The popcorn pile extends from the bottom edge to the upper part of the bowl, evenly distributed in the bowl.","white, brownish, popcorn, filling, clustered, from the bottom","What color is the majority of the popcorn?, What hue do some kernels display?, What type of food is shown in the image?, What is the popcorn doing to the bowl's inner space?, How are the popcorn kernels arranged?, Where does the popcorn pile extend from?"
4209d484eabbd49,"The microwave popcorn is located inside a blue bowl, taking up most of the bowl's volume. The popcorn is primarily white with slightly tan areas. The popcorn is piled high, creating a dense mound. The individual pieces are irregularly shaped with many crevices.","microwave, located, blue, bowl, white, with","What appliance is used to make the popcorn?, Where is the microwave popcorn located?, What color is the bowl?, What is the popcorn served in?, What is the primary color of the popcorn?, What is the popcorn piled high with?"
9fa6ee09dafbefd,"The image shows several keto air fryer jalapeño poppers arranged on a black metal rack. The jalapeños themselves are green. The filling is white. Bacon strips, with shades of pink and red, are wrapped around each jalapeño. The poppers are scattered across the rack, occupying most of the visible space. Some of the bacon appears slightly browned from cooking.","arranged, keto, poppers, green, white, on a black metal rack","How are the jalapeño poppers placed on the rack?, What type of diet do these jalapeño poppers cater to?, What are the jalapeño poppers called?, What color are the jalapeños?, What color is the filling inside the jalapeño poppers?, Where are the jalapeño poppers placed?"
e5d908ea49a12c4,"The image showcases numerous Pancake Poppers piled on a wooden tray. Most of the pancake poppers are light yellow, with some having a golden-brown base and a dusting of white powder. They are mostly located in the central and lower areas of the image, creating a dense cluster with varying heights and orientations, filling most of the tray's surface. At the top right, one popper appears to be slightly out of place, and another is cut in half, showcasing its inner texture.","Piled, Pancake Poppers, yellow, wooden, on a wooden tray, inner","How are the Pancake Poppers arranged?, What type of food is shown in the image?, What color are most of the Pancake Poppers?, What material is the tray made of?, Where are the Pancake Poppers placed?, What is visible in the cut popper?"
81b01dc4a3dc423,"The image features six jalapeno poppers arranged on a dark surface. The jalapenos are green and halved lengthwise, positioned with their open sides facing upwards. Inside each jalapeno is a white creamy filling. Each filled jalapeno is wrapped with a slice of processed meat that is pink with white stripes, secured with a light brown toothpick. The poppers are scattered across the dark surface, with a slight variation in their orientation. Some are oriented vertically, while others are tilted at slight angles.","arranged, green, jalapeno, filling, pink, on a dark surface","How are the jalapeno poppers placed on the surface?, What color are the jalapenos?, What type of pepper is used in the poppers?, What is inside each jalapeno?, What color is the processed meat wrapping the poppers?, Where are the jalapeno poppers placed?"
f10fc233eb96b8e,"The image shows Baked Mummy Jalapeno Poppers. The poppers are mostly clustered in a dark gray bowl. They are pale yellow-orange with strips of a lighter, off-white material wrapped around them, giving a mummy-like appearance. Each popper has two white candy eyes with black pupils. Some of the jalapenos retain their green stems. Some of the poppers have a dusting of white powder. One jalapeno popper is on a separate light orange plate, near the bottom left of the image.","baked, gray, poppers, wrapped, green, on a separate","How were the jalapeno poppers prepared?, What color is the bowl holding the poppers?, What type of food is shown in the image?, How are the poppers presented?, What color are the stems of some jalapenos?, Where is one jalapeno popper placed?"
eee9fd832040aa5,"The Parmesan Panko Chicken Poppers are golden brown and irregularly shaped, spread across a white rectangular plate. There are 8 poppers scattered on the plate. They are clustered towards the center of the plate, with some closer to the left edge and others towards the right. A clear glass bowl containing red sauce with green herbs is located in the top center of the plate, behind some of the chicken poppers.","golden, spread, poppers, white, on the plate, red","What color are the Parmesan Panko Chicken Poppers?, How are the chicken poppers arranged on the plate?, What are the golden brown items on the plate called?, What color is the plate?, Where are the chicken poppers placed?, What color is the sauce in the glass bowl?"
2309a34b6772b4c,"The image features Cherry Pepper Poppers inside two glass jars. The peppers have a vibrant red color. In the left jar, several peppers are stacked on top of each other. One pepper in the center shows an off-white filling. The jar is filled with a clear liquid, with some sediment visible at the bottom. In the right jar, similar red peppers are stacked, and one pepper has a filling. This jar also has a clear liquid with sediment at the bottom. Both jars are sealed with silver metal lids.","stacked, red, peppers, filling, glass jars, on top of","How are the peppers arranged in the left jar?, What color are the peppers?, What type of food is featured in the image?, What is visible inside one of the peppers?, What are the peppers stored in?, Where are the peppers positioned in the left jar?"
5870b784e4b8bbc,"The grilled jalapeño poppers are positioned centrally on a white plate. Two of the poppers are prominently visible, with the third mostly obscured beneath. Each popper has a green jalapeño body, stuffed with a creamy, off-white filling. The jalapeños are wrapped in bacon, which has a pinkish hue in some areas and a deep reddish-brown color in others, particularly on the exposed sections. The filling oozes slightly from the ends of the jalapeños. The bacon appears slightly crisp.","grilled, green, jalapeño, bacon, on a white plate, crisp","How were the jalapeño poppers cooked?, What color are the jalapeños?, What type of pepper is used in the poppers?, What is wrapped around the jalapeños?, Where are the jalapeño poppers placed?, How does the bacon appear?"
104a12989f97e01,"The image shows sausage jalapeno poppers arranged on a white, shallow bowl. The jalapenos are green, with a visible filling of beige sausage. The filling is stuffed inside the green jalapeno halves. Each jalapeno half is wrapped with cooked bacon, varying from light pink to reddish-brown with slightly browned crispy edges. Several poppers have wooden toothpicks piercing through them, which are light brown in color. The poppers are scattered across the dish. They are placed close together, taking up most of the space in the bowl.","arranged, green, sausage, white, with, cooked","How are the jalapeno poppers arranged in the bowl?, What color are the jalapenos?, What is the filling inside the jalapenos?, What color is the bowl?, What is the sausage filling inside the jalapenos wrapped with?, How is the bacon on the jalapeno poppers cooked?"
ce87d26e2863e1f,"The image contains several Healthier Jalapeño Poppers arranged on a light green surface. Each popper consists of a green jalapeño pepper, cut lengthwise and filled with a creamy white filling topped with golden-brown breadcrumbs. The peppers are a vibrant green, with some having darker green stems. The filling appears to be a light, creamy white color, while the breadcrumbs exhibit a toasty golden-brown hue. Fresh green herbs such as parsley are sprinkled atop some of the poppers. The poppers are scattered across the frame, with some oriented vertically and others horizontally, creating a visually appealing and appetizing arrangement.","arranged, healthier, poppers, green, white, on a","How are the jalapeño poppers presented?, What type of jalapeño poppers are shown in the image?, What is the main type of food in the image?, What color are the jalapeño peppers?, What color is the creamy filling in the poppers?, Where are the jalapeño poppers placed?"
84904d5b05390b3,"The image shows seven Sweet Heat Jalapeno Poppers arranged in a line on a rectangular white plate. The poppers are green jalapeno halves, each stuffed with a cream-colored filling. The filling appears to be slightly overflowing from the top of each pepper. Each popper is wrapped with a slice of pink-red bacon. A glaze or sauce, light orange, is drizzled over each popper. Additionally, small droplets of the same glaze are scattered around each popper on the white plate. The poppers are aligned diagonally across the plate.","arranged, Sweet, poppers, white, pink-red, on a rectangular white plate","How are the Sweet Heat Jalapeno Poppers arranged on the plate?, What is the flavor profile of the poppers?, What type of food is shown in the image?, What color is the plate?, What color is the bacon wrapped around the poppers?, Where are the poppers placed?"
b820944933d3488,"The image features several air-fried jalapeno poppers arranged closely together. The jalapenos themselves are primarily green, with some exhibiting a brighter, fresh green and others a darker, cooked shade. The poppers are filled with a creamy, white filling, which appears slightly browned in places. Wrapped around each jalapeno is bacon, cooked to varying degrees, with colors ranging from a light pink to a deep reddish-brown. Specks of black pepper are visible across all elements. They are on a white surface.","air-fried, green, jalapeno, cooked, white, on a white surface","How were the jalapeno poppers cooked?, What color are the jalapenos?, What type of pepper is used in the poppers?, How are the jalapeno poppers described in terms of preparation?, What color is the filling inside the poppers?, Where are the jalapeno poppers placed?"
053e9fb6a1c366c,There are nine bacon-wrapped jalapeño poppers arranged on a gray plate. They are all about the same size and wrapped in bacon. The jalapeños are green with dark stems. The bacon is reddish-brown. Some of the poppers have fillings that look yellow or white and appear to be cheese. A bowl of white dip sits to the left of the poppers. The bowl has a light blue trim.,"wrapped, jalapeño, green, reddish-brown, cheese, on a gray plate","What are the jalapeños wrapped in?, What is the color of the jalapeños?, What color is the bacon?, What is the color of the plate?, What is inside some of the poppers?, Where are the jalapeño poppers placed?"
b15e8543e1673f8,"The Certified Angus Beef Jalapeno Beef Poppers are golden brown and clustered in the lower right of the image. Behind them, towards the top, are several green jalapenos. To the left are two lime wedges, yellow-green, and behind them is a black bowl with a creamy white sauce. Small flecks of a lighter green are sprinkled on top of the sauce. The jalapenos are positioned in the upper part of the image, arranged horizontally behind the beef poppers and dip.","clustered, brown, jalapenos, sprinkled, behind them, sauce","How are the Certified Angus Beef Jalapeno Beef Poppers arranged?, What color are the Certified Angus Beef Jalapeno Beef Poppers?, What type of peppers are positioned behind the beef poppers?, What is on top of the creamy white sauce?, Where are the jalapenos located in relation to the beef poppers?, What is in the black bowl behind the lime wedges?"
23cebbecf50be88,"The image shows a bowl of ""Best Ever Jalapeño Poppers"".  They are located centrally and piled within a white bowl, which has a textured edge. Most of the jalapeño poppers exhibit a golden-brown, slightly textured, fried exterior. Some poppers have green stems visible at one end. The peppers are different sizes and randomly oriented. One popper in the front is cut open, revealing a white, creamy filling.","fried, golden-brown, bowl, white, revealing, in the front","What is the texture of the jalapeño poppers?, What color is the exterior of the jalapeño poppers?, What is the jalapeño poppers served in?, What color is the filling of the jalapeño poppers?, What is visible in the front of the bowl?, Where is the cut-open jalapeño popper located?"
53eacd583c0f871,"The Grilled Pheasant Poppers are arranged on a turquoise plate, positioned in the right side of the image. They appear as brownish-red pieces of meat wrapped around lighter, possibly white or light green fillings. The meat has variations in color, with some areas appearing darker due to grilling. Each popper is held together by a wooden stick, creating skewers. There are a few skewers, each with multiple poppers, arranged in a line.","Grilled, pheasant, turquoise, brownish-red, on the right side, skewers","How is the pheasant cooked?, What type of bird is used in the dish?, What color is the plate?, What color are the grilled pheasant pieces?, Where are the grilled pheasant poppers positioned in the image?, What are the wooden sticks used for?"
701985811e6e7c6,"The deer poppers are arranged on a grill with black grates. Starting from the top left, there are four poppers in a horizontal row. The first popper is light brown with darker brown edges and is secured with a toothpick. The next three poppers are similar in color, wrapped in bacon with a reddish tint. In the second row, on the left, the first popper is golden brown with darker edges and secured with a toothpick. The second popper is similarly colored. The third popper in the second row is a light pink color with slightly darker edges. The fourth popper in the second row is brown. In the third row, on the left, the first popper is golden brown with reddish areas from the bacon wrapping. The second popper in the third row is wrapped in bacon with a reddish tint. The third popper in the third row is brown and secured with a toothpick. Each popper appears to be slightly browned from the grilling.","arranged, brown, popper, reddish, on grill, grilling","How are the deer poppers placed on the grill?, What color are the darker edges of the first popper?, What is the name of the food item being grilled?, What tint do the bacon-wrapped poppers have?, Where are the deer poppers being cooked?, What cooking method is being used for the poppers?"
964fde4c4f698ab,"Four baked jalapeño poppers are arranged diagonally on a white rectangular plate. They are green, with the two closer to the bottom of the image having green stems. The poppers are cut in half lengthwise and filled with white cream cheese. Orange shredded cheese is melted on top of the cream cheese, and sprinkled with tan breadcrumbs on some of the poppers. The poppers are baked, so the jalapeño is slightly shriveled and darker green in some areas.","baked, green, poppers, with, cream cheese, orange","What cooking method was used to prepare the jalapeño poppers?, What color are the jalapeño poppers?, What type of food is shown in the image?, Where is the cream cheese located in the jalapeño poppers?, What is the filling inside the jalapeño poppers?, What color is the shredded cheese on top of the cream cheese?"
dbd7a59a8226309,"Arranged on a dark gray baking sheet are several bacon cheddar jalapeno poppers. Each popper is comprised of a bright green jalapeno pepper half, filled with creamy white stuffing and topped with a strip of orange cheddar cheese. Over the cheese, a piece of reddish-brown bacon is placed. The jalapeno poppers are scattered across the baking sheet in a somewhat organized fashion. Some are near the top edge of the baking sheet, while others are closer to the bottom.","arranged, dark gray, poppers, green, cheddar, across the baking sheet","How are the jalapeno poppers placed on the baking sheet?, What color is the baking sheet?, What type of food is being prepared?, What color are the jalapeno peppers?, What type of cheese is used?, Where are the jalapeno poppers placed on the baking sheet?"
066fdb02171fa62,"The image shows poblano poppers arranged in a metal baking pan. The poblano peppers are a dark green color and appear to be halved lengthwise, forming boat-like shapes. Each pepper is filled with a creamy, off-white mixture with visible flecks of red and dark brown, and green herbs. The filling spills over the edges of the pepper in some places. A dusting of red powder, possibly paprika or chili powder, is sprinkled on top of the filling in each pepper. The poppers are arranged closely together in the pan, with some peppers touching each other. The pan is lined with shiny aluminum foil. The arrangement fills the majority of the frame.","arranged, green, peppers, creamy, on top, metal","How are the poblano poppers placed in the pan?, What color are the poblano peppers?, What type of vegetable is used for the poppers?, What is the texture of the mixture inside the peppers?, Where is the red powder sprinkled?, What material is the baking pan made of?"
45df97bd84f560c,"The duck jalapeño poppers are presented on two white rectangular plates. In the foreground, one plate holds four poppers in a row. Each popper consists of a green jalapeño pepper, stuffed with a creamy, light yellow filling. A piece of dark brown duck meat sits on top of the filling, and the entire popper is wrapped with strips of bacon, exhibiting shades of pink and light brown. A thin, brown toothpick pierces through the center of each popper. Behind this plate and slightly to the right, another plate holds a cluster of similar poppers. These are also green, stuffed with light yellow filling, topped with brown duck, and wrapped in pink and light brown bacon. A similar toothpick pierces through each popper in this second plate.","stuffed, white, poppers, green, on top, brown","What are the jalapeño peppers stuffed with?, What color are the plates?, What type of food are the jalapeño peppers used to make?, What color are the jalapeño peppers?, Where is the duck meat placed?, What color is the duck meat?"
