Image,Question,Answer,Predict,EM,Precision,Recall,F1
27bc4f71b275ae7,What color are the patterns on top of the foam,reddish-orange,orange,0.0,0.0,0.0,0.0
27bc4f71b275ae7,Where are the reddish-orange patterns located,on top of,top of the drink,0.0,0.5,0.6666666666666666,0.5714285714285715
c3720ab16e601cc,What is the texture of the flan's top surface,shiny,smooth and caramelized,0.0,0.0,0.0,0.0
c3720ab16e601cc,What type of dessert is shown in the image,flan,flan,1.0,1.0,1.0,1.0
c3720ab16e601cc,What color is the plate,white,white,1.0,1.0,1.0,1.0
c3720ab16e601cc,What color is the surface on top of the flan,caramel-colored,light brown,0.0,0.0,0.0,0.0
8988bdd592b7b2b,What type of meat is scattered on the flatbread,chicken,chicken or tofu,0.0,0.3333333333333333,1.0,0.5
8988bdd592b7b2b,How is the teriyaki sauce applied over the toppings,drizzled,drizzled over the toppings,0.0,0.25,1.0,0.4
8988bdd592b7b2b,What is the color of the onions on the flatbread,purple,purple,1.0,1.0,1.0,1.0
a04609d90ed6c41,What color is the pineapple in the dish,yellow,yellow,1.0,1.0,1.0,1.0
a04609d90ed6c41,How is the pineapple prepared in the dish,diced,diced and caramelized,0.0,0.3333333333333333,1.0,0.5
a04609d90ed6c41,What fruit is used in the dish,pineapple,pineapple,1.0,1.0,1.0,1.0
a04609d90ed6c41,What is the texture of the overall mixture,moist,moist and slightly crumbly,0.0,0.25,1.0,0.4
a04609d90ed6c41,How are the bread and pineapple pieces distributed in the dish,throughout the dish,evenly distributed throughout,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
df836fe70475d5d,What type of container is the Cranberry Fluff served in,glass,glass footed dessert dish,0.0,0.25,1.0,0.4
df836fe70475d5d,How full is the bowl with the Cranberry Fluff,filling,about three fourths full,0.0,0.0,0.0,0.0
df836fe70475d5d,What fruit pieces are visible in the Cranberry Fluff,cranberries,red grapes,0.0,0.0,0.0,0.0
df836fe70475d5d,What fruit halves are prominently visible on the right side of the mound,grapes,red grapes,0.0,0.5,1.0,0.6666666666666666
df836fe70475d5d,Where is the Cranberry Fluff mounded to,to the brim,glass dish,0.0,0.0,0.0,0.0
93caec07215ba61,What color is the interior of the focaccia,yellow,light yellow,0.0,0.5,1.0,0.6666666666666666
93caec07215ba61,What type of bread is shown in the image,focaccia,focaccia,1.0,1.0,1.0,1.0
93caec07215ba61,What color is the basil on top of the focaccia,green,green,1.0,1.0,1.0,1.0
93caec07215ba61,What material is the surface the focaccia is resting on,wooden,wooden surface,0.0,0.5,1.0,0.6666666666666666
82927363da2288b,What color is the fondue in the bowl,yellow,pale yellow,0.0,0.5,1.0,0.6666666666666666
82927363da2288b,What is the fondue contained in,bowl,white bowl,0.0,0.5,1.0,0.6666666666666666
82927363da2288b,What is the state of the bread's crust,toasted,no longer crispy,0.0,0.0,0.0,0.0
82927363da2288b,What color is the crust of the bread,golden-brown,golden-brown,1.0,1.0,1.0,1.0
82927363da2288b,Where is the fondue dripping from,down from,the edge of bread,0.0,0.0,0.0,0.0
2d2938a660f6b1d,What color are the pretzel rings,brown,brown,1.0,1.0,1.0,1.0
2d2938a660f6b1d,What type of food item is drizzled with white chocolate,pretzel,pretzels chex cereal mix,0.0,0.0,0.0,0.0
82c11793c3b8518,What color is the dessert,brown,light brown,0.0,0.5,1.0,0.6666666666666666
82c11793c3b8518,What type of food is shown in the image,dessert,blondies,0.0,0.0,0.0,0.0
82c11793c3b8518,What shape are the desserts,rectangular,square-shaped,0.0,0.0,0.0,0.0
f189044f1aaf168,What color are the slivered almonds on the candies,brown,light brown,0.0,0.5,1.0,0.6666666666666666
f189044f1aaf168,What type of nuts are scattered on the candies,almonds,almonds,1.0,1.0,1.0,1.0
f189044f1aaf168,How are the almonds positioned on the candies,scattered,scattered on top,0.0,0.3333333333333333,1.0,0.5
ff63f9d9e982d84,What color is the baking dish,white,white,1.0,1.0,1.0,1.0
ff63f9d9e982d84,What type of dish is the Frito Pie Casserole in,casserole,casserole dish,0.0,0.5,1.0,0.6666666666666666
ff63f9d9e982d84,How are the chopped green onions arranged on top of the chips,scattered,scattered pattern,0.0,0.5,1.0,0.6666666666666666
ff63f9d9e982d84,What color is the mixture underneath the chips,reddish-brown,reddish-orange,0.0,0.0,0.0,0.0
ff63f9d9e982d84,Where is the layer of Frito chips located,on top,middle of the casserole,0.0,0.0,0.0,0.0
c1995791b9f2571,What color is the pan,black,black,1.0,1.0,1.0,1.0
c1995791b9f2571,What color is the base of the frittata,yellow,yellow,1.0,1.0,1.0,1.0
c1995791b9f2571,How are the green herbs distributed in the frittata,scattered,dispersed throughout,0.0,0.0,0.0,0.0
c1995791b9f2571,What are the bright red slices arranged in the center,tomatoes,tomatoes,1.0,1.0,1.0,1.0
c1995791b9f2571,Where are the slices of tomatoes located,in a black pan,top of the frittata,0.0,0.0,0.0,0.0
76f8eb55a8ddb4a,What color is the frittata primarily,yellow,yellow,1.0,1.0,1.0,1.0
76f8eb55a8ddb4a,What vegetable is visible in the frittata,broccoli,broccoli,1.0,1.0,1.0,1.0
76f8eb55a8ddb4a,What is the overall tone of the frittata's color,light,yellow,0.0,0.0,0.0,0.0
76f8eb55a8ddb4a,What type of cheese is visible in the frittata,cheddar,cheddar,1.0,1.0,1.0,1.0
3fd383827ec0643,What color are the crab fritters,brown,golden brown,0.0,0.5,1.0,0.6666666666666666
3fd383827ec0643,How are the crab fritters arranged on the plate,clustered,irregular pile,0.0,0.0,0.0,0.0
3fd383827ec0643,What is the food served on,plate,decorative plate,0.0,0.5,1.0,0.6666666666666666
3fd383827ec0643,What color are the lemon wedges,yellow,yellow,1.0,1.0,1.0,1.0
3fd383827ec0643,Where are the lemon wedges located,on the left,left side of plate,0.0,0.25,0.3333333333333333,0.28571428571428575
8fb828778ec290d,What color is the larger fritter,golden-brown,golden brown,0.0,0.0,0.0,0.0
8fb828778ec290d,What type of food is on the plate,fritter,latkes,0.0,0.0,0.0,0.0
8fb828778ec290d,How does the texture of the fritter appear around the edges,crispy,crispy,1.0,1.0,1.0,1.0
8fb828778ec290d,What color is the plate,white,white,1.0,1.0,1.0,1.0
90566bb352454ee,What is the flavor of the frosting on the stack,chocolate,chocolate,1.0,1.0,1.0,1.0
90566bb352454ee,What is the arrangement of the chocolate-frosted items,stack,stack on a plate,0.0,0.25,1.0,0.4
90566bb352454ee,What color is the chocolate frosting,brown,brown,1.0,1.0,1.0,1.0
90566bb352454ee,Where is the stack of chocolate-frosted items placed,on a plate,on a glass board,0.0,0.5,0.6666666666666666,0.5714285714285715
a238a1570e7fe42,What is the shape of the frosting,swirled,rose with a swirl,0.0,0.0,0.0,0.0
a238a1570e7fe42,What color is the frosting,pink,pink,1.0,1.0,1.0,1.0
a238a1570e7fe42,What is the dessert in the image,cupcake,cupcake,1.0,1.0,1.0,1.0
a238a1570e7fe42,What fruit is in the frosting,cherry,raspberry or strawberry,0.0,0.0,0.0,0.0
a238a1570e7fe42,Where is the frosting located,on top of,on top,0.0,1.0,0.6666666666666666,0.8
d5e6b885904e072,What are the containers holding the frosting,bowls,ceramic bowls,0.0,0.5,1.0,0.6666666666666666
0de51666d9bbd9c,What does the frosting evenly do to the cake,coats,coats the cake,0.0,0.3333333333333333,1.0,0.5
0de51666d9bbd9c,What is the dessert in the image,cake,chocolate cake,0.0,0.5,1.0,0.6666666666666666
0de51666d9bbd9c,What color is the frosting,brown,brown,1.0,1.0,1.0,1.0
0de51666d9bbd9c,Where is the cake placed,on the plate,on a white plate,0.0,0.5,0.6666666666666666,0.5714285714285715
97145150b1c3a0a,What color is the plate,blue,light blue,0.0,0.5,1.0,0.6666666666666666
97145150b1c3a0a,What type of dish are shown in the image,fries,french fries,0.0,0.5,1.0,0.6666666666666666
97145150b1c3a0a,What color is the melted cheese,orange,yellow,0.0,0.0,0.0,0.0
97145150b1c3a0a,Where is the melted cheese located,on top of,on top of fries,0.0,0.75,1.0,0.8571428571428571
a88c7dd881219e4,What color are the French fries in the casserole,yellow,not french fries,0.0,0.0,0.0,0.0
a88c7dd881219e4,What type of dish is the food in the image,casserole,baked pasta dish,0.0,0.0,0.0,0.0
17b989adaf9150e,What color is the plate,white,white,1.0,1.0,1.0,1.0
17b989adaf9150e,What type of food is described as golden-brown,fries,pastry,0.0,0.0,0.0,0.0
17b989adaf9150e,What color are some of the fillings,golden-brown,orange and white,0.0,0.0,0.0,0.0
17b989adaf9150e,What color are some of the other fillings,orange,not visible,0.0,0.0,0.0,0.0
17b989adaf9150e,Where are the green spices sprinkled,on top of,on top of food,0.0,0.75,1.0,0.8571428571428571
a9c7fa28ed37744,What is the primary color of the fries,yellow,light yellow,0.0,0.5,1.0,0.6666666666666666
a9c7fa28ed37744,What vegetable are the fries made from,potato,potatoes,0.0,0.0,0.0,0.0
a9c7fa28ed37744,What color is the skin on some of the fries,reddish-brown,red,0.0,0.0,0.0,0.0
a9c7fa28ed37744,Where are the fries placed,on a plate,on a plate,1.0,1.0,1.0,1.0
892b050aed75a1b,What is the primary color of the sweet potato fries,yellow,orange,0.0,0.0,0.0,0.0
892b050aed75a1b,What type of food is shown in the image,fries,french fries,0.0,0.5,1.0,0.6666666666666666
892b050aed75a1b,What is the appearance of the edges of some fries,charred,burnt brown or black,0.0,0.0,0.0,0.0
892b050aed75a1b,Where are the fries arranged on the plate,in the center,circular pattern,0.0,0.0,0.0,0.0
892b050aed75a1b,What color is the napkin under the plate,blue,blue,1.0,1.0,1.0,1.0
07cf1edcce84e68,What is the base color of the fudge,white,white,1.0,1.0,1.0,1.0
07cf1edcce84e68,What type of food is shown in the image,fudge,fudge,1.0,1.0,1.0,1.0
07cf1edcce84e68,What color are the cranberries in the fudge,red,red,1.0,1.0,1.0,1.0
07cf1edcce84e68,What type of nuts are in the fudge,walnuts,walnuts,1.0,1.0,1.0,1.0
bf0ab2726eb40b3,What color is the fudge,brown,light brown,0.0,0.5,1.0,0.6666666666666666
bf0ab2726eb40b3,What type of dessert is shown,fudge,fudge,1.0,1.0,1.0,1.0
bf0ab2726eb40b3,Where is the fudge located in the image,on the left,center-left,0.0,0.0,0.0,0.0
bf0ab2726eb40b3,What does the surface of the fudge have,sheen,sugar crystals,0.0,0.0,0.0,0.0
34f562a43a24940,What color is the crust of the galette,golden-brown,golden brown,0.0,0.0,0.0,0.0
34f562a43a24940,What color are the cherry tomatoes,red,red orange and yellow,0.0,0.25,1.0,0.4
34f562a43a24940,Where are the basil leaves located on the galette,atop the galette,upper-left side,0.0,0.0,0.0,0.0
34f562a43a24940,What color are the basil leaves,green,green,1.0,1.0,1.0,1.0
599a7d7530ff76b,What color is the surface of the Galette des Rois,golden-brown,golden brown,0.0,0.0,0.0,0.0
599a7d7530ff76b,What type of food is the Galette des Rois,pastry,pastry dessert,0.0,0.5,1.0,0.6666666666666666
599a7d7530ff76b,What color is the powdered sugar on the Galette des Rois,white,white,1.0,1.0,1.0,1.0
599a7d7530ff76b,How is the powdered sugar distributed on the Galette des Rois,sprinkled,leaf vein pattern,0.0,0.0,0.0,0.0
5b46052cbc1ded8,What fruit is red and placed towards the top and center,strawberry,strawberries,0.0,0.0,0.0,0.0
5b46052cbc1ded8,What color is the crust of the galette,golden-brown,light brown,0.0,0.0,0.0,0.0
5b46052cbc1ded8,What fruit is dark blue and nestled among the strawberry slices,blueberries,blueberries,1.0,1.0,1.0,1.0
5b46052cbc1ded8,Where are the strawberry slices placed,towards the top,center of the pastry,0.0,0.25,0.3333333333333333,0.28571428571428575
fb707f2c874780c,What is the color of the outer layers of the garlic,tan,light brown,0.0,0.0,0.0,0.0
fb707f2c874780c,What is the main ingredient in the image,garlic,roasted garlic,0.0,0.5,1.0,0.6666666666666666
fb707f2c874780c,What is the color of the exposed cloves of garlic,yellow,light yellow,0.0,0.5,1.0,0.6666666666666666
fb707f2c874780c,What is the color of the foil surrounding the garlic,silver,silver,1.0,1.0,1.0,1.0
014f5ece7199f30,What color is the lemon-lime soda gelatin salad,green,green,1.0,1.0,1.0,1.0
014f5ece7199f30,What type of dish is the lemon-lime soda gelatin salad,dessert,dessert dish,0.0,0.5,1.0,0.6666666666666666
014f5ece7199f30,What is the texture of the lemon-lime soda gelatin salad like,gelatin,soft and slightly jiggly,0.0,0.0,0.0,0.0
014f5ece7199f30,What is the overall impression of the lemon-lime soda gelatin salad,creamy,sweet and tangy dessert,0.0,0.0,0.0,0.0
3920c6be53a6f6c,What color is the chicken,golden-brown,light brown,0.0,0.0,0.0,0.0
3920c6be53a6f6c,What is the chicken served in,bowl,white bowl,0.0,0.5,1.0,0.6666666666666666
3920c6be53a6f6c,How is the chicken arranged,sliced,horizontal thin slice,0.0,0.0,0.0,0.0
3920c6be53a6f6c,What color are the garnishes on the chicken,green,green,1.0,1.0,1.0,1.0
3920c6be53a6f6c,Where is the chicken placed in relation to the rice,on top of,on top,0.0,1.0,0.6666666666666666,0.8
a3729bd13d1a3ce,"What ingredient adds a warm, spicy flavor to the dish",ginger,chili peppers,0.0,0.0,0.0,0.0
a3729bd13d1a3ce,What is the main protein in the dish,chicken,chicken,1.0,1.0,1.0,1.0
a3729bd13d1a3ce,What color is the plate,white,white,1.0,1.0,1.0,1.0
a3729bd13d1a3ce,Where is the stir-fry placed,on a plate,on a white plate,0.0,0.75,1.0,0.8571428571428571
a3729bd13d1a3ce,What color are the bell pepper slices primarily located on the left side of the plate,red,red,1.0,1.0,1.0,1.0
00e593048406ff1,What is the color of the ginger syrup,translucent,pale yellow,0.0,0.0,0.0,0.0
00e593048406ff1,What is the syrup contained in,jar,glass jar,0.0,0.5,1.0,0.6666666666666666
00e593048406ff1,What color is the ginger syrup,amber,light yellow,0.0,0.0,0.0,0.0
00e593048406ff1,Where is the jar positioned in the image,in the center,left side,0.0,0.0,0.0,0.0
fea12437470c358,What color is the crust of the treats,yellow,golden,0.0,0.0,0.0,0.0
fea12437470c358,What type of treats are shown in the image,gingerbread,sweet treat,0.0,0.0,0.0,0.0
fea12437470c358,What is on top of the gingerbread treats,chocolate,small cookie,0.0,0.0,0.0,0.0
fea12437470c358,What color is the plate,beige,beige,1.0,1.0,1.0,1.0
e54f96ac6dd17b3,What color is the gingerbread house,brown,brown,1.0,1.0,1.0,1.0
e54f96ac6dd17b3,Is the gingerbread house shaped like a house,yes,yes,1.0,1.0,1.0,1.0
e54f96ac6dd17b3,What color is the icing on the roof,white,white,1.0,1.0,1.0,1.0
e54f96ac6dd17b3,What shape is formed by the light blue and pink candies,flower,flower shape,0.0,0.5,1.0,0.6666666666666666
a39e3415ded2a21,What color are the dots on the tan gingerbread figure in the left center,green,red,0.0,0.0,0.0,0.0
a39e3415ded2a21,Where is the dark brown gingerbread man with green icing located,on top,upper left corner,0.0,0.0,0.0,0.0
59f3fdd700719ff,What type of cookies are on the plate,gingerbread cookies,ginger snaps,0.0,0.0,0.0,0.0
59f3fdd700719ff,What color are the gingerbread cookies,brown,brown,1.0,1.0,1.0,1.0
59f3fdd700719ff,Where is the glass situated,on a plate,on a plate,1.0,1.0,1.0,1.0
40731821312df84,What is the color of the vanilla glaze,beige,white,0.0,0.0,0.0,0.0
40731821312df84,What type of baked goods are shown in the image,cookies,cookies,1.0,1.0,1.0,1.0
40731821312df84,How are the cookies arranged,stacked,in a stack,0.0,0.0,0.0,0.0
40731821312df84,Where is the glaze spread on the cookies,on top of,on the cookies,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
e2f346240095e65,What color is the bowl the soup is served in,white,white,1.0,1.0,1.0,1.0
e2f346240095e65,What color is the soup base,yellow,creamy yellow,0.0,0.5,1.0,0.6666666666666666
e2f346240095e65,What meat is scattered throughout the soup,bacon,bacon,1.0,1.0,1.0,1.0
e2f346240095e65,Where are the chopped green onions placed,on top,on top of soup,0.0,0.5,1.0,0.6666666666666666
bb9b1c1288afbc7,What type of pasta is pale yellow and scattered on the plate,gnocchi,gnocchi,1.0,1.0,1.0,1.0
bb9b1c1288afbc7,What seafood is distributed around the center and left side of the plate,shrimp,shrimp,1.0,1.0,1.0,1.0
bb9b1c1288afbc7,What color are the asparagus spears,green,green,1.0,1.0,1.0,1.0
f72def05a510d0d,What color is the chicken sausage,brownish-red,brown,0.0,0.0,0.0,0.0
f72def05a510d0d,What type of dumplings are in the dish,gnocchi,gnocchi,1.0,1.0,1.0,1.0
f72def05a510d0d,What color are the broccoli florets,green,green,1.0,1.0,1.0,1.0
f72def05a510d0d,Where are the food items located,on a plate,center of the image,0.0,0.0,0.0,0.0
0596db289a95c00,What color is the rotini pasta,yellow,light beige,0.0,0.0,0.0,0.0
0596db289a95c00,What type of food is the rotini,pasta,pasta dish,0.0,0.5,1.0,0.6666666666666666
0596db289a95c00,What color is the tomato-based sauce,red,deep red,0.0,0.5,1.0,0.6666666666666666
0596db289a95c00,Where is the sprig of parsley placed,on top of,top of pasta dish,0.0,0.5,0.6666666666666666,0.5714285714285715
0596db289a95c00,What color is the sprig of parsley,green,green,1.0,1.0,1.0,1.0
24e93d74ec63682,What color is the macaroni in the Goulash Supreme,orange-brown,white,0.0,0.0,0.0,0.0
24e93d74ec63682,What type of pasta is used in the Goulash Supreme,macaroni,macaroni,1.0,1.0,1.0,1.0
24e93d74ec63682,How are the macaroni pieces arranged in the bowl,scattered,in a pile,0.0,0.0,0.0,0.0
24e93d74ec63682,What color are the diced tomatoes in the Goulash Supreme,red,red,1.0,1.0,1.0,1.0
24e93d74ec63682,Where is the green sprig of parsley located,at the top,upper right corner,0.0,0.0,0.0,0.0
4fe57bd9df72e3f,How is the ground beef arranged in the bowl,scattered,in small chunks,0.0,0.0,0.0,0.0
4fe57bd9df72e3f,What type of meat is used in the dish,beef,ground beef,0.0,0.5,1.0,0.6666666666666666
4fe57bd9df72e3f,What color are the potatoes,yellow,golden,0.0,0.0,0.0,0.0
4fe57bd9df72e3f,What color are the carrots,orange,orange,1.0,1.0,1.0,1.0
ba01bc8f6481ce0,What color are the specks of lemon zest in the granita,yellow,yellow,1.0,1.0,1.0,1.0
ba01bc8f6481ce0,What fruit is used to flavor the granita,lemon,lemon,1.0,1.0,1.0,1.0
ba01bc8f6481ce0,What material is the granita served in,glass,glass,1.0,1.0,1.0,1.0
e26db2540b79be7,What fruit is used to make the granita,watermelon,watermelon,1.0,1.0,1.0,1.0
e26db2540b79be7,What is placed on top of the granita,mint,sprig of mint,0.0,0.3333333333333333,1.0,0.5
56f2be6ebb5a498,What color is the granola,brown,light brown,0.0,0.5,1.0,0.6666666666666666
