Image,Question,Answer,Predict,gpt_score
df836fe70475d5d,What fruit halves are prominently visible on the right side of the mound,grapes,pomegranate halves,0.2
df836fe70475d5d,Where is the Cranberry Fluff mounded to,to the brim,glass dessert dish,0.2
93caec07215ba61,What color is the interior of the focaccia,yellow,yellowish-white,0.7
93caec07215ba61,What type of bread is shown in the image,focaccia,sourdough,0.2
93caec07215ba61,What color is the basil on top of the focaccia,green,green,1.0
93caec07215ba61,What material is the surface the focaccia is resting on,wooden,wooden table,0.9
82927363da2288b,What color is the fondue in the bowl,yellow,yellow,1.0
82927363da2288b,What is the fondue contained in,bowl,bowl,1.0
82927363da2288b,What is the state of the bread's crust,toasted,golden brown and crispy,0.7
82927363da2288b,What color is the crust of the bread,golden-brown,brown,0.7
82927363da2288b,Where is the fondue dripping from,down from,dripping from the food,0.2
2d2938a660f6b1d,What color are the pretzel rings,brown,brown and white,0.7
2d2938a660f6b1d,What type of food item is drizzled with white chocolate,pretzel,pretzels,1.0
82c11793c3b8518,What color is the dessert,brown,brown,1.0
82c11793c3b8518,What type of food is shown in the image,dessert,banana bread,0.4
82c11793c3b8518,What shape are the desserts,rectangular,square,0.5
f189044f1aaf168,What color are the slivered almonds on the candies,brown,light brown,0.9
f189044f1aaf168,What type of nuts are scattered on the candies,almonds,almonds,1.0
f189044f1aaf168,How are the almonds positioned on the candies,scattered,on top of the candies,0.1
ff63f9d9e982d84,What color is the baking dish,white,white,1.0
ff63f9d9e982d84,What type of dish is the Frito Pie Casserole in,casserole,rectangular white ceramic dish,0.6
ff63f9d9e982d84,How are the chopped green onions arranged on top of the chips,scattered,sprinkled on top,0.4
ff63f9d9e982d84,What color is the mixture underneath the chips,reddish-brown,reddish orange,0.7
ff63f9d9e982d84,Where is the layer of Frito chips located,on top,top of the casserole,0.4
c1995791b9f2571,What color is the pan,black,black,1.0
c1995791b9f2571,What color is the base of the frittata,yellow,yellow,1.0
c1995791b9f2571,How are the green herbs distributed in the frittata,scattered,scattered throughout,0.9
c1995791b9f2571,What are the bright red slices arranged in the center,tomatoes,tomato slices,0.7
c1995791b9f2571,Where are the slices of tomatoes located,in a black pan,on top of the eggs,0.2
76f8eb55a8ddb4a,What color is the frittata primarily,yellow,yellow and green,0.7
76f8eb55a8ddb4a,What vegetable is visible in the frittata,broccoli,broccoli,1.0
76f8eb55a8ddb4a,What is the overall tone of the frittata's color,light,yellowish and creamy,0.3
76f8eb55a8ddb4a,What type of cheese is visible in the frittata,cheddar,cheddar,1.0
3fd383827ec0643,What color are the crab fritters,brown,brown,1.0
3fd383827ec0643,How are the crab fritters arranged on the plate,clustered,in a pile,0.7
3fd383827ec0643,What is the food served on,plate,a plate,1.0
3fd383827ec0643,What color are the lemon wedges,yellow,yellow,1.0
3fd383827ec0643,Where are the lemon wedges located,on the left,on the left side of plate,0.7
8fb828778ec290d,What color is the larger fritter,golden-brown,light brown,0.7
8fb828778ec290d,What type of food is on the plate,fritter,potato latkes,0.4
8fb828778ec290d,How does the texture of the fritter appear around the edges,crispy,crunchy and browned,0.7
8fb828778ec290d,What color is the plate,white,white,1.0
90566bb352454ee,What is the flavor of the frosting on the stack,chocolate,chocolate,1.0
90566bb352454ee,What is the arrangement of the chocolate-frosted items,stack,stacked on a plate,0.4
90566bb352454ee,What color is the chocolate frosting,brown,brown,1.0
90566bb352454ee,Where is the stack of chocolate-frosted items placed,on a plate,on a plate on the table,0.9
a238a1570e7fe42,What is the shape of the frosting,swirled,rose petals,0.2
a238a1570e7fe42,What color is the frosting,pink,pink,1.0
a238a1570e7fe42,What is the dessert in the image,cupcake,pink cupcake with berries,0.9
a238a1570e7fe42,What fruit is in the frosting,cherry,strawberry,0.3
a238a1570e7fe42,Where is the frosting located,on top of,on top of the cupcake,1.0
d5e6b885904e072,What are the containers holding the frosting,bowls,metal bowls and spoons,0.6
0de51666d9bbd9c,What does the frosting evenly do to the cake,coats,protects the cake,0.1
0de51666d9bbd9c,What is the dessert in the image,cake,chocolate cake,0.9
0de51666d9bbd9c,What color is the frosting,brown,brown,1.0
0de51666d9bbd9c,Where is the cake placed,on the plate,on a plate on the table,0.6
97145150b1c3a0a,What color is the plate,blue,the plate is light blue,0.7
97145150b1c3a0a,What type of dish are shown in the image,fries,poutine,0.6
97145150b1c3a0a,What color is the melted cheese,orange,yellow,0.3
97145150b1c3a0a,Where is the melted cheese located,on top of,on top of fries,0.9
a88c7dd881219e4,What color are the French fries in the casserole,yellow,brown and yellow,0.6
a88c7dd881219e4,What type of dish is the food in the image,casserole,pasta bake dish,0.7
17b989adaf9150e,What color is the plate,white,the plate is white,0.9
17b989adaf9150e,What type of food is described as golden-brown,fries,calzone,0.1
17b989adaf9150e,What color are some of the fillings,golden-brown,red and white,0.2
17b989adaf9150e,What color are some of the other fillings,orange,red and white,0.2
17b989adaf9150e,Where are the green spices sprinkled,on top of,on the pizza,0.3
a9c7fa28ed37744,What is the primary color of the fries,yellow,brown and yellow,0.6
a9c7fa28ed37744,What vegetable are the fries made from,potato,potato,1.0
a9c7fa28ed37744,What color is the skin on some of the fries,reddish-brown,brown and red,0.9
a9c7fa28ed37744,Where are the fries placed,on a plate,on a blue plate,0.9
892b050aed75a1b,What is the primary color of the sweet potato fries,yellow,orange,0.2
892b050aed75a1b,What type of food is shown in the image,fries,french fries,1.0
892b050aed75a1b,What is the appearance of the edges of some fries,charred,burnt and black,0.9
892b050aed75a1b,Where are the fries arranged on the plate,in the center,middle of the plate,0.6
892b050aed75a1b,What color is the napkin under the plate,blue,blue,1.0
07cf1edcce84e68,What is the base color of the fudge,white,white,1.0
07cf1edcce84e68,What type of food is shown in the image,fudge,fudge,1.0
07cf1edcce84e68,What color are the cranberries in the fudge,red,red,1.0
07cf1edcce84e68,What type of nuts are in the fudge,walnuts,macadamia nuts,0.5
bf0ab2726eb40b3,What color is the fudge,brown,brown,1.0
bf0ab2726eb40b3,What type of dessert is shown,fudge,peanut butter fudge,0.7
bf0ab2726eb40b3,Where is the fudge located in the image,on the left,center of the image,0.2
bf0ab2726eb40b3,What does the surface of the fudge have,sheen,cracks and lines,0.2
34f562a43a24940,What color is the crust of the galette,golden-brown,golden brown,1.0
34f562a43a24940,What color are the cherry tomatoes,red,red and orange,0.7
34f562a43a24940,Where are the basil leaves located on the galette,atop the galette,center of the galette,0.4
34f562a43a24940,What color are the basil leaves,green,green,1.0
599a7d7530ff76b,What color is the surface of the Galette des Rois,golden-brown,golden brown,1.0
599a7d7530ff76b,What type of food is the Galette des Rois,pastry,puff pastry dessert,0.9
599a7d7530ff76b,What color is the powdered sugar on the Galette des Rois,white,white,1.0
599a7d7530ff76b,How is the powdered sugar distributed on the Galette des Rois,sprinkled,unevenly and sparsely,0.3
5b46052cbc1ded8,What fruit is red and placed towards the top and center,strawberry,strawberries,1.0
5b46052cbc1ded8,What color is the crust of the galette,golden-brown,golden brown,1.0
5b46052cbc1ded8,What fruit is dark blue and nestled among the strawberry slices,blueberries,blueberries,1.0
5b46052cbc1ded8,Where are the strawberry slices placed,towards the top,on top of blueberries,0.2
fb707f2c874780c,What is the color of the outer layers of the garlic,tan,white and yellow,0.1
fb707f2c874780c,What is the main ingredient in the image,garlic,garlic,1.0
fb707f2c874780c,What is the color of the exposed cloves of garlic,yellow,yellow and white,0.7
fb707f2c874780c,What is the color of the foil surrounding the garlic,silver,silver,1.0
014f5ece7199f30,What color is the lemon-lime soda gelatin salad,green,green,1.0
014f5ece7199f30,What type of dish is the lemon-lime soda gelatin salad,dessert,jello salad,0.3
014f5ece7199f30,What is the texture of the lemon-lime soda gelatin salad like,gelatin,custard-like consistency,0.6
014f5ece7199f30,What is the overall impression of the lemon-lime soda gelatin salad,creamy,moldy and unappetizing,0.2
3920c6be53a6f6c,What color is the chicken,golden-brown,brown,0.7
3920c6be53a6f6c,What is the chicken served in,bowl,a white bowl,0.9
3920c6be53a6f6c,How is the chicken arranged,sliced,on top of rice,0.2
3920c6be53a6f6c,What color are the garnishes on the chicken,green,green and white,0.7
3920c6be53a6f6c,Where is the chicken placed in relation to the rice,on top of,on top of rice,0.9
a3729bd13d1a3ce,"What ingredient adds a warm, spicy flavor to the dish",ginger,red pepper,0.2
a3729bd13d1a3ce,What is the main protein in the dish,chicken,chicken,1.0
a3729bd13d1a3ce,What color is the plate,white,the plate is white,0.9
a3729bd13d1a3ce,Where is the stir-fry placed,on a plate,on a white plate,0.9
a3729bd13d1a3ce,What color are the bell pepper slices primarily located on the left side of the plate,red,red and yellow,0.7
00e593048406ff1,What is the color of the ginger syrup,translucent,light yellow,0.2
00e593048406ff1,What is the syrup contained in,jar,mason jar,0.9
00e593048406ff1,What color is the ginger syrup,amber,light yellow,0.6
00e593048406ff1,Where is the jar positioned in the image,in the center,center of the image,0.7
fea12437470c358,What color is the crust of the treats,yellow,yellowish tan,0.8
fea12437470c358,What type of treats are shown in the image,gingerbread,pretzels,0.2
fea12437470c358,What is on top of the gingerbread treats,chocolate,powdered sugar on top,0.2
fea12437470c358,What color is the plate,beige,brown and white,0.3
e54f96ac6dd17b3,What color is the gingerbread house,brown,brown,1.0
e54f96ac6dd17b3,Is the gingerbread house shaped like a house,yes,yes,1.0
e54f96ac6dd17b3,What color is the icing on the roof,white,white,1.0
e54f96ac6dd17b3,What shape is formed by the light blue and pink candies,flower,circle,0.1
a39e3415ded2a21,What color are the dots on the tan gingerbread figure in the left center,green,red and green,0.5
a39e3415ded2a21,Where is the dark brown gingerbread man with green icing located,on top,top left,0.6
59f3fdd700719ff,What type of cookies are on the plate,gingerbread cookies,chocolate chip cookies,0.3
59f3fdd700719ff,What color are the gingerbread cookies,brown,brown,1.0
59f3fdd700719ff,Where is the glass situated,on a plate,on a white plate,0.9
40731821312df84,What is the color of the vanilla glaze,beige,white,0.2
40731821312df84,What type of baked goods are shown in the image,cookies,cookies with frosting,0.9
40731821312df84,How are the cookies arranged,stacked,stacked on a plate,0.7
40731821312df84,Where is the glaze spread on the cookies,on top of,on top of cookies,0.9
e2f346240095e65,What color is the bowl the soup is served in,white,white,1.0
e2f346240095e65,What color is the soup base,yellow,yellow,1.0
e2f346240095e65,What meat is scattered throughout the soup,bacon,bacon bits,0.9
e2f346240095e65,Where are the chopped green onions placed,on top,on top of the soup,0.7
bb9b1c1288afbc7,What type of pasta is pale yellow and scattered on the plate,gnocchi,gnocchi,1.0
bb9b1c1288afbc7,What seafood is distributed around the center and left side of the plate,shrimp,shrimp,1.0
bb9b1c1288afbc7,What color are the asparagus spears,green,green,1.0
f72def05a510d0d,What color is the chicken sausage,brownish-red,brown and yellow,0.4
f72def05a510d0d,What type of dumplings are in the dish,gnocchi,banana,0.0
f72def05a510d0d,What color are the broccoli florets,green,green and brown,0.7
f72def05a510d0d,Where are the food items located,on a plate,on a plate,1.0
0596db289a95c00,What color is the rotini pasta,yellow,yellow,1.0
0596db289a95c00,What type of food is the rotini,pasta,pasta dish,0.9
0596db289a95c00,What color is the tomato-based sauce,red,red,1.0
0596db289a95c00,Where is the sprig of parsley placed,on top of,on top of the food,1.0
0596db289a95c00,What color is the sprig of parsley,green,green,1.0
24e93d74ec63682,What color is the macaroni in the Goulash Supreme,orange-brown,white,0.1
24e93d74ec63682,What type of pasta is used in the Goulash Supreme,macaroni,ravioli,0.3
24e93d74ec63682,How are the macaroni pieces arranged in the bowl,scattered,clumped together,0.0
24e93d74ec63682,What color are the diced tomatoes in the Goulash Supreme,red,red,1.0
24e93d74ec63682,Where is the green sprig of parsley located,at the top,top right of bowl,0.3
4fe57bd9df72e3f,How is the ground beef arranged in the bowl,scattered,on top of the vegetables,0.1
4fe57bd9df72e3f,What type of meat is used in the dish,beef,ground beef,0.9
4fe57bd9df72e3f,What color are the potatoes,yellow,yellow,1.0
4fe57bd9df72e3f,What color are the carrots,orange,orange,1.0
ba01bc8f6481ce0,What color are the specks of lemon zest in the granita,yellow,yellow,1.0
ba01bc8f6481ce0,What fruit is used to flavor the granita,lemon,lemon,1.0
ba01bc8f6481ce0,What material is the granita served in,glass,glass,1.0
e26db2540b79be7,What fruit is used to make the granita,watermelon,watermelon,1.0
e26db2540b79be7,What is placed on top of the granita,mint,a mint leaf,0.7
56f2be6ebb5a498,What color is the granola,brown,brown with red berries,0.7
56f2be6ebb5a498,What type of food is shown in the image,granola,granola,1.0
56f2be6ebb5a498,What color are the cranberries in the granola,red,red,1.0
1de8bda867af12d,What is the primary color of the granola,brown,brown,1.0
1de8bda867af12d,What type of food is being described,granola,granola with dried fruit,0.9
1de8bda867af12d,What color are the cranberries in the granola,red,red,1.0
1de8bda867af12d,How are the coconut flakes distributed in the granola,scattered,coconut flakes are mixed in,0.2
1de8bda867af12d,Where are the almonds located in the granola,in the mixture,on top of granola,0.2
c8325a55672f711,What is the color of the creamy sauce,yellow,yellow,1.0
c8325a55672f711,What is the main ingredient in the dish,potatoes,potato,0.9
c8325a55672f711,What color are the potato slices,yellow,light yellow,0.9
c8325a55672f711,Where are the potatoes placed,in a baking dish,on top of the casserole,0.5
6469a613547241c,What color is the dish,yellow,blue,0.0
6469a613547241c,What type of container holds the scallops,dish,blue ceramic bowl,0.3
6469a613547241c,What color are the scallops,white,white with black specks,0.7
6469a613547241c,What is the color of the sauce surrounding the scallops,yellow,yellow,1.0
6469a613547241c,Where is the dish positioned in the frame,in the lower center,center of the frame,0.7
8659c8bf322c959,What is the size of the ham pieces,diced,small cubes,0.7
8659c8bf322c959,What type of seafood is in the bowl,shrimp,shrimp,1.0
f8f3ab847fbd98e,What color are the carrot pieces,orange,orange,1.0
f8f3ab847fbd98e,What is the main liquid in the pot,broth,broth or stock,0.9
f8f3ab847fbd98e,Where are the carrots and celery positioned,on the left,in the pot with meat,0.2
37efc4acb95a4cc,What is the food served in,bowl,bowl,1.0
37efc4acb95a4cc,What color is the lemon wedge,lemon,yellow,0.5
37efc4acb95a4cc,What color is the lemon wedge,yellow,yellow,1.0
37efc4acb95a4cc,Where is the lemon wedge placed in the bowl,on the left side,upper left of bowl,0.5
768d83ac0f75f2c,How are the chicken pieces arranged in the dish,scattered,on top of rice,0.2
768d83ac0f75f2c,What color is the sauce in the gumbo,brown,brown,1.0
768d83ac0f75f2c,What type of meat is included in the gumbo besides sausage,chicken,chicken and pork,0.6
768d83ac0f75f2c,What type of meat is included in the gumbo besides chicken,sausage,sausage and pork,0.7
57fcd575d52b6f1,What color is the pita bread,beige,brown and tan,0.5
57fcd575d52b6f1,What type of food is shown in the image,gyros,pita sandwich,0.6
57fcd575d52b6f1,What color is the gyro meat,brown,brown,1.0
57fcd575d52b6f1,Where are the gyros mostly arranged in the image,on the left side,center of the image,0.2
57fcd575d52b6f1,What color are the lettuce leaves,green,green,1.0
501fae196787866,What is the texture of the panko crust,crispy,crispy and crunchy,0.9
501fae196787866,What type of fish is shown in the image,halibut,cod,0.6
501fae196787866,What color is the halibut,white,light brown,0.2
501fae196787866,What color are the beans,green,green,1.0
501fae196787866,Where is the crispy panko crust located,on top,on top of fish,0.6
ef1a71508ed5873,What color is the crust of the halibut,beige,golden brown,0.6
ef1a71508ed5873,What type of fish is being served,halibut,baked cod fillet,0.2
ef1a71508ed5873,What color is the broccoli,green,green,1.0
ef1a71508ed5873,What is the broccoli located on,on the right,plate on table,0.2
8a148819c0cb4f0,What color are the halloumi pieces after frying,golden-brown,golden brown,1.0
8a148819c0cb4f0,What type of cheese is being fried,halloumi,halloumi cheese,1.0
8a148819c0cb4f0,What color is the plate,gray,gray,1.0
8a148819c0cb4f0,Where is the lemon slice positioned on the plate,on the left,upper left side,0.7
8a148819c0cb4f0,What color is the lemon slice,yellow,yellow,1.0
d0a17cef7c0faf3,What fruit is visible on the surface of the ham,apricot,none,0.0
d0a17cef7c0faf3,What color is the exterior of the ham,reddish-brown,brown and red,0.7
d0a17cef7c0faf3,What is next to the ham in the upper right quadrant of the plate,bowl,brown sauce in a bowl,0.5
d0a17cef7c0faf3,Where is the bowl of brown sugar sauce located,in the upper right,upper right corner,0.9
5d818c429496351,What color is the ham,pink,pinkish brown,0.7
5d818c429496351,What type of meat is shown in the image,ham,ham,1.0
cc1e04c85b3b6fb,What color is the ham inside the sandwich,pink,pink,1.0
cc1e04c85b3b6fb,What is the main food item in the image,sandwich,pastrami sandwich,0.9
cc1e04c85b3b6fb,What color are the pickle slices,green,green,1.0
cc1e04c85b3b6fb,Where are the food items placed,on a plate,on a white plate,0.9
cc1e04c85b3b6fb,What color are the edges of the pickle slices,green,brown edges,0.2
1c1452434772ef5,What is the primary color of the ham slices,pink,pink,1.0
1c1452434772ef5,What type of meat is shown in the image,ham,ham,1.0
1c1452434772ef5,What is the appearance of the edges of some ham slices,caramelized,burnt and blackened,0.6
1c1452434772ef5,Where are the ham slices layered,layered on,on top of salad,0.4
1c1452434772ef5,What is the ham layered on top of,lettuce,lettuce and tomatoes,0.7
b397bd5d4937bfb,What is the main vegetable in the hash,potato,sweet potatoes,0.7
b397bd5d4937bfb,What color are the cubed sweet potatoes,orange,orange,1.0
b397bd5d4937bfb,Where are the sprigs of dill located,throughout,on top of the egg,0.1
b397bd5d4937bfb,What color is the yolk of the fried egg,yellow,yellow,1.0
8ba0dca8f0c3725,What color is the Texas Hash,brownish,yellow and brown,0.5
8ba0dca8f0c3725,What is the food served on,plate,white plate,0.9
8ba0dca8f0c3725,What color is the melted cheese,yellow,yellow,1.0
8ba0dca8f0c3725,Where are the scallions placed,sprinkled on top,on top of the food,0.5
8ba0dca8f0c3725,What color is the plate,white,white,1.0
7e60dd9c05f81e5,What color are the sweet potato cubes,orange,orange,1.0
7e60dd9c05f81e5,What type of vegetable is used in the hash,potato,potato,1.0
7e60dd9c05f81e5,How is the egg prepared,fried,fried over easy,0.7
7e60dd9c05f81e5,Where is the fried egg placed,on top of,on top of the food,1.0
7e60dd9c05f81e5,What is the red-colored item in front of the potatoes,bacon,bacon,1.0
bae167eccbe36fa,What food item is shown in the image,hash browns,pancakes,0.1
bae167eccbe36fa,What color is the top of the top left hash brown,golden-brown,brown,0.7
bae167eccbe36fa,Are the hash browns touching each other,yes,yes they are touching,0.5
bae167eccbe36fa,Where are the hash browns placed,on a plate,on a plate,1.0
9b5b05482f16491,What color are the hash browns,golden-brown,golden brown,1.0
9b5b05482f16491,What are the hash browns served on,plate,brown bowl,0.2
9b5b05482f16491,What color is the rim of the plate,orange,orange,1.0
9b5b05482f16491,What is sprinkled on the white creamy sauce,chives,chopped green onions,0.7
71f29ccc1bb79d2,What color are the chicken hearts and mushrooms,brown,brown,1.0
71f29ccc1bb79d2,What type of meat is visible in the image,chicken,beef,0.0
71f29ccc1bb79d2,What color are the round objects in the upper right corner,yellow,yellow,1.0
71f29ccc1bb79d2,"Where are the pale yellow, round objects located in the image",in the upper right,upper right side,0.9
6af6a4433e4a0c7,What color is the top of the Cornish Game Hen,golden-brown,brown,0.7
6af6a4433e4a0c7,What type of bird is shown in the image,hen,roasted chicken,0.3
6af6a4433e4a0c7,What color are the darker grains in the rice stuffing,brown,brown and black,0.7
6af6a4433e4a0c7,Where is the Cornish Game Hen positioned in the image,at the top left,top left of plate,0.7
4e8597ee35c2dfd,What type of food is in the bowl,salad,salad,1.0
4e8597ee35c2dfd,What colors are present in the salad dressing,green-white,green and white,0.9
4e8597ee35c2dfd,Where is the dressing drizzled,over the salad leaves,on top of the salad,0.7
4e8597ee35c2dfd,What vegetable pieces are in the salad,tomatoes,tomatoes and lettuce,0.7
00bf2bb6e5a159a,What type of beans are clustered on top of the hummus,edamame,edamame beans,1.0
00bf2bb6e5a159a,What is the base of the dish made of,hummus,avocado,0.2
