Image,Image description,Keywords,Questions
be629975b352453,"The refried bean and cheese enchiladas are arranged in a white rectangular baking dish. The enchiladas themselves have a light orange-tan color, and are covered with melted, stringy cheese which is a lighter, yellowish-orange. The enchiladas are sprinkled with small pieces of green parsley. On the left side of the dish, a portion of the enchiladas is missing, revealing some of the reddish-orange sauce underneath. The enchiladas fill the majority of the dish, occupying the central and left portions of the frame.","arranged, white, cheese, orange, revealing, on the left","How are the enchiladas arranged in the dish?, What color is the baking dish?, What is the main ingredient covering the enchiladas?, What color are the enchiladas themselves?, What is revealed under the missing portion of enchiladas?, Where is the portion of the enchiladas missing?"
1dc59366a062f39,"The green sauce enchiladas are arranged on a white plate. The enchiladas themselves have a light yellowish-white color, covered in a translucent green sauce. The sauce has a slight sheen, indicating moisture. Shredded cheese is visible beneath the sauce in some areas, appearing white and slightly melted. A dollop of bright white sour cream sits atop the enchiladas, centrally located. Sliced jalapenos, bright green in color, are positioned on and around the sour cream. Fresh cilantro leaves, also green, are scattered around the sour cream and jalapenos, adding a vibrant touch of color.","arranged, green, enchiladas, white, on the plate, shredded","How are the enchiladas positioned on the plate?, What color is the sauce on the enchiladas?, What type of dish is being described?, What color is the plate?, Where are the enchiladas placed?, What is the appearance of the cheese on the enchiladas?"
b326e7fa6ada55a,"The Tex-Mex enchiladas are arranged on a white plate. The enchiladas are covered in a thick, reddish-brown sauce. The sauce appears glossy, with hints of melted, yellow cheese visible throughout. The cheese is mainly visible within the crevices of the enchiladas. The enchiladas are located centrally on the plate, with the sauce pooling slightly around them.","arranged, white, enchiladas, reddish-brown, melted, on a plate","How are the enchiladas presented on the plate?, What color is the plate?, What type of food is shown on the plate?, What color is the sauce covering the enchiladas?, What is the state of the cheese on the enchiladas?, Where are the enchiladas located?"
00e150893e99bbe,"The image shows Grandma Kay's Chicken Enchiladas. The enchiladas are located in a clear glass baking dish. The enchiladas themselves are wrapped in a white tortilla, and are covered in a creamy, light yellow sauce. Scattered throughout the sauce are small pieces of melted cheese that are a slightly darker yellow. There are small black specks sprinkled across the top of the enchiladas. The enchiladas take up the majority of the image, filling the baking dish.","shows, yellow, enchiladas, white, melted, across the top","What does the image show?, What color is the sauce on the enchiladas?, What type of dish is shown in the image?, What color are the tortillas?, What is the state of the cheese on the enchiladas?, Where are the black specks located?"
3067dc701766303,"The One-Pot Chicken Enchilada Mac and Cheese dish fills the frame. The macaroni pasta, primarily a pale yellow, is distributed throughout. A creamy, white sauce covers the pasta, with some areas having a browned, slightly darker hue due to baking. Small, irregularly shaped pieces of bacon, in various shades of brown and reddish-brown, are scattered across the top. Green specks of herbs are also sprinkled on top, adding small pops of green color. The dish sits in a silver pan.","fills, yellow, pasta, creamy, bacon, on top","What does the dish do to the frame?, What is the primary color of the macaroni pasta?, What type of sauce covers the pasta?, What type of meat is scattered across the top?, Where are the pieces of bacon located?"
d0639f11391f731,"The QOB Veggie Enchiladas are positioned in a white rectangular baking dish on top of a wooden board.  The enchiladas are layered, with visible cross-sections showing a filling of bright green broccoli florets, interspersed with diced red peppers and other vegetables. The outer layers of the enchiladas are a light tan color, and are covered with a dark brown sauce and scattered with shredded yellow cheese. Fresh green cilantro leaves are sprinkled over the top as a garnish.  A portion of the enchiladas has been cut out, revealing the stacked layers.","positioned, white, enchiladas, green, with diced, brown","Where are the QOB Veggie Enchiladas positioned?, What color is the baking dish?, What type of dish is shown in the image?, What color are the broccoli florets in the enchiladas?, What is sprinkled over the top of the enchiladas?, What color is the sauce covering the enchiladas?"
1e647d3963597bb,The honey-lime enchiladas are golden brown with melted yellow cheese on top. They are in a white square baking dish located at the top right of the image. The enchiladas appear to be arranged in rows within the dish.,"enchiladas, melted, white, brown, cheese, on top","What type of dish is shown in the image?, What is the state of the cheese on the enchiladas?, What color is the baking dish?, What color are the enchiladas?, What is on top of the enchiladas?, Where is the baking dish located in the image?"
d1de99721ebacb4,"The beef enchiladas have a light tan color, covered in melted yellow-orange cheese and homemade sauce. The sauce is red and is drizzled across the top of the enchiladas. A mound of bright green guacamole is centrally located on top of the enchiladas. Sliced green jalapeños are placed towards the front right and left sides. Black olives and diced red onions are scattered on top of the enchiladas and guacamole. Fresh green cilantro leaves are sprinkled throughout. The enchiladas are placed on a white rectangular plate.","have, tan, cheese, red, on top of, green","What color is the sauce on the enchiladas?, What color are the beef enchiladas?, What is melted on top of the enchiladas?, What color is the sauce?, Where is the guacamole located?, What color is the guacamole?"
ba34de60487d474,"The Easy Enchilada Sauce is a vibrant, reddish-orange color, filling the majority of the image. It appears to be in a pot or deep pan, with the edges of the pot visible at the top and right edges of the frame. Within the sauce, there are small specks of green and brown, likely herbs and spices. A wooden spoon is partially submerged in the sauce on the right side, with its dark brown handle angled diagonally. The sauce itself is fairly uniform in color and texture, suggesting it has been stirred or cooked evenly.","filling, reddish-orange, sauce, herbs, in the sauce, wooden","What is the sauce doing to the majority of the image?, What color is the sauce?, What is the reddish-orange liquid in the image?, What are the small specks of green and brown in the sauce?, Where are the herbs and spices located?, What material is the spoon made of?"
d2a6b11b8f0254b,"The apple enchilada desserts are golden-brown and arranged on a white decorative plate. The enchiladas are rolled and appear crispy on the outside. One enchilada is cut in half, revealing a filling of pale yellow apples. The apple filling has a glossy appearance. The exterior of the enchiladas are dusted with a light brown cinnamon-sugar mixture. A drizzle of caramel-colored sauce is visible on the plate near the enchiladas. Some small crumbs of the cinnamon-sugar mixture are scattered on the plate. The enchiladas are primarily in the center and lower portion of the image.","arranged, golden-brown, enchiladas, white, of pale yellow apples, on the plate","How are the enchiladas presented on the plate?, What color are the enchiladas?, What type of dessert is shown in the image?, What color is the plate?, What color are the apples inside the enchiladas?, Where are the enchiladas placed?"
5c89583c7d79eac,"The Vegan Enchilada Bake appears in a white rectangular baking dish, taking up the majority of the frame. The base of the bake is a darker brown color, visible around the edges. A layer of melted, shredded vegan cheese, with a yellow-orange hue, covers the majority of the dish. Slices of pale green avocado are arranged in two clusters in the middle of the bake and the left center. Dark brown, sliced olives are scattered across the bake. Chopped green herbs are sparsely sprinkled over the entire surface, adding small green accents throughout.","Bake, white, melted, covering, green, across the bake","What is the dish used to cook the Vegan Enchilada Bake?, What color is the baking dish?, What has happened to the vegan cheese on top of the bake?, What is the vegan cheese doing to the bake?, What color are the avocado slices?, Where are the sliced olives placed on the bake?"
4f3aeccf1bb548a,"The venison fajitas feature strips of brownish venison intermingled with colorful bell peppers. Red bell pepper slices are scattered throughout, some with a bright, vibrant red hue. Yellow bell pepper pieces are also present, displaying a lighter, yellowish color, with some parts appearing translucent. Green bell peppers are visible as well, providing a contrast to the red and yellow. The venison strips are spread throughout the dish, overlapping with the bell peppers. The metal tongs are positioned on the right side, obscuring some of the fajitas beneath.","feature, brownish, venison, red, with colorful, tongs on the right","What is the main feature of the dish?, What color are the venison strips?, What type of meat is used in the dish?, What color are some of the bell pepper slices?, What is the appearance of the bell peppers?, Where are the tongs positioned?"
3eacd1eb2a4bf09,"The Barbeque Pork Fajitas feature sliced barbeque pork which has a brownish color, located centrally, mixed with red, green and purple sliced bell peppers. The bell peppers are located on the side and in between the sliced barbeque pork. The fajitas are wrapped with a white tortilla on the top and bottom. A dark-red barbeque sauce is drizzled on top of the pork and peppers. Three green lime wedges are located on the top left, leaning on the tortilla.","sliced, brownish, pork, red, on top of, leaning","What is the state of the barbeque pork in the fajitas?, What color is the barbeque pork in the fajitas?, What type of meat is used in the fajitas?, What color are the bell peppers in the fajitas?, Where are the bell peppers located in relation to the pork?, What is the position of the lime wedges in the image?"
07b551b82072640,"The air fryer chicken fajitas consist of chicken strips, red bell peppers, and white onions, all arranged in an air fryer basket. The chicken strips are light brown with darker brown grilled marks. Some are topped with green herbs and spices. The red bell peppers are bright red and appear slightly caramelized and soft. They are cut into strips and scattered throughout the food. The white onions are translucent and pale yellow and are also cut into strips and mixed with the other ingredients. The ingredients are layered and piled up in the center of the basket.","arranged, red, chicken, brown, in the basket, onions","How are the ingredients placed in the basket?, What color are the bell peppers?, What type of meat is used in the dish?, What color are the grilled marks on the chicken?, Where are the ingredients placed?, What type of vegetable is mixed with the chicken and peppers?"
ec8d556e427215f,"The Oven-Baked Chicken Fajitas are presented on a plate. Two flour tortillas, off-white, stand upright, filled with ingredients. Inside the tortillas, there are pieces of chicken, golden-brown, mixed with strips of red and green bell peppers, and translucent yellow onions. Shredded yellow cheese is visible at the top right of the rightmost tortilla. To the lower left of the tortillas, there is a dollop of white sour cream. Next to the sour cream, a pile of guacamole, green with darker green specks, is visible. Lime wedges, green, are present at the top of the plate. Fresh green cilantro is arranged to the right of the rightmost tortilla.","baked, golden-brown, chicken, yellow, with, on a plate","How were the chicken fajitas cooked?, What color is the chicken?, What type of meat is used in the fajitas?, What color is the shredded cheese?, Where are the tortillas placed?, Where is the sour cream located?"
8c23bbfc2929157,"The image features Swanny's Killer Fajitas, consisting of chicken, red and yellow bell peppers, and onions. The chicken pieces are beige, slightly browned in places, and are distributed throughout the image, mingling with the other ingredients. Slices of bright red bell peppers are primarily located at the top-left and right, adding vibrant color. Yellow bell pepper slices are scattered between the chicken and red peppers, adding contrast. Translucent white onion slices are interspersed among the other ingredients, appearing more prominently in the middle and lower sections of the dish, adding texture and visual variety.","featuring, chicken, red, yellow, browned, throughout the image","What is the dish in the image featuring?, What type of meat is included in the dish?, What color are the bell peppers at the top-left and right?, What color are the bell pepper slices scattered between the chicken and red peppers?, How does the chicken appear in the image?, Where are the chicken pieces distributed in the image?"
bbfd764709c2fc5,"On the left side of the image, there are two circular tortillas, light tan in color with darker tan spots.  On a blue plate, sliced grilled chicken fajitas are arranged on the bottom half, featuring a golden brown color with darker grill marks. Above the chicken, slightly to the left, there are bright green cilantro leaves.  Lime wedges, green in color, sit to the left of the cilantro. Above the cilantro and to the right are red and yellow grilled bell peppers. The red peppers are a deep red color, while the yellow peppers are a bright yellow.","grilled, golden, chicken, blue, green, on the left","How is the chicken cooked?, What color are the grill marks on the chicken?, What type of meat is featured in the dish?, What color is the plate under the chicken?, What color are the cilantro leaves?, Where are the lime wedges located?"
4540be4f1b7483a,"The Sheet Pan Chicken Fajitas image displays several food items. At the top left of the image, there is some dark green cilantro. Below that, there's a yellow bowl filled with pico de gallo, composed of red, white, and green diced ingredients. Adjacent to the bowl is a stack of tortilla wraps, appearing mostly light tan with scattered dark brown spots. The main dish is arranged on a large, bronze-colored sheet pan lined with foil. The fajita mix contains beige pieces of cooked chicken, translucent white onion wedges, and strips of red, yellow, and orange bell peppers. To the bottom right are lime wedges, exhibiting green exteriors and a lighter green interior.","displays, green, cilantro, yellow, chicken, on a sheet pan","What does the image display?, What color is the cilantro?, What herb is shown at the top left of the image?, What color is the bowl filled with pico de gallo?, What type of meat is included in the fajita mix?, Where is the fajita mix arranged?"
dbdd1a45e11f272,"The chicken fajita bake is presented on a white square plate with black floral designs around the edges. The chicken pieces, which are coated in a melted orange-yellow cheese, are primarily a reddish-orange color, with some pieces appearing more browned. The beans, a light reddish-brown, are mixed in with the chicken. A cluster of bright green cilantro leaves sits on top of the bake, centrally located. Thinly sliced green onions are scattered around the edges of the food.","bake, melted, chicken, white, reddish-orange, on top of","What cooking method was used to prepare the chicken fajita dish?, What is the state of the cheese on the chicken pieces?, What type of meat is used in the dish?, What color is the plate the dish is served on?, What color are the chicken pieces primarily?, Where is the cluster of cilantro leaves located?"
de4e22d616c136f,"The Pollo Fajitas is inside a white tortilla wrap. The chicken is orange and located in the upper left and right side of the wrap. There are sliced yellow onions mixed with the chicken. The sliced red and orange bell peppers are mainly located in the middle of the wrap, partially covering the chicken and onions.","Pollo Fajitas, white, orange, covering, chicken, in the middle","What is the name of the dish inside the white tortilla wrap?, What color is the tortilla wrap?, What color is the chicken?, What is partially covering the chicken and onions?, What type of meat is used in the Pollo Fajitas?, Where are the sliced red and orange bell peppers mainly located?"
f723dd68c167fd3,"The fajita lettuce cups are centrally located in the image. The lettuce cup is made of large, light green lettuce leaves that curl outwards. Inside the lettuce cup is a filling of brown meat, orange bell peppers, and white onions. A dollop of white sour cream is on top of the filling. Sprigs of green cilantro are scattered throughout. The lettuce cup sits on a white rectangular plate. The plate is on a light brown wooden board. A blue and white checkered cloth is to the right of the plate and board.","located, green, lettuce, brown, on top of, checkered","Where are the fajita lettuce cups located in the image?, What color is the lettuce used for the cups?, What is the main ingredient of the lettuce cups?, What color is the meat inside the lettuce cups?, Where is the sour cream placed in the lettuce cups?, What pattern is visible on the cloth to the right of the plate?"
be533ae9b5f36d8,"Two beef fajitas sit side-by-side on a plate. The tortillas are a light tan color. The beef is a brownish-red, and is located towards the center of each fajita. Diced tomatoes, red and juicy, are scattered throughout. White diced onions are also dispersed over the fajitas. Shredded cheddar cheese, yellow-orange, is sprinkled on top of the ingredients. Slices of green avocado are placed on each, with varying amounts. Fresh green cilantro leaves are garnished on each of the fajitas. A bright red pepper is visible on the left fajita.","sit, beef, red, diced, green, on top of","Where do the beef fajitas sit?, What is the color of the beef?, What color are the diced tomatoes?, What is the color of the avocado slices?, Where are the diced onions located?, Where is the shredded cheddar cheese placed?"
5466136e2c0ad7d,"The image shows two homemade chicken fajitas. The tortillas are a light tan color and are folded in half. The chicken is brown and is located in the bottom center of each tortilla. There are green, red and yellow bell peppers. Guacamole is green and sits atop the fajita filling. White sour cream or yogurt is also atop the fillings. There are white onions with golden edges in the right side fajita. Diced tomatoes are red. Fresh cilantro are small green leaves scattered on the fillings.","homemade, folded, chicken, green, atop the fajita filling, tomatoes","Are the fajitas homemade?, How are the tortillas folded?, What type of meat is used in the fajitas?, What color are the bell peppers?, Where is the guacamole located?, What color are the diced tomatoes?"
8cdb27974d97ff0,"The Heinz Classic Family Fajitas feature a large burrito, primarily light tan, laying horizontally across the plate, with its open end towards the viewer, revealing the filling. The filling is a mix of ingredients: ground meat is brown, interspersed with yellow and red bell peppers, and topped with bright green lettuce. To the left of the burrito is a dollop of guacamole, which is a vibrant green color. The second burrito appears to be cut in half and stacked right side up below the main burrito, also revealing the fajita filling, with the same color scheme as the first burrito. All these are set on a plate that has a gray-green tone, with blurred edges, and the lettuce extends beyond the edges of the burrito.","revealing, tan, burrito, green, with yellow, plate","What is the burrito revealing?, What color is the burrito primarily?, What type of food is the main item on the plate?, What color is the lettuce on the burrito?, What color are the bell peppers in the burrito?, What is the burrito placed on?"
04bc6b3e8a8aea0,"The sheet pan contains Mahi Mahi fajitas. The Mahi Mahi pieces are golden-brown and are placed throughout the center of the pan. Sliced red bell peppers are bright red and are scattered throughout the pan, primarily towards the bottom and sides. Yellow bell pepper slices have a golden-yellow color, mixed amongst the red peppers and onions. The sliced onions are translucent white to light brown and are mixed in with the peppers and underneath the fish, making up the base of the fajitas. All these items are spread across a white baking sheet.","contains, golden-brown, Mahi Mahi, red, throughout the center, white","What does the sheet pan contain?, What color are the Mahi Mahi pieces?, What type of fish is used in the fajitas?, What color are the sliced red bell peppers?, Where are the Mahi Mahi pieces placed?, What color are the sliced onions?"
c85139f9d51d512,"The steak fajitas are presented on a white plate. At the top-left of the plate is a pile of brown refried beans, topped with green cilantro. A green wedge of lime is to the right of the beans. Two steak fajitas are located in the lower-right quadrant of the plate. The fajitas consist of light yellow tortillas filled with strips of brown steak, sautéed orange, red, and green bell peppers, white onions, and shredded white and yellow cheese. The fajitas are garnished with fresh green cilantro.","presented, white, steak, green, on a plate, refried","How are the steak fajitas presented?, What color is the plate?, What type of meat is used in the fajitas?, What color is the cilantro?, Where are the steak fajitas located?, What type of beans are on the plate?"
3fd59bae30c5c14,"The fajita chicken and rice skillet contains rice that is yellowish-tan and is the base of the dish, filling the skillet. Slices of red bell peppers are scattered throughout the rice, their color a vibrant red. Green bell pepper slices are also mixed in, adding touches of green. Pieces of chicken, colored a light tan, are distributed within the rice and peppers. The entire skillet is in the front-center of the image, sitting atop a blue and white striped cloth.","contains, yellowish-tan, rice, red, scattered, on top of","What does the fajita chicken and rice skillet contain?, What color is the rice in the skillet?, What is the base of the dish made of?, What color are the bell pepper slices scattered throughout the rice?, Where are the red bell pepper slices scattered?, Where are the green bell pepper slices located?"
345dea49d8d9dbe,"The creamy chicken fajita pasta is a mix of colors. The penne pasta is coated in a creamy, light brown sauce and is distributed throughout the bowl. Strips of red bell peppers are scattered throughout, with some pieces prominently on top near the center and others mixed in. Similarly, green bell peppers are interspersed within the dish. Sprigs of fresh green cilantro are sprinkled as a garnish, mainly towards the center and upper portions of the dish. Chicken pieces, coated in the same sauce as the pasta, are also mixed throughout the bowl.","creamy, chicken, mixed, red, green, throughout the bowl","What is the texture of the sauce in the dish?, What type of meat is included in the pasta?, How are the red and green bell peppers arranged in the dish?, What color are the bell pepper strips scattered throughout the dish?, What color are the bell pepper pieces mixed into the dish?, Where are the chicken pieces located in the bowl?"
706203205f79559,"Mama's Fab-u-lous Fajitas are served on a light green plate. The sliced steak is mostly in the center of the plate, with a brownish-red color and some green seasoning. Red bell pepper slices are mixed in, with their vibrant red color standing out among the other ingredients, and some are on the top half of the plate, and also throughout the fajitas. Green bell pepper slices also appear throughout the fajitas with their green color contrasting with the steak and red peppers. Sliced onions, light yellow in color, are scattered around, especially near the top and center, adding another layer to the fajitas.","served, green, steak, brownish-red, on the plate, vibrant","What color is the plate the fajitas are served on?, What color are the green bell pepper slices?, What is the main protein in the fajitas?, What color is the sliced steak?, Where are the fajitas placed?, What color are the red bell pepper slices?"
24883eb3ae422e6,"The Cast Iron Chicken Fajitas are presented in a black cast iron skillet. The chicken pieces are a mix of golden-brown and dark brown colors, scattered throughout the skillet. Red bell pepper slices are interspersed, showing a vibrant red-orange hue. Green bell pepper slices are also present, displaying a bright green color, and are distributed evenly. Thin, translucent onion slices with a light golden color are mixed among the other ingredients, adding texture and contrast. The overall arrangement fills the skillet, creating a colorful and appetizing visual.","presented, appetizing, chicken, red, green, in a black cast iron skillet","How are the Cast Iron Chicken Fajitas presented?, Does the dish look appetizing?, What type of meat is used in the dish?, What color are the bell pepper slices that are red?, What color are the bell pepper slices that are green?, Where are the ingredients cooked?"
7a5e7b012af9da0,"The steak appears as browned, shredded pieces, nestled towards the upper-center within the fajita, slightly obscured by other ingredients. The onions are translucent white to light yellow, sliced into strips, and located mostly toward the lower-left of the filling. The peppers are long, green, and red strips, and they are distributed throughout the fajita filling, mixed among the steak and onions.","browned, shredded, steak, white, mixed among, green","What color is the steak?, What is the texture of the steak?, What type of meat is in the fajita?, What color are the onions?, Where are the peppers located in the fajita?, What color are the peppers?"
56ad671c222bff5,"Two vegan fajitas are placed on the lower right and lower left of the image, respectively. The fajita on the left contains black beans and yellow corn kernels. It is topped with light green avocado slices and drizzled with red sauce. The fajita on the right has visible green and red bell peppers. It also contains avocado slices and red sauce on top. In the upper left corner, there is a pile of brownish-orange quinoa.","placed, vegan, fajitas, yellow, red, on top","Where are the vegan fajitas placed?, Are the fajitas vegan?, What type of food is shown in the image?, What color are the corn kernels in the left fajita?, What color is the sauce drizzled on the fajitas?, What is on top of the fajitas?"
0fd4b82e0e33a45,"The veggie fajitas are presented on a light beige tortilla. Bright red sliced bell peppers are scattered throughout, with some pieces located towards the center-left and others on the right side. Sliced brown mushrooms are mixed with the red peppers, particularly towards the left. Green bell pepper slices are on the left and right as well. Shredded cheddar cheese, which is a bright orange-yellow, is sprinkled over the vegetables, concentrated mainly in the central area. A dollop of white sour cream sits atop the cheese and vegetables, slightly off-center to the right.","sliced, red, mushrooms, beige, sprinkled, on the right","What are the red bell peppers cut into?, What color are the bell peppers in the fajitas?, What type of vegetables are mixed with the red peppers?, What color is the tortilla used for the fajitas?, What is sprinkled over the vegetables in the fajitas?, Where are some of the red bell pepper slices located?"
6cc86b2a2082e1f,"The fajita seasoning is a brownish powder, filling a dark brown wooden bowl. The bowl sits centered in the image.","filling, brownish, bowl, dark brown, seasoning, in the image","What is the fajita seasoning filling?, What color is the fajita seasoning?, What is the fajita seasoning placed in?, What color is the bowl?, What is the brownish powder used for?, Where is the bowl located in the image?"
de0cb3e746ca441,"The Seitan Fajitas consist of seitan, peppers, and tortillas. The seitan pieces are tan to light brown and are located on the upper left of the plate. Red peppers are mixed with the seitan, adding bright red streaks throughout the fajita mixture. Green peppers are also present, with their green color contrasting against the other ingredients. Chopped green cilantro is sparsely scattered. Three tortillas, light tan with brown spots from grilling, are stacked on the right side of the plate. The fajita mixture is piled on top of the tortillas.","Seitan, red, green, adding, tortillas, on top of","What is the main protein in the fajitas?, What color are the peppers mixed with the seitan?, What color are the peppers that contrast with the other ingredients?, What is being done to the tortillas with the fajita mixture?, What is the base used to hold the fajita mixture?, Where is the fajita mixture placed in relation to the tortillas?"
08d7cce0f17e9a3,"The tempeh fajitas are arranged on a plate with a red rim. Each fajita consists of a pale white tortilla folded in half to create a pocket. Inside the tortillas are fillings of diced tempeh and green bell peppers, mixed with dark green herbs. The tempeh cubes have a light brown, slightly golden color, while the bell peppers are a vivid green. The herbs appear dark green and are interspersed throughout the tempeh and peppers. These ingredients are clustered within the tortillas, forming a substantial filling for each fajita.","arranged, red, tempeh, green, with a red rim, pale","How are the tempeh fajitas presented on the plate?, What color are the tempeh cubes?, What is the main protein in the fajitas?, What color are the bell peppers in the fajitas?, What color is the rim of the plate?, What color are the tortillas?"
1469eee2e776c2f,"The fajita vegetable stir-fry is centrally located in a black cast iron skillet. It is a mix of sliced peppers and onions. The peppers are predominantly red, green, and yellow, creating a colorful assortment. The onions appear translucent white and are scattered throughout the dish. The vegetables are shiny, indicating a light coating of oil. Seasoning, appearing as small dark specks, is evenly distributed. The stir-fry sits atop a tan cloth on a dark wooden surface. There are a few tortillas in the bottom right corner of the image.","stir-fry, black, sliced, peppers, white, on a dark wooden surface","What cooking method is used for the vegetables?, What color is the cast iron skillet?, How are the peppers prepared?, What type of vegetables are used in the stir-fry?, What color are the onions?, Where is the stir-fry placed?"
