Image,Question,Answer,predicted_answer
3fd383827ec0643,What color are the crab fritters,brown,golden-brown
3fd383827ec0643,How are the crab fritters arranged on the plate,clustered,piled
3fd383827ec0643,What is the food served on,plate,plate
3fd383827ec0643,What color are the lemon wedges,yellow,yellow
3fd383827ec0643,Where are the lemon wedges located,on the left,on the plate
8fb828778ec290d,What color is the larger fritter,golden-brown,white
8fb828778ec290d,What type of food is on the plate,fritter,enchiladas
8fb828778ec290d,How does the texture of the fritter appear around the edges,crispy,bubbly
8fb828778ec290d,What color is the plate,white,green
90566bb352454ee,What is the flavor of the frosting on the stack,chocolate,chocolate
90566bb352454ee,What is the arrangement of the chocolate-frosted items,stack,at the bottom
90566bb352454ee,What color is the chocolate frosting,brown,on top of
90566bb352454ee,Where is the stack of chocolate-frosted items placed,on a plate,on a white plate
a238a1570e7fe42,What is the shape of the frosting,swirled,clear
a238a1570e7fe42,What color is the frosting,pink,off-white
a238a1570e7fe42,What is the dessert in the image,cupcake,cake
a238a1570e7fe42,What fruit is in the frosting,cherry,raspberry
a238a1570e7fe42,Where is the frosting located,on top of,on top of
d5e6b885904e072,What are the containers holding the frosting,bowls,jars
0de51666d9bbd9c,What does the frosting evenly do to the cake,coats,covers
0de51666d9bbd9c,What is the dessert in the image,cake,cake
0de51666d9bbd9c,What color is the frosting,brown,off-white
0de51666d9bbd9c,Where is the cake placed,on the plate,on a white plate
97145150b1c3a0a,What color is the plate,blue,green
97145150b1c3a0a,What type of dish are shown in the image,fries,enchiladas
97145150b1c3a0a,What color is the melted cheese,orange,yellow
97145150b1c3a0a,Where is the melted cheese located,on top of,on top of
a88c7dd881219e4,What color are the French fries in the casserole,yellow,golden-yellow
a88c7dd881219e4,What type of dish is the food in the image,casserole,casserole
17b989adaf9150e,What color is the plate,white,green
17b989adaf9150e,What type of food is described as golden-brown,fries,pizza pockets
17b989adaf9150e,What color are some of the fillings,golden-brown,red
17b989adaf9150e,What color are some of the other fillings,orange,red
17b989adaf9150e,Where are the green spices sprinkled,on top of,on top
a9c7fa28ed37744,What is the primary color of the fries,yellow,yellow
a9c7fa28ed37744,What vegetable are the fries made from,potato,yam
a9c7fa28ed37744,What color is the skin on some of the fries,reddish-brown,reddish-pink
a9c7fa28ed37744,Where are the fries placed,on a plate,bowl
892b050aed75a1b,What is the primary color of the sweet potato fries,yellow,orange
892b050aed75a1b,What type of food is shown in the image,fries,fajitas
892b050aed75a1b,What is the appearance of the edges of some fries,charred,out of the bowl
892b050aed75a1b,Where are the fries arranged on the plate,in the center,towards the lower-right
892b050aed75a1b,What color is the napkin under the plate,blue,green
07cf1edcce84e68,What is the base color of the fudge,white,light
07cf1edcce84e68,What type of food is shown in the image,fudge,fajitas
07cf1edcce84e68,What color are the cranberries in the fudge,red,red
07cf1edcce84e68,What type of nuts are in the fudge,walnuts,fudge
bf0ab2726eb40b3,What color is the fudge,brown,brown
bf0ab2726eb40b3,What type of dessert is shown,fudge,flan
bf0ab2726eb40b3,Where is the fudge located in the image,on the left,on top of
bf0ab2726eb40b3,What does the surface of the fudge have,sheen,creamy
34f562a43a24940,What color is the crust of the galette,golden-brown,golden-brown
34f562a43a24940,What color are the cherry tomatoes,red,red
34f562a43a24940,Where are the basil leaves located on the galette,atop the galette,on top of
34f562a43a24940,What color are the basil leaves,green,green
599a7d7530ff76b,What color is the surface of the Galette des Rois,golden-brown,golden-brown
599a7d7530ff76b,What type of food is the Galette des Rois,pastry,golden-brown
599a7d7530ff76b,What color is the powdered sugar on the Galette des Rois,white,white
599a7d7530ff76b,How is the powdered sugar distributed on the Galette des Rois,sprinkled,white
5b46052cbc1ded8,What fruit is red and placed towards the top and center,strawberry,reddish-brown
5b46052cbc1ded8,What color is the crust of the galette,golden-brown,golden-brown
5b46052cbc1ded8,What fruit is dark blue and nestled among the strawberry slices,blueberries,blueberries
5b46052cbc1ded8,Where are the strawberry slices placed,towards the top,on top of
fb707f2c874780c,What is the color of the outer layers of the garlic,tan,chocolatey
fb707f2c874780c,What is the main ingredient in the image,garlic,chickpeas
fb707f2c874780c,What is the color of the exposed cloves of garlic,yellow,brown
fb707f2c874780c,What is the color of the foil surrounding the garlic,silver,shiny
014f5ece7199f30,What color is the lemon-lime soda gelatin salad,green,green
014f5ece7199f30,What type of dish is the lemon-lime soda gelatin salad,dessert,cream soda
014f5ece7199f30,What is the texture of the lemon-lime soda gelatin salad like,gelatin,gelatin
014f5ece7199f30,What is the overall impression of the lemon-lime soda gelatin salad,creamy,homemade
3920c6be53a6f6c,What color is the chicken,golden-brown,orange
3920c6be53a6f6c,What is the chicken served in,bowl,bowl
3920c6be53a6f6c,How is the chicken arranged,sliced,scattered
3920c6be53a6f6c,What color are the garnishes on the chicken,green,green
3920c6be53a6f6c,Where is the chicken placed in relation to the rice,on top of,above the chicken
a3729bd13d1a3ce,"What ingredient adds a warm, spicy flavor to the dish",ginger,ginger
a3729bd13d1a3ce,What is the main protein in the dish,chicken,chicken
a3729bd13d1a3ce,What color is the plate,white,green
a3729bd13d1a3ce,Where is the stir-fry placed,on a plate,on a dark wooden surface
a3729bd13d1a3ce,What color are the bell pepper slices primarily located on the left side of the plate,red,red
00e593048406ff1,What is the color of the ginger syrup,translucent,dark
00e593048406ff1,What is the syrup contained in,jar,contained
00e593048406ff1,What color is the ginger syrup,amber,amber
00e593048406ff1,Where is the jar positioned in the image,in the center,positioned
fea12437470c358,What color is the crust of the treats,yellow,brown
fea12437470c358,What type of treats are shown in the image,gingerbread,treats
fea12437470c358,What is on top of the gingerbread treats,chocolate,plate
fea12437470c358,What color is the plate,beige,green
e54f96ac6dd17b3,What color is the gingerbread house,brown,gingerbread
e54f96ac6dd17b3,Is the gingerbread house shaped like a house,yes,house
e54f96ac6dd17b3,What color is the icing on the roof,white,caramel
e54f96ac6dd17b3,What shape is formed by the light blue and pink candies,flower,sandwich
a39e3415ded2a21,What color are the dots on the tan gingerbread figure in the left center,green,with white
a39e3415ded2a21,Where is the dark brown gingerbread man with green icing located,on top,leans
59f3fdd700719ff,What type of cookies are on the plate,gingerbread cookies,in the center
59f3fdd700719ff,What color are the gingerbread cookies,brown,reddish-brown
59f3fdd700719ff,Where is the glass situated,on a plate,red
40731821312df84,What is the color of the vanilla glaze,beige,white
40731821312df84,What type of baked goods are shown in the image,cookies,cookies
40731821312df84,How are the cookies arranged,stacked,clustered
40731821312df84,Where is the glaze spread on the cookies,on top of,over the top
e2f346240095e65,What color is the bowl the soup is served in,white,white
e2f346240095e65,What color is the soup base,yellow,brown
e2f346240095e65,What meat is scattered throughout the soup,bacon,egg
e2f346240095e65,Where are the chopped green onions placed,on top,on top
bb9b1c1288afbc7,What type of pasta is pale yellow and scattered on the plate,gnocchi,potatoes
bb9b1c1288afbc7,What seafood is distributed around the center and left side of the plate,shrimp,curry
bb9b1c1288afbc7,What color are the asparagus spears,green,green
f72def05a510d0d,What color is the chicken sausage,brownish-red,brown
f72def05a510d0d,What type of dumplings are in the dish,gnocchi,glass
f72def05a510d0d,What color are the broccoli florets,green,green
f72def05a510d0d,Where are the food items located,on a plate,on the plate
0596db289a95c00,What color is the rotini pasta,yellow,orange
0596db289a95c00,What type of food is the rotini,pasta,orange
0596db289a95c00,What color is the tomato-based sauce,red,red
0596db289a95c00,Where is the sprig of parsley placed,on top of,on top of
0596db289a95c00,What color is the sprig of parsley,green,green
24e93d74ec63682,What color is the macaroni in the Goulash Supreme,orange-brown,yellow
24e93d74ec63682,What type of pasta is used in the Goulash Supreme,macaroni,turkey
24e93d74ec63682,How are the macaroni pieces arranged in the bowl,scattered,scattered
24e93d74ec63682,What color are the diced tomatoes in the Goulash Supreme,red,reddish-brown
24e93d74ec63682,Where is the green sprig of parsley located,at the top,in the lower left
4fe57bd9df72e3f,How is the ground beef arranged in the bowl,scattered,red
4fe57bd9df72e3f,What type of meat is used in the dish,beef,venison
4fe57bd9df72e3f,What color are the potatoes,yellow,golden-brown
4fe57bd9df72e3f,What color are the carrots,orange,orange
ba01bc8f6481ce0,What color are the specks of lemon zest in the granita,yellow,yellow
ba01bc8f6481ce0,What fruit is used to flavor the granita,lemon,lemon
ba01bc8f6481ce0,What material is the granita served in,glass,red
e26db2540b79be7,What fruit is used to make the granita,watermelon,pineapple
e26db2540b79be7,What is placed on top of the granita,mint,red
56f2be6ebb5a498,What color is the granola,brown,brown
56f2be6ebb5a498,What type of food is shown in the image,granola,fajitas
56f2be6ebb5a498,What color are the cranberries in the granola,red,red
1de8bda867af12d,What is the primary color of the granola,brown,brown
1de8bda867af12d,What type of food is being described,granola,fritters
1de8bda867af12d,What color are the cranberries in the granola,red,red
1de8bda867af12d,How are the coconut flakes distributed in the granola,scattered,white
1de8bda867af12d,Where are the almonds located in the granola,in the mixture,on a red cloth
c8325a55672f711,What is the color of the creamy sauce,yellow,yellow
c8325a55672f711,What is the main ingredient in the dish,potatoes,fries
c8325a55672f711,What color are the potato slices,yellow,on a plate
c8325a55672f711,Where are the potatoes placed,in a baking dish,scattered throughout
6469a613547241c,What color is the dish,yellow,white
6469a613547241c,What type of container holds the scallops,dish,bowl
6469a613547241c,What color are the scallops,white,are
6469a613547241c,What is the color of the sauce surrounding the scallops,yellow,with a reddish-brown tomato-based sauce
6469a613547241c,Where is the dish positioned in the frame,in the lower center,on the left side
8659c8bf322c959,What is the size of the ham pieces,diced,red
8659c8bf322c959,What type of seafood is in the bowl,shrimp,mussels
f8f3ab847fbd98e,What color are the carrot pieces,orange,orange
f8f3ab847fbd98e,What is the main liquid in the pot,broth,silver
f8f3ab847fbd98e,Where are the carrots and celery positioned,on the left,mixed
37efc4acb95a4cc,What is the food served in,bowl,bowl
37efc4acb95a4cc,What color is the lemon wedge,lemon,yellow
37efc4acb95a4cc,What color is the lemon wedge,yellow,yellow
37efc4acb95a4cc,Where is the lemon wedge placed in the bowl,on the left side,on the top
768d83ac0f75f2c,How are the chicken pieces arranged in the dish,scattered,scattered
768d83ac0f75f2c,What color is the sauce in the gumbo,brown,brown
768d83ac0f75f2c,What type of meat is included in the gumbo besides sausage,chicken,reddish-brown
768d83ac0f75f2c,What type of meat is included in the gumbo besides chicken,sausage,chicken
57fcd575d52b6f1,What color is the pita bread,beige,yellow
57fcd575d52b6f1,What type of food is shown in the image,gyros,fajitas
57fcd575d52b6f1,What color is the gyro meat,brown,brown
57fcd575d52b6f1,Where are the gyros mostly arranged in the image,on the left side,on top of
57fcd575d52b6f1,What color are the lettuce leaves,green,green
501fae196787866,What is the texture of the panko crust,crispy,porous
501fae196787866,What type of fish is shown in the image,halibut,Flounder
501fae196787866,What color is the halibut,white,white
501fae196787866,What color are the beans,green,green
501fae196787866,Where is the crispy panko crust located,on top,is located on top
ef1a71508ed5873,What color is the crust of the halibut,beige,white
ef1a71508ed5873,What type of fish is being served,Halibut,halibut
ef1a71508ed5873,What color is the broccoli,green,green
ef1a71508ed5873,What is the broccoli located on,on the right,on the plate
8a148819c0cb4f0,What color are the halloumi pieces after frying,golden-brown,golden-brown
8a148819c0cb4f0,What type of cheese is being fried,halloumi,brie
8a148819c0cb4f0,What color is the plate,gray,green
8a148819c0cb4f0,Where is the lemon slice positioned on the plate,on the left,on the rim
8a148819c0cb4f0,What color is the lemon slice,yellow,yellow
d0a17cef7c0faf3,What fruit is visible on the surface of the ham,apricot,cranberries
d0a17cef7c0faf3,What color is the exterior of the ham,reddish-brown,brown
d0a17cef7c0faf3,What is next to the ham in the upper right quadrant of the plate,bowl,meatloaf
d0a17cef7c0faf3,Where is the bowl of brown sugar sauce located,in the upper right,in the center
5d818c429496351,What color is the ham,pink,reddish-brown
5d818c429496351,What type of meat is shown in the image,ham,chicken
cc1e04c85b3b6fb,What color is the ham inside the sandwich,pink,reddish-brown
cc1e04c85b3b6fb,What is the main food item in the image,sandwich,bread
cc1e04c85b3b6fb,What color are the pickle slices,green,green
cc1e04c85b3b6fb,Where are the food items placed,on a plate,on the plate
cc1e04c85b3b6fb,What color are the edges of the pickle slices,green,green
1c1452434772ef5,What is the primary color of the ham slices,pink,light pink
1c1452434772ef5,What type of meat is shown in the image,ham,chicken
1c1452434772ef5,What is the appearance of the edges of some ham slices,caramelized,glossy
1c1452434772ef5,Where are the ham slices layered,layered on,pinkish-brown
1c1452434772ef5,What is the ham layered on top of,lettuce,cheese
b397bd5d4937bfb,What is the main vegetable in the hash,potato,cabbage
b397bd5d4937bfb,What color are the cubed sweet potatoes,orange,brown
b397bd5d4937bfb,Where are the sprigs of dill located,throughout,on top
b397bd5d4937bfb,What color is the yolk of the fried egg,yellow,yellow
8ba0dca8f0c3725,What color is the Texas Hash,brownish,yellow
8ba0dca8f0c3725,What is the food served on,plate,plate
8ba0dca8f0c3725,What color is the melted cheese,yellow,yellow
8ba0dca8f0c3725,Where are the scallions placed,sprinkled on top,on top
8ba0dca8f0c3725,What color is the plate,white,green
7e60dd9c05f81e5,What color are the sweet potato cubes,orange,orange
7e60dd9c05f81e5,What type of vegetable is used in the hash,potato,peppers
7e60dd9c05f81e5,How is the egg prepared,fried,fried
7e60dd9c05f81e5,Where is the fried egg placed,on top of,atop the quinoa
7e60dd9c05f81e5,What is the red-colored item in front of the potatoes,bacon,red
bae167eccbe36fa,What food item is shown in the image,hash browns,hash browns
bae167eccbe36fa,What color is the top of the top left hash brown,golden-brown,on top
bae167eccbe36fa,Are the hash browns touching each other,yes,touching
bae167eccbe36fa,Where are the hash browns placed,on a plate,to the plate
9b5b05482f16491,What color are the hash browns,golden-brown,golden-brown
9b5b05482f16491,What are the hash browns served on,plate,golden-brown
9b5b05482f16491,What color is the rim of the plate,orange,with a red rim
9b5b05482f16491,What is sprinkled on the white creamy sauce,chives,sprinkled
71f29ccc1bb79d2,What color are the chicken hearts and mushrooms,brown,dark
71f29ccc1bb79d2,What type of meat is visible in the image,chicken,sausages
71f29ccc1bb79d2,What color are the round objects in the upper right corner,yellow,matzo balls
71f29ccc1bb79d2,"Where are the pale yellow, round objects located in the image",in the upper right,matzo balls
6af6a4433e4a0c7,What color is the top of the Cornish Game Hen,golden-brown,orange-brown
6af6a4433e4a0c7,What type of bird is shown in the image,hen,hen
6af6a4433e4a0c7,What color are the darker grains in the rice stuffing,brown,brown
6af6a4433e4a0c7,Where is the Cornish Game Hen positioned in the image,at the top left,located
4e8597ee35c2dfd,What type of food is in the bowl,salad,dog food
4e8597ee35c2dfd,What colors are present in the salad dressing,green-white,beige
4e8597ee35c2dfd,Where is the dressing drizzled,over the salad leaves,on top of
4e8597ee35c2dfd,What vegetable pieces are in the salad,tomatoes,green
00bf2bb6e5a159a,What type of beans are clustered on top of the hummus,edamame,tomatoes
00bf2bb6e5a159a,What is the base of the dish made of,hummus,rice
00bf2bb6e5a159a,What color are the small seeds scattered on the hummus,black,throughout
00bf2bb6e5a159a,Where are the edamame beans located,on top of,on top
b3642208c36c1c0,What is the color of the hummus,yellow,light
b3642208c36c1c0,What is the dip in the bowl,hummus,hummus
b3642208c36c1c0,Where are the crackers placed in relation to the hummus,submerged,bowl
b3642208c36c1c0,What is served alongside the hummus,crackers,chips
b3642208c36c1c0,Where are the crackers positioned in the bowl,on the right,to the right
1d926823e55a19f,What is the hummus served in,bowl,bowl
1d926823e55a19f,What color is the hummus,brownish-green,light
1d926823e55a19f,Where is the bowl situated in the image,towards the top left,situated
3c4a5088c3151a4,What color is the hummus,beige,light
3c4a5088c3151a4,What is the name of the food in the bowl,hummus,hummus
3c4a5088c3151a4,What color is the oil in the center of the hummus,yellow,yellow
3c4a5088c3151a4,What is arranged around the rim of the bowl,tomatoes,with a green rim
3c4a5088c3151a4,What is dusted on the hummus,spices,dusted
8ee85aedb5b644e,What color is the hummus,yellow-beige,light
8ee85aedb5b644e,What is the hummus served in,bowl,bowl
8ee85aedb5b644e,What color are the carrots,orange,orange
8ee85aedb5b644e,What is the hummus served with,carrots,bowl
8ee85aedb5b644e,Where are the carrots placed,on the plate,within a white bowl
3d48f6b7482aba6,What color is the jam in the jars,reddish-brown,red
3d48f6b7482aba6,What containers are used to hold the jam,jars,jars
3d48f6b7482aba6,Where are the jars positioned in the frame,in the center,across a colorful
bbf959f60d3b884,What color is the nectarine jam,orange,on a plate
bbf959f60d3b884,What are the jars made of,jars,glass jars
bbf959f60d3b884,What material are the lids made of,glass,glass
bbf959f60d3b884,Where are the jars primarily located,in the center,in the upper half
bbf959f60d3b884,What color is the background,pinkish-white,red
f065b6f63d2d4a8,Where is the apricot jam located in the image,in the center,in each jar
f065b6f63d2d4a8,Which part of the image contains the jam,bottom half,in the upper left quadrant
f065b6f63d2d4a8,What color is the apricot jam,orange,amber
f065b6f63d2d4a8,How would you describe the color of the jam,vibrant,vibrant
38ebbd7b792ff0d,What are the jars made of,glass,glass jars
38ebbd7b792ff0d,What fruit is used to make the jam,papaya,strawberries
38ebbd7b792ff0d,How would you describe the papaya used in the jam,fresh,vibrant
38ebbd7b792ff0d,Where are the jars placed,on a white cloth,on a surface
252b508f8033600,What color is the coffee jelly,dark brown,tan
252b508f8033600,What shape are the coffee jelly pieces,cubes,tan
252b508f8033600,What color is the liquid surrounding the coffee jelly,beige,red
252b508f8033600,How are the coffee jelly cubes distributed in the mugs,scattered,copper-colored
465a36d85d1bf6d,What color is the jerky,black,reddish-orange
465a36d85d1bf6d,What color is the jerky described as,dark,terracotta-colored
465a36d85d1bf6d,How is the jerky arranged in the dish,stacked,piled
465a36d85d1bf6d,What is the jerky placed in,dish,bowl
465a36d85d1bf6d,Where is the jerky pile located in the frame,in the center,in a pile
02649a5833f44cd,What is the primary color of the beef jerky,brown,brown
02649a5833f44cd,What type of food is shown in the image,beef jerky,fajitas
02649a5833f44cd,How are the beef jerky pieces arranged in the image,scattered,piled
02649a5833f44cd,What color variation is seen in some of the beef jerky pieces,reddish-brown,brown
02649a5833f44cd,Where are the darkest pieces of beef jerky located,around the edges,on a white plate
f4559d130566a05,What color are the beef jerky pieces,brown,brown
f4559d130566a05,What type of food is shown in the image,beef jerky,fajitas
f4559d130566a05,How are the beef jerky pieces arranged,overlapping,pile
580723682f5811f,What color is the beef jerky,dark brown,brown
580723682f5811f,Where is the beef jerky located,located inside,brown
580723682f5811f,What is the beef jerky stored in,jar,brown
580723682f5811f,What is the jar doing on the table,sitting,wooden
580723682f5811f,What is the table made of,wooden,glass
fa7d133f1e16b4d,What color is the filling of the pie,yellow-tan,purplish-red
fa7d133f1e16b4d,Where is the pie slice placed,plate,on plate
fa7d133f1e16b4d,What color is the plate,white,green
fa7d133f1e16b4d,How does the surface of the pie filling appear,glazed,textured
331b51dc156ef8d,What is the name of the sandwich in the image,Sloppy Joe,hummus
331b51dc156ef8d,What color is the meat filling in the Sloppy Joe,reddish-brown,brown
